公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他流動資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 其他金融資產減少,　　 發放現金股利,　　 非控制權益變動,　　　　　 負債準備增加（減少）,　　 存出保證金減少
2379,2015年01月01日至2015年09月30日,,1837331,1837331,,,423394,607159,-3344,-26589,89076,-510531,-21563.0,19280,-1929,1170,0.0,576123.0,,,-418063,246940,192963,-68301,0.0,-218408,-111837,-376706,,1303,-1718668,-112080,252983,-13818,26163.0,3764,-36630.0,152633.0,-1444350,-1821056,-1244933,592398,531906,5257.0,-87847,-312334,729380,,488772,0.0,567402.0,-307412.0,0.0,435.0,6373.0,-200000.0,0,17557.0,-362027,2000,-5703.0,-700947,-1804385.0,11319.0,-951418.0,-3238034,,3534470,0.0,-4186.0,3530284,658700,1680330,21608816,23289146,23289146,,,,,,,,,,,,
2379,2015年01月01日至2015年06月30日,,1204102,1204102,,,279575,392051,-7433,-15979,59561,-354803,,14066,-1920,248,,365366.0,,,-521373,737495,172349,23932,0.0,-1224054,-32789,-844440,,2604,-471928,-86669,-170748,18280,27964.0,-26392,-23732.0,41226.0,-689395,-1533835,-1168469,35633,353462,,-56402,-235962,96731,,488772,0.0,325681.0,-282154.0,0.0,,0.0,-200000.0,0,,-266949,2000,-3468.0,-637367,,12243.0,-951418.0,-3293323,,4788569,0.0,-5977.0,4782592,-388470,1197530,21608816,22806346,22806346,-1780663.0,,,,,,,,,,,
2379,2015年01月01日至2015年03月31日,,805808,805808,,,135683,189309,-4905,-6308,28738,-180899,,7162,-1960,0,,166820.0,,,-66886,405065,197402,-47361,,-398116,-15905,74199,,602,-850851,-63595,-408963,-9703,24353.0,25580,-11283.0,21193.0,-1272667,-1198468,-1031648,-225840,113034,,-23725,0,-136531,,0,0.0,25325.0,0.0,0.0,,0.0,0.0,0,,-108027,2000,-403.0,-449766,-9742.0,,,-1042770,,5332691,,-7442.0,5325249,-210043,3935905,21608816,25544721,25544721,-502157.0,,,,,,,,,,,
2379,2014年度,,4286142,4286142,,,571734,563952,-11727,-30668,88111,-563576,-27230.0,5284,-391,-1095958,135246.0,,,,-502077,451970,-50880,-7105,0.0,-1091593,42188,-1157497,,372,1664256,-24984,1131230,-5351,,14290,,164785.0,2904151,1746654,1381431,5667573,465803,38699.0,-89207,-192379,5890489,,232782,,,-404726.0,418486.0,10449.0,0.0,-100000.0,827890,13005.0,-824898,730,-33218.0,-855440,-296292.0,,,-389142,,1228125,10626.0,,-1286007,877855,5093195,16515621,21608816,21608816,,,-365223.0,0.0,-40447.0,-1506554.0,2128644.0,0.0,-2524758.0,,,
2379,2014年01月01日至2014年09月30日,,3731075,3731075,,,437069,408689,-5862,-21402,56093,-414891,-27230.0,-2980,158,-1083612,135246.0,-518722.0,,,-669160,-381724,-134240,-80799,0.0,-188489,33281,-1421131,,2097,1063659,9655,1277447,7067,36764.0,7166,-29777.0,93068.0,2467146,1046015,527293,4258368,326395,27052.0,-64751,-176746,4370318,,0,-1263293.0,1109789.0,-347235.0,401571.0,0.0,0.0,-100000.0,827890,13005.0,-820750,0,-29939.0,-669606,-217075.0,3270.0,0.0,-1092373,,1979933,9217.0,0.0,1989150,168835,5435930,16515621,21951551,21951551,,,,,,,,,,,,
2379,2014年01月01日至2014年06月30日,,2043607,2043607,,,294270,265564,-8655,-12422,45034,-260221,,-4106,153,-249396,,70221.0,,,-416038,6445,-179748,-32924,0.0,-77995,24689,-675571,,2700,548398,33709,663127,7067,14592.0,-10,-19488.0,58863.0,1308958,633387,703608,2747215,220491,,-39922,-130577,2797207,,0,-1037141.0,584560.0,-73442.0,151490.0,,0.0,-40000.0,325082,,-782543,0,-29832.0,-331632,,4374.0,0.0,-2329655,,726660,72.0,0.0,726732,-65606,1128678,16515621,17644299,17644299,-1100571.0,,,,,,,,,,,
2379,2014年01月01日至2014年03月31日,,911738,911738,,,148092,137425,-2124,-4007,27833,-121255,,18340,48,-221708,,-17356.0,,,-489868,555993,18050,-26944,,-154361,-78508,-175638,,680,491288,-18229,-62776,4600,-40809.0,-12,-9734.0,46560.0,411568,235930,218574,1130312,112643,,-22075,0,1220880,,0,0.0,290478.0,-74903.0,154503.0,,0.0,-40000.0,263910,,-733044,0,-30532.0,-235409,3678.0,,,608396,,836422,,-102.0,836320,183448,2849044,16515621,19364665,19364665,1009715.0,,,,,,,,,,,
2379,2013年度,,3257532,3257532,,,596008,548265,10990,-7342,41447,-403269,-22686.0,-90117,-3736,-93665,85000.0,,,,-10234,-591912,-268956,-53287,886.0,216109,4675,-702719,,-3177,-432027,91357,740213,-905,,-19260,,372792.0,712311,9592,670487,3928019,403269,34823.0,-41447,-66128,4258536,,67400,,,0.0,0.0,0.0,9865.0,0.0,88983,22950.0,-421914,5945,-9254.0,-686082,-1111207.0,,,-2695683,,5104703,96.0,,3408949,354980,5326782,11188839,16515621,16515621,,,660895.0,0.0,-36682.0,-1264647.0,602278.0,0.0,-1695850.0,,,
2379,2013年01月01日至2013年12月31日,,3257532,3257532,,,596008,548265,10990,-7342,41447,-403269,-22686.0,-90117,-3736,-93665,85000.0,,,,-10234,-591912,-268956,-53287,886.0,216109,4675,-702719,,-3177,-432027,91357,740213,-905,,-19260,,372792.0,712311,9592,670487,3928019,403269,34823.0,-41447,-66128,4258536,,67400,,,,,,9865.0,,88983,22950.0,-421914,5945,-9254.0,-686082,-1111207.0,,,-2695683,,5104703,96.0,,3408949,354980,5326782,11188839,16515621,16515621,,,660895.0,,-36682.0,-1264647.0,602278.0,,-1695850.0,0.0,,
2379,2013年01月01日至2013年09月30日,,2525534,2525534,,,453396,400818,8681,4559,26501,-296181,-22686.0,-72893,937,-34745,35000.0,,,,-119405,-487403,-69012,-75835,-8432.0,-255641,-40457,-1056185,,-2399,-347102,96437,602956,-5439,0.0,-10158,,284441.0,586935,-469250,34137,2559671,296181,34823.0,-26378,-91788,2772509,,67400,,,0.0,0.0,,9865.0,0.0,0,22950.0,-281311,3025,220.0,-395783,-1238941.0,4501.0,,-2503913,,4251526,,4685.0,4256211,150189,4674996,11188839,15863835,15863835,,,503387.0,,-31801.0,-1162795.0,466956.0,,,,,
