公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 員工執行認股權,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 處分不動產、廠房及設備,　　　　 股利收入,　　 取得備供出售金融資產,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 預付設備款增加,　　 收取之股利,　　 發放現金股利,　　 庫藏股票處分,　　 非控制權益變動,　　 員工購買庫藏股,　　 存出保證金增加,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　 短期借款減少,　　 應付短期票券增加,　　 其他非流動資產增加,　　 其他籌資活動,　　　 收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　　　 其他流動負債增加（減少）,　　 舉借長期借款
3090,2015年01月01日至2015年06月30日,,201473,201473,,,6861,1026,3152,-2224,17849,-5087,,,0,7192,-61,,,,13491,332884,0,33256,28273,15709,-120,423493,,1201,-228096,0,-26538,4522.0,-248911,174582,203290,404763,5289,-18180,-54212,337660,,0,,,-56846,-108488,941.0,-1883.0,,-166276,,0.0,0,-6293,1970.0,,,,64673,-2598,233459,832335,1065794,1065794,0.0,0.0,,,,,,,,,-6574.0,,0.0,0.0,0.0,-292430.0,,,,,,28708.0,,368000.0
3090,2015年01月01日至2015年03月31日,,129987,129987,,,3181,508,635,-3139,9063,-2218,,,0,0,-137,,,,33688,217753,0,30714,-67287,4324,-111,219081,,-154,-189989,0,1569,,-181249,37832,44441,174428,2144,-8789,-3145,164638,,0,,,0,-20020,370.0,-6.0,,-19656,,,0,-2766,0.0,,,,-3010,-1161,140811,832335,973146,973146,0.0,0.0,,,,,,,,,,,0.0,,,-244.0,,,,,-1284.0,6609.0,7325.0,
3090,2014年度,,429917,429917,,,13585,2088,119488,1897,37365,-8916,0.0,0.0,-14183,7938,-4347,131584.0,,,-20880,-732413,31781,24129,-466253,5624,74,-1157938,,-313,298776,-16286,52462,5052.0,339691,-818247,-686663,-256746,9454,-39138,-47021,-333451,,9847,,0.0,33679,-3470,,-777.0,0.0,60529,,576667.0,-74967,-11067,184.0,0.0,0.0,,359913,5888,92879,739456,832335,832335,-1093.0,2145.0,-26012.0,0.0,933.0,0.0,,26012.0,-129153.0,,-853.0,0.0,-1284.0,343.0,3431.0,0.0,,-6556.0,-898.0,,,,,
3090,2014年01月01日至2014年09月30日,,251012,251012,,,10179,1522,119020,11,27633,-6772,0.0,0.0,-14183,23284,-632,137044.0,,,-63794,-692071,30052,-23292,-334087,2643,-1034,-1081583,,-76,344432,-16169,25987,15500.0,369674,-711909,-574865,-323853,6666,-28372,-44511,-390070,,9847,,0.0,33679,-3414,0.0,-777.0,0.0,61670,,497638.0,-74967,-8300,183.0,0.0,0.0,,284548,2606,-41246,739456,698210,698210,-780.0,3062.0,-26012.0,,933.0,0.0,,26012.0,-129153.0,0.0,-853.0,,-1115.0,343.0,3431.0,0.0,,-6557.0,,,,,,
3090,2014年01月01日至2014年06月30日,,196183,196183,,,6758,997,5817,-11,17796,-4485,,0.0,-14927,10292,178,25409.0,,,-100223,-186887,26781,-26244,-191937,-5896,-633,-485039,,-186,256255,-16192,24312,8258.0,272447,-212592,-187183,9000,4590,-18192,-23032,-27634,,9847,,0.0,33679,-3331,0.0,-448.0,0.0,41690,,47663.0,-74967,-5533,243.0,,0.0,,-33447,2488,-16903,739456,722553,722553,-780.0,3062.0,,,,,,,,,-853.0,,-1119.0,343.0,3431.0,0.0,0.0,,,,,,,
3090,2014年01月01日至2014年03月31日,,106773,106773,,,3363,520,5105,0,8772,-2031,,0.0,-14927,4485,-12,4490.0,,,-61584,-71705,27095,65793,-91044,-15494,-738,-147677,,-462,104426,-16278,-23566,5617.0,69737,-77940,-73450,33323,2387,-9234,-1794,24682,,9847,0.0,0.0,33679,-2859,0.0,,0.0,43602,,-75463.0,-44971,-2766,0.0,247.0,0.0,,-122953,4137,-50532,739456,688924,688924,-785.0,3062.0,,,,,,,,,,,-127.0,,,,,,,,,,,
3090,2013年度,,387014,387014,,,13587,1542,10819,-60,33611,-6531,9673.0,5629.0,-131624,3513,-632,-94839.0,,,-17321,-366759,12892,-34823,-81535,-15066,-3391,-506003,,340,458105,7191,48727,-16356.0,498007,-7996,-102835,284179,6223,-33950,-37242,219210,,236343,,-417299.0,414310,-34573,,-606.0,3340.0,219899,,0.0,-14860,-9222,0.0,-5160.0,15243.0,,-162184,3358,280283,459173,739456,739456,1685.0,1312.0,-36051.0,-15037.0,0.0,-1235.0,,36051.0,-33870.0,,28755.0,48165.0,-2707.0,0.0,0.0,-191235.0,,0.0,0.0,,,,,
3090,2013年01月01日至2013年12月31日,,387014,387014,,,13587,1542,10819,-60,33611,-6531,9673.0,5629.0,-131624,3513,-632,-94839.0,,,-17321,-366759,12892,-34823,-81535,-15066,-3391,-506003,,340,458105,7191,48727,-16356.0,498007,-7996,-102835,284179,6223,-33950,-37242,219210,,236343,,-417299.0,414310,-34573,-2707.0,-606.0,3340.0,219899,,-191235.0,-14860,-9222,,-5160.0,15243.0,0.0,-162184,3358,280283,459173,739456,739456,1685.0,1312.0,-36051.0,-15037.0,0.0,-1235.0,0.0,36051.0,-33870.0,,28755.0,48165.0,,,,,,,,,,,,
3090,2013年01月01日至2013年09月30日,,295172,295172,,,9850,1042,3709,-60,23836,-4335,9673.0,6205.0,-103022,9717,-291,-79707.0,,,-5343,-168921,8303,-112238,-97350,-41568,-4215,-421332,,-111,334914,-5587,19279,-17433.0,331062,-90270,-169977,125195,4370,-24839,-31965,72761,,201302,,-417299.0,414310,-32322,142.0,-606.0,3340.0,203700,,-19536.0,-14877,-6455,,-467.0,15243.0,0.0,-15643,2314,263132,459173,722305,722305,20.0,17.0,-36051.0,0.0,0.0,-1235.0,0.0,36051.0,-33870.0,48165.0,-3846.0,,,,,,,,,,,,,
3090,2013年01月01日至2013年06月30日,,157369,157369,,,6190,589,1292,-60,13486,-2688,0.0,2871.0,-36649,5325,133,-9491.0,,,-73767,-3115,11145,41736,-31697,-39065,-307,-95070,,6,185451,-7678,20789,-18898.0,179670,84600,75109,232478,2843,-14176,-13611,207534,,113050,,-399399.0,414310,-9844,117.0,0.0,3340.0,121591,,-55346.0,5027,-3688,2944.0,0.0,9490.0,0.0,-41573,4623,292175,459173,751348,751348,20.0,17.0,,,,,,,,,,,,,,,,,,,,,,
3090,2013年01月01日至2013年03月31日,,71698,71698,,,2297,236,199,-60,3590,-1008,0.0,778.0,-8939,4624,-23,1694.0,,,-2404,-92564,-11908,27265,17234,-2644,-2508,-67529,,-125,144793,-5888,16221,-5303.0,149698,82169,83863,155561,1219,-3744,-875,152161,,48980,-28308.0,-346849.0,414310,-2082,28.0,0.0,3340.0,89419,,30189.0,-14946,-922,14.0,0.0,9490.0,0.0,23825,3645,269050,459173,728223,728223,,,,,,,,,,,,,,,,,,,,,,,,
3090,2012年01月01日至2012年12月31日,,219091,219091,,,5796,211,-928,60,394,-4698,608.0,0.0,-5912,3618,-999,-28333.0,,,17970,71106,0,-40887,160106,-399,181,208077,,-59,6586,0,-18355,43.0,-11785,196292,167959,387050,5277,-631,-46043,345653,,37956,,0.0,0,-24713,167.0,-105.0,0.0,-52181,,-90853.0,0,0,,-14.0,2588.0,-14654.0,-267497,-2531,23444,435729,459173,459173,-211.0,556.0,-26272.0,-62471.0,7527.0,0.0,-37370.0,26272.0,-163213.0,,-1351.0,0.0,,,,,,,,,,,,
3090,2012年01月01日至2012年09月30日,,187486,187486,,,4252,187,-68,-56,364,-3652,547.0,0.0,-3089,7706,-211,-20633.0,,,5300,4530,0,-41358,93454,283,1,62210,,575,77713,0,-15147,-1961.0,61180,123390,102757,290243,3502,-600,-23873,269272,,37955,,0.0,0,-23047,47.0,-105.0,0.0,-17960,,-74105.0,0,0,,-14.0,2588.0,-14654.0,-250749,-2888,-2325,435729,433404,433404,-341.0,556.0,-26272.0,-62472.0,3739.0,0.0,-905.0,26272.0,-163213.0,0.0,-1351.0,,,,,,,,,,,,,
3090,2012年01月01日至2012年06月30日,,112787,112787,,,2808,124,27,-114,167,-2401,354.0,0.0,0,5539,-74,6407.0,,,15886,-20516,0,-24643,60124,746,-69,31528,,229,110204,0,1464,368.0,112265,143793,150200,262987,2073,-375,-23467,241218,,0,,0.0,0,-290,8.0,-105.0,0.0,-177,,-53104.0,0,0,0.0,-11.0,1111.0,-14654.0,-66658,-1336,173047,435729,608776,608776,-23.0,210.0,,,,,,,,,,,,,,,,,,,,,,
3090,2012年01月01日至2012年03月31日,,47592,47592,,,1407,62,-252,0,134,-948,159.0,0.0,0,655,122,1339.0,,,23311,15307,0,-29884,36052,357,165,45308,,-354,82684,0,-3479,1073.0,79924,125232,126571,174163,1100,-375,-1039,173849,,0,0.0,0.0,0,-188,14.0,-105.0,0.0,-279,,-94105.0,0,0,0.0,-12.0,1111.0,-14654.0,-107660,-2298,63612,435729,499341,499341,,,,,,,,,,,,,,,,,,,,,,,,
