公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 以成本衡量之金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 各項保險負債淨變動,　　　　 具金融商品性質之保險契約準備淨變動,　　　　 其他各項負債準備淨變動,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收保費（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 其他應付款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產及設備,　　 處分不動產及設備,　　 取得無形資產,　　 處分投資性不動產,　　 投資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　 籌資活動之現金流量,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　　 取得投資性不動產,　　 退還（支付）之所得稅
2816,2016年01月01日至2016年09月30日,,145021,145021,,,26606,6303,245,0.0,-42782,988862,0,-3505,-86,0,5405.0,981048,,,1806,-5419,4740,-247783,398370,-534460,-178023,-283594,-71808,-916171,,-193271,-6630,-199901,-1116072,-135024,9997,39320,54488,,0.0,-39760,86,-32345,0,-73029,-1250,-41087,2131322,2090235,2090235,,,-21296.0,-21296.0,-1010.0,5171.0
2816,2016年01月01日至2016年06月30日,,60413,60413,,,16677,3297,4234,0.0,-28296,1104469,0,-3833,-43,0,5405.0,1101910,,,2731,-171320,12791,-125874,859416,-619010,-355361,-299521,-48021,-744169,,-69192,22572,-46620,-790789,311121,371534,31108,404845,,0.0,-31667,43,-31631,0,-64145,381,341081,2131322,2472403,2472403,,,,,-890.0,2203.0
2816,2016年01月01日至2016年03月31日,,54110,54110,,,8023,1247,3486,,-14425,839643,0,-2474,-44,0,0.0,835456,,,-514,-150597,22143,57241,773146,-528637,-228321,239,-51177,-106477,,-192445,49008,-143437,-249914,585542,639652,21694,666507,,,-2620,44,-8180,0,-11646,207,655068,2131322,2786390,2786390,,,,,-890.0,5161.0
2816,2015年度,,262214,262214,,,26596,5228,-2804,-840.0,-59914,502751,-30069,-863,-45,-5725,,454344,,,-32709,179479,3209,574268,-1792555,-291834,114531,961,-48154,-1292804,,126486,-24783,101703,-1191101,-736757,-474543,56397,-418146,,-37228.0,-35952,54,-114,16880,-56360,-1146,-723751,2855073,2131322,2131322,20029.0,,-248099.0,-248099.0,0.0,
2816,2015年01月01日至2015年09月30日,,224344,224344,,,19679,4168,193,-840.0,44623,563811,-30069,2187,-45,-5724,,617589,,,-58370,89948,-179229,443078,-1156866,-403603,215713,718,-120153,-1168764,,-4070,13502,9432,-1159332,-541743,-317399,40848,-276551,,-37228.0,-8890,54,0,16880,-29184,-1318,-555152,2855073,2299921,2299921,19606.0,,-248099.0,-248099.0,,
2816,2015年01月01日至2015年06月30日,,318844,318844,,,12660,2778,-5339,-840.0,29479,686613,-30069,1471,7,-5724,19606.0,710642,,,-23066,-223531,-58987,48506,-42083,-540290,221564,476,-110128,-727539,,162542,43396,205938,-521601,189041,507885,29494,537379,,-37228.0,-6586,2,0,16880,-26932,-454,509993,2855073,3365066,3365066,,,,,,
2816,2015年01月01日至2015年03月31日,,242518,242518,,,5976,1389,-654,,-13669,500052,-16633,747,7,-5724,1818.0,473309,,,-1648,-162936,-131857,-157511,-286635,-380638,210205,237,-84647,-995430,,111794,51360,163154,-832276,-358967,-116449,18191,-98258,,,-5485,2,0,16880,11397,0,-86861,2855073,2768212,2768212,,,,,0.0,0.0
2816,2014年度,,562734,562734,,,21700,8641,969,0.0,-53311,-716040,-42183,3690,0,5582,,-747120,,,1181,-39658,87560,265932,71437,814921,540667,36020,-65780,1712280,,48035,-25454,22581,1734861,987741,1550475,50696,1601171,,0.0,-34667,0,-2286,9882,-27679,0,1573492,1281581,2855073,2855073,23832.0,,0.0,0.0,-608.0,
2816,2014年01月01日至2014年09月30日,,549245,549245,,,16498,7015,1301,0.0,-39183,-282813,-30926,2719,0,8295,,-317094,,,-22883,-120553,105174,-615256,255568,571503,459418,760,-74681,559050,,117205,-12217,104988,664038,346944,896189,33806,929995,,0.0,-22385,0,-2094,7169,-17310,0,912685,1281581,2194266,2194266,0.0,,0.0,0.0,,
2816,2014年01月01日至2014年06月30日,,397231,397231,,,11136,4823,192,0.0,-26254,-105523,-20519,1752,0,-2713,0.0,-137106,,,-49749,-246037,77156,-173837,310504,366905,221211,503,-76848,429808,,114551,-1422,113129,542937,405831,803062,25147,828209,,0.0,-2055,0,-2046,6994,2893,0,831102,1281581,2112683,2112683,,,,,,
