公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 非金融資產減損損失,　　　　　 其他營業資產（增加）減少,　　 預付投資款增加,　　 取得投資性不動產,　　 收取之股利,　　　　　 負債準備增加（減少）,　　 取得採用權益法之投資,　　 應付短期票券增加,　　 其他非流動負債減少,　　 發放現金股利,　　　　 股利收入,　　　　 非金融資產減損迴轉利益,　　 處分備供出售金融資產,　　 存出保證金增加,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 預付設備款減少,　　 存入保證金增加,　　　　　 應付建造合約款增加（減少）,　　 存出保證金減少,　　 存入保證金減少,　　 停業單位稅前淨利（淨損）,　　　　 處分採用權益法之投資損失（利益）,　　 處分子公司,　　 短期借款減少,　　 其他應付款－關係人增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　 其他項目,　　 其他投資活動,　　 其他籌資活動,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　 處分採用權益法之投資,　　 處分無形資產,　　 處分投資性不動產
1201,2016年01月01日至2016年09月30日,,-497726,-421061,,,735403,2763,195916,429412,-12286,69113,-37441,-36528.0,,,,,19841,-943541,-114644,0,-55752,47373,56040,-217001,-1145320,,,-25671,418061,-62485,,-790771,-84353,-949267,-1494486,-2639806,-1798856,-2219917,12286,-243556,-93514,-2544701,,-575929,304016,-10900,,-769001,,1120877,,822472,-858244,-6579,1555320,34970,-1723412,3664391,1940979,1940979,,14000.0,62364.0,,0.0,0.0,0.0,,460176.0,,0.0,,,3197.0,0.0,-1044283.0,,,3488.0,16618.0,0.0,39918.0,,76665.0,-144689.0,,,0.0,,840950.0,,17151.0,,-148714.0,66799.0,-5718.0,-220281.0,199400.0,220432.0,7710.0
1201,2016年01月01日至2016年06月30日,,-423381,-447836,,,500198,2557,198131,290161,-8165,59820,-54172,-36328.0,,,,,35123,-485935,-224579,0,-47269,-217947,-123839,45464,-973340,,,10415,232790,-59427,,-351223,51063,-922851,-1039233,-2012573,-1565648,-2013484,8165,-269151,-78664,-2353134,,-393925,236115,-6238,,-686758,,1338409,,525000,-378505,-6579,1954284,-195970,-1281578,3664391,2382813,2382813,,14000.0,45642.0,,,0.0,0.0,,460176.0,,0.0,,,2797.0,,-1074763.0,,,4000.0,15783.0,0.0,31351.0,,-24455.0,-144423.0,,,0.0,,446925.0,,19564.0,,-148855.0,66799.0,-5718.0,-220281.0,199400.0,220432.0,7710.0
1201,2016年01月01日至2016年03月31日,,-159429,-109067,,,255249,1168,179006,140907,-3997,45595,-22376,0.0,,,,,29197,-89451,-125462,0,-380674,-216744,-184094,47098,-888695,,,-4229,-42612,-55668,,-536742,146180,-864169,-1357240,-2245935,-2052935,-2162002,3997,-112942,-7354,-2278301,,-226865,178697,-429,,143368,,1165468,,212294,-36756,-6579,1778789,-256702,-612846,3664391,3051545,3051545,,0.0,31435.0,,,0.0,0.0,,460176.0,0.0,0.0,,,0.0,,-321850.0,,,4000.0,-15814.0,0.0,50897.0,,50362.0,-144423.0,,,0.0,,193000.0,,-35564.0,,-32130.0,66940.0,-5718.0,-220281.0,199400.0,220432.0,7710.0
1201,2015年度,,-1898128,-2402725,,,1255959,12282,15092,483937,-19660,52751,93783,-7072.0,,,,,38154,36782,138129,0,92028,607589,200803,-23060,1125367,,,5772,-216641,38728,,236872,122302,-542985,-449952,675415,2577056,174331,19660,-494136,-197355,-496701,,-1238613,246315,-22819,,-176812,,930907,-190132.0,3854342,-10735481,-2896,1760694,-73949,1013232,2651159,3664391,3664391,,88430.0,34942.0,,0.0,799.0,-93772.0,,,,0.0,,,12971.0,,0.0,268958.0,,60274.0,0.0,-228.0,203243.0,-25896.0,-504597.0,0.0,-140711.0,0.0,7929850.0,,1901641.0,,,,-73861.0,433570.0,,,,,
1201,2015年01月01日至2015年09月30日,,-1148758,-1625321,,,965852,9958,5543,341334,-14541,-6730,72401,,,,,,36317,-871531,81429,0,75210,261354,120430,172933,-168207,,,-13945,370023,34641,,432586,-47203,-352572,329684,161477,1557855,-67466,14541,-345840,-143866,-541831,,-984073,212109,-6197,,-708737,,558766,-169956.0,2281905,-9211136,-2896,1378624,-38338,89718,2651159,2740877,2740877,,22561.0,-44349.0,,,800.0,-93618.0,0.0,,,0.0,,,,,,,,38719.0,-23119.0,-228.0,166885.0,,-476563.0,,,,7945060.0,,1396378.0,,-136180.0,,,,,,,,
1201,2015年01月01日至2015年06月30日,,-787413,-694430,,,640350,4408,5269,158669,-10277,-398,52202,,,,,,44555,-399754,10811,0,71550,129262,95777,58801,182627,,,-3380,261839,37554,,-35995,-54208,-123447,-11373,171254,928494,234064,10277,-160289,-91196,-7144,,-688395,45412,-1946,,-477415,,281916,,734826,-1771827,32,-10402,-34109,-529070,2651159,2122089,2122089,,0.0,171625.0,,,,-93618.0,0.0,44.0,,,,,,,,,11385.0,,-23348.0,-118.0,172204.0,,92983.0,,,,939380.0,,757240.0,-92983.0,-16075.0,-171425.0,,,,,,,
1201,2015年01月01日至2015年03月31日,,-362603,-374581,,,321928,2486,324,76193,-5178,-1284,21553,,,,,,59745,-22151,42914,0,4291,-54658,126842,105145,235934,,,5886,101317,5469,,-395752,-29025,-143357,-489446,-253512,162510,-212071,5178,-71500,-70723,-349116,,-487175,24447,-1958,,-274211,,0,-49956.0,538294,-579462,32,292629,-13813,-344511,2651159,2306648,2306648,,0.0,-26194.0,,0.0,,-33984.0,,0.0,0.0,0.0,,,,,,,0.0,20289.0,22042.0,0.0,170186.0,0.0,-11978.0,,,-636221.0,997900.0,,416022.0,,,,,,,,,,
1201,2014年度,,-170675,-230236,,,1189874,9407,-3933,248982,-34450,-3808,125677,,1607490.0,,,,-29780,505598,96068,19078,-36023,4100,-271705,-172626,132998,,0.0,686,-248879,-101814,,57256,94334,-299920,-452873,-319875,1287615,1057379,34450,-220042,-407234,465352,,-2468802,45642,-5742,,-2783571,,0,-4944.0,500163,-1501231,117475,1970880,65302,-282037,2933196,2651159,2651159,0.0,75683.0,18288.0,,-407974.0,799.0,46672.0,0.0,,,-303638.0,,0.0,,0.0,-325995.0,0.0,0.0,375117.0,5913.0,-1208.0,1533.0,,-59561.0,58.0,2650.0,-7858.0,3165000.0,,,,,,,,,,,,
1201,2014年01月01日至2014年09月30日,,573245,573245,,,880166,7824,-6086,192313,-25476,-8310,94446,,1134877.0,,,,-35638,-808310,-54843,17224,3345,-147911,-78662,187866,-1216040,,0.0,7331,437681,22026,,121994,89424,-19914,899305,-316735,818142,1391387,25476,-179762,-385189,851912,,-2104552,35312,-5207,,-2029404,,1131289,0.0,423391,-808187,192703,813187,-13704,-378009,2933196,2555187,2555187,0.0,0.0,-299111.0,,,,241971.0,0.0,170100.0,0.0,-303638.0,,,,0.0,,,,,7529.0,-1208.0,45043.0,,,,,,,,,,,,,,,,,,
1201,2014年01月01日至2014年06月30日,,618769,618769,,,580719,5242,581,127969,-17294,-6309,60505,,751413.0,,,0.0,-59422,-895190,-182465,13866,28359,-237949,-97966,206324,-1429957,,,4605,559537,36755,,-117663,46174,-12438,469449,-960508,-209095,409674,17294,-127279,-210591,89098,,-1126113,15849,-4769,,-1077684,,1549963,0.0,559246,-770955,196143,1622163,-46663,586914,2933196,3520110,3520110,0.0,0.0,-205514.0,,,,-46195.0,0.0,85100.0,,,,,,0.0,,,,,2666.0,-1326.0,37349.0,,,,,,,,,,,,,,,,,,
1201,2014年01月01日至2014年03月31日,,322605,322605,,,287376,2564,323,63683,-6849,-3640,27620,,371077.0,,,,1840,-289600,-11818,-810,56365,-179782,-232819,-20987,-730322,,0.0,11734,393492,9802,,-523752,65440,-6529,-57310,-787632,-416555,-93950,6849,-47543,-56405,-191049,,-736636,7146,-2334,,-832685,,753095,,96830,-30054,143,862182,-1536,-163088,2933196,2770108,2770108,0.0,,-52711.0,,,,-11848.0,,46100.0,,,,,,0.0,,,-145116.0,0.0,,4351.0,44255.0,-3932.0,,,,,,,,,,,,,,,,,
1201,2013年度,,1106612,1106612,,,1123854,7106,-1537,241190,-27320,-16891,69603,,1500536.0,,,,46330,238266,-107003,232988,-110058,-1017027,-257956,-190895,-1172190,,366.0,3019,-129976,7779,,395188,18059,-53863,256041,-916149,584387,1690999,27320,-243757,-578849,896512,,-2333856,210540,-7542,,-2622714,,861146,-105074.0,3922174,-3172129,416512,1638015,15215,-72972,3006168,2933196,2933196,154.0,110182.0,-6835.0,,0.0,799.0,44727.0,-127500.0,,,-303638.0,,-5805.0,,-82960.0,0.0,75930.0,-357326.0,0.0,19024.0,-29258.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1201,2013年01月01日至2013年12月31日,,1106612,1106612,,,1123854,7106,-1537,241190,-27320,-16891,69603,,1501335.0,,,,46330,238266,-107003,232988,-110058,-1017027,-257956,-190895,-1172190,,366.0,3019,-129976,7779,-29258.0,395188,18059,-53863,256041,-916149,585186,1691798,27320,-243757,-578849,896512,,-2333856,210540,-7542,,-2622714,,861146,-105074.0,3922174,-3172129,416512,1638015,15215,-72972,3006168,2933196,2933196,154.0,110182.0,-6835.0,,0.0,,44727.0,-127500.0,0.0,,-303638.0,799.0,-5805.0,0.0,-82960.0,0.0,75930.0,-357326.0,0.0,19024.0,,,,,,,,,,,,,,,,,,,,
