公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 存入保證金減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分按攤銷後成本衡量之金融資產,　　 處分子公司,　　 存出保證金增加,　　 處分無形資產,　　 其他籌資活動,　　 取得以成本衡量之金融資產,　　 其他投資活動,　　 短期借款增加,　　 應付短期票券增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 取得投資性不動產,　　 存入保證金增加,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資
1558,2016年01月01日至2016年09月30日,,812041,812041,,,143415,37533,-559,17885,3170,-10785,5944,0.0,-2327,195769,,,-593495,6011,2124,-5739,14767,-6844,-32798,-615974,,-9856,108001,-39905,-1622,-7252,49366,-566608,-370839,441202,10785,-244514,207473,,0,,-120389,12733,-206.0,-14479,-257174,,-1899188,-1175000,,-3170,-199558,-52497,-301756,2297958,1996202,1996202,,0.0,,,-8554.0,0.0,,2106083.0,1355000.0,-575088.0,0.0,-71871.0,359.0,1493.0,-62962.0
1558,2016年01月01日至2016年06月30日,,482735,482735,,,96440,24901,1461,1848,1649,-7419,6588,0.0,-1817,123651,,,-260102,-8272,-115089,4462,12811,-467,-14208,-380865,,-7434,30404,-31943,-1411,-5410,-15794,-396659,-273008,209727,7419,-138018,79128,,0,,-98271,12226,4476.0,-10126,-163566,,-1355000,-635000,,-1649,148240,-32833,30969,2297958,2328927,2328927,,0.0,,,-8554.0,,,1333083.0,815000.0,,,-71871.0,360.0,,
1558,2016年01月01日至2016年03月31日,,123634,123634,,,48601,12368,0,196,719,-2662,1851,,3480,64553,,,232139,6502,-149934,178,32678,-251,-9517,111795,,-2835,21684,-48534,66,-3613,-33232,78563,143116,266750,2662,-13704,255708,,0,,-56604,9986,-107.0,-7611,-54336,,-670000,-140000,,-719,119281,-14172,306481,2297958,2604439,2604439,,,,,,,,710000.0,220000.0,,,,,,
1558,2015年度,,1137247,1137247,,,200686,60985,12814,3314,1260,-11647,2185,-2870.0,4573,271300,,,157946,28797,52919,7436,-945,63263,-85342,224074,,-64218,-59313,-22093,-1376,-8979,-155979,68095,339395,1476642,11647,-247411,1240878,,1468,0.0,-161428,1447,,-23122,-202373,,-1440000,-90000,0.0,-1260,-326951,-863,710691,1587267,2297958,2297958,,2480.0,-4122.0,0.0,-8554.0,-19096.0,0.0,1670000.0,90000.0,-544974.0,-2163.0,,,,
1558,2015年01月01日至2015年09月30日,,908700,908700,,,150145,48235,12814,3330,388,-7786,1576,-2870.0,6273,212105,,,-461198,25861,51052,6990,-26751,63267,-69174,-409953,,-52299,39569,-55847,-9295,-8442,-86314,-496267,-284162,624538,7786,-224928,407396,,1468,0.0,-133093,1435,123.0,-21548,-168231,,0,0,0.0,-388,-126084,12316,125397,1587267,1712664,1712664,,2480.0,,0.0,-8554.0,-19096.0,0.0,400000.0,30000.0,-544974.0,-2168.0,,,,
1558,2015年01月01日至2015年06月30日,,414758,414758,,,98197,33316,12814,1134,0,-5306,1571,-2870.0,1040,139896,,,-214858,7629,-11176,7084,9612,65418,-38623,-174914,,-12973,-65273,-60787,6368,-3323,-135988,-310902,-171006,243752,5306,-145664,103394,,1468,,-138295,1436,25.0,-12659,-145545,,0,0,0.0,0,-8554,-9147,-59852,1587267,1527415,1527415,0.0,2480.0,0.0,0.0,-8554.0,,,,,,,,,,
1558,2015年01月01日至2015年03月31日,,153496,153496,,,46630,16382,344,2382,0,-1856,252,0.0,2555,66689,,,167948,13774,-136727,2592,28535,62199,-23768,114553,,-3182,-89331,-71032,-3884,-2068,-169497,-54944,11745,165241,1856,-28463,138634,,14,0.0,-110585,1318,12.0,-9072,-118313,,0,0,0.0,0,0,-3923,16398,1587267,1603665,1603665,,,,,,,,,,,,,,,
1558,2014年度,,1076779,1076779,,,158550,41093,509,1839,420,-13029,18831,-2331.0,9386,215268,,,-231951,-35347,10584,-21464,-37475,-66242,-61855,-443750,,-610,84108,26272,8445,-1263,116952,-326798,-111530,965249,13029,-175958,802320,,77,2961.0,-457086,18046,,-22814,-462646,,-462530,-100000,-1947.0,-420,-937117,20404,-577039,2164306,1587267,1587267,,0.0,-2007.0,34.0,-9776.0,0.0,-1857.0,182530.0,0.0,-544974.0,0.0,,,,
1558,2014年01月01日至2014年09月30日,,789990,789990,,,110772,26283,509,-5176,146,-10649,10841,-2331.0,2500,132895,,,-706965,-8673,-44099,-7920,-47818,163,-72354,-887666,,17048,212538,17380,-3683,-59,243224,-644442,-511547,278443,10649,-158590,130502,,1535,2961.0,-418820,14088,1202.0,-9976,-409906,,-280000,-100000,-1947.0,-146,-936843,1658,-1214589,2164306,949717,949717,,0.0,,34.0,-9776.0,0.0,-930.0,0.0,0.0,-544974.0,0.0,,,,
1558,2014年01月01日至2014年06月30日,,415312,415312,,,73107,15437,509,-5849,146,-9226,1872,-2331.0,2710,76375,,,-10722,-8331,-54986,-3920,-53574,-198110,-27885,-357528,,1133,86469,-484,12095,511,99724,-257804,-181429,233883,9226,-91766,151343,,1535,,-311590,13847,0.0,-8568,-301787,,-280000,-100000,-1947.0,-146,-391869,-12207,-554520,2164306,1609786,1609786,2961.0,0.0,-6.0,34.0,-9776.0,,,,,,,,,,
