公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 發放現金股利,　　 非控制權益變動,　　 取得採用權益法之投資,　　 現金增資,　　 對子公司之收購（扣除所取得之現金）,　　　　 未實現外幣兌換損失（利益）,　　　　　 其他營業資產（增加）減少,　　 應付短期票券減少
1590,2016年01月01日至2016年09月30日,,2396363,2396363,,,564745,12020,27906,-35017,102616,-20820,7795,-538585,0.0,2362,335038,,,-179013.0,-842076,-9483,-158756,53360,-1142756,,41967.0,74390,150769,-4972,-28369,233785,-908971,-573933,1822430,21287,-103717,-598766,1141234,,-5768579,5016586,-5566,2437,0,-1075071,1047273,-15364,11860,-11986,0.0,-900033,,849973,,0,-408610,-203698,-50775,-13272,2083830,2070558,2070558,72011.0,-510462.0,-94599.0,,,-101623.0,140005.0,-6788.0,-40000.0
1590,2016年01月01日至2016年06月30日,,1431718,1431718,,,374383,7801,21515,-22851,63808,-15054,5243,-176139,,1601,283716,,,-67591.0,-771537,-46213,6647,-35710,-914404,,19118.0,69806,97332,-15835,361,170782,-743622,-459906,971812,16056,-64658,-267983,655227,,-2915875,2361411,-5661,2479,0,-670910,237281,-6183,4420,-4057,,-1098718,,709380,0.0,0,-230377,479003,41500,77012,2083830,2160842,2160842,23409.0,,,,,-101623.0,,,
1590,2016年01月01日至2016年03月31日,,611635,611635,,,177768,3894,3612,-10306,25568,-9453,2288,1139,12236.0,808,207554,,,44845.0,-170670,150,-17233,-39580,-182488,,24401.0,-52043,-52093,-1771,177,-81329,-263817,-56263,555372,9423,-25475,-119495,419825,,-1353373,1121486,-2578,2503,0,-230810,6203,-2764,3552,-4031,0.0,-459812,,138723,0.0,0,-5853,132870,-32673,60210,2083830,2144040,2144040,,,,,,,,,
1590,2015年度,,1839576,1839576,,,630925,15649,45443,-30606,88953,-27848,11559,8354,0.0,3222,761527,,,-2766.0,-356507,99708,-179755,-96236,-535556,,38055.0,-39892,22181,50766,-972,70138,-465418,296109,2135685,27814,-86028,-551180,1526291,,-5848462,5645744,-68781,125803,100000,-2467544,14508,-18063,9416,-22280,0.0,-2529659,,859188,-30000.0,1195120,-23073,1172176,270301,439109,1644721,2083830,2083830,15876.0,-818400.0,-10659.0,0.0,0.0,,,,
1590,2015年01月01日至2015年09月30日,,1489598,1489598,,,461236,11936,44007,-22049,64286,-20600,11182,1856,0.0,2410,563766,,,68691.0,-478817,84513,-69636,-106466,-501715,,50773.0,-73838,2354,24108,634,4031,-497684,66082,1555680,21878,-62407,-406862,1108289,,-4476770,4265118,-68585,125446,100000,-1920582,13839,-14226,7898,-15276,0.0,-1983138,,999332,-15000.0,860000,-17257,998016,218978,342145,1644721,1986866,1986866,9502.0,-818400.0,-10659.0,,,,,,
1590,2015年01月01日至2015年06月30日,,1075597,1075597,,,298106,8351,28139,-13034,40299,-15394,7723,1931,,1603,359836,,,,-329872,137027,-102960,-74436,-370241,,,14346,31035,37191,423,82995,-287246,72590,1148187,16155,-38495,-325167,800680,,-2824681,2916788,-68229,85036,100000,-1372394,11655,-12646,4109,-15426,0.0,-1175788,,514571,-20000.0,560000,-11482,1043089,-40419,627562,1644721,2272283,2272283,2112.0,,,,,,,,
1590,2015年01月01日至2015年03月31日,,366869,366869,,,147648,2798,15599,-6892,19885,-7311,2784,4297,67.0,808,179683,,,163068.0,-72648,-50141,-158788,-56085,-174594,,3609.0,-11523,-22185,-9089,493,-38695,-213289,-33606,333263,7392,-17778,-140239,182638,,-1595326,1879595,-63268,48456,100000,-870342,6081,-4927,702,-4082,-19402.0,-522513,,307341,0.0,480000,-5729,781612,12807,454544,1644721,2099265,2099265,,,,,,,,,
1590,2014年度,,2388542,2388542,,,539605,11251,-1381,-18223,69265,-18228,4532,4966,0.0,3150,646589,,,-252593.0,-225217,41064,-216499,-79186,-732431,,-7892.0,-38038,-9550,60356,-5673,-797,-733228,-86639,2301903,15381,-68450,-717070,1531764,,-4071342,3451904,-193349,131359,0,-2518198,9397,-8522,6175,-41897,-151644.0,-3386117,,2240812,-60000.0,1708347,-802842,2001508,27872,175027,1469694,1644721,1644721,51652.0,-1074150.0,-10659.0,0.0,0.0,,,,
1590,2014年01月01日至2014年09月30日,,1862962,1862962,,,396059,8174,20629,-9089,65572,-12909,3739,4571,0.0,2348,479680,,,-314013.0,-329246,43801,-183824,-97797,-881079,,2044.0,-62813,606,1604,-147,-58706,-939785,-460105,1402857,10812,-54231,-484379,875059,,-2209225,1412320,-166043,89249,0,-2310725,14882,-2068,1716,-31177,0.0,-3201071,,2168921,-20000.0,1708638,-797099,1975651,-17127,-367488,1469694,1102206,1102206,586.0,-1074150.0,-10659.0,,,,,,
1590,2014年01月01日至2014年06月30日,,1335784,1335784,,,255278,5270,15014,-3328,38479,-8381,2430,2885,,1569,309216,,,,-735551,53109,-148502,-62419,-893363,,,-17232,-76434,20742,363,-72561,-965924,-656708,679076,5760,-36882,-327904,320050,,-861737,663044,-110948,0,0,-2008423,6855,-3520,0,-29807,0.0,-2344536,,921621,-30000.0,1708638,-791378,1808881,10785,-204820,1469694,1264874,1264874,0.0,,,,,,,,
1590,2014年01月01日至2014年03月31日,,540093,540093,,,126895,2285,-14018,-1509,17505,-4286,1473,102,9884.0,796,139127,,,-135098.0,-126044,14163,-148251,-4920,-400150,,-2696.0,-47011,-42265,6024,194,-85754,-485904,-346777,193316,3582,-16566,-141436,38896,,-243760,245735,-67064,0,0,-820570,4175,0,120,-14785,0.0,-896149,,576274,20000.0,0,0,596274,9405,-251574,1469694,1218120,1218120,,,,,,,,,
