公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分採用權益法之投資,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　　 應付票據－關係人增加（減少）,　　 取得不動產、廠房及設備,　　 其他金融資產增加,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　　 其他應付款－關係人增加（減少）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 其他項目,　　 取得投資性不動產,　　 預付設備款增加,　　 發放現金股利,　　 處分不動產、廠房及設備,　　 取得無形資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　 匯率變動對現金及約當現金之影響,　　 應付短期票券增加
1442,2016年01月01日至2016年09月30日,,640879,640879,,,1421,209,-10080,18874,-463,,,,,,-1909,-246725,29,,1873074,58752,-12,-32493.0,1650716,,-30437,103693,-7140,240786,376,-577555,-44668,,-314652,1336064,1343382,1984261,478,997.0,-17643,-20262,1947831,,-3750.0,,-19613.0,,,-20000,,1018000,-1434493,-6722,883650,-2331880,,-1740429,187402,521663,709065,709065,-997.0,,-120.0,,-1646.0,293.0,,,,,-243984.0,3660.0,-177.0,,7318.0,0.0,,,375000.0
1442,2016年01月01日至2016年06月30日,,140912,140912,,,950,136,-8480,13483,-408,,,,,,-108,-81216,29,,-793127,-4181,-1053,-20573.0,-900229,,-22890,302803,-7140,82166,772,78573,154,,434795,-465434,-462376,-321464,408,977.0,-10961,-11520,-342560,,-3750.0,,-20247.0,,,-20725,,623000,-955194,-4484,846245,-594425,,290142,-73143,521663,448520,448520,-977.0,,-120.0,-91.0,-1646.0,357.0,,,,,,3660.0,-177.0,,3058.0,0.0,,,375000.0
1442,2016年01月01日至2016年03月31日,,13791,13791,,,477,63,-4720,1577,-12,,,,,,-850,7467,24,,-120072,-17694,-853,-10170.0,-142148,,-22612,-171589,-7140,-8885,-97,37004,2259,,-170513,-312661,-315276,-301485,12,,-2194,-3566,-307233,,-3750.0,,-20247.0,,,-24092,,323000,-532144,-2242,60190,-61347,,162457,-168868,521663,352795,352795,,,0.0,,,547.0,,,,,,,-95.0,,-2615.0,,,,375000.0
1442,2015年度,,619905,619905,,,1949,179,2848,2105,-1540,-69.0,,,,,15889,3148,37,,-1179831,-50456,2,599125.0,-612086,,15997,479275,-32458,28388,4255,47581,72942,,615250,3164,6066,625971,1524,997.0,-2106,-72230,554156,,0.0,,-3261.0,,,-162061,,2153864,-2593674,790378,808390,-807687,,-99256,292839,228824,521663,521663,-997.0,0.0,-265.0,-166070.0,-1573.0,-730.0,,,,,-450527.0,8430.0,-964.0,,2902.0,-30000.0,30069.0,0.0,
1442,2015年01月01日至2015年09月30日,,478540,478540,,,1460,118,1727,426,-879,,,,,,10943,3505,-28,,-1135653,-50279,-1203,357671.0,-815044,,-1981,691712,-10266,35558,3853,73019,6481,,797910,-17134,-16851,461689,879,996.0,-426,-59124,404014,,0.0,,-3412.0,,,-26211,,2203430,-2103565,-2147,538780,-463069,,-277098,100705,228824,329529,329529,-996.0,0.0,-265.0,,-1573.0,-466.0,,,,,-450527.0,8430.0,-964.0,,283.0,-30000.0,,,
1442,2015年01月01日至2015年06月30日,,384004,384004,,,968,57,1727,288,-855,,,,,,5179,10835,54,,-730503,-33311,-1067,147544.0,-601269,,10437,617955,660,25494,649,23373,839,,679371,78102,77737,461741,855,977.0,-288,-45399,417886,,,,-1960.0,0.0,,-24631,,299127,-648525,-2147,346940,-237647,,-242252,151003,228824,379827,379827,-977.0,0.0,-137.0,,-1573.0,-36.0,,,,,,8430.0,-964.0,,-365.0,-30000.0,,,
1442,2015年01月01日至2015年03月31日,,41798,41798,,,484,10,877,146,-438,,,,,,1827,11429,43,,-677031,-21044,201,-47501.0,-732076,,18675,513636,0,4067,977,189036,3818,,730789,-1287,-208,41590,28,,-146,-3832,37640,,,,,0.0,,-137,,199128,-336474,-1212,232760,-71385,,22817,60320,228824,289144,289144,,0.0,-137.0,,0.0,580.0,,,,,,0.0,,,1079.0,,,,
1442,2014年度,,484593,484593,,,2003,65,-7349,881,-1347,0.0,0.0,-16793.0,,,-11589,4215,304,,-1985110,-40612,-7524,-240431.0,-2280747,,-32070,377791,31408,-63885,771,404315,-8942,,696258,-1584489,-1601282,-1116689,1347,552.0,-610,-129747,-1245147,,-5000.0,0.0,,0.0,,23096,,1984685,-906977,-6223,1442580,-508779,0.0,1149001,-73050,290874,217824,217824,-552.0,-13860.0,-123.0,0.0,-10494.0,730.0,,,,0.0,-856285.0,28333.0,-114.0,,,,,,
1442,2014年01月01日至2014年09月30日,,328519,328519,,,1522,50,-14433,727,-598,0.0,0.0,-23778.0,,,-300,16120,369,0.0,-1659592,-26427,-482,-129471.0,-1799783,,-8216,189625,20580,-39806,64,295846,-4552,,439681,-1360102,-1383880,-1055361,598,552.0,-461,-123859,-1178531,,-5000.0,0.0,,0.0,,23096,,1873045,-666985,-4728,1053160,-261835,0.0,1136372,-19063,290874,271811,271811,-552.0,-13860.0,-123.0,0.0,-10494.0,0.0,,,,,-856285.0,28333.0,-114.0,,,,,,
1442,2014年01月01日至2014年06月30日,,278023,278023,,,1033,34,2463,579,-587,0.0,0.0,-7298.0,,,-22028,15450,369,0.0,-1110509,-22217,-4303,-36025.0,-1179263,,-5947,57006,20475,150393,-308,104415,-7480,,304694,-874569,-881867,-603844,587,326.0,-310,-83508,-686749,,0.0,0.0,,95.0,,28305,,726742,-396985,-3232,710150,-225220,0.0,811455,153011,290874,443885,443885,-326.0,-13860.0,-123.0,0.0,-10494.0,,,,,,,28333.0,,,,,,,
