公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付設備款減少,　　 短期借款增加,　　 發放現金股利,　　 處分不動產、廠房及設備,　　 其他非流動資產減少,　　　　 處分投資損失（利益）,　　 預付投資款增加,　　 短期借款減少,　　 對子公司之收購（扣除所取得之現金）,　　 取得備供出售金融資產
2731,2016年01月01日至2016年09月30日,,291332,291332,,,65291,2089,-3914,328,-5866,-821,53622,,,16323,93393,-239749,4239,-125794,,70887,392097,-112375,8635,381,-847,358778,232984,286606,577938,5866,-328,-112576,470900,,0,-124533,-41934,,-7496,0.0,10358,-18,-13235.0,-227525,,-19500,2036,0,24050,-340414,301,-96738,2811445,2714707,2714707,,0.0,-322000.0,3140.0,,-3485.0,,-25000.0,-6797.0,-47010.0
2731,2016年01月01日至2016年06月30日,,215293,215293,,,42521,1240,-4983,290,-5808,0,29775,,,-24954,13163,-382343,-7517,-401651,,88038,544743,-37663,466557,2729,-568,1063836,662185,691960,907253,5808,-290,-63508,849263,,0,-107024,-38282,,-7502,0.0,3711,0,-2280.0,-157671,,-13000,1828,0,24050,-12122,16191,695661,2811445,3507106,3507106,,,,79.0,424.0,-3485.0,,-25000.0,-6797.0,
2731,2016年01月01日至2016年03月31日,,90884,90884,,,20635,580,-1456,208,-1903,0,14579,,,-19303,50160,-66666,1531,-34278,,23758,114354,-57566,105272,-722,-291,184805,150527,165106,255990,1903,-208,-2645,255040,,0,-32001,-9861,0.0,0,0.0,7392,-1063,-18474.0,-78965,,-6500,687,0,24047,-6766,205,169514,2811445,2980959,2980959,,,,42.0,,-3485.0,-25000.0,-25000.0,,
2731,2015年度,,546566,546566,,,92491,3624,6673,1025,-11636,10351,102528,,,28118,-5619,-115083,-6433,-99017,,-23769,149752,61434,101177,-823,-1402,286369,187352,289880,836446,11636,-1025,-89615,757442,,-5000,-94074,-49366,,-182,-31737.0,0,-2287,-8848.0,-191363,,-26000,0,-524,12515,-283009,-5978,277092,2534353,2811445,2811445,,25000.0,-294000.0,131.0,0.0,,,,,
2731,2015年01月01日至2015年09月30日,,499337,499337,,,70368,2865,3315,802,-8683,6749,75416,,,41714,-74173,-154430,-4578,-191467,,42408,304128,40720,12464,7398,-932,406186,214719,290135,789472,8683,-802,-57235,740118,,-5000,-50570,-45360,0.0,-182,-9452.0,0,-2047,-6439.0,-119050,,-19500,0,-560,6000,-303060,-16605,301403,2534353,2835756,2835756,0.0,5000.0,-294000.0,,,,,,,
2731,2015年01月01日至2015年06月30日,,377906,377906,,,46969,2008,165,565,-4234,4612,50085,,,28951,-52261,-249987,-8229,-281526,,41110,467671,90555,322776,190,-626,921676,640150,690235,1068141,4234,-565,-40044,1031766,,-5000,-33934,-59412,,-169,,-9325,-884,,-108724,,-13000,0,-507,6000,-7507,-13506,902029,2534353,3436382,3436382,0.0,,,,,,,,,
2731,2015年01月01日至2015年03月31日,,162219,162219,,,23478,1108,-1,306,-1689,2432,25634,,,28054,118703,-126385,-7506,12866,,4222,108256,-13871,81592,1111,-335,180975,193841,219475,381694,1689,-306,-136,382941,,-5000,-8376,-15215,0.0,-12,-9573.0,0,-477,-1842.0,-40495,,-6500,0,-534,6000,-1034,-3250,338162,2534353,2872515,2872515,,,,,,,,,,
2731,2014年度,,469815,469815,,,98226,6122,7127,1667,-8791,-1058,103293,,,-21299,-141025,-320200,368,-482156,,31538,90883,40814,393181,985,2085,559486,77330,180623,650438,8791,-1667,-98442,559120,,0,-100229,-688,,-4790,0.0,60320,0,-2048.0,-24577,,-26000,765,0,0,-305235,-325,228983,2305370,2534353,2534353,,0.0,-280000.0,21820.0,1038.0,,,,,
2731,2014年01月01日至2014年09月30日,,401313,401313,,,74368,4985,2102,1318,-6067,85,76791,,,-20098,-174185,-305402,-3478,-503163,,39093,362954,42523,204973,2078,-1524,650097,146934,223725,625038,6067,-1318,-97169,532618,,0,-68626,0,4064.0,-197,0.0,58127,-1802,0.0,-4103,,-19500,216,0,0,-299284,64,229295,2305370,2534665,2534665,4331.0,0.0,-280000.0,,,,,,,
2731,2014年01月01日至2014年06月30日,,235869,235869,,,50184,3497,1273,924,-3919,5,51964,,,8464,-185807,-286019,-2369,-465731,,52384,296405,46553,468609,238,-990,863199,397468,449432,685301,3919,-924,-60446,627850,,0,-57750,-10348,,-121,,56725,-1721,,-7791,,-13000,164,0,0,-12836,505,607728,2305370,2913098,2913098,5424.0,,,,,,,,,
