公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 未實現銷貨利益（損失）,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 處分以成本衡量之金融資產,　　 處分不動產、廠房及設備,　　 預付設備款增加,　　 員工執行認股權,　　　　 利息費用,　　　　 股利收入,　　 因合併產生之現金流入,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 現金增資,　　 以成本衡量之金融資產減資退回股款,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 存出保證金增加,　　 存入保證金增加,　　　　　 持有供交易之金融資產（增加）減少,　　 其他非流動資產增加,　　　　　 其他營業負債增加（減少）,　　 停業單位稅前淨利（淨損）
4108,2014年01月01日至2014年03月31日,,-39184,-39184,,,7745,5392,91,-39,-2969,0,-18,0.0,10202.0,,,8108,-16554,154,-28365,-10015,-1647,65980,0.0,17661,,0,40703,-17323,422,-31.0,28.0,23799,41460,51662,12478,2969,0.0,0.0,0.0,-307,15140,,-40000.0,53147.0,0.0,0.0,0.0,-1116,0,30,10881,,0.0,0,-61.0,25960,94217,120177,120177,,,,,,,,,-1180.0,,,,,,,,,,,,,,,,,
4108,2013年度,,-192239,-192239,,,29920,18345,-58,86,-11339,16,-42125,-1436.0,4942.0,,,-18877,20677,-174,-39392,-4879,1210,104585,,63150,,-1807,-8072,-6800,2388,-142.0,-1740.0,-16173,46977,51919,-140320,11475,6613.0,,,-948,-123180,,-606474.0,615342.0,-111349.0,59566.0,0.0,-10222,-11272,258,-91748,,,196799,-5.0,-18134,112351,94217,94217,-44.0,18190.0,,,,,2388.0,600.0,-3610.0,34999.0,,-6613.0,,-71840.0,44865.0,161800.0,0.0,,,,,,,,,
4108,2013年01月01日至2013年12月31日,,-192239,-192239,,,29920,18345,-58,86,-11339,16,-42125,-1436.0,4942.0,,,-18877,20677,-174,-39392,-4879,1210,104585,0.0,63150,,-1807,-8072,-6800,2388,-142.0,-1740.0,-16173,46977,51919,-140320,11475,6613.0,0.0,,-948,-123180,,-606474.0,615342.0,-111349.0,59566.0,0.0,-10222,-11272,258,-91748,,0.0,196799,-5.0,-18134,112351,94217,94217,-44.0,18190.0,,,,,2388.0,600.0,-3610.0,34999.0,0.0,-6613.0,0.0,-71840.0,44865.0,161800.0,,,,,,,,,,
4108,2013年01月01日至2013年09月30日,,-67057,-67057,,,22320,13281,-5,-322,-8488,0,-41239,-1436.0,-22546.0,,,993,-9324,-2437,-56911,-4716,-4335,357225,0.0,280495,,-1512,-13467,-20551,411,-107.0,-998.0,-36224,244271,221725,154668,8734,6613.0,0.0,,-856,169159,,-462000.0,321396.0,-111349.0,59566.0,0.0,-8798,-11166,211,-214595,,6011.0,34999,15.0,-10422,112351,101929,101929,-44.0,0.0,,,,169159.0,0.0,600.0,-3055.0,28988.0,0.0,-6613.0,0.0,,,,0.0,,,,,,,,,
4108,2013年01月01日至2013年06月30日,,-21677,-21677,,,14830,8841,80,-43,-6122,0,-41049,-1436.0,-24932.0,,,-28628,7984,-1000,-41648,-10648,-1948,427225,0.0,351337,,-1762,-2685,-24667,379,-71.0,-1171.0,-29977,321360,296428,274751,6275,,,,-633,280393,,-447000.0,162259.0,-86974.0,59566.0,0.0,-6251,-8095,53,-326935,,13357.0,32598,-10.0,-13954,112351,98397,98397,-33.0,0.0,0.0,,,280393.0,0.0,114.0,-607.0,19241.0,,,,,,,,,,,,,,,,
4108,2013年01月01日至2013年03月31日,,7878,7878,,,7359,4414,464,48,-3208,0,-41005,-1436.0,-33364.0,,,-22689,4698,-279,-25110,7184,-182,-18000,0.0,-54378,,-1807,-6108,-29309,398,-35.0,294.0,-36567,-90945,-124309,-116431,3208,0.0,0.0,0.0,-312,-113535,,-82000.0,123207.0,0.0,59566.0,0.0,-463,-7913,43,92440,,19241.0,19241,-3.0,-1857,112351,110494,110494,,,,,,,,,,,,,,,,,,,,,,,,,,
4108,2012年01月01日至2012年12月31日,,-111977,-111977,,,9230,11649,196,-86,-3354,-5296,-18560,0.0,-2256.0,,,-27581,-8373,2461,-53095,18735,-1457,-1195524,5515.0,-1259319,,1812,4822,2848,-51,-74.0,-637.0,8720,-1250599,-1252855,-1364832,2725,2593.0,-170.0,,-208,-1359892,,-1355000.0,1525967.0,-143365.0,181521.0,-527.0,-25855,-9257,-168,123689,,11101.0,1239392,-1274.0,1915,110436,112351,112351,41.0,6347.0,,,,,175.0,48.0,-14115.0,14477.0,170.0,-2593.0,1928.0,-37663.0,0.0,1213814.0,,,,,,,,,,
4108,2012年01月01日至2012年09月30日,,-76178,-76178,,,6890,10731,-156,-179,-1829,1183,-17869,0.0,-1119.0,,,-5327,-6700,2500,-38643,24227,-1619,33016,179.0,7633,,1545,4782,-12587,64,-55.0,-1308.0,-7559,74,-1045,-77223,1829,2593.0,-58.0,,-204,-73063,,-207000.0,288902.0,-143365.0,181521.0,-527.0,-15330,-9679,1350,92921,,10866.0,14476,-192.0,34142,110436,144578,144578,41.0,2604.0,,,,-73063.0,175.0,38.0,-5092.0,3610.0,58.0,-2593.0,1928.0,,,,,,,,,,,,,
4108,2012年01月01日至2012年06月30日,,-55265,-55265,,,4271,5509,-141,-114,-1245,887,2360,0.0,12131.0,,,-18746,1314,2418,-5196,7627,-220,5781,72.0,-6950,,280,-12969,-16907,10,-37.0,-2786.0,-32409,-39359,-27228,-82493,1245,,,,-147,-81395,,-71000.0,251412.0,-145310.0,68476.0,-527.0,-15216,-14402,10,70362,,180.0,3610,-87.0,-7510,110436,102926,102926,0.0,604.0,0.0,,,-81395.0,175.0,0.0,-3256.0,3430.0,,,,,,,,,,,,,,,,
4108,2012年01月01日至2012年03月31日,,-26507,-26507,,,2119,2964,-114,-52,-705,444,-205,0.0,4451.0,,,-23646,17259,988,-3747,4087,-2,0,140.0,-4921,,0,-11287,-6794,-128,0.0,-1688.0,-19897,-24818,-20367,-46874,705,0.0,0.0,0.0,0,-46169,,0.0,209912.0,-145310.0,0.0,-527.0,-16192,-10236,0,37647,,3429.0,3429,-157.0,-5250,110436,105186,105186,,,,,,,,,,,,,,,,,,,,,,,,,,
