公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　　　　 應收票據－關係人（增加）減少,　　 退還（支付）之所得稅,　　 處分備供出售金融資產,　　　　 股利收入,　　 收取之股利,　　 取得備供出售金融資產,　　 發放現金股利,　　 取得無活絡市場之債券投資,　　　 收益費損項目,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分無活絡市場之債務工具投資,　　 取得無活絡市場之債務工具投資,　　 其他應付款－關係人增加
1460,2016年01月01日至2016年09月30日,,360803,360803,,,380926,,1558,37269,-1292,1024,22917,,,,3878,-234740,1379,-31030,-156407,-8935,-425855,,-33274,7593,83158,-43193,8730,72590,-1631,,61003,-364852,78656,439459,1323,-37704,346771,,-532986,3594,-11871,2816,,-538447,,4786481,-4610058,2296921,-2546662,1160000,-739167,1539,-3447,-4379,-53218,-249273,939835,690562,690562,0.0,,-56307.0,0.0,,,0.0,-349986.0,,,1106.0,443508.0,-32970.0,0.0,,
1460,2016年01月01日至2016年06月30日,,239584,239584,,,250828,,95,25722,-1247,1003,12917,,,,-7166,-3427,1490,-21021,-156201,-8354,-194679,,-32836,-4857,8999,-26257,-16872,25629,37692,,-41549,-236228,53090,292674,1281,-22580,247543,,-361965,3594,-21043,12344,,-367070,,2784372,-2899531,1647634,-1947579,660000,-435000,80,-860,-190884,-21701,-332112,939835,607723,607723,0.0,,-23832.0,0.0,,,0.0,,,,0.0,289318.0,-33047.0,0.0,,
1460,2016年01月01日至2016年03月31日,,131676,131676,,,123884,,-900,13907,-483,672,5313,,,,14751,-205973,1443,-7839,-9993,22061,-185550,,-12637,-8056,27108,-10639,-44784,16256,-1979,,-35720,-221270,-78877,52799,497,-12218,41039,,-173743,3650,-10961,3,,-181051,,1533879,-1557915,898496,-1148388,410000,-172500,30,-760,-37158,-9193,-186363,939835,753472,753472,0.0,,-39.0,0.0,,,,,,,0.0,142393.0,-989.0,,,
1460,2015年度,,517873,517873,,,483197,,0,37018,-785,7327,7765,,,,6249,-67410,-89,20535,-40694,-9915,-91324,,19607,968,9801,34809,5177,15266,-5708,,85542,-5782,516958,1034831,773,-36696,996350,,-804872,44209,-1251,2839,,-517475,,3568119,-3480821,4543979,-4444067,590000,-400000,3560,-3108,223074,-13730,688219,251616,939835,939835,-6498.0,,-2558.0,277355.0,-6522.0,6522.0,-72217.0,-306238.0,,,1238.0,522740.0,5622.0,29940.0,0.0,151650.0
1460,2015年01月01日至2015年09月30日,,311423,311423,,,361961,,0,25419,-384,6685,7765,,,,16228,-110223,-657,30598,102748,-8926,29768,,34840,-12460,-39691,28438,-20277,-14416,-7892,,-26819,2949,398335,709758,405,-26151,681462,,-655993,6322,-1056,1807,,-656093,,1874789,-1773875,3795669,-3595755,340000,-225000,2696,-3108,109178,-4911,129636,251616,381252,381252,-10560.0,,-2550.0,35104.0,,,-72217.0,-306238.0,,,4500.0,395386.0,4639.0,29940.0,,
1460,2015年01月01日至2015年06月30日,,204172,204172,,,242606,,0,16619,-296,5191,5941,,,,-17338,99684,-1256,50815,147835,8031,287771,,1255,-1790,-83147,-3648,-60457,-62942,-15410,,-224275,63496,323765,527937,317,-16352,510018,,-415893,3975,-262,1792,,-417561,,1065476,-893249,2397204,-2497227,200000,-200000,1757,-1768,72193,-32269,132381,251616,383997,383997,-10560.0,,-1884.0,35104.0,,,-72217.0,,,,768.0,260269.0,1864.0,29940.0,,
1460,2015年01月01日至2015年03月31日,,126538,126538,,,122004,,0,8369,-214,2418,2941,,,,17262,-93383,1416,31120,111145,986,68546,,826,-9452,-56184,7581,-56437,-58165,5933,,-163198,-94652,30636,157174,214,-8278,149110,,-180971,2490,-251,938,,-142690,,461355,-425440,1098546,-1048569,50000,-25000,110,-1023,109979,-10916,105483,251616,357099,357099,-10560.0,,,35104.0,,,,,,,330.0,125288.0,2700.0,,,
1460,2014年度,,439507,439507,,,494648,0.0,-1001,34894,-690,5462,75956,590586.0,,,-21802,-157666,9527,-22342,-154001,55139,-291145,,-33857,12130,-65897,-33904,55845,-39089,5077,4815.0,-94880,-386025,204561,644068,669,-34580,609753,,-716443,7978,-14553,4383,,-802688,,1572585,-1534334,2895673,-2895694,1150000,-1093363,3324,-4605,6089,49456,-137390,389006,251616,251616,-12172.0,,-404.0,38764.0,-6511.0,6511.0,-99388.0,-87497.0,-29940.0,,,,,,,
1460,2014年01月01日至2014年09月30日,,252624,252624,,,376106,0.0,-1913,26650,-452,3819,48220,440258.0,,,-18491,-101670,-1684,-17948,-174476,43476,-271399,,16253,2820,-98731,-42317,56110,-49896,-4837,2364.0,-118234,-389633,50625,303249,453,-26294,277110,,-352230,8482,-7860,4588,,-407644,,9739676,-9698635,2096882,-2097038,1000000,-918363,2575,-3930,33670,16217,-80647,389006,308359,308359,-12172.0,-606.0,-298.0,38764.0,,,-99388.0,-87497.0,,,,,,,,
1460,2014年01月01日至2014年06月30日,,163724,163724,,,252854,0.0,-2400,17995,-369,-1774,43462,297596.0,,,-30742,58701,6202,-8674,-111172,32712,-53670,,11025,2193,-101545,-20649,10220,-64639,1800,139.0,-161456,-215126,82470,246194,370,-18041,228227,,-195767,5958,-6495,325,,-157215,,5998914,-5949579,1048411,-1398115,850000,-747530,1001,-1195,-198093,78,-127003,389006,262003,262003,-12172.0,-697.0,-296.0,38764.0,,,,,,,,,,,,
1460,2014年01月01日至2014年03月31日,,87980,87980,,,128285,0.0,-2400,9197,-53,-1081,22865,154973.0,,,-15986,-21119,-4066,-37178,-95335,49210,-124474,,-7060,-2028,-52173,-31128,-58991,-13811,4301,-2264.0,-163154,-287628,-132655,-44675,20,-10174,-54829,,-92059,2310,-6092,25,,-92934,,2831575,-2799726,599130,-799067,750000,-485030,901,-451,97332,17020,-33411,389006,355595,355595,-1840.0,,,2882.0,,,,,,,,,,,,
1460,2013年度,,229911,229911,,,531948,488.0,-1090,39840,-756,2555,32268,601083.0,,,41922,-199617,-7669,34421,-182991,-5582,-319516,,-77114,-70059,161298,34494,-29959,33554,1845,4809.0,58868,-260648,340435,570346,787,-40000,531078,,-266589,1237,-2007,388,,-238351,,3119797,-3194490,4994741,-4595151,1810000,-2476151,3754,-2309,-339809,-7275,-54357,443363,389006,389006,-1460.0,,-55.0,25910.0,-2710.0,2710.0,0.0,0.0,0.0,,,,,,,
1460,2013年01月01日至2013年12月31日,,229911,229911,,,531948,488.0,-1090,39840,-756,2555,32268,601083.0,,,41922,-199617,-7669,34421,-182991,-5582,-319516,,-77114,-70059,161298,34494,-29959,33554,1845,4809.0,58868,-260648,340435,570346,787,-40000,531078,,-266589,1237,-2007,388,,-238351,,5370801,-5445494,4994741,-4595151,1810000,-2476151,3754,-2309,-339809,-7275,-54357,443363,389006,389006,-1460.0,,-55.0,25910.0,-2710.0,2710.0,,,,,,,,,,
1460,2013年01月01日至2013年09月30日,,144372,144372,,,402717,488.0,2,30863,-506,1233,14819,448973.0,,,18873,-217467,-13486,28361,-253431,33061,-404089,,-102847,-69881,70827,72055,-6291,-21515,8673,2919.0,-46060,-450149,-1176,143196,537,-30382,113340,,-114622,1175,-543,264,-72433.0,-186159,,3848975,-3801981,3795930,-3396472,1199871,-1793492,3354,-1909,-145724,-5861,-224404,443363,218959,218959,-643.0,,-11.0,0.0,,,,,,,,,,,,
1460,2013年01月01日至2013年06月30日,,121044,121044,,,269981,488.0,-433,21707,-490,621,14819,306050.0,,,15702,-129083,-3118,44573,-201079,40084,-233966,,-27660,-23207,90902,63080,-6480,15905,1088,987.0,114615,-119351,186699,307743,521,-21415,286838,,-65080,576,-29,134,-29484.0,-93883,,3281379,-3220203,2547346,-2247841,699871,-1462212,3163,-1828,-400325,26943,-180427,443363,262936,262936,-643.0,-1045.0,-11.0,0.0,,,,,,,,,,,,
1460,2013年01月01日至2013年03月31日,,75161,75161,,,134160,387.0,423,11521,-273,496,4819,151533.0,,,25994,-168031,-8293,21913,-90103,58128,-160392,,9442,-71386,13113,24568,-23326,-9963,-14403,2015.0,-69940,-230332,-78799,-3638,273,-10107,-13472,,-33247,577,-28,104,-24204.0,-56798,,2334404,-2005556,1198735,-899001,699871,-1330932,1126,-1828,-3181,41934,-31517,443363,411846,411846,,,,,,,,,,,,,,,,
1460,2012年01月01日至2012年12月31日,,578227,578227,,,554803,3749.0,3183,49449,-810,17937,37981,661659.0,,,-22500,77367,4853,6015,-223565,-92580,-250410,,-22896,42881,-42043,-108723,-7838,31552,5013,13504.0,-88550,-338960,322699,900926,810,-51926,849672,,-332870,17458,-1807,117,,-312462,,5628322,-5587602,4077415,-4227278,8854744,-9157706,4926,-2814,-409993,-52010,75207,368156,443363,443363,-5.0,,-138.0,12.0,-4628.0,4628.0,,,,,,,,,,
1460,2012年01月01日至2012年09月30日,,583786,583786,,,418209,3211.0,4767,37930,-476,4292,11213,479141.0,,,2935,-29430,-6978,-45399,-225948,13866,-290954,,-39787,5587,-15486,-42692,-42745,10022,9913,10011.0,-105177,-396131,83010,666796,476,-37930,629342,,-233770,32663,-1806,86,-79155.0,-281971,,4719672,-4576854,3028087,-3128035,6855899,-7127693,4172,-2814,-227566,-19875,99930,368156,468086,468086,-5.0,,0.0,11.0,,,,,,,,,,,,
1460,2012年01月01日至2012年06月30日,,577229,577229,,,278659,1275.0,2956,25952,-352,430,4789,313704.0,,,-17033,60947,2963,-19601,-137366,26574,-83516,,-52002,22743,-16702,-71940,-57893,21825,11187,6935.0,-135847,-219363,94341,671570,352,-26166,645756,,-133751,23411,-1734,86,-62293.0,-174270,,3415432,-3426131,2098685,-2348607,4157498,-4273515,978,-715,-376375,-9344,85767,368156,453923,453923,-5.0,0.0,0.0,11.0,,,,,,,,,,,,
1460,2012年01月01日至2012年03月31日,,541087,541087,,,139807,638.0,622,13570,-97,575,2886,158001.0,,,9160,16062,-2814,-23188,-17190,18624,654,,-8732,15764,18600,-72034,-50254,-8018,4548,4201.0,-95925,-95271,62730,603817,97,-13103,590811,,-37193,2870,-1388,0,-15279.0,-50990,,1655516,-1651001,1499103,-1549028,1899235,-2089000,2010,-150,-233315,-11981,294525,368156,662681,662681,,,,,,,,,,,,,,,,
