公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 金融資產減損迴轉利益,　　　　　 負債準備增加（減少）,　　 收取之股利,　　 以成本衡量之金融資產減資退回股款,　　 其他投資活動,　　 短期借款減少,　　　　 非金融資產減損迴轉利益,　　　　　 應收票據－關係人（增加）減少,　　 發放現金股利,　　 庫藏股票處分,　　　　 金融資產減損損失
2530,2016年01月01日至2016年09月30日,,516405,516405,,,2422,0,21320,-5178,0,-1335,15190,27090,,,458521,-65486,0,-1805,1641633,77851,0,-139768,1970946,,5214,-151170,-17654,-1900825,-14638,-5103,-2084176,-113230,-86140,430265,5399,-21424,-24186,394885,,2433.0,-1000,0,119641.0,0,127465,,76040.0,0,-25997,0,,0,-383161,-15190,123999,312200,436199,436199,-4831.0,-498.0,0.0,4831.0,6335.0,56.0,0.0,0.0,0.0,-433204.0,0.0,
2530,2016年01月01日至2016年06月30日,,536188,536188,,,1609,0,13126,-3841,0,0,1293,11664,,,817181,-89148,0,42,1566816,77466,0,-148769,2223588,,1035,-133442,-17013,-1873120,-5440,-5064,-2033044,190544,202208,738396,4086,-13510,-22574,706867,,,-832,0,119638.0,0,124092,,0.0,0,-17313,400,0.0,0,-201773,-1293,627893,312200,940093,940093,-469.0,-54.0,0.0,469.0,5230.0,56.0,-184860.0,,,,,
2530,2016年01月01日至2016年03月31日,,576232,576232,,,805,0,6732,-2170,0,0,0,5008,,,195098,-112933,-11128,-22999,1567053,77088,-21,-178034,1514124,,0,-101600,15998,-1869912,-7022,-5024,-1967560,-453436,-448428,127804,2400,-7094,-23174,100295,,0.0,0,0,119648.0,0,119648,,0.0,0,-8647,100,0.0,0,-385317,0,-165374,312200,146826,146826,-359.0,,,359.0,,,-376770.0,,,,,
2530,2015年度,,721009,721009,,,3217,13,37346,-4821,52,0,251,32837,,,-766085,-12004,-13,-32,1314503,126717,0,410960,1074046,,-1500,210233,30583,435459,17787,-84,692551,1766597,1799434,2520443,4501,-39124,-35931,2452822,,,-136,-2790,,0,1455,,,0,-2231597,34,,150000,-2217639,-251,236387,75813,312200,312200,-2933.0,,73.0,2933.0,4381.0,0.0,-149200.0,-1188.0,,,13124.0,900.0
2530,2015年01月01日至2015年09月30日,,39579,39579,,,2416,13,24264,-2689,29,0,265,20178,,,-193590,11354,-36978,0,-346198,7968,0,331553,-239867,,1275,100047,-7076,976256,22962,-62,1093402,853535,873713,913292,2691,-24645,-5938,887750,,0.0,0,-1301,0.0,0,3080,,0.0,0,-758571,34,,0,-555843,-265,334722,75813,410535,410535,-2350.0,-582.0,0.0,2350.0,4381.0,0.0,189570.0,-1188.0,-13976.0,0.0,13124.0,
2530,2015年01月01日至2015年06月30日,,-32851,-32851,,,1612,13,14806,-1798,29,0,277,12978,,,-79872,10184,-13,0,-313243,-15504,0,145741,-252707,,-1500,8230,-8619,160860,15603,-41,174533,-78174,-65196,-98047,1785,-14819,-664,-110810,,0.0,0,0,0.0,0,3434,,184840.0,0,-17164,0,0.0,0,167676,-277,60023,75813,135836,135836,-935.0,-1026.0,0.0,935.0,3434.0,0.0,0.0,,,,,
2530,2015年01月01日至2015年03月31日,,-14684,-14684,,,806,13,7420,-751,29,0,0,7517,,,-2462,8837,-13,-4,-159521,-9033,0,65116,-97080,,-1500,14504,-6600,77894,43,-21,84320,-12760,-5243,-19927,748,-7388,-72,-26639,,0.0,0,0,0.0,0,0,,38410.0,0,-8573,0,0.0,0,29837,0,3198,75813,79011,79011,,,,,,,,,,,,
2530,2014年度,,-184927,-184927,,,2966,-9757,29529,-5344,136,49130,242,64770,,,108139,9900,-114,10000,-450955,-41299,0,-40255,-404584,,1500,-562,-9460,591067,-75,-100,582457,177873,242643,57716,6173,-29622,-1322,35077,,,-4993,-119473,,-1152,-114017,,,18500,-33263,556,,-5,-98312,-242,-177494,253307,75813,75813,-2132.0,,87.0,2132.0,5694.0,5907.0,-84100.0,0.0,,,0.0,0.0
2530,2014年01月01日至2014年09月30日,,-95591,-95591,,,2166,-10000,21739,-4241,95,-15,917,8529,,,103487,20236,129,553,-328759,-42465,1,-66135,-312953,,35,-9673,29345,450900,191,-77,470721,157768,166297,70706,4885,-69742,-500,7481,,461.0,-4768,-119510,0.0,-1152,-119274,,0.0,0,-24793,556,,-5,-97642,-917,-210352,253307,42955,42955,-2132.0,0.0,0.0,2132.0,5695.0,0.0,-73400.0,0.0,0.0,0.0,0.0,
2530,2014年01月01日至2014年06月30日,,-59142,-59142,,,1380,-10000,14042,-3154,95,-15,-2090,258,,,-14444,18940,129,10000,-239883,-38581,1,-80118,-343956,,4247,-14037,19337,299566,582,-39,309656,-34300,-34042,-93184,2773,-46300,-289,-137000,,461.0,-4220,-119510,0.0,-1152,-124421,,69100.0,0,-16514,516,0.0,0,53102,2090,-206229,253307,47078,47078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
