公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 負債準備增加（減少）,　　　　 處分投資損失（利益）,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 發放現金股利,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 其他預付款項減少,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他預付款項增加,　　 處分無活絡市場之債務工具投資
1702,2016年01月01日至2016年06月30日,,969265,969265,,,334464,-4057,-144,55476,-47759,-782,,,,,22351,-112068,174680,-63828,-67738,-142533,-189136,,-60,19830,-47591,41743,,3454,-267600,-456736,-119538,849727,47759,-54967,-234971,607548,,-1280671,9621,,26699.0,-996400,,4582812,-5823710.0,94960,857615,-561864,0.0,-20445.0,-870632,-47761,-1307245,5330938,4023693,4023693,1090.0,,,,,,337198.0,-286066.0,,-1943.0,144.0,,249750.0
1702,2016年01月01日至2016年03月31日,,423752,423752,,,162898,-2843,-146,27603,-22978,971,,,,,37037,117257,13550,72860,-179198,3779,65285,,0,5156,-192503,59095,,16702,-399208,-333923,-168418,255334,22978,-27094,-129622,121596,,-532263,21365,,9011.0,-923492,,2598382,-3356842.0,49964,598467,-386596,0.0,-5114.0,-501739,-103680,-1407315,5330938,3923623,3923623,1090.0,,,,,,165505.0,-288748.0,-416498.0,,146.0,-5253.0,
1702,2015年度,,1741041,1741041,,,656829,2565,50,150460,-94068,6485,0.0,,,,-28716,1004,110394,253830,3756,-6396,333872,,-959,57921,259203,27365,,67278,413325,747197,1469518,3210559,94068,-149951,-444452,2710224,,-1408065,14902,0.0,26109.0,-1609435,,10893563,-10643489.0,49973,1272609,-1067923,15267.0,0.0,-171563,-60175,869051,4461887,5330938,5330938,0.0,0.0,0.0,0.0,-691563.0,,722321.0,2517.0,-249750.0,7369.0,,,
1702,2015年01月01日至2015年09月30日,,1251898,1251898,,,471955,-2893,997,111335,-65481,2804,0.0,,,,-51373,-309083,146456,220604,-113724,-142724,-249844,,-537,61066,276355,19618,,39474,395544,145700,664417,1916315,65481,-113059,-361457,1507280,,-804441,10070,0.0,133322.0,-661049,,8351721,-7745421.0,14994,1119807,-900065,36657.0,,186130,38611,1070972,4461887,5532859,5532859,0.0,0.0,0.0,0.0,-691563.0,,518717.0,-432.0,,,,,
1702,2015年01月01日至2015年06月30日,,863648,863648,,,327994,-6207,168,76227,-45545,2522,0.0,,,,-15450,-28918,19127,124668,66872,-2676,163623,,-280,125315,48065,27569,,7392,205355,368978,724137,1587785,45545,-77951,-271055,1284324,,-525181,8692,0.0,136474.0,-380015,,51607,,10000,891843,-1077527,40459.0,0.0,-83618,16396,837087,4461887,5298974,5298974,0.0,,,,,,355159.0,-2706.0,,,,,
1702,2015年01月01日至2015年03月31日,,368199,368199,,,168610,4471,-392,37440,-17750,1430,0.0,,,,-12035,19839,29359,64344,30826,-72986,59347,,-161,-34425,-49827,13084,,24653,-48528,10819,204628,572827,17750,-39164,-84933,466480,,-231472,5187,0.0,14577.0,-211708,,214856,,10006,954906,-983942,11896.0,,207722,-5105,457389,4461887,4919276,4919276,,,,,,,193809.0,-1852.0,,,,,
1702,2014年度,,1578603,1578603,,,609544,368,-2803,125961,-47373,4392,20000.0,684159.0,,,-28353,54112,43122,-75207,-101610,-45697,-153633,,1055,17773,45156,6502,3311.0,40181,115803,-37830,646329,2224932,47373,-124188,-441113,1707004,,-2078746,50597,-168987.0,,-2122980,,1460002,,55043,4165804,-2909591,0.0,-5624.0,2124455,232433,1940912,2520975,4461887,4461887,1825.0,-25930.0,43490.0,30666.0,-641179.0,,,,,,,,
1702,2014年01月01日至2014年09月30日,,1170577,1170577,,,446126,7179,-2703,94313,-31705,1486,1399.0,490165.0,,,-64417,-344649,60349,-69593,-125937,-108189,-652436,,36,131352,68220,2668,1747.0,14036,219884,-432552,57613,1228190,31705,-96403,-335367,828125,,-1536284,40842,-65412.0,,-1486698,,1977468,,194978,3289157,-3098653,4780.0,,1726551,45992,1113970,2520975,3634945,3634945,1825.0,-25930.0,43490.0,30666.0,-641179.0,,,,,,,,
1702,2014年01月01日至2014年06月30日,,768375,768375,,,298300,3376,-3577,54934,-20080,1161,1399.0,335513.0,,,-18545,-104655,4125,145701,-257029,-70984,-301387,,0,56407,21488,-14403,-438.0,28711,93590,-207797,127716,896091,20080,-54934,-221769,639468,,-525169,15237,-4080.0,,-514012,,618246,,90024,960634,-819054,,-2322.0,847528,-30022,942962,2520975,3463937,3463937,1825.0,,,,,,,,,,,,
1702,2014年01月01日至2014年03月31日,,310955,310955,,,155969,1871,-3460,26472,-9058,-171,1399.0,173022.0,,,10644,129417,12573,162973,-67025,-76098,172484,,0,72297,-249995,-6576,76.0,31606,-152592,19892,192914,503869,9058,-28418,-67669,416840,,-266685,13244,-27184.0,0.0,-280625,,189165,0.0,40009,100000,-163658,29789.0,0.0,195305,13309,344829,2520975,2865804,2865804,,,,,,,173022.0,76.0,,,,,
