公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付短期票券減少,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　 其他投資活動,　 匯率變動對現金及約當現金之影響,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款
1560,2015年度,,706041,706041,,,356979,-415,0,-986,5715,6700,54584,422577.0,,,19343,59332,231,114083,754,2023,195766,,-4949,-20340,268,-15598,-65512.0,-106131,89635,512212,1218253,0,-174913.0,1043340,,-8104.0,9828,0.0,21071.0,12194.0,-437116,1813,-11982.0,0.0,-412296,,0,70003.0,0.0,0,-578100.0,-508097,122947,438469,561416,561416,,,,,,,
1560,2015年01月01日至2015年09月30日,,564836,564836,,,270557,874,0,-543,5420,6700,39028,322036.0,,,3229,-19227,195,81449,-3432,-606,61608,,24787,-23622,590,-15195,-20568.0,-34008,27600,349636,914472,0,-174358.0,740114,,-5060.0,9828,0.0,31176.0,0.0,-314898,1370,-13157.0,0.0,-290741,,130000,,20003.0,0,-578100.0,-428097,21276,438469,459745,459745,,,,,,,
1560,2015年01月01日至2015年06月30日,,376705,376705,,,180570,776,362,-257,4504,6700,10410,203065.0,,,-2529,-23694,228,104232,-14692,782,64327,,19386,37269,393,-15013,-13726.0,28309,92636,295701,672406,-365,-100688.0,571353,,-5060.0,2083,0.0,25936.0,0.0,-163005,1084,-234124.0,0.0,-373086,,-100000,,-29997.0,0,,-129997,68270,438469,506739,506739,0.0,,,,,,
1560,2015年01月01日至2015年03月31日,,182977,182977,,,90007,-414,358,315,2136,1500,4303,98205.0,,,-6272,36284,-567,52616,-7637,2111,76535,,8332,-38303,197,-16548,-6842.0,-53164,23371,121576,304553,-361,-332.0,303860,,-3036.0,14668,,0.0,,-135397,514,-11813.0,0.0,-135064,,-100000,0.0,-29997.0,0,,-129997,38799,438469,477268,477268,0.0,0.0,0.0,,,,
1560,2014年度,,822421,822421,,,362403,89201,665,-4867,-8751,37900,62196,538747.0,,,-1082,-72620,-76,-83644,34538,-3143,-126027,,-12689,24466,274,12279,-29602.0,-5272,-131299,407448,1229869,-730,-100635.0,1128504,,-7073.0,2043,-3015.0,30920.0,7986.0,-489337,10284,0.0,113.0,-448079,,-192092,0.0,-39964.0,0,-465300.0,-697356,-16931,455400,438469,438469,,,,,538747.0,-29602.0,-7073.0
1560,2014年01月01日至2014年09月30日,,621817,621817,,,265818,85498,850,-4866,-8931,14000,60706,413075.0,,,-281,-131983,-76,-132092,25424,125,-238883,,21410,-11412,583,4801,-22822.0,-7440,-246323,166752,788569,-682,-100109.0,687778,,-2017.0,0,-1499.0,29487.0,2922.0,-406172,9984,0.0,77.0,-367218,,37908,,30039.0,0,-465300.0,-397353,-76793,455400,378607,378607,,,,,,,
1560,2014年01月01日至2014年06月30日,,426732,426732,,,168989,-7295,0,-3619,-671,6000,9010,215641.0,,,3596,-156298,130,-77369,19522,-180,-210599,,19087,44405,388,3932,-15883.0,51929,-158670,56971,483703,0,-51063.0,432640,,-2017.0,0,0.0,2979.0,2144.0,-262249,6834,0.0,69.0,-252240,,-2893,,-69961.0,0,,-72854,107546,455400,562946,562946,43227.0,,,,,,
1560,2014年01月01日至2014年03月31日,,184314,184314,,,79445,2891,0,-1564,0,4000,4833,94233.0,,,-6002,-72528,151,-15447,-13742,389,-107179,,4698,-10502,194,-1373,-6554.0,-13537,-120716,-26483,157831,0,0.0,157831,,0.0,0,,0.0,,-180494,772,0.0,79.0,-179643,,-13193,10.0,0.0,0,,-13183,-34995,455400,420405,420405,4628.0,0.0,0.0,,,,
1560,2013年度,,642997,642997,,,390543,-4256,291,79899,-744,32900,28100,,,,33765,-62656,-104,-226283,-5804,43,-261039,,23694,109816,73,-3958,,80372,-180667,346066,989063,-223,-103409.0,885431,,,475824,0.0,0.0,2008.0,-722823,7725,-222505.0,0.0,-748844,,292092,,69961.0,34,-380700.0,-18613,117974,337426,455400,455400,,,,,526733.0,-49253.0,-289073.0
1560,2013年01月01日至2013年12月31日,,642997,642997,,,390543,-4256,291,79899,-744,32900,28100,,,,33765,-62656,-104,-226283,-5804,43,-261039,,23694,109816,73,-3958,,80372,-180667,346066,989063,-223,-103409.0,885431,,,475824,0.0,,2008.0,-722823,7725,-222505.0,,-748844,,292092,,69961.0,34,-380700.0,-18613,117974,337426,455400,455400,,,,,526733.0,-49253.0,-289073.0
