公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 取得不動產及設備,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 央行及同業融資減少,　　 附買回票券及債券負債增加,　　 附買回票券及債券負債減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　　　 攤銷費用,　　　　 非金融資產減損損失,　　 處分不動產及設備,　　 央行及同業融資增加,　　　　 非金融資產減損迴轉利益,　　 取得無活絡市場之債務工具投資,　　 發放現金股利,　　 庫藏股票買回成本,　　　　 股份基礎給付酬勞成本,　　　　 金融資產減損損失,　　 員工購買庫藏股
2809,2016年01月01日至2016年09月30日,,4190609,4190609,,,36561,161504,1005367,-4713739,17256,-369825,-3856755,,,-116684,2327460,-145010,-1654924,-3795616,0,-49,103875,-3280948,,-5341953,106590,427259,1858494,50000,-49795,23871,-2925534,-6206482,-10063237,-5872628,4664884,-988315,-497302,-2693361,,216285,-21942,194343,,-1585036,1512289,0,-938573,-103913,-3541504,37135428,33593924,4006646,25731203,3856075,0.0,0.0,0.0,0.0,,,-570617.0,-407090.0,6121.0,,111881.0
2809,2016年01月01日至2016年06月30日,,2669932,2669932,,,23639,105674,689176,-3172069,17241,-369825,-2703014,,,-67536,1988782,-326646,-3359928,-3639432,0,-854,158414,-5247200,,-4016892,157222,-180921,16251,50000,-38964,199651,-3813653,-9060853,-11763867,-9093935,3204911,-699003,-265769,-6853796,,102251,-12764,89487,,-3755656,3183415,0,-929772,-72332,-7766413,37135428,29369015,4058494,22506534,2803987,0.0,0.0,0.0,0.0,,,,-407090.0,3150.0,,49559.0
2809,2016年01月01日至2016年03月31日,,1241990,1241990,,,11351,99546,353083,-1583748,17230,-218479,-1318809,,,-39385,1419770,-152126,-2027043,-3463780,0,-185,184864,-4077885,,1393676,87329,410489,25680,30000,-11472,-24622,1911080,-2166805,-3485614,-2243624,1416044,-323673,-22518,-1173771,,98203,-5549,92654,,-1041686,1573529,0,124753,-70505,-1026869,37135428,36108559,7941070,24043759,4123730,0.0,,,,,,,-407090.0,2208.0,,
2809,2015年度,,4460562,4460562,,,46676,52633,1428961,-6508388,-78037,368937,-4687632,,,352420,-1389063,-276281,-2114196,-2563904,0,-96799,198859,-5888964,,4297027,-567181,-502181,10158766,0,-64317,122061,13444175,7555211,2867579,7328141,6393921,-1446329,-1177726,11098007,,397289,-39594,468212,,-541428,0,-11470597,-14786851,-31871,-3252503,40387931,37135428,8885252,24963010,3287166,,0.0,110517.0,0.0,,,-1801852.0,-972974.0,1586.0,0.0,
2809,2015年01月01日至2015年09月30日,,3563283,3563283,,,33166,109162,1079119,-4932456,-78037,-48571,-3837617,,,386426,-119182,-286835,-2371465,-1383367,0,262,367684,-3406477,,6476076,-484859,423800,4784881,0,-48506,74593,11225985,7819508,3981891,7545174,4711011,-1059422,-1160246,10036517,,385047,-25412,470152,,0,0,-9244184,-11121865,-29481,-644677,40387931,39743254,8923203,26019586,4800465,0.0,0.0,110517.0,394348.0,0.0,0.0,-1801852.0,-470177.0,,,
2809,2015年01月01日至2015年06月30日,,2924501,2924501,,,21212,119060,719578,-3289843,-175,-26152,-2456320,,,402778,-1254702,-57437,-3327448,-2533155,0,350,15806,-6753808,,7686529,-335238,-262932,4136750,0,-34753,122602,11312958,4559150,2102830,5027331,3245820,-736248,-805608,6731295,,590043,-17027,573266,,-804034,0,-6741592,-7545626,-55648,-296713,40387931,40091218,11201088,26404616,2485514,0.0,0.0,250.0,0.0,,,,,,,
2809,2015年01月01日至2015年03月31日,,1325579,1325579,,,10075,-10640,362645,-1675043,0,-53582,-1366545,,,-65451,-119634,-9494,-1192618,-1860143,0,-5643,85301,-3167682,,4799773,-289764,-270995,2661876,0,-15043,2362,6888209,3720527,2353982,3679561,1544352,-327939,-21919,4874055,,546804,-4342,542462,,-2022009,0,-3769058,-5791067,-29948,-404498,40387931,39983433,11651501,26149938,2181994,,,,,,,,,,,
2809,2014年度,,6033388,6033388,,,37069,114470,1378258,-6331857,-61263,-10784,-4865745,,,-1169661,-1788604,194781,-14102596,-16983303,83843,2592,-262569,-34025517,,-2582206,500856,597559,13643425,-1177,-57872,2908,12103493,-21922024,-26787769,-20754381,6458617,-1378813,-384493,-16059070,,2114969,-26597,2259154,,0,5249845,0,3991477,82291,-9726148,50114079,40387931,11865111,27750525,772295,,8362.0,170782.0,543484.0,,,-1801852.0,0.0,0.0,0.0,
2809,2014年01月01日至2014年09月30日,,4732724,4732724,,,26617,47308,1020482,-4705456,-53081,0,-3654360,,,-204069,-1347502,202978,-11193882,-10321900,72657,2945,88916,-22699857,,-3081910,55105,83843,9696043,-781,-47514,-74011,6630775,-16069082,-19723442,-14990718,4605477,-992315,-351552,-11729108,,0,-14622,1159121,,-1185668,8182027,0,5194507,22835,-5352645,50114079,44761434,14387405,30143814,230215,0.0,0.0,107965.0,0.0,9770.0,1065778.0,-1801852.0,0.0,,,
2809,2014年01月01日至2014年06月30日,,3412465,3412465,,,17386,72623,669371,-3080121,-52655,0,-2358896,,,-117135,-650385,188496,-6433641,-5039824,50011,2403,-17374,-12017449,,-2644224,-88833,-220259,5375313,-542,-34248,-93874,2293333,-9724116,-12083012,-8670547,3156904,-682164,-267155,-6462962,,1141162,-4090,1245037,,-393375,4653098,0,4259723,-19402,-977604,50114079,49136475,16088497,33047978,0,0.0,14500.0,107965.0,0.0,,,,,,,
