公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息收入,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他應收款增加
2901,2015年01月01日至2015年09月30日,,41727,41727,,,13595,0.0,-2934,0.0,10661.0,,,419,-19592,0,-1455,301,-20327,,-1,-2963,6097,602,-190,294.0,3839,-16488,-5827,35900,-5813.0,30087,,0,-194.0,-1125,5.0,3007,1693,,0,-31902.0,-31902,-122,340757,340635,340635,,,,,,
2901,2015年01月01日至2015年03月31日,,7902,7902,,,4525,,-921,,3522.0,,,964,-992,0,-858,963,77,,0,-1863,-784,170,-300,87.0,-2690,-2613,909,8811,,8811,,0,,-600,,818,218,,0,,0,9029,340757,349786,349786,-82.0,0.0,,,,
2901,2014年度,,43295,43295,,,17993,0.0,-3629,0.0,,,,1158,10,0,-288,-730,150,,-1,-1142,-211,70,-467,,-10267,-10117,4247,47542,-7732.0,39810,,0,0.0,-3095,,3451,378,,0,-27538.0,-27538,12650,328107,340757,340757,,22.0,,14364.0,-8516.0,
2901,2014年01月01日至2014年09月30日,,35782,35782,,,13474,0.0,-2684,0.0,10790.0,,,830,-14371,0,-2125,-1279,-16945,,-1,-4339,4812,355,-188,-5712.0,-5073,-22018,-11228,24554,-7476.0,17078,,0,0.0,-1958,-18.0,2671,695,,0,-27538.0,-27538,-9765,328107,318342,318342,,,,,,
2901,2014年01月01日至2014年03月31日,,7280,7280,,,4506,,-833,,3603.0,,,1486,-327,0,-989,-1315,-1145,,0,-633,-1104,169,-1004,-1054.0,-3626,-4771,-1168,6112,,6112,,0,,0,,698,722,,0,,0,6834,328107,334941,334941,-70.0,24.0,,,,
2901,2013年度,,43772,43772,,,19020,-506.0,-3409,15.0,,,,-1153,2255,0,-324,6421,7199,,-2,-2167,2301,-210,123,,-1766,5433,20553,64325,-7376.0,56949,,0,26.0,-3721,,3273,-422,,30,-31405.0,-31375,25152,302955,328107,328107,,0.0,,15120.0,-1811.0,
2901,2013年01月01日至2013年12月31日,,43772,43772,,,19020,-506.0,-3409,15.0,,,,-1153,2255,0,-324,6421,7199,,-2,-2167,2301,-210,123,,-1766,5433,20553,64325,-7376.0,56949,,0,26.0,-3721,,3273,-422,,30,-31405.0,-31375,25152,302955,328107,328107,,,,15120.0,-1811.0,
2901,2013年01月01日至2013年09月30日,,35779,35779,,,14491,-506.0,-2533,15.0,,,,-2642,-10126,0,-1932,5221,-9479,,-2,-4624,5558,74,389,,-517,-9996,1471,37250,-3749.0,33501,,0,26.0,-360,,2687,2353,,30,-31405.0,-31375,4479,302955,307434,307434,,,,11467.0,-1912.0,0.0
2901,2013年01月01日至2013年06月30日,,15691,15691,,,9764,-506.0,-1688,15.0,,,,-4131,571,0,-505,3603,-462,,-1,-462,660,140,795,,1129,667,4591,20282,,20282,,0,26.0,0,,1818,1844,,30,,30,22156,302955,325111,325111,-3661.0,,,3924.0,-3.0,
2901,2013年01月01日至2013年03月31日,,7853,7853,,,4955,,-766,,,,,969,380,0,-652,2272,2969,,-1,54,149,129,-340,,-113,2856,6958,14811,,14811,,0,,0,,866,866,,30,,30,15707,302955,318662,318662,-87.0,0.0,,4102.0,-104.0,
2901,2012年01月01日至2012年12月31日,,44422,44422,,,19902,0.0,-3161,0.0,,,,-10,-1304,49,432,1082,249,,-1,-2011,-168,20,475,,-3872,-3623,13118,57540,-8233.0,49307,,-59,0.0,-487,,3118,2572,,0,-28992.0,-28992,22887,280068,302955,302955,,,,16741.0,-2187.0,
2901,2012年01月01日至2012年09月30日,,36709,36709,,,14941,0.0,-2374,0.0,,,,328,-18023,49,-682,-609,-18937,,0,-7615,5458,306,38,,-3660,-22597,-10030,26679,-8065.0,18614,,-59,0.0,-487,,2546,2000,,0,-28992.0,-28992,-8378,280068,271690,271690,,,,12567.0,-1847.0,
2901,2012年01月01日至2012年06月30日,,15046,15046,,,9973,0.0,-1830,0.0,,,,-545,-87,-248,703,-1346,-1523,,0,-5521,-131,222,577,,-6359,-7882,-4339,10707,,10707,,-31,0.0,-457,,1412,924,,0,,0,11631,280068,291699,291699,-4600.0,,,3543.0,-1506.0,
2901,2012年01月01日至2012年03月31日,,7098,7098,,,4993,,-753,,,,,959,-63,32,-671,-3026,-2769,,0,-2710,295,94,-333,,-3819,-6588,-2422,4676,,4676,,-31,,-124,,743,588,,0,,0,5264,280068,285332,285332,-74.0,,,4166.0,-1165.0,
