公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 應付短期票券減少,　　 其他應付款－關係人增加,　　 處分子公司股權（未喪失控制力）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資,　　　　 其他項目,　　 其他非流動資產增加,　　 其他投資活動,　　　　 處分採用權益法之投資損失（利益）,　　 處分採用權益法之投資,　　　　　 應收票據－關係人（增加）減少,　　 其他金融資產減少,　　 其他籌資活動,　　　 收益費損項目,　　　　 收益費損項目合計
1475,2015年01月01日至2015年03月31日,,-22173,-22173,,,9209,1574.0,166,2558,-5,218,,,,6743,4027,,,103,-5226,-107,-249,5291,,-260,-536,1129,-2241,250,-147,-1805,3486,17206,-4967,5,-1509,0,-6471,,-73,2074,,7210.0,167.0,9378,,-2514,,0,-14585,,0,-17099,450,-13742,28567,14825,14825,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,13720.0
1475,2014年度,,-73309,-73309,,,39886,1207.0,137,11278,-1116,1807,53962.0,,,-6607,494,0.0,-1628.0,0,4494,-5950,66,-9131,,-92,-2455,-8210,0,8473,-1133,-3417,-12548,41414,-31895,1116,-9721,0,-40500,,-3998,488,682.0,14284.0,,12639,,12687,,40933,-20065,0.0,0,33555,-2328,3366,25201,28567,28567,0.0,,0.0,-29.0,0.0,717.0,-17.0,,75.0,1200.0,,,,,
1475,2014年01月01日至2014年09月30日,,-63082,-63082,,,30199,,-24,8229,-1068,604,38703.0,,,-3628,4210,0.0,-1575.0,-690,1458,-9908,80,-10410,,177,1553,1118,440,6609,1502,11399,989,39692,-23390,1068,-7573,0,-29895,,-3769,485,3215.0,,,11945,,-23411,,91414,-53427,,-28824,19772,2795,4617,25201,29818,29818,0.0,34020.0,0.0,-29.0,0.0,717.0,,428.0,75.0,1200.0,-357.0,10386.0,0.0,,
1475,2014年01月01日至2014年06月30日,,-44034,-44034,,,19155,,-17,5393,-1066,0,24228.0,,,-3513,5361,0.0,933.0,-785,8453,-7620,-122,2350,,466,-566,-3759,-2498,3300,145,-2912,-562,23666,-20368,1066,-2834,0,-22136,,-3260,0,-15.0,16680.0,0.0,14893,,-6391,,20000,-19092,0.0,-28824,-10287,7305,-10225,25201,14976,14976,0.0,24020.0,0.0,-29.0,,717.0,,288.0,75.0,1200.0,-357.0,,,,
1475,2014年01月01日至2014年03月31日,,-19242,-19242,,,9030,,-39,2730,-1055,0,10712.0,,,-330,10801,0.0,-2.0,531,6399,-3588,-589,13222,,2078,-11163,-6977,132,-76,-1338,-17344,-4122,6590,-12652,1055,-1344,0,-12941,,-2666,0,0.0,21783.0,0.0,20466,,-8390,,23500,-11802,0.0,-4908,-1600,2938,8863,25201,34064,34064,0.0,0.0,0.0,-29.0,,0.0,149.0,,75.0,1200.0,,,,,
1475,2013年度,,-155320,-155320,,,44851,0.0,-54,20465,-1297,13945,113894.0,,,-1388,13837,2935.0,1214.0,0,2255,-1183,1826,19496,,1383,3703,-8741,0,-1080,-2630,-7365,12131,126025,-29295,1289,-18374,-11,-46391,,-16401,15417,-2234.0,76000.0,,64535,,-154308,,86902,-25833,2203.0,-184623,-11777,-2150,4217,20984,25201,25201,-20000.0,,283882.0,-46.0,-1200.0,36030.0,-7047.0,,0.0,0.0,,,,,
1475,2013年01月01日至2013年12月31日,,-155320,-155320,,,44851,,-54,20465,-1297,13945,113894.0,,,-1388,13837,2935.0,880.0,334,2255,-1183,1826,19496,,1383,3703,-8741,0,-1080,-2630,-7365,12131,126025,-29295,1289,-18374,-11,-46391,,-16401,15417,-2234.0,76000.0,0.0,66738,,-154308,,86902,-25833,0.0,-184623,-13980,-2150,4217,20984,25201,25201,-20000.0,0.0,283882.0,-46.0,-1200.0,36030.0,-7047.0,2203.0,,,,,,,
1475,2013年01月01日至2013年09月30日,,-91000,-91000,,,32637,,-75,17409,-1116,14675,63480.0,,,-2748,25050,19.0,1327.0,851,3952,-4289,-2076,22086,,1738,9278,212,278,0,-5915,5591,27677,91157,157,1116,-20194,-56,-18977,,-20302,16286,-1472.0,49861.0,-352.0,42821,,-151975,,86902,-17600,2167.0,-184418,8958,-3384,29418,20984,50402,50402,-10000.0,0.0,283882.0,-50.0,-1200.0,,,,,,,,,,
1475,2013年01月01日至2013年06月30日,,-48096,-48096,,,22269,0.0,205,13164,-452,161,35347.0,,,-2167,17350,765.0,540.0,5,2203,-2155,-1142,15399,,82,-3441,-1977,-65,-1738,-1998,-9137,6262,41609,-6487,452,-12883,0,-18918,,-13070,7260,-1492.0,-19978.0,517.0,-26763,,-2054,,77466,0,2188.0,-13094,348146,-10519,291946,20984,312930,312930,-10000.0,9758.0,283882.0,,,,,,,,,,,,
1475,2013年01月01日至2013年03月31日,,-24918,-24918,,,10979,0.0,563,6392,-422,1523,19035.0,,,-536,10255,820.0,-102.0,69,-4526,-2184,-626,3170,,1973,5294,-1490,0,108,-1208,4677,7847,26882,1964,422,-5389,0,-3003,,-4858,4085,-1472.0,-4007.0,356.0,-5896,,-3604,10000.0,27595,0,2180.0,-13030,23141,-8122,6120,20984,27104,27104,,,,,,,,,,,,,,,
