公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 已實現銷貨損失（利益）,　　　　 其他項目,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 其他非流動資產減少,　　 發放現金股利,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 取得備供出售金融資產,　　 處分子公司,　　 其他非流動資產增加,　　 應付短期票券減少,　　 其他非流動負債增加,　　　　 股利收入,　　　　 處分其他資產損失（利益）,　　　　 非金融資產減損損失,　　 收取之股利,　　 處分採用權益法之投資,　　　　 買回應付公司債損失（利益）,　　 償還公司債,　　 取得以成本衡量之金融資產,　　 其他應付款－關係人增加,　　　　 處分投資性不動產損失（利益）,　　 發行公司債,　　 其他應付款－關係人減少,　　 其他非流動負債減少
2475,2014年01月01日至2014年09月30日,,-982588,-982588,,,5631730,335055,412340,18997,1631483,-269821,-3528,36732,90768,0,-189175,,7359042,,,102153,-266928,78357,700728,-96768,-1498481,-46715,-1027654,,167,48769,18252,251515,-810722,-203239,360040,11329,-851663,127789,-127770,,-1175533,-2203187,5155855,4173267,185491,-1589120,-487322,2282316,,361397,-12440006,5806340,-2763715,232867,,,-305370,-9141207,,52693826,-49980011,2444682,10867924,-2855030,,-5200,10435910,533540,4110559,13579147,17689706,17689706,,0.0,,,0.0,397756.0,0.0,,0.0,0.0,-232703.0,-3774870.0,10859.0,,-346305.0,9975.0,,,791.0,-1884941.0,-197773.0,1450000.0,0.0,1500000.0,-30000.0,-1329.0
2475,2014年01月01日至2014年06月30日,,526864,526864,,,3824765,223717,-1467,55544,1019763,-185247,-2853,-79631,24324,0,-123116,,4410224,,,80384,120947,-521205,859013,-22340,-619845,52275,-50771,,134,27829,43411,43239,-624352,-863299,312628,9742,-700032,13030,-80628,,-1818298,-1869069,2541155,3068019,152867,-1099488,-393280,1728118,,255054,-6786876,4289300,-1607989,116995,,,-136990,-3765775,,32331900,-32567649,1225740,8546253,-1995064,1479.0,0,5140818,59627,3162788,13579147,16741935,16741935,,0.0,,,0.0,393887.0,0.0,0.0,,,-95000.0,-3785992.0,10892.0,,-346305.0,,,,730.0,-76741.0,-194156.0,1450000.0,,,,
2475,2014年01月01日至2014年03月31日,,317844,317844,,,1920553,111517,-1194,-19815,452993,-82012,674,-369,12023,0,-70038,,1978757,,,-168433,-1019690,8272,835402,-6099,-512035,-60779,-923362,,43,106414,51009,72759,-241785,-288651,162881,13237,-396605,6694,-33024,,-547028,-1470390,508367,826211,74779,-576852,-109497,214641,,207279,-6804470,2943878,-790026,10293,,,-73193,-4234762,,22384589,-16523541,0,8574427,-318695,468.0,0,10243079,556776,6779734,13579147,20358881,20358881,,,,,,359300.0,,,,,-87823.0,-3808386.0,10958.0,,-346305.0,,,,730.0,-76741.0,,,,,,
2475,2013年01月01日至2013年12月31日,,-3953307,-3953307,,,9839965,899408,-8387,339972,1726025,-301247,1168701,-50791,55507,-2947,1020510,,14278827,,,-101450,-634907,557517,-1100565,-8230,201367,727480,-358788,,-133,182080,-137593,-1581515,-587312,658119,-11528,-437494,-358636,-58175,-131956,,-2464143,-2822931,11455896,7502589,307222,-1496974,-621743,5694179,,75567,-10277306,7503161,-3398002,75125,,,-212884,-2294467,,57850336,-56566386,3799039,2381065,-9308591,0.0,-41851,-3325995,431168,504885,13074262,13579147,13579147,,-1498470.0,0.0,,1556521.0,432719.0,-319718.0,,-8340.0,1882631.0,-145650.0,-1308740.0,188851.0,-3085.0,0.0,1093666.0,3085.0,221991.0,,,,,,,,
2475,2013年01月01日至2013年09月30日,,-4235109,-4235109,,,7872137,671310,63387,-47873,1270629,-189352,196703,-55460,41993,-2947,3313425,,11635482,,,-40186,-237535,530787,-95516,-7601,-212102,367288,305135,,293,287420,-111411,-1611018,-320775,-252367,-148231,-424507,-312482,65714,-98328,,-2925692,-2620557,9014925,4779816,196950,-1080316,-437197,3459253,,0,-8465962,5097956,-2159030,65038,,,-217318,-3044855,,44963362,-43383320,3785255,2232790,-5650381,0.0,-30496,533033,108310,1055741,13074262,14130003,14130003,,-1498470.0,0.0,,1556521.0,63819.0,-319718.0,,-8340.0,1033094.0,-10633.0,-1205783.0,141324.0,,,,,,,,,,,,,
2475,2013年01月01日至2013年06月30日,,-5071030,-5071030,,,5544191,436413,1217,-28360,843478,-124905,131689,-51976,27549,-2947,3646974,80.0,8924933,,,-18197,442296,624283,74609,10549,232358,477355,1843253,,134,234625,-102385,-1227978,-95949,600401,-133628,-435325,342254,65891,-65605,,-702353,1140900,10065833,4994803,80300,-695174,-195043,4184886,,19906,-5250715,1423686,-1881975,42762,,49294.0,-129214,-4005392,,29977466,-28090876,3538161,287784,-3510578,0.0,-39352,1848796,789367,2817657,13074262,15891919,15862857,0.0,-1498470.0,0.0,115212.0,1556521.0,164343.0,-313809.0,29062.0,,,,,,,,,,,,,,,,,,
2475,2013年01月01日至2013年03月31日,,-1892274,-1892274,,,2748139,215872,722,-42421,404862,-66299,63887,-9195,13589,-1473,0,-1042.0,3326641,,,-18912,743987,20693,63266,-4962,606117,35958,1446147,,28,370907,-83661,-657032,-7299,-690156,-2457,-23768,534516,-12339,-33188,104581.0,-499868,946279,4272920,2380646,67564,-348716,-44192,2055302,,0,-1911487,460489,-759370,20016,-360.0,0.0,-102864,-2293576,,15666168,-15670894,3470761,256732,-294878,0.0,-154,3427735,597762,3787223,13074262,16861485,16861485,,,,,,,,,,,,,,,,,,,,,,,,,,
2475,2012年01月01日至2012年12月31日,,-11075614,-11075614,,,12733103,906360,-78475,41214,1573933,-364817,242049,-118980,64511,-5893,-69390,,14818673,,,173502,-643335,159131,99096,-465685,526145,88277,-62758,,7707,-187209,137593,-1357252,-1094643,858632,128661,56844,2234781,143127,-159153,,769088,706330,15525003,4449389,389817,-1458512,-448588,2943944,,175197,-1703670,2016087,-5786157,499650,,,-1537541,-6144329,,53726016,-50108338,1151755,3649413,-5817694,24852.0,0,2145792,120749,-933844,14008106,13074262,13074262,,0.0,111.0,,0.0,281924.0,-480212.0,,-42906.0,0.0,-46913.0,0.0,0.0,-11838.0,-93104.0,0.0,11838.0,0.0,,,,,,,,
2475,2012年01月01日至2012年09月30日,,-9395269,-9395269,,,9925772,676336,-78739,-14074,1162701,-303590,39002,21429,39375,-4420,-61811,,11401981,,,177770,-1121572,73384,-41891,111714,586025,117049,-97407,,7632,-191911,0,-1452824,-893905,-343020,271748,73055,2513198,110068,-167350,,-73309,-170716,11231265,1835996,329094,-1087183,-322878,755029,,141001,-1389049,971405,-4912972,64604,,,-223367,-5375568,,38606870,-33421780,1150517,1689560,-2983580,6387.0,0,4578194,-50637,-92982,14008106,13915124,13915124,,0.0,114.0,,0.0,12319.0,-469780.0,,0.0,0.0,-39509.0,0.0,0.0,,,,,,,,,,,,,
2475,2012年01月01日至2012年06月30日,,-6447316,-6447316,,,6875727,458620,-20357,-2485,760620,-103897,1419,56154,25243,-2946,-45002,0.0,8003096,,,179703,-176499,32566,25218,43111,-294461,-16339,-206587,,6686,-198546,70961,-1189032,-924711,-798628,1099029,59020,2049158,236050,-118741,,291246,84659,8087755,1640439,129948,-717814,-216503,836070,,69941,-550200,775751,-3340492,51292,,931.0,-140493,-3133270,,27589357,-25919335,0,1108789,-2986579,6027.0,0,-683806,-427542,-3408548,14008106,10599558,10599558,0.0,0.0,114.0,0.0,0.0,0.0,-482065.0,0.0,,,,,,,,,,,,,,,,,,
