公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 無活絡市場之債務商品投資到期還本,　　 處分不動產、廠房及設備,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 發放現金股利,　　　　 利息費用,　　　　　 其他營業資產（增加）減少,　　 支付之利息,　　 短期借款增加,　　 短期借款減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本
3617,2015年01月01日至2015年03月31日,,50215,,50215,,,17265,741,833,-1625,-5589,234,113,5970.0,-27407,6826,,,,-1875,162066,-23223,-144748,-10176,-17956,,-256,68113,-21632,-3384,,,42511,24555,23795,74010,5091,-9505,67721,,,-20855,-5979.0,,,-43000.0,,-68916,,19424,19424,-5173,13056,1831298,1844354,1844354,,,110.0,,,,1879.0,0.0,-1875.0,0.0,,,-760.0,-330.0,0.0,808.0
3617,2014年度,,563404,,563404,,,67482,1361,23899,65,-29189,4091,123,39866.0,-21091,1406,95461.0,,,-303,-45522,14386,-83336,-28730,-143697,,70,35002,32006,3020,421.0,0.0,70519,-73178,22283,585687,27998,-128222,477557,,,-45179,-9721.0,0.0,-13952.0,,0.0,45531,,33599,-337043,1437,187482,1643816,1831298,1831298,,114296.0,87.0,0.0,0.0,-320642.0,7448.0,-192.0,-7906.0,0.0,-50000.0,,,,,
3617,2014年01月01日至2014年09月30日,,351638,,351638,,,51317,11,18198,1923,-22747,4075,90,24985.0,-9147,1527,76188.0,,,-817,-70764,7535,-173202,-37386,-274823,,-136,339269,54900,3362,-189.0,0.0,397206,122383,198571,550209,20502,-108035,456203,,,-45874,,-8690.0,,0.0,,-4662,,33195,-487447,318,-35588,1643816,1608228,1608228,,49816.0,86.0,0.0,0.0,-320642.0,5956.0,-189.0,-6473.0,,-200000.0,,,,,
3617,2014年01月01日至2014年06月30日,,163855,,163855,,,34093,8,2636,-2673,-15853,2826,84,8507.0,-5670,1243,29437.0,,,-1183,-20239,17176,144178,-8625,131116,,-174,36441,13913,2651,-5.0,0.0,52826,183942,213379,377234,13858,-48612,337882,,-188793.0,-33358,,-2543.0,,0.0,,-224606,,32229,-105696,1592,9172,1643816,1652988,1652988,0.0,,88.0,,,,4236.0,-191.0,-4598.0,,-137925.0,,,,,
3617,2014年01月01日至2014年03月31日,,79756,0.0,79756,,,16889,4,-5217,-1212,-8329,1589,8,9881.0,-17527,1866,-129.0,,,-1202,169683,629,49092,-29170,194075,,-188,-98978,-15580,1828,96.0,,-112822,81253,81124,160880,7910,-1786,164566,,-146838.0,-6985,-1997.0,,,,0.0,-155729,,28937,78240,5424,92501,1643816,1736317,1736317,,,91.0,,,,1919.0,5043.0,-2438.0,49303.0,,,,,,
3617,2013年度,,481690,,481690,,,69774,90,-7008,2107,-10182,12036,2606,10441.0,-11666,3550,72106.0,,,-1040,-107963,-26375,-152683,-23798,-304695,,-93,-256889,5897,6705,3684.0,-2107.0,-242803,-547498,-475392,6298,8934,-109155,-94070,,,-64411,0.0,433.0,0.0,,2232.0,136212,,148,349006,29111,420259,1223557,1643816,1643816,,149947.0,17625.0,-386.0,30386.0,-301142.0,744.0,7164.0,-147.0,650000.0,0.0,,,,,
3617,2013年01月01日至2013年12月31日,,481690,,481690,,,69774,90,-7008,2107,-10182,12036,2606,10441.0,-11666,3550,72106.0,,,-1040,-107963,-26375,-152683,-23798,-304695,,-93,-256889,5897,6705,3684.0,-2107.0,-242803,-547498,-475392,6298,8934,-109155,-94070,,,-64411,,433.0,0.0,,2232.0,136212,,148,349006,29111,420259,1223557,1643816,1643816,,149947.0,17625.0,-386.0,30386.0,-301142.0,744.0,7164.0,-147.0,650000.0,,,,,,
3617,2013年01月01日至2013年09月30日,,330283,,330283,,,52987,77,-7271,-2503,-7082,9544,1027,8796.0,10178,3632,68999.0,,,-3724,-51164,-17111,-385056,-24755,-481810,,246,69405,-1822,7890,-17.0,-2107.0,73595,-408215,-339216,-8933,6975,-89982,-91940,,,-46810,,1471.0,0.0,-83.0,0.0,98851,,94,-301048,4639,-289498,1223557,934059,934059,,100000.0,13887.0,-386.0,30386.0,-301142.0,,,,,,,,,,
3617,2013年01月01日至2013年06月30日,,197608,,197608,,,35591,47,-569,6929,-4710,6328,469,,-9372,2053,33601.0,,,-4947,21923,5241,-93361,-19436,-90580,,0,-214114,8531,2984,0.0,-2107.0,-204706,-295286,-261685,-64077,4626,-53253,-112704,,-200000.0,-29283,,128.0,0.0,-38.0,0.0,-227881,,58,58,6832,-333695,1223557,889862,889862,-3165.0,0.0,1312.0,,,,,,,,,,,,,
3617,2013年01月01日至2013年03月31日,,112669,0.0,112669,,,17706,26,-3,4633,-2520,3146,33,2586.0,10573,314,36494.0,,,-4532,100022,6269,-22162,-17359,62238,,-204,-227706,-36380,-1502,0.0,0.0,-265792,-203554,-167060,-54391,2479,-3843,-55755,,-220300.0,-12115,-51.0,0.0,0.0,0.0,17.0,-232449,,58,58,5425,-282721,1223557,940836,940836,,,,,,,,,,,,,,,,
