公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　 退還（支付）之所得稅,　　 以成本衡量之金融資產減資退回股款,　　　　 股利收入,　　 收取之股利,　　 取得投資性不動產,　　 發行公司債,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 處分採用權益法之投資,　　 發放現金股利,　　　　 處分投資性不動產損失（利益）,　　 處分投資性不動產,　　 庫藏股票買回成本,　　　　　 預付款項（增加）減少,　　 取得以成本衡量之金融資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 其他營業資產（增加）減少,　　 處分以成本衡量之金融資產,　　　　 非金融資產減損迴轉利益,　　 取得採用權益法之投資,　　 存入保證金減少,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分採用權益法之投資損失（利益）,　　 其他應收款－關係人增加,　　 短期借款減少,　　 非控制權益變動,　　　　　 其他應收款（增加）減少,　　　　　 淨確定福利負債增加(減少),　　 處分備供出售金融資產,　　 其他應收款增加,　　 其他金融資產增加,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　 其他應收款減少,　　 其他金融資產減少,　　 其他籌資活動,　　 除列避險之衍生金融負債
1437,2016年01月01日至2016年09月30日,,434115,434115,,,47289,-1125,56787,-11988,14780.0,,,,-358506,6895,22178,16271,-3795,-317380,,-10790,-15041,-5884,-31715,-349095,-534251,-100136,12038,-59026,-137143,,-4065,159.0,-44792,482048,,19286,,,62000,-317750,,-246220,-49078,49607,366883,416490,416490,,-14962.0,5760.0,-24943.0,24943.0,-685.0,,-3956.0,,,-2866.0,0.0,,2.0,,-24922.0,,,,-185156.0,0.0,81.0,-12991.0,-15000.0,-828.0,-3162.0,0.0,0.0,,0.0,-423.0,,6446.0,-81066.0,,-245849.0,418469.0,,199607.0,15994.0,0.0
1437,2016年01月01日至2016年06月30日,,351250,351250,,,31837,-766,38099,-8562,14780.0,,,,-174792,6508,16152,11738,884,-162862,,-9250,-14873,-18457,-42580,-205442,-384139,-32889,8612,-34361,-57611,,-2082,159.0,861,186415,,64608,0.0,,50000,-249000,,-144172,-33329,-48697,366883,318186,318186,,-65.0,5760.0,-1092.0,1092.0,-526.0,,-3604.0,,,0.0,,,2.0,,-24922.0,,,,-178697.0,0.0,81.0,-12991.0,0.0,-852.0,-3162.0,,,,,-23352.0,,5642.0,,,-233238.0,69897.0,8091.0,98532.0,15994.0,
1437,2016年01月01日至2016年03月31日,,75125,75125,,,16098,-510,19275,-4247,,,,,-72720,-3179,25253,-1438,4794,-44907,,-11512,-8136,-25062,-44710,-89617,-66919,8206,4248,-17307,-4095,,-50,,-328,43478,,795071,,0.0,50000,-199000,-3792.0,-29866,-3898,5619,366883,372502,372502,,-40.0,,-798.0,798.0,,,-2464.0,,,,,,,,-12002.0,,,,22698.0,0.0,0.0,,,,-2096.0,,,-660143.0,,2383.0,,3936.0,,-2242.0,-2560.0,42162.0,,,,
1437,2015年度,,57437,57437,,,141549,-5929,80048,-17727,-4257.0,,,,-12228,1102,76406,32112,22689,119887,,-9512,-20703,28834,-1381,118506,288753,346190,17674,-80133,286554,,-6688,4257.0,-371,-484121,,2687162,,0.0,934000,-810000,12219.0,-60481,-7132,-265180,632063,366883,366883,,-26455.0,7200.0,-27028.0,29278.0,,,-3081.0,14404.0,,-7647.0,1240.0,-307.0,0.0,0.0,-82944.0,,0.0,,170247.0,94.0,803.0,-19749.0,-84000.0,,13257.0,-1240.0,-20000.0,-2794531.0,-6080.0,-288.0,0.0,4759.0,-161760.0,-221914.0,,,,,,
1437,2015年01月01日至2015年09月30日,,76556,76556,,,107092,-5151,62836,-12312,-4245.0,,,,-12305,-948,52316,23826,-13980,48004,,-8985,-13388,-5805,-28178,19826,121480,198036,12260,-65048,153898,,-6155,4245.0,-512,-89810,,1814073,0.0,0.0,730000,-610000,,18032,2231,84351,632063,716414,716414,,-17455.0,7200.0,-26105.0,26105.0,,,,,,-7381.0,1240.0,0.0,0.0,0.0,-79510.0,,,,101654.0,-905.0,803.0,-19692.0,-69250.0,-44.0,471.0,-1240.0,-20000.0,-1830407.0,-6080.0,,,,,,,,,,,
1437,2015年01月01日至2015年06月30日,,56333,56333,,,72379,5008,41776,-8278,-4236.0,,,,-21244,4445,30690,9627,-3935,18776,,-1704,-12994,-17589,-32287,-13511,70459,126792,8278,-38080,82528,,-4773,4236.0,-1243,-71006,,167668,5000.0,,390000,-415000,,82444,-11625,82341,632063,714404,714404,,-17489.0,,-3027.0,3027.0,,,,,,-1029.0,,0.0,0.0,0.0,-65155.0,,,,83970.0,-807.0,803.0,-19652.0,-69000.0,-69.0,,,,,,,,,,,,,,,,
1437,2015年01月01日至2015年03月31日,,42513,42513,,,36516,5051,20950,-4115,,,,,-17320,5000,-17984,8069,-956,-23296,,-103,-6150,-3862,-10115,-33411,24009,66522,4115,-18954,52665,,-1242,,-1190,-1629,,109388,,-10000.0,210000,-235000,20.0,25700,-6850,69886,632063,701949,701949,,,,-982.0,982.0,,,,,,,,,0.0,0.0,-48708.0,,,,57420.0,-105.0,803.0,,,,,,,,,,,,,,,,,,,
1437,2014年度,,237115,237115,,,139101,6415,81204,-10688,-73966.0,25063.0,,,-4631,2956,81142,38071,25031,144526,,1794,-12857,-72879,-83942,60584,85647,322762,10688,-82376,275705,,-17922,73975.0,16585,180340,,51345,,10000.0,1435000,-1730000,-64.0,-255479,26211,226777,405286,632063,632063,,-702.0,727.0,-25333.0,25333.0,,0.0,,0.0,,0.0,,-387.0,-91670.0,107651.0,-21373.0,1957.0,-676.0,,,,,,,,,,,,,,,,,,,,,,,
1437,2014年01月01日至2014年09月30日,,225016,225016,,,107862,4555,60939,-6564,-73149.0,-22597.0,,,14302,2458,15407,50352,23128,105647,,9331,-10087,-55989,-56745,48902,26305,251321,6564,-64239,219377,,-14634,73149.0,13751,180644,,165615,,10000.0,1350000,-1645000,-165.0,-141293,5393,264121,405286,669407,669407,,1161.0,727.0,-24570.0,24570.0,,0.0,,,,,,-370.0,-91670.0,107651.0,-21373.0,,,,,,,,,,,,,,,,,,,,,,,,,
1437,2014年01月01日至2014年06月30日,,208164,208164,,,65419,3507,40600,-3750,-72253.0,-81459.0,,,25120,-3909,-25829,41698,18295,55375,,15813,-8009,-55309,-47505,7870,-73589,134575,3750,-38028,102482,,-8330,72253.0,10413,182714,,80060,,0.0,1255000,-1425000,-165.0,-111594,-2877,170725,405286,576011,576011,0.0,-178.0,727.0,-23312.0,2363.0,,,,,0.0,,,-116.0,-91670.0,107651.0,-21373.0,,,,,,,,,,,,,,,,,,,,,,,,,
