公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 利息費用,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 存出保證金減少,　　 發放現金股利,　　 支付之利息,　　　　 呆帳費用提列（轉列收入）數,　　 其他金融資產增加,　　　　　 負債準備增加（減少）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　　 其他應付款增加（減少）,　　 取得以成本衡量之金融資產,　　 預付投資款增加
3443,2016年01月01日至2016年09月30日,,461702,461702,,,59009,118056,-10871,0.0,-1511,-12085,,,,-105074,41970,56275,-233647,1,-240475,,53177,-138706,248203,12675,,174793,-65682,86916,548618,-53364,495254,,-2640000.0,2641511,-50973,,-1934.0,-119379,10894,-158996,,,0.0,-402036,-4376,-70154,3153324,3083170,3083170,0.0,,885.0,-402036.0,0.0,,,0.0,,152598.0,-556.0,,0.0,0.0
3443,2016年01月01日至2016年06月30日,,303572,303572,,,40292,75316,-7557,0.0,-1197,-3484,,,,-180304,22995,-144407,58046,1,-243669,,60545,-95820,84049,48157,,96565,-147104,-43734,259838,-15688,244150,,-1960000.0,1961197,-49783,,-898.0,-67591,7669,-108620,,,0.0,0,-230,135300,3153324,3288624,3288624,0.0,,786.0,,0.0,,,0.0,,103370.0,-366.0,,,
3443,2016年01月01日至2016年03月31日,,190661,190661,,,20193,37999,-3991,,-615,-2218,,,,39901,13490,-209194,48913,1,-106889,,-3865,93480,23120,27372,,139932,33043,84411,275072,-1114,273958,,-1010000.0,1010615,-36059,,-356.0,-15182,3763,-46796,,,,0,-1365,225797,3153324,3379121,3379121,0.0,,423.0,,0.0,,,,,51368.0,-175.0,,,
3443,2015年度,,582274,582274,,,73497,151193,-15034,170.0,-4717,-1196,,,,-74827,-44980,-27150,-101443,37,-248363,,-50960,138695,416351,27551,,437627,189264,393220,975494,-41419,934075,,-4480000.0,4484717,-78261,0.0,-1155.0,-145800,14942,-219206,,,-15146.0,-417225,2824,300468,2852856,3153324,3153324,43.0,,2097.0,-402036.0,-43.0,0.0,,-93250.0,,203956.0,-760.0,,-15746.0,
3443,2015年01月01日至2015年09月30日,,385828,385828,,,54283,113030,-11453,170.0,-3828,-1058,,,,-68092,3304,-135817,-76359,-146,-277110,,143492,232919,84306,23710,,390618,113508,264695,650523,-38329,612194,,-3520000.0,3523828,-66434,0.0,-1087.0,-138694,11030,-205177,,,-15146.0,-417225,3741,-6467,2852856,2846389,2846389,43.0,,1926.0,-402036.0,-43.0,0.0,,-93250.0,,151187.0,-559.0,,-6298.0,-9448.0
3443,2015年01月01日至2015年06月30日,,239832,239832,,,35887,74844,-7607,170.0,-3058,-4893,,,,-178283,-11801,-253372,-28949,-148,-472553,,3618,490740,-81025,58745,,398010,-74543,20816,260648,-4391,256257,,-2490000.0,2493058,-27845,0.0,-641.0,-71698,7475,-88554,,-15146.0,,-15162,-4008,148533,2852856,3001389,3001389,16.0,,1097.0,,-16.0,0.0,,-97476.0,,95359.0,-348.0,23756.0,,
3443,2015年01月01日至2015年03月31日,,131595,131595,,,17890,37199,-3810,,-1555,-3266,,,,-18223,-30149,-133253,-19458,-486,-201569,,19684,403330,-21587,21952,,423223,221654,268121,399716,-2227,397489,,-1270000.0,1271555,-9315,,-561.0,-35535,3347,-40329,,,,-5,-2024,355131,2852856,3207987,3207987,9.0,,180.0,,-5.0,0.0,,,,46467.0,-156.0,,,
3443,2014年度,,513597,513597,,,70275,154939,-14423,-166.0,-4599,7407,192123.0,,,270726,-3304,-19635,69057,1714,318558,,117478,600,183904,27119,173.0,426750,745308,937431,1451028,-122840,1328188,,-4765000.0,4769599,-80152,168.0,-5929.0,-151597,14280,-216156,,0.0,0.0,-402108,6852,716776,2136080,2852856,2852856,72.0,,2475.0,-402036.0,-72.0,-21382.0,,97476.0,,,,,,
3443,2014年01月01日至2014年09月30日,,417675,417675,,,52192,116347,-10685,-166.0,-3262,1429,142505.0,,,296374,-32,54803,-26118,-12268,312759,,16893,356031,206337,-27304,140.0,552097,864856,1007361,1425036,-120661,1304375,,-3665000.0,3668262,-36546,168.0,-5622.0,-105587,10041,-132024,,0.0,0.0,-402108,1956,772199,2136080,2908279,2908279,72.0,,2260.0,-402036.0,-72.0,-13422.0,0.0,,,,,,,
3443,2014年01月01日至2014年06月30日,,305323,305323,,,35419,77937,-6900,-23.0,-1994,-22,93176.0,,,197910,-43000,35097,-6071,-5731,178205,,9229,85608,144180,1972,76.0,241065,419270,512446,817769,-67248,750521,,-2175000.0,2176994,-32197,25.0,-179.0,-70651,6807,-92053,,0.0,,-62,524,658930,2136080,2795010,2795010,62.0,,2148.0,,-62.0,-11303.0,,,,,,,,
