公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產減少,　　 其他非流動資產減少,　　 短期借款減少,　　 舉借長期借款,　　　　　 應收票據－關係人（增加）減少,　　　　 股利收入,　　 取得投資性不動產,　　 收取之股利,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 其他投資活動,　　 其他預付款項增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　 發放現金股利
1539,2015年度,,279971,279971,,,35523,4549,16669,23865,-1519,-2506,,,640,,,,,7397,-143742,2042,-3711,,-32391,-3927,773,-171798,,53698,-1000,19791,-16368,-119,,1384,-6412,50348,-121450,-45990,233981,1519,-23613,-34179,177708,,,-74878,3720,-1272.0,-791403.0,0.0,-866079,,798000.0,-10000,729821,7439,48889,272090,320979,320979,,0.0,,0.0,0.0,,,-2246.0,,-1761.0,,0.0,,75460.0,-626.0,,1761.0,-58179.0
1539,2015年01月01日至2015年09月30日,,254417,254417,,,22812,3294,375,17439,-1025,-2476,,,413,,,,,1369,-38157,7731,-135,,-12915,-11816,862,-53595,,102172,11230,19071,-21362,-16662,0.0,-729,-6333,86919,33324,71311,325728,1025,-17607,-34131,275015,,,-74416,3690,-1238.0,-184461.0,0.0,-256425,,269000.0,-7500,261500,350,280440,272090,552530,552530,,0.0,,0.0,0.0,0.0,,0.0,,-2845.0,,0.0,,37987.0,-468.0,,-534.0,
1539,2015年01月01日至2015年06月30日,,105120,105120,,,14703,2009,-571,10700,-642,-2140,,,-9,,,,,7477,-21655,4145,-10643,,-25789,-6666,581,-57512,,111192,9012,47026,-28032,-6555,0.0,515,-1001,131860,74348,103175,208295,642,-10700,-21357,176880,,,-66318,3352,-1238.0,-464382.0,0.0,-528586,,474000.0,-5000,469000,7932,125226,272090,397316,397316,,,,,0.0,0.0,,0.0,,4777.0,,0.0,,28827.0,-297.0,-4962.0,,
1539,2015年01月01日至2015年03月31日,,57644,57644,,,6814,964,-531,4502,-237,-2076,,,40,,,,,2245,9010,2728,-3470,,5984,-5128,-635,10734,,87878,-970,-24520,25943,-13222,0.0,-733,-986,73262,83996,94567,152211,237,-4668,-23,147757,,,-20391,2241,,-120480.0,,-138630,,124000.0,-2500,121500,4824,135451,272090,407541,407541,,0.0,,0.0,,,,0.0,,1095.0,,,,10571.0,-128.0,,,
1539,2014年度,,169589,169589,,,24444,3884,3671,18126,-865,-2361,0.0,,37,,46936.0,,,-1954,-63904,-4607,-2809,,-16169,-2299,1247,-90495,,-78019,1000,94271,1026,20975,-12.0,-2167,6577,43174,-47321,-385,169204,865,-18232,-25108,126729,,0.0,-307190,6221,-1399.0,,-1050.0,-230059,,,-71957,33043,-17945,-88232,360322,272090,272090,-477.0,74444.0,0.0,-170000.0,275000.0,,0.0,-493.0,0.0,,,-592.0,,,,,,
1539,2014年01月01日至2014年09月30日,,132098,132098,,,18279,2921,636,14350,-609,-2623,0.0,,91,,33045.0,,,-7421,-19193,-3404,-8155,,-2074,-6327,1116,-46947,,77464,1709,26686,6326,955,-12.0,-2855,3898,113805,66858,99903,232001,609,-14479,-25084,193047,,0.0,-300326,6483,-1399.0,,-1050.0,-222702,,,-69457,35543,-3477,2411,360322,362733,362733,-366.0,74668.0,0.0,-170000.0,275000.0,-1489.0,,-490.0,,,-588.0,,,,,,,
1539,2014年01月01日至2014年06月30日,,78425,78425,,,12440,1872,-273,8654,-461,-2357,0.0,,92,,19848.0,,,-3233,-67653,3130,-9580,,-20350,-9026,553,-107648,,60247,2239,116317,19238,6277,-12.0,-2868,2353,203542,95894,115742,194167,461,-8747,-12013,173868,,0.0,-9513,6131,-1399.0,-73097.0,-98100.0,-177060,,50700.0,-66957,33743,2309,32860,360322,393182,393182,-249.0,0.0,0.0,0.0,50000.0,-1489.0,,-492.0,,-119.0,-590.0,,,,,,,
1539,2014年01月01日至2014年03月31日,,32788,32788,,,6424,926,-41,4082,-161,-365,0.0,,92,,10957.0,,,-5150,-4467,8771,-1884,0.0,-31513,-78,-188,-34509,,-32848,342,69262,2906,-518,-12.0,-2214,-30,36764,2255,13212,46000,161,-4129,-15,42017,,0.0,-4835,676,,,,74859,,,-31336,-91336,-3841,21699,360322,382021,382021,-124.0,79513.0,0.0,-60000.0,,,,-495.0,,,,,,,,,,
1539,2013年度,,111330,111330,,,26612,3777,-541,18319,-337,-2083,-36.0,,-214,,45447.0,,,1896,-5136,-3760,72356,,-21670,3779,-763,46702,,117688,-263,3799,14449,-700,-325.0,2240,-946,135330,182032,227479,338809,337,-18401,-337,320408,,26955.0,-6421,3902,-1247.0,,0.0,114572,,,-35125,-195165,-14931,224884,135438,360322,360322,-612.0,92515.0,254.0,-160040.0,0.0,,-50.0,-1436.0,50.0,,,0.0,,,,,,
1539,2013年01月01日至2013年12月31日,,111330,111330,,,26612,3777,-541,18319,-337,-2083,-36.0,0.0,-214,,45447.0,,,1896,-5136,-3760,72356,,-21670,3779,-763,46702,,117688,-263,3799,14449,-700,-325.0,2240,-946,135330,182032,227479,338809,337,-18401,-337,320408,,26955.0,-6421,3902,-1247.0,0.0,,114572,,0.0,-35125,-195165,-14931,224884,135438,360322,360322,-612.0,92515.0,254.0,-160040.0,0.0,,-50.0,-1436.0,50.0,,,,,,,,,
