公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他流動負債增加（減少）,　　 短期借款增加,　　 其他金融資產減少,　　 短期借款減少,　　 發放現金股利,　　 員工執行認股權,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他金融資產增加,　　 非控制權益變動,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產
3130,2014年度,,370177,370177,,,48781,15225,667,-154,6,-11488,-143,49686,,,-296,-3714,4721,-1403,-692,,28,1135,94351,36670,-1384,130838,130146,179832,550009,11121,-6,-49444,511680,,-44880,1168,-47,-10465,555,-23314,,0,-197991,-6064,284311,1432549,1716860,1716860,38.0,,0.0,0.0,-197991.0,0.0,,,0.0,4076.0,-7284.0,30355.0
3130,2014年01月01日至2014年09月30日,,292094,292094,,,35623,11204,1485,-123,6,-8081,-162,41377,,,-1758,-37917,-2152,-5413,-47240,,-168,-411,3396,59894,-1201,49024,1784,43161,335255,7987,-6,-49063,294173,,-25285,1134,-277,-8856,-906,-34190,,0,-197991,-55,61937,1432549,1494486,1494486,-12486.0,,,,-197991.0,0.0,,,,1425.0,,
3130,2014年01月01日至2014年06月30日,,167751,167751,,,23187,7164,692,-82,6,-4987,5,25985,,,-1423,-11488,-4329,-1417,-18657,,-193,453,-20037,45797,-806,21373,2716,28701,196452,4739,-6,-25668,175517,,-14177,0,2217,-6471,738,-17693,,0,0,-1325,156499,1432549,1589048,1589048,-3841.0,,,,,,,,,,,
3130,2014年01月01日至2014年03月31日,,65309,65309,,,11029,3388,627,-41,6,-2324,5,12690,,,-1269,10619,-3543,-637,5170,,18,158,-80368,29542,-393,-67361,-62191,-49501,15808,2019,-6,-3912,13909,,-1065,0,2208,-768,-478,-103,,0,0,-359,13447,1432549,1445996,1445996,-16318.0,,,,,,,,,,,
3130,2013年度,,292451,292451,,,46010,14465,108,-188,126,-8455,225,52291,,,3644,-36173,-1006,4074,-29461,,201,-2974,44307,11980,409,71727,42266,94557,387008,8348,-126,-31159,364071,,-34044,33,2950,-10433,862,-34532,,-18138,-127633,2319,204225,1228324,1432549,1432549,17804.0,,6100.0,-5861.0,-147709.0,45904.0,,,-1829.0,0.0,0.0,0.0
3130,2013年01月01日至2013年12月31日,,292451,292451,,,46010,14465,108,-188,126,-8455,225,52291,,,3644,-36173,-1006,4074,-29461,,201,-2974,44307,11980,409,71727,42266,94557,387008,8348,-126,-31159,364071,,-34044,33,2950,-10433,862,-34532,,-18138,-127633,2319,204225,1228324,1432549,1432549,17804.0,,,-5861.0,-147709.0,45904.0,0.0,6100.0,-1829.0,,,
3130,2013年01月01日至2013年09月30日,,215750,215750,,,34675,11121,557,-144,104,-6170,236,40379,,,974,-43028,-3073,-3213,-48340,,-4,-1396,10141,19293,-1280,26530,-21810,18569,234319,6245,-104,-30920,209540,,-32757,21,285,-9807,2711,-39547,,-18138,-159962,1360,11391,1228324,1239715,1239715,-224.0,,0.0,0.0,-147709.0,5885.0,,,,0.0,,
3130,2013年01月01日至2013年06月30日,,129605,129605,,,23272,7710,-316,-96,69,-4020,236,26855,,,-1317,-25962,-3843,-1945,-33067,,4,469,-12112,20076,-849,16919,-16148,10707,140312,4172,-69,-13215,131200,,-27734,21,-1210,-5084,-1057,-35064,,-18138,-18138,1512,79510,1228324,1307834,1307834,9331.0,0.0,,,,,,,,,,
3130,2013年01月01日至2013年03月31日,,51084,51084,,,11616,4119,-673,-49,34,-1904,236,13379,,,-195,3134,-2396,-89,454,,26,244,-61096,9056,-420,-52190,-51736,-38357,12727,1780,-34,-207,14266,,-14999,21,258,-1441,-1241,-17402,,-10601,-10601,980,-12757,1228324,1215567,1215567,,,,,,,,,,,,
3130,2012年01月01日至2012年12月31日,,231614,231614,,,38290,15896,-723,-13,250,-8664,1172,46208,,,10110,56583,676,-346,67023,,-138,-1671,-60196,23727,-2077,-50615,16408,62616,294230,8674,-250,-37434,265220,,-52545,255,1556,-9656,410,-76080,,-102512,-315923,-1045,-127828,1356152,1228324,1228324,-10260.0,,,-9331.0,-204080.0,0.0,-30000.0,13900.0,0.0,,,
