公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 其他非流動負債增加,　　 發放現金股利,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 其他非流動資產增加,　　 其他應付款－關係人減少
6422,2015年01月01日至2015年09月30日,,213700,213700,,,44090,891,1025,4297,-1055,-138,0,49110.0,,,0,-3280,2534,-805,-713,-4108,-4230,-10602,,941,-8910,5845,3091,967,-9635,39475,253175,1055,-4297,-44250,205683,,-47017,2717,-1417,-4218.0,-49935,,-84393,1340,-104718.0,0.0,0.0,-187771,17344,-14679,266346,251667,251667,,,,
6422,2015年01月01日至2015年06月30日,,132238,132238,,,28592,589,903,3820,-515,586,0,33975.0,,,0,-10965,18591,136,-50,14213,4642,26567,,523,33279,-9426,-426,23950,50517,84492,216730,515,-3820,-40607,172818,,-18108,0,-638,-5935.0,-24681,,-64737,-450,,0.0,0.0,-65187,-24333,58617,266346,324963,324963,,,,
6422,2015年01月01日至2015年03月31日,,55945,55945,,,14052,301,906,3360,-129,546,0,19036.0,,,0,38570,54763,870,656,44650,3708,143217,,653,-39398,-26078,1513,-63310,79907,98943,154888,129,-3360,-25811,125846,,-8176,0,-61,-34.0,-8271,,-62186,-34,0.0,0.0,0.0,-62220,-9729,45626,266346,311972,311972,,,,
6422,2014年度,,333069,333069,,,47360,1141,-3063,11395,-602,329,2670,,,,17361,-45277,-149988,-2912,4305,-112503,-754,-289768,,-352,14641,2139,-128,16300,-273468,-214238,118831,602,-11395,-92095,15943,,-78964,2055,-1057,-15945.0,-93911,,-33793,467,-42000.0,241360.0,0.0,166034,24165,112231,154115,266346,266346,,59230.0,,
6422,2014年01月01日至2014年09月30日,,244880,244880,,,34029,844,-3849,9561,-529,-29,0,40027.0,,,17361,14072,-115454,-2385,11749,-131254,-17645,-223556,,2640,40934,-756,1014,43832,-179724,-139697,105183,529,-9561,-69207,26944,,-59321,2042,-1049,-23622.0,-81950,,-45812,-84,0.0,0.0,0.0,-45896,2124,-98778,154115,55337,55337,,,,
6422,2014年01月01日至2014年06月30日,,162920,162920,,,22172,564,-2663,6338,-426,159,0,26144.0,,,17361,-18493,-93784,-1130,8506,-104163,-24175,-215878,,1763,68197,-3554,2347,68753,-147125,-120981,41939,426,-6338,-41877,-5850,,-35544,1810,-1036,-16519.0,-51289,,6483,94,,0.0,0.0,6577,-11154,-61716,154115,92399,92399,,,,
6422,2014年01月01日至2014年03月31日,,69538,69538,,,11019,275,-2059,3061,-145,-5,0,12146.0,,,17361,1646,-19085,-115,-6565,-27686,2,-34442,,-101,11001,-8615,877,3162,-31280,-19134,50404,145,-3061,-21342,26146,,-22575,2104,-495,-4174.0,-25140,,10979,143,0.0,0.0,0.0,11122,855,12983,154115,167098,167098,,,,
6422,2013年度,,197158,197158,,,33789,930,2634,14866,-372,538,0,,,,-17361,33402,-75962,1630,-11015,-48457,-3238,-121001,,916,28811,34900,2430,67057,-53944,-1559,195599,372,-14866,-52943,128162,,-90276,1107,-3328,13595.0,-78902,,-108044,103,0.0,113080.0,-56999.0,-51860,20669,18069,136046,154115,154115,,52385.0,,
6422,2013年01月01日至2013年12月31日,,197158,197158,,,33789,930,2634,14866,-372,538,10859,,,,-17361,33402,-75962,1630,-11015,-59316,-3238,-131860,,916,28811,34900,2430,67057,-64803,-1559,195599,372,-14866,-52943,128162,,-90276,1107,-3328,,-78902,,-108044,103,,113080.0,-56999.0,-51860,20669,18069,136046,154115,154115,,63244.0,13595.0,0.0
6422,2013年01月01日至2013年09月30日,,127797,127797,,,23172,652,10958,11633,-250,79,6122,,,,0,51690,-63330,-2797,-2746,-47824,-20971,-85978,,1163,7950,20289,4112,33514,-52464,-98,127699,250,-11633,-38007,78309,,-69739,308,-3243,11963.0,-60711,,-81455,120,,,,-81335,8547,-55190,136046,80856,80856,,52366.0,,
