公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 現金增資,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得採用權益法之投資,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 非控制權益變動
6456,2015年01月01日至2015年09月30日,,1296271,1296271,,,2389718,11543,240979,-54718,10994.0,13180,-7637.0,-33013.0,7772.0,-179791.0,2399027.0,,,11328.0,-4047954,-542274,506428,-7366226,-253758,23287,-11669169,,9286639,-208351,493197,115931,29982,-122.0,9717276,-1951893,447134,1743405,-332310,1411095,,50000.0,-2346577,107053.0,-781,-14564,52532,-2152337,,-1686321,5864719,-5902058.0,-572028.0,2296572.0,-167242,-166358,49588,-858012,6656416,5798404,5798404,,,,
6456,2015年01月01日至2015年06月30日,,139652,139652,,,1563743,7469,145118,-40918,8236.0,13180,-7864.0,-33013.0,,-179791.0,1476160.0,,,-13604.0,3241204,-1609821,430044,-1208564,-184963,22851,677147,,-2053162,-220863,-292050,33972,9413,102.0,-2522588,-1845441,-369281,-229629,-277523,-507152,,50000.0,-2167715,101203.0,-205,-10403,47756,-1979364,,-1179,3892720,-4599509.0,-572028.0,2296572.0,-87114,929462,-18156,-1575210,6656416,5081206,5081206,,,,
6456,2015年01月01日至2015年03月31日,,53591,53591,,,788277,3612,58970,-20918,4165.0,13180,-180.0,,,-179791.0,667315.0,,,-4237.0,3325506,-310076,576336,200609,-165324,19727,3642541,,-3181063,-162200,-260597,28434,28645,102.0,-3546679,95862,763177,816768,-147437,669331,,,-1679814,294.0,-234,-9533,5184,-1684103,,14964,494382,-2088331.0,-572028.0,,-38736,-2189749,-7867,-3212388,6656416,3444028,3444028,0.0,,,
6456,2014年度,,1614297,1614297,,,2403876,11160,483154,-110908,61433.0,49779,-579.0,,,,,,,-11328.0,8633217,-4458,991926,1122287,284408,-22107,10993945,,-5388001,-684527,-792073,-187353,-8065,118.0,-7059901,3934044,6831959,8446256,-494109,7952147,,,-6289299,12383.0,-6172,-7047,99607,-6190528,,-2121574,4206576,-454650.0,,184469.0,-267456,1547365,126532,3435516,3220900,6656416,6656416,0.0,,2897915.0,0.0
6456,2014年01月01日至2014年09月30日,,955931,955931,,,1603852,8106,369304,-91260,57392.0,48495,-576.0,0.0,0.0,0.0,1995313.0,,,0.0,7876814,11592,485972,538745,662962,-27858,9548227,,-6026720,-561810,-951215,-246314,16145,117.0,-7769797,1778430,3773743,4729674,-455836,4273838,,0.0,-4624557,12302.0,-1785,-4950,85984,-4533006,,-3068666,4139473,0.0,0.0,184469.0,-163737,1091539,62715,895086,3220900,4115986,4115986,,,,
6456,2014年01月01日至2014年06月30日,,335968,335968,,,1038661,5387,252801,-62703,43294.0,26276,-577.0,0.0,,0.0,1303139.0,,,-15496.0,10610357,-106393,940883,1868448,327616,-20267,13605148,,-10008757,-251073,-890160,4442,-822,117.0,-11146253,2458895,3762034,4098002,-428904,3669098,,0.0,-4249188,12270.0,-1768,0,62234,-4176452,,-2135873,5204149,-2113300.0,0.0,184469.0,-104980,1034465,-101851,425260,3220900,3646160,3646160,,,,
6456,2014年01月01日至2014年03月31日,,147117,147117,,,483523,2692,131690,-33421,9994.0,22273,-767.0,,,0.0,615984.0,,,358.0,13145851,24530,49048,1940816,606573,-21564,15745612,,-9051870,-416017,-775647,46383,4654,115.0,-10192382,5553230,6169214,6316331,-277053,6039278,,,-2513557,8329.0,-294,0,13814,-2491708,,88794,374522,-2118900.0,0.0,,-51420,-1707004,4918,1845484,3220900,5066384,5066384,0.0,,,
6456,2013年度,,2606161,2606161,,,914494,4776,531287,-209300,0.0,0,0.0,,,,,,,0.0,-3119958,707206,-653698,-1910429,-529087,1400534,-4105432,,5900186,-1109216,979715,-781190,-27300,0.0,4962195,856763,2098020,4704181,-75354,4628827,,,-5316293,0.0,-1188,-27772,224026,-5206256,,-2631935,2078300,0.0,,2258400.0,-211686,-407591,202847,-782173,4003073,3220900,3220900,-85029.0,,1241257.0,-1900670.0
6456,2013年01月01日至2013年12月31日,,2606161,2606161,,,914494,4776,531287,-209300,,0,,,,,,,,,-3119958,707206,-653698,-1910429,-529087,1400534,-4105432,,5900186,-1109216,979715,-781190,-27300,,4962195,856763,2098020,4704181,-75354,4628827,,,-5316293,,-1188,-27772,224026,-5206256,,-2631935,2078300,,,2258400.0,-211686,-407591,202847,-782173,4003073,3220900,3220900,-85029.0,,1241257.0,-1900670.0
6456,2012年01月01日至2012年12月31日,,358880,358880,,,129114,0,96458,-24236,,61208,,,,,,,,,-15068203,-899057,-2729,-3268265,-710389,-1359172,-21307815,,11720238,2246728,1450612,1304275,-45428,,16676425,-4631390,-4368846,-4009966,-66285,-4076251,,,-1675717,,234,0,8033,-1667450,,7380151,0,,,0.0,-16738,9371418,-25519,3602198,400875,4003073,4003073,0.0,,262544.0,2008005.0
