公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得持有至到期日金融資產,　　　　 處分採用權益法之投資損失（利益）,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分採用權益法之投資,　　 非控制權益變動,　　 處分以成本衡量之金融資產,　　　　 投資性不動產公允價值調整損失(利益),　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得避險之衍生金融資產,　　 預付設備款減少,　　 取得子公司股權,　　　　 金融資產減損損失,　　 取得採用權益法之投資,　　　　　 避險之衍生金融資產（增加）減少,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　　　 處分其他資產損失（利益）,　　 以成本衡量之金融資產減資退回股款
2610,2016年01月01日至2016年09月30日,,2876037,2876037,,,13002138,92197,13943,30580,-193002,-59927.0,-397508,-11337,12.0,496002,-43618,2876012,,,,75416,186095,-69169,45003,-210303,-152009,-111871,,325835,134720,-997371,-936054,-383111,-630705,,-15358,-5865373,-5977244,9926849,12802886,150200,437812.0,-956914,-166088,12267896,,-6625710,17948,-276592,145051,-9493653,243555,-10472675,,115000,-80000.0,-9995.0,9700000.0,-2400000,19430500,-27007433,84851,-54633,-2710411.0,,-2940205,-154017,-1299001,23491085,22192084,22192084,,,63.0,,,,5579.0,,,15904093.0,-3363329.0,0.0,5126799.0,-8084.0,71826.0,,13096.0,26429.0,384285.0,346.0,0.0
2610,2016年01月01日至2016年06月30日,,1853419,1853419,,,8612943,48008,12388,19043,-144223,-5745.0,-258687,-9284,12.0,241825,96843,1942166,,,,-528513,-206663,53732,66901,-37791,-881491,-1520729,,-356128,96756,-652666,-765172,1014648,-284514,,-3593,-1693151,-3213880,7367838,9221257,149234,5745.0,-723176,-100998,8552062,,-4335611,14460,-149784,83961,-4896105,5314545,-3584186,,40000,-95000.0,-9995.0,4700000.0,-2400000,10400000,-15865889,57115,-34770,-201899.0,,-3418522,-80889,1468465,23491085,24959550,24959550,,,63.0,,,,,,,10581718.0,-742482.0,0.0,,-8084.0,,,13096.0,26429.0,384285.0,,
2610,2016年01月01日至2016年03月31日,,1866362,1866362,,,4267927,23312,10785,25374,-91229,,-123610,-3395,,156507,624537,941690,,,,111347,-314199,67282,26228,111184,-490565,-475627,,-207305,-254060,-1742458,-567391,-1126462,404120,,-55220,-3665525,-4141152,1690746,3557108,91260,,-439257,-15513,3193598,,-2376090,5768,-122105,87305,-3038066,3202006,-2241182,,20000,-75000.0,-9995.0,,0,7371000,-8550385,30165,-15322,-462.0,,-1238083,-460312,-745979,23491085,22745106,22745106,,,,,,,,,,5831898.0,-116749.0,,,-8084.0,,,13096.0,,,,
2610,2015年度,,7134885,7134885,,,17261774,70040,49458,-150871,-466923,-1884052.0,-516140,-13155,0.0,2857646,487075,3848450,,,,-157350,1634673,136073,-205127,-1248012,-1252816,-1092559,,840863,-12707,569765,-237716,2006907,512938,,-14555,3369110,2276551,23823261,30958146,487009,2382066.0,-1797212,-239316,31790693,,-6711363,20914,-915853,780503,-13472830,9688996,-10441578,,-4190523,,-2078113.0,,-8585000,16626343,-19601536,124621,-121159,,0.0,-17985994,-340187,3022934,20468151,23491085,23491085,,,0.0,245242.0,,-157053.0,,,,21546710.0,-296385.0,-13096.0,,-3574.0,3408.0,-64091.0,,,,,
2610,2015年01月01日至2015年09月30日,,6458812,6458812,,,13052784,49740,35621,-148628,-343536,-1883736.0,-389920,-8078,0.0,231732,294172,2877530,,,,4625,1709854,315888,203181,-678480,1377800,2932868,,1397202,-94317,625952,-160021,139919,-174816,,-100821,1415629,4348497,18116178,24574990,339955,2332974.0,-1576476,-209736,25461707,,-4292644,13383,-802955,763812,-11738052,-426073,-8475171,,13530025,-17759000.0,-1988138.0,,-8585000,16123172,-14184194,97479,-91304,-157053.0,0.0,-13014357,40921,4013100,20468151,24481251,24481251,,,,,,,103975.0,,,13767681.0,-217469.0,-13096.0,7916479.0,-344.0,,,,,,,
2610,2015年01月01日至2015年06月30日,,3761896,3761896,,,8815722,31370,20579,48384,-224619,-223050.0,-248885,-3441,0.0,160434,-69532,1873925,,,,67877,835849,22406,36335,-465113,-247439,249915,,300615,185679,894708,-71823,932018,-172380,,-57737,1866075,2115990,12296877,16058773,218525,286842.0,-1167770,-125876,15270494,,-1868779,5753,-580200,475316,-7476675,-368108,-4616179,,11270025,-13820000.0,-1098262.0,,-8585000,14722951,-8586225,70873,-79567,-157063.0,0.0,-6262268,-76889,4315158,20468151,24783309,24783309,,,,,,,0.0,,,10180887.0,-145005.0,-13096.0,5209610.0,,,,,,,,
2610,2015年01月01日至2015年03月31日,,2316352,2316352,,,4434260,15468,5540,6885,-107241,0.0,-116316,-1780,,12787,185775,914902,,,,-107042,-133376,162905,183692,31030,398129,535338,,659412,-141439,-224138,-11918,-697989,496451,,-36627,-13083,522255,5872535,8188887,102268,0.0,-616664,-16975,7657516,,-759467,1780,-173806,223181,-4333369,-268950,-5310631,,9030025,-10520000.0,-799165.0,,-6785000,11721586,-4402817,12261,-14203,0.0,,-1757313,-304996,284576,20468151,20752727,20752727,,,,,,,,,,5350280.0,-56835.0,,,,,,,,,,
2610,2014年度,,357709,357709,,,17460725,55422,30021,-78742,-441968,-29522.0,-509352,-52340,-6557.0,521473,436912,3532286,20918358.0,,,55802,-1513216,-114621,-200822,-412261,-342329,-2527447,,-443447,119499,-1755706,-579081,2208926,9333,-157437.0,59112,-538801,-3066248,17852110,18209819,454403,411683.0,-2061008,-106302,16908595,,-9920198,82451,-498599,330518,-12337340,-101223,-22342913,,4213633,,2088138.0,0.0,-4780000,39440000,-34284523,146335,-183913,,200000.0,6735734,159086,1460502,19007649,20468151,20468151,,0.0,96862.0,4616.0,0.0,-103936.0,,,,,,,,,,,,,,,
2610,2014年01月01日至2014年09月30日,,-1382495,-1382495,,,13050413,40800,15133,-47579,-340327,-28190.0,-388174,-33915,-2550.0,406101,246044,2566625,15484381.0,,,100322,-318297,-350965,154563,-481312,-251956,-1147645,,173886,462442,-1015221,-513866,-231916,1216780,-119773.0,-505666,-533334,-1680979,13803402,12420907,348483,323839.0,-1550267,-40064,11502898,,-5927634,52141,-299958,271592,-10276689,1456,-16174476,,2155000,-196000.0,2023631.0,0.0,-4780000,26165193,-22904679,118269,-154056,-103936.0,200000.0,2523422,50125,-2098031,19007649,16909618,16909618,,,,,,,4616.0,0.0,,,,,,,,,,,,,
2610,2014年01月01日至2014年06月30日,,-2871688,-2871688,,,8667215,26618,88,5292,-238810,-27964.0,-263308,-27101,-2550.0,292141,137610,1610870,10180101.0,,,125790,-271263,-77273,-228447,53796,-786899,-1184296,,-18620,191754,1949874,-545217,560173,1410551,-85284.0,-465282,2997949,1813653,11993754,9122066,247065,42656.0,-1010657,-18138,8382992,,-3305738,37605,-174186,202333,-7407051,48859,-10593562,,6918912,-3095000.0,1823184.0,0.0,-4780000,11789343,-10336437,104527,-135501,-103936.0,200000.0,2385092,-143089,31433,19007649,19039082,19039082,,,,,,,4616.0,,,,,,,,,,,,,,
