公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 收益費損項目合計,　　　　　 其他營業負債增加（減少）,　　 取得無活絡市場之債務工具投資,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 應付短期票券增加,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分不動產、廠房及設備,　　 存入保證金減少,　　　　 金融資產減損損失,　　 發放現金股利,　　　　 處分採用權益法之投資損失（利益）,　　　　　 淨確定福利負債增加(減少),　　　　 非金融資產減損損失,　　 處分無活絡市場之債務工具投資,　　 預付設備款減少
3645,2016年01月01日至2016年09月30日,,160700,160700,,,196139,1522,,14522,-1524,0,16994,,,,,73,35635,-229712,,173600,-4802,-25206,,-1,,45822,18046,4267,69751,44545,292616,453316,1553,-14632,-51399,388838,,,-146899,,-129683,,8611,,,100000,-263859,0,0,-223972,-7137,28046,369230,397276,397276,,,248071.0,1617.0,,62.0,-74.0,,-10030.0,-5.0,0.0,,139.0,,13.0,-58694.0,,,20410.0,13000.0,4089.0
3645,2016年01月01日至2016年06月30日,,-5933,-5933,,,128336,1015,,9924,-1079,0,10131,13697.0,,,,-1482,29375,-132333,,153129,-194,48495,,-1,,17413,-558,-193,16661,65156,227190,221257,1123,-9675,-25778,186927,,,-112745,-24.0,-106563,,0,,,100000,-89681,0,0,-19650,-3554,57160,369230,426390,426390,,0.0,162034.0,0.0,0.0,,-74.0,6280.0,-29969.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,
3645,2016年01月01日至2016年03月31日,,-44964,-44964,,,63941,510,,4944,-474,0,5651,11393.0,,,,-414,37578,-23429,,106032,1387,121154,,-1,,-817,-25219,54,-25983,95171,181136,136172,252,-4807,-831,130786,,,-55043,,-51698,,-10000,,,100000,-80517,0,0,-20486,-3955,54647,369230,423877,423877,,0.0,85965.0,0.0,0.0,-63.0,0.0,3408.0,-29969.0,,,,,,,,,,,,
3645,2015年度,,198009,198009,,,241383,2787,,19301,-2291,1743,2558,60467.0,,,,-73,556,54947,0.0,-170039,11153,-103456,,-2199,,-42432,8853,-2813,-47262,-150718,175724,373733,2122,-19250,-69354,287251,,,-344281,,-341720,,-13546,,,328645,-86579,0,30551,63110,-11031,-2390,371620,369230,369230,,0.0,326442.0,-8159.0,0.0,3.0,-528.0,1921.0,-19879.0,101.0,1125.0,,40.0,,106.0,-176082.0,287.0,-512.0,,,
3645,2015年01月01日至2015年09月30日,,181690,181690,,,180465,2133,,14155,-1619,1743,1082,38583.0,,,,-3,3953,-18867,,-233143,-231,-248291,,-2119,-930.0,12474,28183,-1842,36403,-211888,24859,206549,1671,-14121,-68532,125567,,,-213441,-78.0,-192595,,-52897,,,328645,-77369,2,30551,72785,-10425,-4668,371620,366952,366952,,0.0,236747.0,637.0,20000.0,,-528.0,,19935.0,101.0,1412.0,,40.0,,104.0,-176082.0,,,,,
3645,2015年01月01日至2015年06月30日,,106779,106779,,,120161,1446,,8964,-1165,1743,2649,7371.0,,,,-144,40311,-2814,,-183257,-2477,-148381,,-1260,-285.0,3952,4175,-1546,15434,-132947,8323,115102,1169,-8811,-42477,64983,,,-133038,-54.0,-156978,,279979,-253920.0,-69828.0,115546,-2916,0,0,118750,-1441,25314,371620,396934,396934,,0.0,141270.0,10398.0,20000.0,,-52.0,-13137.0,49889.0,101.0,1412.0,-32149.0,40.0,0.0,,,,,,,
3645,2015年01月01日至2015年03月31日,,65853,65853,,,59610,722,,4329,-503,91,-26146,219.0,,,,0,31811,31204,-11.0,-112306,-2142,-51444,,-1714,-893.0,41638,-4315,-968,40508,-10936,27386,93239,507,-4243,-197,89306,,,-60999,0.0,-48105,,129979,-57449.0,-49848.0,13000,-1454,0,0,54208,13582,108991,371620,480611,480611,,0.0,38322.0,6760.0,20000.0,1.0,-52.0,-7055.0,19980.0,,,,,,,,,,,,
3645,2014年度,,277009,277009,,,201500,2760,,13313,-3403,122,-6420,-12591.0,,,,0,-55231,-57995,30.0,-15022,-10185,-138403,,1025,,36594,26468,8057,89244,-49159,146402,423411,3521,-13089,-20004,393839,,,-774289,,-789916,,54968,,,324358,-42000,0,45800,374280,-151,-21948,393568,371620,371620,,280.0,195561.0,17542.0,-1800.0,876.0,-4908.0,-9795.0,49848.0,0.0,0.0,,0.0,,0.0,-58694.0,0.0,-442.0,,,
3645,2014年01月01日至2014年09月30日,,165860,165860,,,147951,2041,,9212,-2684,19,-13062,-4982.0,,,,0,-48999,-65484,,23758,-15372,-106097,,2293,79.0,40330,27590,7914,86231,-19866,118909,284769,2754,-8500,-18699,260324,,,-463852,-120.0,-475201,,91588,,,436376,-238260,0,45800,276810,-1880,60053,393568,453621,453621,,280.0,138775.0,8025.0,-6800.0,,-4429.0,,0.0,0.0,0.0,,0.0,,0.0,-58694.0,,,,,
3645,2014年01月01日至2014年06月30日,,56650,56650,,,99252,1295,,6307,-1949,-30,4403,-4034.0,,,,-326,-34391,-36598,,34765,-12389,-48939,,-1175,540.0,10033,11123,14814,41311,-7628,97896,154546,1928,-6144,-7828,142502,,,-319907,-51.0,-342759,,362082,-229339.0,0.0,200250,-167312,0,45800,211479,-602,10620,393568,404188,404188,,280.0,105524.0,5976.0,-580.0,,-4429.0,-17792.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,
