公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分無活絡市場之債務工具投資,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 處分投資性不動產,　　 處分無活絡市場之債券投資,　　 長期應收租賃款增加,　　 取得以成本衡量之金融資產,　　　　　 其他金融負債增加（減少）,　　 存入保證金減少
5471,2015年01月01日至2015年09月30日,,364303,364303,,,43799,15571,0.0,-15303.0,1108,208.0,617.0,-4186,-7244,-685,33885.0,,,-1886,12312,22094,4003,36523,,-6577,-45794,21751,1155.0,5363,-24102,12421,46306,410609,14475.0,-77992,347092,,-20000.0,29383.0,446622.0,-56246,1132.0,-780,-12772,387339,,5721,-537207.0,-531486,2248,205193,669279,874472,874472,,,,,,,,,,,,,,,
5471,2015年01月01日至2015年06月30日,,234675,234675,,,29965,9729,0.0,-10922.0,1134,208.0,618.0,-874,-1728,-446,27684.0,,,109,-100041,-50975,9905,-141002,,-6568,38632,15887,770.0,-3140,45581,-95421,-67737,166938,9439.0,-42426,133951,,-20000.0,29383.0,437796.0,-31368,8.0,5,-13651,402173,,1586,,1586,-4461,533249,669279,1202528,1202528,,,,,,,,,,,,,,,
5471,2015年01月01日至2015年03月31日,,82299,82299,,,14522,5341,0.0,-4961.0,1339,-4.0,,-143,269,-221,16142.0,,,1136,60127,-61894,203,-428,,-8543,-20835,-23978,385.0,-2690,-55661,-56089,-39947,42352,5573.0,-462,47463,,,,0.0,-17299,8.0,0,-14063,146055,,148,,148,-2030,191636,669279,860915,860915,177347.0,62.0,,,,,,,,,,,,,
5471,2014年度,,606185,606185,,,56157,20727,-627.0,-22644.0,4458,184.0,-1333.0,1169,-13253,-957,,,,-1186,55878,-119281,-220,-64809,,4528,28383,-4049,710.0,-896,28676,-36133,34846,641031,23856.0,-118252,546635,,-56000.0,101863.0,,-29824,26.0,-1455,-15924,-353673,,3386,-537207.0,-533821,-2722,-343581,1012860,669279,669279,,,,0.0,27098.0,70979.0,-355343.0,0.0,2984.0,0.0,,,,,
5471,2014年01月01日至2014年09月30日,,484127,484127,,,42882,15655,-627.0,-15678.0,3018,142.0,-309.0,1996,-6381,-725,39973.0,,,-150,2495,-117249,-12256,-127160,,4215,18923,12119,1157.0,-1129,35285,-91875,-51902,432225,15508.0,-117461,330272,,-6000.0,85839.0,-180745.0,-23717,4.0,-1411,-11125,-137155,,5838,-537207.0,-531369,1231,-337021,1012860,675839,675839,,,,,,,,,,,,,,,
5471,2014年01月01日至2014年06月30日,,330610,330610,,,27894,9272,-627.0,-10733.0,2636,142.0,0.0,1840,4059,-486,33997.0,,,-1700,-86412,-106139,-5015,-199266,,5209,37986,32257,772.0,668,76892,-122374,-88377,242233,8163.0,-80781,169615,,0.0,79476.0,-32401.0,-21930,4.0,-936,-6448,17765,,2504,,2504,815,190699,1012860,1203559,1203559,,,,,,,,,,,,,,,
5471,2014年01月01日至2014年03月31日,,133830,133830,,,13553,5469,-627.0,-5242.0,1606,90.0,,3455,-2799,-249,15256.0,,,-101,1571,-132514,-18955,-149999,,3577,134045,-5065,386.0,-679,132264,-17735,-2479,131351,4601.0,-1347,134605,,,,-174434.0,-10348,0.0,-89,-2283,-187154,,3196,,3196,2882,-46471,1012860,966389,966389,0.0,0.0,,,,,,,,,,,,,
5471,2013年度,,673525,673525,,,41325,21218,627.0,-20558.0,5786,115.0,-10172.0,1267,-3996,-1051,,,,3842,-78015,-9835,-9521,-93529,,-4348,-38757,15873,-1278.0,-2374,-30884,-124413,-90262,583263,19167.0,-61091,541339,,-129476.0,481159.0,,-47807,166.0,-753,-12636,163523,,6915,-503631.0,-496716,3098,211244,801616,1012860,1012860,,,,-410.0,0.0,34151.0,-105636.0,-36000.0,6480.0,8026.0,,,,,
5471,2013年01月01日至2013年12月31日,,673525,673525,,,41325,21218,627.0,-20558.0,5786,115.0,-10172.0,1267,-3996,-1051,,,,3842,-78015,-9835,-9521,-93529,,-4348,-38757,15873,,-2374,-30884,-124413,-90262,583263,19167.0,-61091,541339,,-129476.0,481159.0,,-47807,166.0,-753,-12636,163523,,6915,-503631.0,-496716,3098,211244,801616,1012860,1012860,,0.0,,-410.0,,34151.0,-105636.0,-36000.0,6480.0,8026.0,,,,-1278.0,
5471,2013年01月01日至2013年09月30日,,498564,498564,,,28749,16253,0.0,-14372.0,3147,64.0,-8902.0,408,5754,-795,,,,3842,-92893,-43444,-16555,-149050,,-2532,-31006,20364,1341.0,-4228,-16061,-165111,-134805,363759,11595.0,-60665,314689,,-129477.0,419889.0,,-39360,0.0,-62,-9138,248995,,8913,-503631.0,-494718,2222,71188,801616,872804,872804,,,,,,30306.0,0.0,-36000.0,,,43143.0,0.0,,,
5471,2013年01月01日至2013年06月30日,,336592,336592,,,16823,10720,0.0,-10022.0,1562,64.0,,1668,-2207,-540,,,,3575,-222310,-64509,-11761,-295005,,5838,47305,48003,894.0,-986,101054,-193951,-175883,160709,6755.0,-59717,107747,,,50000.0,,-19505,0.0,-331,-7378,-73392,,8067,,8067,3443,45865,801616,847481,847481,,,,,,18068.0,-60178.0,-36000.0,,,,,,,
5471,2013年01月01日至2013年03月31日,,134605,134605,,,8090,5409,0.0,-5122.0,22,0.0,,320,-1251,-275,,,,689,-23696,-95011,-14741,-132759,,-3758,14874,-8496,447.0,1538,4605,-128154,-120961,13644,3515.0,-3877,13282,,,,,-4515,,-96,-1382,-224632,,2693,,2693,2543,-206114,801616,595502,595502,,,,,,7193.0,-213839.0,,,,,,-4800.0,,
5471,2012年01月01日至2012年12月31日,,661526,661526,,,28528,20280,0.0,-16741.0,2669,15.0,-945.0,-10135,1190,-1045,,,,-3594,-37793,42452,6614,7679,,8109,91948,-7044,,2882,95725,103404,127220,788746,16406.0,-50196,754956,,-6054.0,46945.0,,-26655,155.0,0,-27555,-354655,,8919,-537207.0,-528288,-9320,-137307,938923,801616,801616,,250.0,,0.0,,23816.0,-341741.0,0.0,0.0,0.0,,,,-170.0,
5471,2012年01月01日至2012年09月30日,,541219,541219,,,20474,14958,,-11266.0,557,0.0,-945.0,-8285,5921,484,,,,193,-88252,-31769,-17134,-136962,,14951,106424,39985,,6179,167539,30577,52475,593694,10509.0,-49800,554403,,-6054.0,46945.0,,-19641,,0,-23244,-43570,,5133,-537207.0,-532074,-6090,-27331,938923,911592,911592,,164.0,,,,21898.0,-41740.0,0.0,,,0.0,,,,
5471,2012年01月01日至2012年06月30日,,376400,376400,,,13814,10104,,,833,0.0,-945.0,0,-4331,313,,,,155,-261915,-16657,-6261,-284678,,30485,252117,66437,,3849,352888,68210,81785,458185,,-49361,408824,,-6054.0,46946.0,,-4631,,-596,-11743,12112,,3808,,3808,-3372,421372,938923,1360295,1360295,,,,,-6213.0,13575.0,-11810.0,0.0,,,,,,,
5471,2012年01月01日至2012年03月31日,,140763,140763,,,6937,5062,,,1000,,,0,2160,144,,,,-30,-118943,80415,12327,-26231,,3070,81314,-3024,,3703,85063,58832,68072,208835,,-326,208509,,0.0,,,-1839,,0,-11352,-13022,,0,,-338,-5511,189638,938923,1128561,1128561,,169.0,,,-6063.0,9240.0,0.0,,,,,,,,-338.0
