公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 因合併產生之現金流入,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他預付款項增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 應付租賃款減少,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　 短期借款增加,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 處分備供出售金融資產,　　 存出保證金減少,　　　　 處分投資損失（利益）,　　 處分子公司,　　 其他非流動資產減少
4958,2015年01月01日至2015年09月30日,,6319348,6319348,,,3428816,87167,-1841.0,325229,-572859,-5635.0,0,20235,0.0,124657.0,24336,3430105.0,,,0.0,-138942,-1609785,3579302,749914,-3389553,-551455,324.0,-1360195,,-25534.0,261310,-52075,576255,31330,791286,-568909,2861196,9180544,-1542403,7638141,,-5233038,63078,-22572.0,0.0,267351.0,-71295.0,-23019.0,491839,5635.0,-4522021,,1346221.0,0.0,-51626.0,0.0,-2477600.0,-57179.0,0,-2954524.0,-139659,-4334367,165619,-1052628,17903172,16850544,16850544,,,,,,,,,,,
4958,2015年01月01日至2015年06月30日,,3527639,3527639,,,2274129,58864,-1826.0,224598,-392636,0.0,0,22497,0.0,,16168,2201794.0,,,-5703.0,-56477,2438431,3266916,722199,54600,-181916,40.0,6238090,,-37419.0,-3507732,-188736,-888229,37423,-4584693,1653397,3855191,7382830,-1347652,6035178,,-2781978,20669,-20856.0,0.0,,-38437.0,-61.0,329795,0.0,-2826024,,,0.0,-51626.0,0.0,-2477600.0,,0,,-93715,1215963,-526847,3898270,17903172,21801442,21801442,-335156.0,3855278.0,-16374.0,,,,,,,,
4958,2015年01月01日至2015年03月31日,,1732500,1732500,,,1146477,29679,0.0,127356,-174656,0.0,0,11685,0.0,,8147,1148688.0,,,-10101.0,-64058,5675843,2433563,439932,946161,-122126,34.0,9299248,,-37419.0,-4921431,-191054,-1213567,15937,-6347534,2951714,4100402,5832902,-643986,5188916,,-920706,7589,-22771.0,0.0,,-2948.0,,96142,0.0,-1292403,,306466.0,0.0,,0.0,0.0,,0,0.0,-43322,253524,-212112,3937925,17903172,21841097,21841097,-449709.0,,-9620.0,,,,,,,,
4958,2014年度,,7984006,7984006,,,4196155,96697,1692.0,497296,-227863,-3681.0,10967,15704,-3346.0,228984.0,25357,,,,50725.0,3040,-5240735,8568050,24119,-870980,-303077,0.0,2231142,,,1307966,167972,-416060,-5563,1054315,3285457,8123419,16107425,-1164835,14942590,,-5344378,135124,-1746.0,555617.0,,-161447.0,-235447.0,223946,3681.0,-10179623,,-5198725.0,8937705.0,,2856988.0,-1964200.0,102133.0,-32042,-2215790.0,-245826,2240243,884231,7887441,10015731,17903172,17903172,-5354973.0,,,,0.0,4837962.0,0.0,,,,
4958,2014年01月01日至2014年09月30日,,4056114,4056114,,,3054980,69102,73.0,372513,-182997,-3681.0,10967,6897,-52122.0,0.0,18405,3294137.0,,,-11031.0,11664,-2703798,7424685,283404,-1630156,-603678,-2690.0,2768400,,0.0,-712796,-21758,-149016,-1863,-885433,1882967,5177104,9233218,-995885,8237333,,-3805636,50115,-1970.0,555617.0,500.0,-70435.0,0.0,167186,3681.0,-3100942,,-6114712.0,8937705.0,0.0,2851875.0,-1977300.0,-1904.0,-32042,-2215790.0,-224985,1222847,430873,6790111,10015731,16805842,16805842,,,,,,,,,,,
4958,2014年01月01日至2014年06月30日,,2090768,2090768,,,1985402,64003,73.0,238799,-134782,0.0,10967,616,-52122.0,,11796,2124752.0,,,7356.0,-44112,303865,6913649,255288,58754,-133437,-2145.0,7359218,,0.0,-3470937,-129254,-712347,-8115,-4320653,3038565,5163317,7254085,-819154,6434931,,-2236398,22608,-6829.0,555617.0,,-45167.0,0.0,119408,0.0,-1590261,,,8937705.0,0.0,2800313.0,-1941550.0,,-32042,,-157982,4174184,-191285,8827569,10015731,18843300,18843300,500.0,-5420857.0,-11403.0,,,,,,,,
4958,2014年01月01日至2014年03月31日,,1043424,1043424,,,981407,36588,-83.0,126266,-61514,0.0,10967,-2204,-52122.0,,5445,1044750.0,,,10634.0,-22519,3603372,4973715,400311,883610,-125971,-2449.0,9720703,,38751.0,-4317139,-128334,-1192260,-12086,-5611068,4109635,5154385,6197809,-328990,5868819,,-1093993,21720,-421.0,434943.0,,-5416.0,,45047,0.0,-598120,,-2296662.0,0.0,,2856563.0,-1980550.0,,-32464,0.0,-69343,-1533491,13659,3750867,10015731,13766598,13766598,0.0,,-11035.0,,,,,,,,
4958,2013年度,,6069931,6069931,,,3658630,83127,10391.0,382761,-129044,-3535.0,87275,38953,1764.0,345866.0,21205,,,,-14712.0,-26040,-2589226,-5704469,420660,-354328,147734,0.0,-8120381,,,3817149,34170,707492,-42847,4515964,-3604417,917714,6987645,-913704,6073941,,-4012255,51531,-105.0,0.0,,17630.0,0.0,124180,3535.0,-3468947,,-265348.0,0.0,,5491002.0,-5067700.0,-31512.0,-126435,-1406851.0,-179633,-1586477,240750,1259267,8756464,10015731,10015731,337219.0,,,,24738.0,4522131.0,9318.0,,,,
4958,2013年01月01日至2013年12月31日,,6069931,6069931,,,3658630,83127,10391.0,382761,-129044,-3535.0,87275,38953,,345866.0,21205,,,,-14712.0,-26040,-2589226,-5704469,420660,-354328,147734,,-8120381,,,3817149,34170,707492,-42847,4515964,-3604417,917714,6987645,-913704,6073941,,-4012255,51531,,,,,,124180,3535.0,-3468947,,-265348.0,0.0,,5491002.0,-5067700.0,-31512.0,-126435,-1406851.0,-179633,-1586477,240750,1259267,8756464,10015731,10015731,337219.0,,,,24738.0,4522131.0,9318.0,-105.0,1764.0,0.0,17630.0
4958,2013年01月01日至2013年09月30日,,3565360,3565360,,,2713956,60055,-5714.0,281684,-96370,-3529.0,70230,5138,0.0,,15866,,,,-3945.0,0,-1099509,-480930,932646,-521503,-190168,0.0,-1363409,,,1293343,-35468,-513561,-12503,731811,-631598,2409718,5975078,-886390,5088688,,-2809704,46200,,0.0,,29379.0,,89504,3529.0,-3129202,,-611566.0,0.0,,3044232.0,-3008748.0,-43014.0,-94603,-1406851.0,-135698,-2256248,120859,-175903,8756464,8580561,8580561,-488142.0,,,,,3041316.0,,32.0,,,
4958,2013年01月01日至2013年06月30日,,1878527,1878527,,,1774930,46900,-5703.0,186795,-58945,,22051,3128,0.0,,10524,,,,0.0,0,1871883,1095960,950206,443443,22504,0.0,4383996,,,-1589301,-93649,-1121980,45509,-2759421,1624575,3604255,5482782,-758666,4724116,,-1772345,34041,,0.0,,11555.0,,53116,,-1338412,,-3563557.0,0.0,,3088500.0,-2362500.0,-20928.0,-62748,,-91382,-3012615,148246,521335,8756464,9277799,9277799,335433.0,,,,,1979680.0,,-212.0,,,
4958,2013年01月01日至2013年03月31日,,856650,856650,,,868927,24221,0.0,93733,-26414,,11948,2919,0.0,,5199,,,,0.0,0,1477056,-23872,8012,1034266,174554,-96.0,2669920,,0.0,-2638954,-102929,-983803,-121646,-3847332,-1177412,-196879,659771,-185003,474768,,-839315,43498,,0.0,,-16599.0,,20769,,-3022905,,125063.0,,,0.0,0.0,-28503.0,-31426,,-44653,20481,194289,-2333367,8756464,6423097,6423097,-2231307.0,,,,,980533.0,,49.0,,,
4958,2012年01月01日至2012年12月31日,,5369622,5369622,,,3268811,85603,5139.0,433818,-110263,-3511.0,7540,63408,,32192.0,20460,,,,0.0,37603,-2237151,-2193977,-745483,-1153624,251922,,-6040710,,,2091633,25468,1577101,-10522,3683680,-2357030,1175308,6544930,-672229,5872701,,-3704171,51981,,,,,,111078,3511.0,-983066,,-2530281.0,5393420.0,,0.0,-1996500.0,23876.0,-121993,-669929.0,-373864,-275271,58087,4672451,4084013,8756464,8756464,-319915.0,,,,0.0,3532338.0,0.0,8238.0,-270859.0,3113582.0,-247370.0
4958,2012年01月01日至2012年09月30日,,3349243,3349243,,,2415645,63405,0.0,329647,-72921,-3511.0,-1069,28160,,,15212,,,,0.0,37277,-1120542,-949187,328474,-1969956,-439640,,-4113574,,,1510985,105761,738851,-21100,2334497,-1779077,723258,4072501,-595337,3477164,,-2839471,43732,,,,,,74656,3511.0,337829,,-5379060.0,5471453.0,,0.0,-879000.0,-15383.0,-92180,-669929.0,-224939,-1789038,-63410,1962545,4084013,6046558,6046558,0.0,,,,,2502335.0,,-7833.0,-272233.0,3141458.0,-78224.0
4958,2012年01月01日至2012年06月30日,,2297358,2297358,,,1588818,46431,0.0,218341,-43482,,-4204,17647,,,10369,,,,,23322,-290885,-744754,-66685,-520691,-311099,0.0,-1910792,,,284530,107942,84595,38664,515731,-1395061,167170,2464528,-569009,1895519,,-1871821,69580,-30033.0,,,,,45028,,1385731,,-5099670.0,5579761.0,,0.0,0.0,6068.0,-14320,,-208731,263108,-25923,3518435,4084013,7602448,7602448,,,,,,1562231.0,,,-271689.0,3203644.0,-30667.0
4958,2012年01月01日至2012年03月31日,,1156396,1156396,,,779612,21886,,127774,-15518,,-2020,2834,,,5166,,,,,29313,538121,-639343,-289406,-60581,-310811,-112063.0,-844770,,,220850,54652,-160801,120272,234973,-609797,48724,1205120,-147258,1057862,,-1120767,10127,-24119.0,,,-10049.0,,15889,,2035055,,,,,,,,-10340,,-138004,-1841322,-88902,1162693,4084013,5246706,5246706,,-1692978.0,,,,658521.0,,,-261213.0,3163974.0,
