公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 其他非流動資產減少,　　 短期借款增加,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他非流動負債減少,　　　　　 預付費用（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）
8341,2015年度,,623866,623866,,,134779,54765,745.0,-966,9223,-3602,257,545.0,2160.0,197906.0,,,-159936,15132,-34815,-395,-15981,19173.0,1553,17061,-158208,,11053,8358,4176,3514.0,8339.0,16652,-435.0,-4355.0,47302,-110906,87000,710866,3340,-10112,-76815.0,627279,,-127708,1424,1756.0,-17878.0,38230,-23278.0,-127454,,-37155.0,14975.0,0.0,-667237,490,-245300.0,517500.0,-416727,5746,88844,393977,482821,482821,,,,,,,,,,,,
8341,2015年01月01日至2015年09月30日,,435395,435395,,,99401,42615,0.0,-708,8021,-1948,474,,2004.0,149859.0,,,-41962,19950,-65058,-686,-27599,7475.0,-1457,53948,-55389,,11733,8561,-15871,2852.0,6927.0,26752,-116.0,-1692.0,39146,-16243,133616,569011,1948,-8886,-74074.0,487999,,-84596,1150,,-11255.0,7055,-17206.0,-108664,,-42896.0,2985.0,0.0,-619384,-3944,-245300.0,517500.0,-391039,7053,-4651,393977,389326,389326,-3812.0,0.0,0.0,,,,,,,,,
8341,2015年01月01日至2015年06月30日,,274009,274009,,,64714,28672,,-523,6639,-1308,628,,931.0,99753.0,,,-147522,10662,-61358,-786,-22339,-620.0,996,51689,-169278,,7224,14651,-6366,1760.0,23093.0,22733,-122.0,-3067.0,59906,-109372,-9619,264390,1200,-7087,-47945.0,210558,,-52259,718,,-3058.0,4817,-13892.0,-65405,,-42896.0,,0.0,-598335,-3861,,517500.0,-128592,3410,19971,393977,413948,413948,-1731.0,,,-1000.0,,,,,,,,
8341,2015年01月01日至2015年03月31日,,116019,116019,,,32883,14718,,-424,5042,-473,332,,,52078.0,,,-45812,11170,-70064,-469,-11212,-1502.0,365,1852,-115672,,2798,9089,-22076,830.0,7472.0,10212,-128.0,-2297.0,5900,-109772,-57694,58325,465,-4888,,53902,,-23608,490,,4513.0,-7461,-3058.0,-31070,,-6000.0,,,-573069,-4013,,517500.0,-66583,-508,-44259,393977,349718,349718,-1946.0,,,-1001.0,,,,,,,,
8341,2014年度,,374183,374183,,,137973,41602,-263.0,-772,22627,-1548,-2319,0.0,0.0,197300.0,,,83185,-42328,4226,-473,-10709,-39696.0,0,-1594,-7389,,9214,-5263,34243,2548.0,0.0,89847,-3600.0,0.0,126989,119600,316900,691083,1564,-22536,-45980.0,624131,,-50468,4134,-657.0,-12378.0,-77610,-11146.0,-148125,,43325.0,10994.0,210367.0,-285942,4065,-200000.0,0.0,-217191,-8197,250618,143359,393977,393977,,,,,,,,,,,,
8341,2014年01月01日至2014年09月30日,,264986,264986,,,103729,31164,-263.0,-1090,19091,-566,-1871,,1762.0,151956.0,,,160598,-29357,-47204,-506,-4381,-43413.0,6780,-9127,33390,,7728,13414,-11881,1933.0,0.0,65182,948.0,0.0,77324,110714,262670,527656,542,-18949,-46873.0,462376,,-70818,5383,,-74135.0,0,0.0,-130324,,0.0,4997.0,97120.0,-135925,-4309,-200000.0,0.0,-188109,-488,143455,143359,286814,286814,0.0,9246.0,50008.0,,,,,,,,,
8341,2014年01月01日至2014年06月30日,,162170,162170,,,69424,19809,,-503,11235,-513,-1454,,1165.0,99163.0,,,-14707,-20460,-7958,-383,16471,-15287.0,-542,0,-42866,,13544,8655,-537,1111.0,56600.0,0,2509.0,0.0,81882,39016,138179,300349,520,-10976,-28953.0,260940,,-23253,3046,,0.0,-94572,-41335.0,-136980,,21924.0,,178773.0,-158610,-1681,,0.0,23414,3500,150874,143359,294233,294233,19134.0,,,-16992.0,,,,,,,,
8341,2014年01月01日至2014年03月31日,,88508,88508,,,34542,10331,,-307,5679,-261,-1193,,,48791.0,,,-38875,-4554,-72454,-170,23482,-10931.0,-16928,-2891,-123321,,2355,7321,-6299,639.0,-2455.0,21814,87.0,-2019.0,21443,-101878,-53087,35421,274,-5648,,30047,,-35552,2166,,1531.0,9553,-1993.0,-25825,,0.0,,,-16674,-730,,0.0,-34396,603,-29571,143359,113788,113788,-1530.0,,,-16992.0,,,,,,,,
8341,2013年度,,303563,303563,,,123128,24580,-34.0,-740,23628,-827,-83592,,,,,,-91522,-12240,-104684,0,31708,-2715.0,24467,33904,-121082,,-2570,10019,28485,1380.0,,-1607,,,35055,-86027,39053,342616,827,-22099,-20367.0,300977,,-92780,1647,,36580.0,0,-16544.0,-75322,,,-18994.0,8000.0,-123434,8238,-80000.0,,-244776,36763,17642,125717,143359,143359,-4225.0,,0.0,,,38937.0,125080.0,-652.0,-38586.0,,,
8341,2013年01月01日至2013年09月30日,,187822,187822,,,89813,17435,0.0,-244,17035,-1269,-83490,,1070.0,,,,-26208,-125712,0,-576,58825,-41088.0,-13206,54051,-93914,,-1870,29141,-9808,1175.0,,1535,,,21122,-72792,6495,194317,1301,-16924,-20830.0,157864,,-50141,3170,,4451.0,-12513,,-55033,,,-2008.0,10737.0,-92000,10811,-80000.0,,-152460,5275,-44354,125717,81363,81363,,,0.0,,,38937.0,79287.0,949.0,,,,
