公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 員工購買庫藏股,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　 以成本衡量之金融資產減資退回股款,　　 存出保證金增加,　　 現金減資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 預付款項（增加）減少,　　 取得以成本衡量之金融資產,　　 庫藏股票買回成本,　　　　 處分投資損失（利益）,　　 處分以成本衡量之金融資產,　　 存入保證金增加
3059,2016年01月01日至2016年09月30日,,9648,9648,,,261217,11307,9189.0,-1360,19223,-39888,-610.0,26423,0,-3189.0,,,,,-424046,16692,-136767,-3141,-356127,-132655.0,-13979,-1050023,,2010.0,-163208,,-6213,8585,-156077,392,-314511,-1364534,-1082222,-1072574,46667,610.0,-19032,-41972,-1086301,,-91138,20317.0,6624,-6356,-85353,,495000,0.0,,0,,-1483.0,497091,-345188,-1019751,5741973,4722222,4722222,,0.0,,,,282312.0,,-14800.0,0.0,,,3574.0
3059,2016年01月01日至2016年06月30日,,-34649,-34649,,,179470,7632,1980.0,-914,12880,-29069,,17866,0,-3245.0,,,,,-383344,14773,307975,4815,-220841,-118395.0,-20050,-415067,,,-456643,,-4209,11001,-148860,392,-598319,-1013386,-826786,-861435,32663,,-12930,-33350,-875052,,-74945,20679.0,6517,-6366,-54115,,475000,,,0,,-1483.0,474019,-151121,-606269,5741973,5135704,5135704,,,,,,186600.0,,0.0,,,,502.0
3059,2016年01月01日至2016年03月31日,,-59337,-59337,,,91284,3862,1061.0,-446,6440,-13123,,7047,0,,,,,,-336623,8550,507287,-16910,-245205,5253.0,-17142,-94790,,,-619379,,13623,7817,-152042,392,-749589,-844379,-748254,-807591,9413,,-6270,-7079,-811527,,-65726,,6378,-1706,-61054,,424000,,,0,,-893.0,423107,-97008,-546482,5741973,5195491,5195491,,,,,,96125.0,,,,,,
3059,2015年度,,282511,282511,,,426624,15529,502.0,-2005,20459,-50299,-267.0,5113,15175,-1974.0,,,,,-63124,55710,106201,814,93137,76547.0,-6875,262410,,,-452745,,-61409,-48626,-76208,341,-638647,-376237,62229,344740,48383,267.0,-20364,-57103,315923,,-53096,1974.0,-7274,-8839,-49338,,320000,-6022.0,-270254.0,4071,,76571.0,-5027,38565,300123,5441850,5741973,5741973,20442.0,5806.0,,0.0,,438466.0,,-20389.0,-129393.0,-10833.0,32480.0,
3059,2015年01月01日至2015年09月30日,,246634,246634,,,311605,11581,0.0,-1754,14802,-37957,-267.0,2451,10739,-3469.0,,,,,28585,31135,-756591,-2643,-224660,13077.0,-13333,-924430,,,-642054,,-4588,-9087,25973,353,-629403,-1553833,-1246102,-999468,36422,267.0,-14715,-53941,-1031435,,-46657,3469.0,1293,-8839,-65302,,140000,-6022.0,,4071,,0.0,104794,106377,-885566,5441850,4556284,4556284,,5806.0,,,,307731.0,,-20374.0,-33255.0,,,
3059,2015年01月01日至2015年06月30日,,53206,53206,,,199386,7633,,4232,9585,-25511,,1739,5084,0.0,,,,,-47215,7709,-60046,5564,-653326,-3282.0,-17266,-767862,,,-525640,,-56147,3033,96361,0,-482393,-1250255,-1048107,-994901,25824,,-9737,-45768,-1024582,,-21275,0.0,1348,-6591,-46873,,132000,0.0,,4071,,,136071,-159726,-1095110,5441850,4346740,4346740,,,,,,202148.0,,-20355.0,,,,
3059,2015年01月01日至2015年03月31日,,3204,3204,,,101425,3840,,1377,4958,-14011,,1026,1534,0.0,,,,,-98114,-7424,352738,-4780,-296359,,-7424,-55473,,,-843349,,-83954,-2011,-9889,0,-939203,-994676,-894527,-891323,13947,,-4859,-10852,-893087,,-17920,0.0,0,-5091,-23154,,263000,0.0,,4071,,,267071,-81548,-730718,5441850,4711132,4711132,,,-143.0,,,100149.0,5890.0,,,,,
3059,2014年度,,310882,310882,,,377248,19488,37.0,4638,17276,-68429,-572.0,6957,148933,-19349.0,,500321.0,,,75374,28317,-48611,30280,166268,-15852.0,8028,243804,,0.0,421927,0.0,-106597,-90823,-164317,626,60816,304620,804941,1115823,76024,572.0,-17069,-20516,1154834,,-139383,19448.0,3059,-6660,-119336,,410000,-2339.0,0.0,197372,0.0,-921.0,-553613,340553,822438,4619412,5441850,5441850,14094.0,4200.0,0.0,-1157725.0,,,,,,,,
3059,2014年01月01日至2014年09月30日,,293633,293633,,,278052,14422,,4289,13332,-55423,-572.0,5614,70764,-2136.0,,328342.0,,,-819269,15492,-530940,16798,250103,-24674.0,6138,-1086352,,0.0,-23788,0.0,-113795,-66433,-84498,346,-288168,-1374520,-1046178,-752545,66000,572.0,-10101,-14375,-710449,,-105471,2236.0,3367,-5533,-105401,,608551,-2339.0,0.0,197372,0.0,-921.0,802663,98012,84825,4619412,4704237,4704237,,,,,,,,,,,,
3059,2014年01月01日至2014年06月30日,,254322,254322,,,184825,9515,0.0,4519,7115,-42392,0.0,3952,27897,-2079.0,,193352.0,,,-120799,16359,-1780396,-23460,193719,-64383.0,6327,-1772633,,0.0,788113,0.0,-109982,-77904,-32717,346,567856,-1204777,-1011425,-757103,54256,0.0,-7023,-3919,-713789,,-91143,2079.0,2736,-4156,-90484,,0,-906.0,,197372,0.0,0.0,196466,-4519,-612326,4619412,4007086,4007086,,,,,,,,,,,,
3059,2014年01月01日至2014年03月31日,,97982,97982,,,92542,4871,0.0,-11401,3383,-24693,0.0,2290,14217,-1893.0,0.0,79316.0,,,-34714,-62935,-235961,5393,195027,-33393.0,6798,-159785,,0.0,-187991,0.0,-105061,-26080,156091,346,-162695,-322480,-243164,-145182,23337,0.0,-3335,-2422,-127602,,-24137,535.0,740,-3369,-26231,,200000,-906.0,0.0,6119,0.0,0.0,205213,120742,172122,4619412,4791534,4791534,,,,,,,,,,,,
3059,2013年度,,-367501,-367501,,,321504,16408,0.0,-11003,10972,-63991,-477.0,17233,42087,30462.0,,387564.0,,,-2882,-101802,564475,-31946,372692,55162.0,-7438,848261,,-40.0,-633847,-97.0,-524764,-19560,-99677,-626,-1278611,-430350,-42786,-410287,62915,477.0,-10726,-48563,-406184,,-643643,31660.0,0,-43491,-606576,,1000000,0.0,-373001.0,0,69165.0,-4072.0,692092,241280,-79388,4698800,4619412,4619412,24369.0,55797.0,-6899.0,0.0,,,,,,,,
3059,2013年01月01日至2013年09月30日,,38297,38297,,,239505,11208,,-7385,7946,-47681,-534.0,14310,32812,-491.0,,249690.0,,,79018,-6680,-1422538,-66031,148882,26023.0,-8006,-1249332,,-40.0,325778,-97.0,-444045,-35617,-22142,-626,-176789,-1426121,-1176431,-1138134,48681,534.0,-7789,-43550,-1140258,,-639813,2336.0,-7350,-43139,-687966,,600000,0.0,-373001.0,0,69165.0,-3259.0,292905,172854,-1362465,4698800,3336335,3336335,,,,,,,,,,,,
3059,2013年01月01日至2013年06月30日,,-29184,-29184,,,155027,6036,0.0,-4519,5167,-31785,0.0,10747,17164,-401.0,,157436.0,,,49527,0,-728146,1614,-853300,-157545.0,-9640,-1697490,,-40.0,1912411,-97.0,-288090,11860,-91328,-626,1544090,-153400,4036,-25148,22584,0.0,-4818,-38750,-46132,,-398131,513.0,-7911,-20348,-425877,,450000,0.0,,0,69165.0,-2192.0,516973,253135,298099,4698800,4996899,4996899,,,,,,,,,,,,
3059,2013年01月01日至2013年03月31日,,-45730,-45730,,,73100,2026,0.0,-4447,2555,-16372,0.0,6241,8488,-248.0,0.0,71343.0,,,58059,0,256256,-1624,-103518,9129.0,-4590,213712,,0.0,-187681,-40.0,-103027,10617,42634,-626,-238123,-24411,46932,1202,11461,0.0,-2155,-32634,-22126,,-248536,281.0,320,-11331,-259266,,250000,0.0,0.0,0,37834.0,0.0,287834,180482,186924,4698800,4885724,4885724,,,,,,,,,,,,
