公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 退還（支付）之所得稅,　　 處分不動產、廠房及設備,　　 其他投資活動,　　 應付短期票券增加,　　　　　 其他營業資產（增加）減少,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　　 其他金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　　 收益費損項目,　　　　 收益費損項目合計,　　 其他金融資產增加,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產增加
1469,2016年01月01日至2016年09月30日,,-36015,-36015,,,6171,3,385,3112,3726,-2746,,,,,-2488,-14411,11074,-688,37158,,2528,1308,-969,-778,2089,39247,49898,13883,1887,-3540,12111,,-1137,,-9914,,215000,,219000,221197,30675,251872,251872,,43671.0,,-119.0,,,4000.0,,,,,,,10651.0,-2014.0,,-6763.0
1469,2016年01月01日至2016年06月30日,,-14803,-14803,,,4117,3,-349,2555,2297,-1649,,,,,-7830,-18151,8078,580,26266,,-9716,1059,-721,-1059,-10437,15829,22803,8000,711,-2154,6557,,-1137,,-32521,,163000,,87000,61036,30675,91711,91711,,43589.0,,0.0,,,-76000.0,,,,,,,6974.0,-31521.0,,137.0
1469,2016年01月01日至2016年03月31日,,-6762,-6762,,,2037,3,-521,1403,1110,-835,,,,,3764,-30100,7618,-817,-19535,,-11122,2791,1810,-298,-6819,-26354,-23157,-29919,418,-1029,-30530,,-339,,-260,,99000,,31000,210,30675,30885,30885,,0.0,,0.0,,,-68000.0,,,,,,,3197.0,,,79.0
1469,2015年度,,-5187,-5187,,,10625,350,-300,9970,2998,-2921,,,,,-1259,18043,-28939,60160,29151,,14701,-7601,-3056,801,4850,34001,54723,49536,2622,-3007,48852,,-520,0.0,-236710,,70850,,101850,-86008,116683,30675,30675,,-18854.0,,-299.0,,,31000.0,,,,,,,20722.0,-234377.0,5.0,-1813.0
1469,2015年01月01日至2015年09月30日,,7014,7014,,,8143,342,1236,8513,2044,-1991,,,,,-9394,-42603,-7874,6572,-22728,,18963,-1377,-1143,513,16956,-5772,12515,19529,2033,-2075,19188,,-606,0.0,-125762,,14850,,47850,-58724,116683,57959,57959,,31732.0,,-299.0,,,33000.0,-1161.0,,,,,,18287.0,-125156.0,,
1469,2015年01月01日至2015年06月30日,,9823,9823,,,5473,256,777,-491,1224,-1416,,,,,-9022,-37035,-20454,6086,-68362,,12480,2666,7135,615,22896,-45466,-39643,-29820,1045,-1254,-30328,,-275,,-275,,-31150,,3850,-26753,116683,89930,89930,,-7937.0,,-299.0,,,35000.0,,,,,,,5823.0,,,
1469,2015年01月01日至2015年03月31日,,-11412,-11412,,,2647,128,1333,-925,566,-831,,,,,2956,-14468,-15217,3447,12909,,-2733,-1834,-1924,572,-5919,6990,9908,-1504,68,-574,-2010,,-275,,-275,,-39150,,-29150,-31435,116683,85248,85248,,36191.0,,,,,10000.0,,,,,,,2918.0,,,
1469,2014年度,,-405,-405,,,11424,510,386,-344,2154,-1952,,12063.0,,,13963,58618,2149,-61788,-32084,,-11066,2959,3119,9,-4989,-37073,-25010,-25415,1952,-2169,-22616,,-932,-879.0,-1811,,-100850,,32150,7723,108960,116683,116683,0.0,-45026.0,,3016.0,0.0,,133000.0,,-115.0,0.0,0.0,-10.0,,,,,
1469,2014年01月01日至2014年09月30日,,7870,7870,,,8682,383,-197,438,1631,-1614,,9323.0,,,5002,13596,12121,-2223,28591,,22343,8692,4135,678,35848,64439,73762,81632,1523,-1672,81483,,-759,-879.0,-1638,,-160000,,-18000,61845,108960,170805,170805,,95.0,0.0,0.0,,,142000.0,,,,,,,,,,
1469,2014年01月01日至2014年06月30日,,2852,2852,,,5941,256,-1451,178,1050,-1068,,4906.0,,,5165,801,2527,1752,10245,,6525,-1641,5277,490,10651,20896,25802,28654,104,-1092,27666,,-140,0.0,-140,,-160000,,-32000,-4474,108960,104486,104486,,0.0,0.0,0.0,,,128000.0,0.0,,,,,,,,,
