公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 其他各項負債準備淨變動,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 附賣回票券及債券投資（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 央行及同業融資增加,　　 應付商業本票增加,　　 應付款項減少,　　 其他負債增加,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　　　 股利收入,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　 收取之股利,　　 存出保證金減少,　　 處分投資性不動產,　　　　　 其他金融負債增加（減少）,　　 處分不動產及設備,　　 存入保證金減少,　　 其他負債減少,　　 發放現金股利,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 營業保證金減少,　　 交割結算基金減少,　　 非控制權益變動,　 匯率變動對現金及約當現金之影響,　　 交割結算基金增加,　　 其他金融資產增加,　　　　　 負債準備增加（減少）
2889,2014年01月01日至2014年09月30日,,1760263,,1760263,,,55775,20939,67777,748462,-1943072,,-48951,-16215,24537.0,,-1195290,,,-1167606,-6844726,-320219,-526003,37551,-551591.0,-9372594,,3309119,-460193,-1636,209072.0,2830875,-6541719,-7737009,-5976746,1874768,-742208,-78796,-4763450,,-34060,,-10836,,-1836.0,-139155,,-718912,5352270,0.0,,0,4042206,-846931,3152940,2306009,2305961,48,-104542.0,-84133.0,159532.0,2927.0,,-88670.0,28207.0,,,-592956.0,,,,-33818.0,0.0,,15000.0,,1804.0,13468.0,-7839.0,-96900.0,-52684.0
2889,2014年01月01日至2014年06月30日,,1315843,,1315843,,,37673,13691,16848,478668,-1250294,-53443.0,-31165,-16047,24537.0,,-793784,,,-1088807,-9247424,-558841,-1751539,26118,250290.0,-12370203,,6528700,626668,-1092,29921.0,7015600,-5354603,-6148387,-4832544,1161049,-468951,-251403,-4316591,,-21460,,-5326,,-1396.0,-133898,,37360,4297762,0.0,,0,3743970,-723681,3152940,2429259,2429174,85,-14252.0,-134454.0,75258.0,3178.0,,-34143.0,28039.0,,,-592956.0,,,,-32180.0,0.0,,0.0,,1804.0,-17162.0,-7853.0,-96900.0,
2889,2014年01月01日至2014年03月31日,,758020,,758020,,,19291,6921,16455,249618,-686422,-54206.0,-15954,1,,,-464296,,,14468694,-5270277,9793,-300920,278061,20021.0,9205372,,-17642913,-940888,-530,-12124.0,-18650910,-9445538,-9909834,-9151814,598693,-247395,-106990,-8907506,,-11731,-10547.0,-2322,-71400.0,-57.0,-120938,,6789376,1131821,0.0,,0,7918568,-1110985,3152940,2041955,1841951,200004,,-87192.0,,,,32737.0,0.0,,,,,,,-17702.0,0.0,,0.0,,-2629.0,-1109.0,-7179.0,,
2889,2013年01月01日至2013年12月31日,,1647920,0.0,1647920,,,81609,27409,22722,1114504,-2603726,-37743.0,-142383,511,46573.0,,-1557839,,,-12104943,5862248,-204800,-4377149,323180,,-10501464,,2425504,2578485,-6215,,5179096,-5322368,-6880207,-5232287,2213286,-1110347,14646,-4019606,,-42603,,-14093,,,114662,,5024451,1005304,,,-216320,5303033,1425455,1727485,3152940,1722845,1430095,-67219.0,42496.0,95096.0,187911.0,0.0,138826.0,6892.0,,-58742.0,-450536.0,0.0,0.0,-96.0,-196056.0,3698.0,31000.0,129404.0,8509.0,-1124.0,27366.0,,,
2889,2013年01月01日至2013年09月30日,,1047258,0.0,1047258,,,60156,19600,61754,858121,-1950168,,-36518,5452,30368.0,27877.0,-953495,,,-18545544,10089156,-1453544,-2565318,-660297,,-13135547,,3607767,1572031,-6092,147967.0,5744899,-7390648,-8344143,-7296885,2080409,-865349,220179,-5796856,,-22730,,-11613,,,196565,,5326224,1059003,,,-216320,5657676,57385,1727485,1784870,1584822,200048,-30137.0,404383.0,64790.0,230412.0,,18843.0,496.0,-1953.0,-58742.0,-450536.0,,,,,,,,,,,,,
2889,2013年01月01日至2013年06月30日,,651261,0.0,651261,,,40438,14955,17509,578347,-1279430,,-20618,6778,30368.0,-355869.0,-984231,,,-6365660,6325449,-614793,-2478868,-130792,,-3264664,,-1828520,1136444,-5538,,-720728,-3985392,-4969623,-4318362,1178731,-587336,166081,-3547113,,-12011,,-9883,,,183652,,3751933,463821,-58742.0,,-216320,3940692,577231,1727485,2304716,1794701,510015,-16709.0,-23114.0,13773.0,205546.0,0.0,,,,,,,,,,,,,,,,,,
2889,2013年01月01日至2013年03月31日,,383230,0.0,383230,,,20425,7314,-17671,292023,-655483,3670.0,-8603,4912,990.0,-373150.0,-725573,,,-3000812,232149,-110991,584136,-71188,4600.0,-2362106,,-2340296,-719907,-5218,13591.0,-3051830,-5413936,-6139509,-5756279,632299,-298232,252791,-5169421,,-5259,120562.0,-7940,0.0,-1002.0,106361,,4669388,1238272,-58742.0,7271.0,-216320,5639869,576809,1727485,2304294,1634213,670081,,,,,,,,,,,,,,,,,,,,,,,
2889,2012年01月01日至2012年12月31日,,1752283,0.0,1752283,,,86585,25340,-127742,1333063,-2756116,159634.0,-38451,5294,16973.0,,-1332355,,,25454230,-15480448,555025,32212,-269671,,10291348,,-13815003,-477467,854,,-14371440,-4080092,-5412447,-3660164,2713398,-1320888,-388530,-2579270,,-42373,,-8696,,,41420,,3545261,-404197,,,-268914,2146469,-396583,2124068,1727485,1727453,32,-54105.0,-59177.0,76914.0,-10810.0,53300.0,-20647.0,1769.0,,0.0,-736437.0,17325.0,9.0,-164.0,-62155.0,9437.0,0.0,0.0,100948.0,10756.0,-5202.0,,,
2889,2012年01月01日至2012年09月30日,,1581130,0.0,1581130,,,63809,19667,-3927,1008333,-2087460,,-18646,22534,0.0,22809.0,-1001887,,,16024562,-13202164,303010,-1206897,211087,,2129598,,-9293706,-158282,-2480,0.0,-9136261,-7006663,-8008550,-6427420,2098541,-1064794,-260398,-5624925,,-34477,,-6799,,,11835,,5943366,234705,,,0,5193488,-419602,2124068,1704466,1704458,8,-29006.0,-67139.0,29146.0,-300.0,,385346.0,53411.0,-248146.0,0.0,-736437.0,,,,,,,,,,,,,
2889,2012年01月01日至2012年06月30日,,1253113,0.0,1253113,,,42495,12845,0,670373,-1402813,,-10819,17377,0.0,-490734.0,-1169564,,,15460108,-11347638,119309,-715688,272397,,3788488,,-5166665,-1292893,-1934,,-6308306,-2519818,-3689382,-2436269,1032191,-661359,-159897,-2217046,,-6964,,-6291,,,261504,,2389932,-354050,0.0,,0,2035882,80340,2124068,2204408,2204343,65,-8288.0,153186.0,8288.0,221459.0,53300.0,,,,,,,,,,,,,,,,,,
