公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 其他投資活動,　　 庫藏股票買回成本,　　 其他籌資活動,　　　　　 預付費用（增加）減少,　　　　　 其他營業資產（增加）減少,　　 存出保證金增加,　　 存出保證金減少,　　 短期借款減少,　　 發放現金股利,　　　　 股利收入,　　 收取之股利,　　 非控制權益變動,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　 處分備供出售金融資產,　　 處分子公司,　　　　　 其他營業負債增加（減少）,　　 處分採用權益法之投資,　　　　　 應付帳款－關係人增加（減少）,　　 其他應收款－關係人增加
2439,2016年01月01日至2016年09月30日,,1525765,1525765,,,234353,30837,11624.0,-90020,22215,-15297,,-8432,-2025,,-13358,-329997,,,-521169,-4224,-794722,-39288,-28147,,-38724,-1696022,,-1589,1249091,-105930,60459,-17113,1623177,-72845,-402842,1122923,16147,-2219,-119376,1017475,,,-19469,44985,-70258,,-263730,,16718,0,,11999.0,0.0,-563371,-283438,-93064,2530016,2436952,2436952,59475.0,-60645.0,-292676.0,0.0,,-269748.0,0.0,,0.0,,-592088.0,,,,-31717.0,-468177.0,103754.0,34598.0,,,438259.0,-63494.0
2439,2016年01月01日至2016年06月30日,,385132,385132,,,171390,20940,6484.0,-10491,14560,-10405,0.0,13172,-2741,0.0,-12251,176113,,,-235163,-8594,45810,-36505,212565,-190941.0,45037,-167791,,-1596,18075,-49127,48709,-17370,13226,-154565,21548,406680,10405,0,-52704,364381,,,-250966,37503,-46061,26881.0,-146806,,-43457,0,,0.0,,-43457,-97160,76958,2530016,2606974,2606974,32970.0,-29902.0,,0.0,,,,,,,,,,,-19023.0,4478.0,48171.0,,14535.0,34598.0,,
2439,2016年01月01日至2016年03月31日,,15093,15093,,,85541,7919,,-6044,6879,-5938,,5320,743,,-16320,63564,,,-86161,0,807955,-34643,178863,5216.0,96552,967782,,-1596,-872485,-159941,8378,-17612,-1043256,-75474,-11910,3183,6928,-162,-5600,4349,,,-103826,15515,-28841,23363.0,-9939,,-41435,0,,-728.0,,-42163,-29465,-77218,2530016,2452798,2452798,,,,,,,,,1081.0,,,,,,-19014.0,4478.0,48171.0,34598.0,,,,
2439,2015年度,,813300,813300,,,317392,39434,,-915,23614,-23889,,35727,15150,,-11675,394838,,,-91937,7365,275282,32482,-138049,,12912,94537,,804,95024,81412,68490,1075,246805,341342,736180,1549480,20918,-1413,-253075,1317410,,,-935014,151223,-132002,-19386.0,-1172967,,135905,1507500,1238.0,,,570512,147767,862722,1667294,2530016,2530016,,-237939.0,,-103058.0,,-3518.0,,,151.0,0.0,-888131.0,0.0,1500.0,-82942.0,,,,,,,,
2439,2015年01月01日至2015年09月30日,,429031,429031,,,236665,28715,0.0,30189,16147,-18243,,7683,11141,,28091,340388,,,35214,2107,-31022,28707,-259772,,74884,-185113,,2733,129474,16994,107764,946,257911,72798,413186,842217,16790,-973,-219164,638870,,,-705485,134648,-18887,,-841477,,154757,1507500,,,0.0,672226,10194,479813,1667294,2147107,2147107,-11179.0,-229939.0,-8766.0,-103058.0,1158.0,-35231.0,0.0,-1869.0,0.0,0.0,-888131.0,,,,,,,,,,,
2439,2015年01月01日至2015年06月30日,,118342,118342,,,155367,21103,,-26181,11064,-13412,0.0,7164,6876,0.0,-20012,141969,,,-250731,7365,525132,40396,68186,-28981.0,98765,460132,,2676,-618705,33307,81421,601,-500700,-40568,101401,219743,10570,-973,-150841,78499,,,-583505,98728,-3160,-4757.0,-776276,,142894,1507500,,,,1644658,-14894,931987,1667294,2599281,2599281,-104256.0,-179326.0,0.0,-6774.0,1038.0,,,,,,,,,,,,,,,,,
2439,2015年01月01日至2015年03月31日,,98843,98843,,,78380,8619,0.0,1586,4041,-4793,0.0,3173,9482,0.0,11103,111591,,,-206862,712,661494,25441,-24141,-62413.0,114075,508306,,-740,-509043,-53403,53544,302,-509340,-1034,110557,209400,3751,-5,-20299,192847,,50754.0,-160838,42354,-33537,-3305.0,-104572,,0,1507500,0.0,-50.0,0.0,1507450,-60990,1534735,1667294,3202029,3202029,,,,,,,,,,,,,,,,,,,,,,
2439,2014年度,,1559414,1559414,,,283855,32061,,-681,1609,-9654,,-2110,19912,,-50427,274565,,,257080,12998,-299462,-42057,-34227,,14028,-98572,,454,-130961,41061,22694,-9302,-76054,-174626,99939,1659353,9654,-1609,-135278,1532120,,,-969227,99481,-44314,-63166.0,-973497,,0,0,5641.0,,,-959283,72475,-328185,1995479,1667294,1667294,,1896.0,,0.0,,-6932.0,,,1833.0,-312922.0,-652002.0,0.0,0.0,0.0,,,,,,,,
2439,2014年01月01日至2014年09月30日,,1207630,1207630,,,206710,26935,0.0,-9301,1492,-21574,,-9269,12884,,-13568,194309,,,314043,17975,-200660,-10933,-38161,,109912,165435,,803,-73582,7784,40528,1042,-23425,142010,336319,1543949,21708,-1741,-192917,1370999,,,-599480,22263,-19743,,-604399,,0,0,,,0.0,-966374,-4428,-204202,1995479,1791277,1791277,0.0,0.0,-9272.0,0.0,-1450.0,-26741.0,0.0,0.0,1833.0,-312922.0,-652002.0,,,,,,,,,,,
2439,2014年01月01日至2014年06月30日,,713346,713346,,,139321,15691,,-964,1321,-15823,0.0,-4953,5142,0.0,-17502,122233,,,258903,15706,231210,-5707,78890,-12492.0,162174,728684,,1283,-553160,-15755,12246,626,-554760,173924,296157,1009503,15241,-1571,-111632,911541,,,-328841,12170,-7939,-987.0,-773465,,-47858,0,,,,-49308,-15237,73531,1995479,2069010,2069010,0.0,0.0,-447868.0,0.0,-1450.0,,,,,,,,,,,,,,,,,
