公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 無活絡市場之債務商品投資到期還本,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 預付設備款增加,　　 其他預付款項增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 取得子公司股權,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資性不動產損失（利益）,　　 處分以成本衡量之金融資產,　　 處分投資性不動產,　　　　 股利收入,　　　　　 應收帳款－關係人（增加）減少,　　 處分無活絡市場之債券投資,　　 處分子公司,　　 發放現金股利,　　 現金減資,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　 存入保證金減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 舉借長期借款,　　　　　 持有供交易之金融資產（增加）減少,　　 取得投資性不動產,　　　　　 持有供交易之金融負債增加（減少）,　　 取得無活絡市場之債券投資,　　 其他金融資產增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 無活絡市場之債務工具投資到期還本,　　 取得無活絡市場之債務工具投資,　　 預付投資款增加
1451,2016年01月01日至2016年09月30日,,734256,734256,,,426164,8437,39207,12215,-25988,-35248,7951,0.0,,,,,,-432,243300,3599,294762,-44759,-11559,485897,,-31140,37731,-4383,57512,-8654,-1709,,-69532,416365,833087,1567343,-103742,1463601,,,,-20696,0.0,42227.0,-83508,2547,1948,-270172,,31974,22368.0,-273362,,-305284,,-58.0,,-12351,,-917693,-96272,176274,1614577,1790851,1790851,,0.0,,,,,,-600000.0,,2931.0,-17961.0,,-986.0,,986.0,,0.0,,-50.0,,416722.0,-118889.0,0.0,,
1451,2016年01月01日至2016年06月30日,,534791,534791,,,283611,5674,44191,8533,-17775,-9900,7954,,,,,,,1268,-115729,-1963,258150,-48842,-5880,88424,,-26604,-55161,-4685,13370,-8654,-977,,-199660,-111236,182183,716974,-68599,648375,,,,-696,,,-52805,2544,2203,-213099,,23195,22368.0,-236290,,-117528,,-54.0,,-8411,,-125993,-38776,247316,1614577,1861893,1861893,,,,,,,,,,0.0,-27354.0,,-1515.0,,1420.0,,0.0,,0.0,,293419.0,-116949.0,0.0,,-20000.0
1451,2016年01月01日至2016年03月31日,,282131,282131,,,143078,2863,15630,4477,-8914,-1439,8248,,,,,,,640,402672,15788,-115044,-33775,-1730,268551,,-5670,7503,-9431,-44256,1201,-3139,,-167138,101413,246098,528229,-667,527562,,,,-696,,,-26059,132,3487,-81503,,8939,0.0,-95700,,16193,,-31.0,,-4518,,11644,-24035,419471,1614577,2034048,2034048,,,,,,,,,,0.0,-19460.0,,202.0,,0.0,,0.0,,0.0,,144685.0,-113346.0,,,
1451,2015年度,,822370,822370,,,725409,11172,-17329,19762,-36667,-24532,-1823,-8043.0,,,,,,2331,20801,-5103,156133,-84976,22239,111722,,6615,-40204,-10366,-16954,4051,4251,,-57884,53838,652117,1474487,-105123,1369364,,0.0,,-30655,2531.0,7366.0,-93361,4251,1236,-283165,,46389,14480.0,-223986,,-173592,0.0,-344.0,,-20035,0.0,-913971,-46596,184811,1429766,1614577,1614577,,8043.0,,-809.0,,,,-720000.0,,2004.0,-70568.0,,-297.0,0.0,297.0,0.0,-102.0,,3889.0,,598279.0,-5175.0,95010.0,0.0,
1451,2015年01月01日至2015年09月30日,,514861,514861,,,565263,8332,-8934,14859,-27607,-7553,-1441,-8043.0,,,,,,-326,-84644,12297,35591,-81296,5061,-113020,,12945,68426,-11296,-51082,-109,-5108,,12746,-100274,370046,884907,-103084,781823,,0.0,,-30655,2531.0,7366.0,-72056,2440,-322,-124652,,32669,10347.0,-65390,,28175,0.0,22.0,,-14790,,-706593,-28716,-18876,1429766,1410890,1410890,,8043.0,,,,,,-720000.0,,2004.0,-66263.0,,-297.0,0.0,297.0,0.0,-102.0,,3889.0,,470320.0,-928.0,95010.0,,
1451,2015年01月01日至2015年06月30日,,115935,115935,,,386679,5526,1135,9918,-18489,-3971,-1251,0.0,,,,,,-424,-159760,5583,-11505,-41544,18016,-189337,,3186,-40540,-10314,-98335,2054,1334,,-143793,-333130,6623,122558,-92633,29925,,0.0,,-655,,,-59606,1991,394,-75861,,23545,10347.0,-946,,-20220,0.0,36.0,,-9898,,-30082,-74044,-75147,1429766,1354619,1354619,,0.0,,,,,,,,2004.0,-41501.0,,-297.0,0.0,297.0,,-102.0,,3889.0,,339753.0,-1076.0,95010.0,,0.0
1451,2015年01月01日至2015年03月31日,,58106,58106,,,196156,2798,-20271,5064,-9613,-1485,-257,0.0,,,,,,-429,496620,-6859,-432256,-21319,24744,60798,,-20206,70039,-21768,-93688,5861,-354,,-61393,-595,165844,223950,-921,223029,,0.0,,0,,,-10466,591,-405,-34823,,9862,10347.0,-21005,,-74792,0.0,28.0,,-5141,,-79905,-40874,81245,1429766,1511011,1511011,,0.0,,,,,,,,2004.0,-7660.0,,-297.0,,297.0,,-102.0,,3889.0,,166439.0,-1175.0,0.0,,
1451,2014年度,,891942,891942,,,770494,10904,988,19942,-35478,-29066,-36314,-139163.0,,,594359.0,,,1480,-79061,41819,268701,-20572,-43852,168773,,-16895,-120187,-4354,78723,-2245,-115,-14037.0,-81130,87643,682002,1573944,-190551,1383393,,177527.0,30261.0,-120635,0.0,24555.0,-158987,39087,-175,-242466,0.0,43773,24850.0,-127260,,-857683,-210000.0,-1104.0,0.0,-20102,-4785.0,-983674,16819,289278,1140488,1429766,1429766,,160727.0,,0.0,,,,-800000.0,0.0,2709.0,27479.0,,1864.0,910000.0,258.0,-6878.0,-2020.0,-95010.0,-3889.0,,,,,,
1451,2014年01月01日至2014年09月30日,,729382,729382,,,572425,8155,-6799,14845,-25937,-27517,-13083,-139163.0,,,385931.0,,,-3631,41909,34259,130414,-42550,-23817,136818,,-31979,-191652,964,56736,18985,1261,-9862.0,-155547,-18729,367202,1096584,-189732,906852,,177527.0,30261.0,-120635,0.0,24555.0,-143453,15689,-848,-208316,0.0,30573,24850.0,-15948,,-690188,-210000.0,-1132.0,0.0,-14778,0.0,-806098,-8922,75884,1140488,1216372,1216372,,160727.0,,0.0,,,,-800000.0,0.0,2709.0,-11.0,,307.0,910000.0,234.0,-6878.0,,,,,,,,,
1451,2014年01月01日至2014年06月30日,,556134,556134,,,377591,5469,10034,9224,-17730,-24404,-12529,-65356.0,,,258935.0,,,-1082,-260542,11292,125524,-27203,-19691,-171702,,-9872,-146651,-6801,4329,26678,1575,-2421.0,-133163,-304865,-45930,510204,-121419,388785,,74514.0,30261.0,-635,0.0,,-110237,14331,-988,-156648,0.0,21628,12068.0,44303,,-892548,-210000.0,-1130.0,0.0,-9601,0.0,-203279,-9311,220498,1140488,1360986,1360986,,160009.0,,,,,,,,,-23047.0,,-317.0,910000.0,,,,,,,,,,,
1451,2014年01月01日至2014年03月31日,,295191,295191,,,185497,2675,1558,4498,-8834,-19984,-3689,-56293.0,,,90031.0,,,3405,212424,24618,-284197,-519,-5677,-49946,,8259,124900,-35560,-31439,11467,-292,624.0,77959,28013,118044,413235,-904,412331,,64204.0,30261.0,-635,0.0,,-75103,3837,-908,-100607,,9062,,-28375,,-322749,-210000.0,2.0,0.0,-4534,0.0,-537281,11880,-141445,1140488,999043,999043,,41514.0,,,,,,,,,-15397.0,,,,,,,,,,,,,,
1451,2013年度,,932733,932733,,,719604,11171,7304,16561,-32450,-11772,-361,-67844.0,,,594115.0,,,254,-345570,-5304,-478316,-63141,48433,-843644,,32042,79805,11988,61366,6848,-9815,-8500.0,173734,-669910,-75795,856938,-75661,781277,,60106.0,29465.0,-657650,2872.0,0.0,-188088,7035,-3573,-289189,-13879.0,45130,17036.0,-869113,,1053792,-420000.0,-45.0,-19107.0,-16363,26064.0,-269972,-38842,-396650,1537138,1140488,1140488,,121622.0,,-4194.0,,,,-563063.0,-331250.0,36687.0,-80591.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
