公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款減少,　　 其他預付款項增加,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 未實現銷貨利益（損失）,　　 取得採用權益法之投資,　　 存出保證金增加,　　 預付設備款增加,　　 舉借長期借款,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　 預付投資款增加,　　 其他應付款－關係人增加,　　　　 其他項目,　　　　　 其他流動資產（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 其他應付款－關係人增加（減少）
2465,2016年01月01日至2016年09月30日,,-121526,-121526,,,17764,13894,7636,9736,-422,11571,24,0,63203,,,-1,-45143,-3147,-23935,4103,-19995,1048,-87070,,65551,-27512,-2000,4334,2044,37763,-49307,13896,-107630,365,-9078,-54,-116397,,-1309,-19306,19,4436.0,-39658,,-5428,,-608.0,0,,-79202,,1504728,-1367637,-31647,729,0,11768,147941,7285,-40373,219453,179080,179080,,0.0,-17348.0,0.0,0.0,30000.0,,-5552.0,0.0,,3000.0,,,898.0
2465,2016年01月01日至2016年06月30日,,-92199,-92199,,,11333,8787,7724,6330,-312,7302,22,0,44186,,,0,-29378,-3569,24986,2551,-20044,2677,-22777,,1317,-15939,-2770,968,3491,-16457,-39234,4952,-87247,272,-5862,-53,-92890,,-1309,-16847,4,4542.0,-39812,,-6323,0.0,1253.0,0,,-75840,,115930,0,-22164,552,0,10268,134586,3528,-30616,219453,188837,188837,0.0,0.0,-17348.0,0.0,0.0,30000.0,,-3541.0,,,3000.0,,17.0,
2465,2016年01月01日至2016年03月31日,,-41431,-41431,,,5337,4478,4177,3065,-126,2622,0,0,22553,,,0,8109,-903,41313,2358,-4444,-191,47830,,-10905,-44090,-3963,1320,1308,-59073,-11243,11310,-30121,109,-2394,-51,-32457,,-1309,-9178,4,6435.0,-8533,0.0,0,-913.0,508.0,0,0.0,-30334,,72616,0,-17781,505,0,0,55340,2207,-5244,219453,214209,214209,,,-17348.0,0.0,,,,-2743.0,,,3000.0,1588.0,,
2465,2015年度,,48844,48844,,,14359,12132,481,10853,-716,1828,-147652,6247,-102468,,,4998,45473,-5155,-20015,1437,3363,-4080,26021,,40077,19666,8122,3988,-3155,72999,99020,-3448,45396,716,-11282,-3481,31349,,-17500,-45707,222699,,-21977,,-3420,0.0,0.0,-3825,,122736,,0,-153445,-37165,0,-2233,31400,-129678,-2786,21621,197832,219453,219453,,,-1000.0,-4404.0,-2130.0,31765.0,,4301.0,,0.0,,,,
2465,2015年01月01日至2015年09月30日,,81665,81665,,,10924,8282,223,8092,-496,1417,-146892,4519,-113929,,,4998,28075,-4164,-102821,2776,-5381,-1201,-77718,,93341,636,3334,2978,3612,109312,31594,-82335,-670,447,-8418,-3408,-12049,,-14000,-9349,221906,,-18855,,-911,,0.0,-3825,,161837,,0,-180151,-24980,0,-2226,31400,-144476,-1490,3822,197832,201654,201654,,2.0,-1000.0,-3770.0,-4859.0,31481.0,0.0,5411.0,-3500.0,0.0,,,,
2465,2015年01月01日至2015年06月30日,,122988,122988,,,7354,5013,-383,5426,-355,879,-146892,4519,-124439,,,4997,56698,-2842,-68704,2382,-10541,-2757,-20767,,34832,-20580,3538,1880,-464,19206,-1561,-126000,-3012,302,-5940,-3407,-12057,,-14000,-6235,221906,320.0,-8470,,-6000,2193.0,,0,,181232,,0,-144392,-15563,0,-117,2650,-157422,-2913,8840,197832,206672,206672,0.0,0.0,-1000.0,0.0,-7482.0,0.0,,,,,,,,
2465,2015年01月01日至2015年03月31日,,162280,162280,,,4039,2245,-377,3086,-136,296,-142973,4519,-129301,,,4998,25442,-1194,-99109,1173,-13425,6160,-75955,,9303,-27150,2968,13543,-3123,-4459,-80414,-209715,-47435,108,-3458,-48,-50833,,-14000,-1385,217474,317.0,-2380,0.0,-6000,9312.0,0.0,0,1839.0,205177,,0,-116622,-7866,0,-143,2650,-121981,-1415,30948,197832,228780,228780,,,,,,,,,,,,,,
2465,2014年度,,-140580,-140580,,,21548,15120,7301,10632,-742,1296,422,12148,67725,,,36449,-72868,5468,-37912,3210,-8539,-2323,-76515,,-29875,1005,-1476,4893,-1432,-17107,-93622,-25897,-166477,745,-10056,-312,-176100,,0,-10221,294,,-11298,,-24168,6000.0,514.0,-95897,,-140394,,243500,0,-17751,3490,0,13793,304107,5493,-6894,204726,197832,197832,,,0.0,-5618.0,0.0,60740.0,,9778.0,,335.0,,,,
2465,2014年01月01日至2014年09月30日,,-101099,-101099,,,17010,7501,7164,7562,-509,823,418,0,39969,,,39185,-30293,-4332,-30127,4057,-9271,67,-30714,,5662,-13507,-1267,2763,3430,-965,-31679,8290,-92809,458,-7138,-53,-99542,,0,-8760,283,,-8640,,-22632,,358.0,-84120,,-128899,,172014,0,-10072,2948,0,13793,239197,1208,11964,204726,216690,216690,,0.0,0.0,-5388.0,0.0,60314.0,0.0,1954.0,0.0,200.0,,,,
2465,2014年01月01日至2014年06月30日,,-80951,-80951,,,11979,3990,7025,4512,-368,485,470,0,28122,,,38383,23484,-3024,-6377,6117,-5392,941,54132,,-31925,-28168,-1093,-1653,-1163,-64002,-9870,18252,-62699,317,-4213,-53,-66648,,0,-4563,55,0.0,-5035,,-20469,6000.0,,-46462,,-76390,,124768,0,-2494,2885,0,13793,198682,-204,55440,204726,260166,260166,0.0,29.0,0.0,-5446.0,-470.0,59730.0,,,,,,,,
