公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款,　　 處分投資性不動產,　　 短期借款增加,　　 償還長期借款,　　 非控制權益變動,　　　　　 其他營業資產（增加）減少,　　 存出保證金減少,　　　　 股利收入,　　　　 金融資產減損損失,　　 收取之股利,　　 處分以成本衡量之金融資產,　　 其他金融資產減少,　　 存入保證金減少,　　　　 不動產、廠房及設備轉列費用數,　　 支付之股利,　　 預付設備款增加,　　 停業單位稅前淨利（淨損）,　　　　 處分採用權益法之投資損失（利益）,　　 取得採用權益法之投資,　　 處分子公司
3024,2014年度,,-313952,-313952,,,124266,24121,944,1006,20049,-12456,-7163,-789,176940,,,-91037,3414,-282243,71873,67892,-10893,-1218,-253751,,-1608,462067,-90978,-100504,-1071.0,-34043,233863,-19888,157052,-156900,13040,-21344,7528,-157559,,-119609.0,30050.0,,-779.0,,453541.0,,,381454,,,3013.0,0,-793573,38185,-531493,1422690,891197,891197,,0.0,0.0,,-689712.0,-9917.0,-96957.0,-11539.0,4403.0,-117.0,21481.0,117.0,0.0,,,342.0,,,0.0,5256.0,0.0,13848.0
3024,2014年01月01日至2014年09月30日,,-130558,-130558,,,92273,17152,-339,1921,22839,-17236,-7948,-621,107940,,,-159621,-1219,117858,17314,-17502,-32297,-23187,-109166,,2463,115063,-94972,-67617,28209.0,-29067,-45921,-155087,-47147,-177705,16027,-23925,20452,-165034,,-70633.0,29321.0,,-588.0,,499340.0,,,462631,,,-738.0,0,-760562,-9335,-472300,1422690,950390,950390,,0.0,0.0,,-649446.0,-9917.0,-100461.0,-10512.0,5372.0,-117.0,,,,,,16.0,117.0,-181.0,,,,
3024,2014年01月01日至2014年06月30日,,-124951,-124951,,,63323,8960,-311,250,15959,-12483,-12928,888,63649,,,-231647,-979,160930,-17890,-54556,6214,-896,-156497,,8908,107031,-105498,-48236,474.0,-33595,-70916,-227413,-163764,-288715,9594,-16872,-1365,-297358,,-62767.0,29450.0,2906.0,,,347633.0,,,317222,,,-1183.0,0,-636093,-11057,-627286,1422690,795404,795404,-9.0,0.0,0.0,,-531586.0,-9917.0,-93407.0,-17673.0,,,,,,,,,,,,,,
3024,2014年01月01日至2014年03月31日,,-88208,-88208,,,31348,4647,-966,-137,10509,-8187,-11791,948,26371,,,-172130,6818,408359,-1999,-141696,15317,-162,106259,,-1476,-91653,-107513,-16771,-12168.0,-9144,-238725,-132466,-106095,-194303,6319,-11255,-5352,-204591,,-60465.0,29323.0,-176.0,0.0,,,,,254282,,-322128.0,,0,-332176,13040,-269445,1422690,1153245,1153245,,,0.0,,,-9917.0,,-8248.0,,,,,,285600.0,-131.0,,,,,,,
3024,2013年度,,-635884,-635884,,,151455,19957,24025,-11390,27695,-35996,17678,-6460,214180,,,103046,-4815,886011,-51323,-40654,-13576,685,859008,,5228,-247915,-90770,-57839,0.0,-25680,-416976,442032,656212,20328,34128,-27316,-15758,12639,,-395117.0,13832.0,,-1656.0,,-403319.0,,,-737885,,,422.0,-2013,106040,60687,-558519,1981209,1422690,1422690,,-2156.0,500.0,,91409.0,-1623.0,17845.0,-20366.0,31.0,-1257.0,28473.0,1257.0,50000.0,,,0.0,,,0.0,0.0,0.0,0.0
3024,2013年01月01日至2013年12月31日,,-635884,-635884,,,151455,19957,24025,-11390,27695,-35996,17678,-6460,273690,,,103046,-4815,886011,-51323,-40654,-13576,685,859008,,5228,-247915,-150280,-57839,,-25680,-476486,382522,656212,20328,34128,-27316,-15758,12639,,-395117.0,13832.0,31.0,-1656.0,,-403319.0,,0.0,-737885,,,422.0,-2013,106040,60687,-558519,1981209,1422690,1422690,59510.0,-2156.0,500.0,,91409.0,-1623.0,17845.0,-20366.0,,-1257.0,28473.0,1257.0,50000.0,,,,,,,,,
3024,2013年01月01日至2013年09月30日,,-407116,-407116,,,101543,35558,7153,-6004,21850,-23606,2787,-10896,132025,,,141963,-16935,994912,21141,-133613,-10752,-2079,991046,,33331,-173320,-99595,-55211,,-7927,-302722,688324,820349,413233,23606,-18396,-33810,384633,,,8214.0,,-482.0,-222665.0,-202288.0,,,-417866,,-377616.0,856.0,-2013,-384033,19364,-397902,1981209,1583307,1583307,3640.0,-2156.0,500.0,,,-1212.0,-4048.0,-3591.0,1011.0,,,,,,,,,,,,,
3024,2013年01月01日至2013年06月30日,,-249299,-249299,,,83500,18787,9703,-5901,14770,-14518,3561,-7536,102366,,,24099,-694,1114851,22270,-224566,-9702,-3222,923036,,76377,-27435,-121014,-11585,,2878,-80779,842257,944623,695324,14518,-9737,-26154,673951,,,,1136.0,,-113621.0,-237529.0,,,-343498,,,1309.0,-1998,-435141,7003,-97685,1981209,1883524,1883524,0.0,-2156.0,500.0,8172.0,-433761.0,-691.0,0.0,,,,,,,,,,,,,,,
3024,2013年01月01日至2013年03月31日,,-102130,-102130,,,45503,5650,1384,-4441,7880,-3600,3513,-2746,53143,,,29504,1334,698956,90230,-6000,-5705,-2487,805832,,1570,-250815,-90375,-13093,8885.0,2269,-341559,464273,517416,415286,3600,-9737,-12331,396818,,-62764.0,7044.0,68.0,482.0,-43548.0,-4211.0,-2797.0,500.0,-105226,,-203502.0,922.0,-2013,-204593,82224,169223,1981209,2150432,2150432,,,,,,,,,,,,,,,,,,,,,,
3024,2012年01月01日至2012年12月31日,,-112302,-112302,,,167645,11316,10992,-8202,41678,-40255,-192350,85,10339,,,-21952,22301,-396354,-30631,492547,68998,-1237,166433,,-2920,-80990,1345,-102073,,-7558,-192196,-25763,-15424,-127726,40255,-40004,-67235,-193308,,-204861.0,197658.0,-2327.0,-1320.0,,80206.0,,-131456.0,-72145,,,-28022.0,-40653,-898205,-60994,-1224652,3205861,1981209,1981209,20832.0,-10045.0,0.0,,-682410.0,-71715.0,-75405.0,32761.0,,-1402.0,0.0,1402.0,0.0,,,,,,,,,
