公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 其他非流動負債增加,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付投資款增加,　　 其他非流動資產減少,　　 其他預付款項減少,　　　　 股利收入,　　　　 處分投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　 收取之股利,　　 處分備供出售金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 償還公司債,　　 舉借長期借款,　　 發放現金股利,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 預付費用（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 短期借款增加,　　　　 其他項目,　　 其他非流動負債減少,　　　　 金融資產減損損失,　　　　 股份基礎給付酬勞成本,　　 現金增資,　　　　 處分其他資產損失（利益）,　　 庫藏股票買回成本,　　　 收益費損項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得採用權益法之投資,　　　　 非金融資產減損損失,　　 償還長期借款,　　 取得以成本衡量之金融資產,　　　　　 應收帳款－關係人（增加）減少,　　 其他金融資產增加,　　 其他籌資活動,　　　　 投資性不動產公允價值調整損失(利益),　　　　　 應付帳款－關係人增加（減少）,　　 處分以成本衡量之金融資產,　　 其他金融資產減少
3605,2016年01月01日至2016年09月30日,,146610,146610,,,284273,14489,2504,15527,-16949,5148,,,,,-100543,207,-76782,-204720,21105,-1873.0,-14420,1592,-375455,,1464,-13120,-595,4899,-8013,-383468,-100526,46084,18052,-16236,-60289,-12389,,-35198.0,-113252,11844,-1426,0.0,-151956,26.0,231701,,-806622.0,-73.0,,-806270,-119826,-706784,2341088,1634304,1634304,0.0,10705.0,,,44.0,,,,,,70000.0,-49170.0,,,,,,,,,0.0,,1085.0,,,-19636.0,282942.0,-721.0,0.0,-942.0,-14411.0,,-21.0,,-5994.0,-2601.0,60.0,360688.0,150270.0
3605,2016年01月01日至2016年06月30日,,45422,45422,,,194063,9869,-286,11873,-13235,1457,,,,,-46834,-6219,119467,-152736,115082,3399.0,-5580,862,27354,,1593,-177105,-79110,7443,-247349,-219995,-31907,13515,13373,-12636,-44922,-30670,,0.0,-27019,8694,-765,0.0,-133745,26.0,162987,,-549238.0,-130.0,,-553034,-60254,-480971,2341088,1860117,1860117,,7911.0,,,258.0,,,,,,0.0,,,,,,,,,,0.0,,1085.0,,,-14395.0,188088.0,-294.0,0.0,0.0,-3606.0,,-87.0,132741.0,-60.0,-2601.0,124.0,175144.0,
3605,2016年01月01日至2016年03月31日,,8527,8527,,,99318,4933,76,6198,-7962,-1968,,,,,210,-9111,134984,9100,60936,-1285.0,-5461,225,189161,,-3361,-141429,-90232,7146,-228176,-39015,56261,64788,9185,-6074,-15766,52133,,,-13683,2869,-618,0.0,-68229,26.0,-76115,,0.0,56.0,,18240,-21233,-26975,2341088,2314113,2314113,,2922.0,,,,,,,,,0.0,,,,,,20058.0,,,,0.0,,1085.0,,,-6404.0,95276.0,-300.0,0.0,,-1814.0,,-437.0,598.0,-60.0,,,,
3605,2015年度,,200821,200821,,,412193,20922,-1445,12480,-32809,9415,,,,,-5839,6701,93167,-11973,-140770,43155.0,26794,933,12168,,1232,44287,-140474,627,-108255,-96087,293615,494436,35665,-13943,-57675,458483,,-49730.0,-64563,13070,-2783,-2531.0,-166377,,-836594,,0.0,1008.0,-1860.0,503553,-13832,111610,2229478,2341088,2341088,0.0,,,,-721.0,,,2778.0,-74188.0,,313466.0,-147679.0,,,,19807.0,338618.0,-50775.0,,0.0,1603.0,0.0,867.0,0.0,,11127.0,389702.0,-13927.0,-151131.0,6845.0,,-360946.0,,,,,,,
3605,2015年01月01日至2015年09月30日,,126736,126736,,,299208,16072,336,7015,-25315,5853,0.0,,,,-5673,6703,-5501,9756,-30414,,6874,65,-19329,,395,-9659,-155875,-674,-165813,-185142,121510,248246,30335,-7590,-17127,253864,,-49730.0,-28133,5547,-1075,,-148027,,-811773,,,375.0,-1740.0,283056,32899,-241954,2229478,1987524,1987524,-430147.0,-9077.0,,,0.0,,,0.0,,,,-147679.0,,-1139.0,,,302100.0,,,0.0,8938.0,0.0,,,,-10809.0,306652.0,0.0,-151131.0,5354.0,130000.0,,,,,,,,
3605,2015年01月01日至2015年06月30日,,15240,15240,,,189113,10802,1038,5229,-18477,2787,,,,,-294,6275,213247,9794,10931,-16749.0,8228,757,232189,,460,-93930,-185455,2912,-276013,-43824,153682,168922,23612,-5809,-18138,168587,,-49730.0,-19717,3269,-865,-6184.0,-103888,,-328246,,-457696.0,242.0,-1200.0,-428654,-31183,-619496,2229478,1609982,1609982,,,,,0.0,,,0.0,,,30000.0,,,,,,,,,0.0,6293.0,,,,,-50.0,197506.0,0.0,-151131.0,771.0,,,,,,,,,
3605,2015年01月01日至2015年03月31日,,36432,36432,,,100076,5501,54,2416,-9901,1745,,,,,-348,4467,113231,11542,-13720,-7223.0,7820,332,116101,,253,-50387,-110426,297,-160263,-44162,57219,93651,11679,-2374,-3036,99920,,,-3744,3679,-615,-4795.0,-61075,,-217681,,-35043.0,142.0,-500.0,-5401,-17022,-140184,2229478,2089294,2089294,,0.0,,,0.0,,,0.0,,,30000.0,,,,,,0.0,,,,3502.0,,,,,-2012.0,101381.0,0.0,-151131.0,,,,,,,,,,
3605,2014年度,,564595,564595,,,372084,22872,-858,12455,-34381,3623,,219010.0,,,-17086,-4003,-31249,-9301,50840,-9261.0,-14064,-193,-34317,,-2929,-43808,44755,-12211,-14849,-49166,169844,734439,34381,-11842,-74366,682612,,0.0,-39964,5637,-4233,,-332716,,18795,,-355640.0,907.0,0.0,-469459,62680,294628,1934850,2229478,2229478,-25460.0,24809.0,,0.0,-188009.0,0.0,0.0,361922.0,0.0,0.0,0.0,-86083.0,,,-656.0,28800.0,0.0,0.0,,11460.0,9015.0,12090.0,10749.0,-40733.0,,,,,,,,,,,,,,,
3605,2014年01月01日至2014年09月30日,,510732,510732,,,266413,17504,-90,10027,-23780,811,-14422.0,83520.0,,,0,-2175,-156770,-9814,-7148,-25474.0,-6335,329,-207387,,4076,34893,28664,13255,80942,-126445,-42925,467807,23260,-10189,-61108,419770,,0.0,-31872,2740,-2934,,-283353,,70557,,-390320.0,701.0,0.0,-377529,14649,127447,1934850,2062297,2062297,,24054.0,,0.0,-188009.0,0.0,0.0,361922.0,0.0,0.0,0.0,0.0,,,54.0,,0.0,,,11460.0,3606.0,12090.0,,,,,,,,,,,,,,,,,
3605,2014年01月01日至2014年06月30日,,303262,303262,,,175878,12175,1681,7449,-16619,995,0.0,28405.0,,,-13085,-1849,-127081,4610,11508,-27834.0,-3521,714,-156538,,-2760,-11710,-21494,8104,-27806,-184344,-155939,147323,20519,-7545,-27064,133233,,0.0,-19334,1845,-98,,-195216,,126317,,-520305.0,465.0,,-519840,-25876,-286166,1934850,1648684,1648684,,26179.0,,,-164614.0,,,312941.0,0.0,,,,,,54.0,,,,,11460.0,,,,,,,,,,,,,,,,,,,
