公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 處分投資損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 收取之股利,　　 預付設備款減少,　　 舉借長期借款,　　 償還長期借款,　　 取得以成本衡量之金融資產,　　 其他金融資產減少,　　 短期借款減少,　　 應付短期票券增加,　　 發放現金股利,　　　　 金融資產減損損失,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 其他非流動資產減少,　　　　 處分其他資產損失（利益）
1711,2016年01月01日至2016年09月30日,,527186,527186,,,423406,820,14200,2802,44955,-5393,14414,781,0.0,396661,,,110152,45824,580,-7834.0,2872,151594,,-3617,11584,-37730.0,-3661,-9419,-42843,108751,505412,1032598,5438,-101329,995071,,0.0,-120000.0,190049.0,-561283,1932,-12260,0,-26272.0,-523016,,5397475,0.0,-56664,-9999,19992,-71097,420950,812559,1233509,1233509,-58364.0,,,,,58364.0,0.0,460000.0,-241221.0,0.0,0.0,-5268772.0,7.0,-260834.0,,,,4818.0,-40960.0
1711,2016年01月01日至2016年06月30日,,363039,363039,,,278978,707,4255,5432,28130,-1870,12009,562,,328203,,,89223,-24694,121117,,13989,215148,,-14480,-14006,,934,-6382,-140849,74299,402502,765541,1867,-54416,712992,,,,,-356849,1758,0,0,-44167.0,-411561,,3665907,,-34838,-7395,-145120,-31109,125202,812559,937761,937761,0.0,,,15513.0,-106915.0,0.0,0.0,230000.0,-240750.0,,972.0,-3758050.0,6.0,,,-17050.0,,3775.0,
1711,2016年01月01日至2016年03月31日,,198733,198733,,,137414,392,2431,6741,13904,-900,5453,-63,0.0,165372,,,93733,-5847,34283,23552.0,9524,155245,,-44269,-977,-101487.0,9467,-4723,-141989,13256,178628,377361,803,-4547,373617,,0.0,0.0,0.0,-158764,1275,-2,0,-22675.0,-179249,,1633824,0.0,-18017,-7395,-99458,-10515,84395,812559,896954,896954,,,,,,,0.0,,-375.0,,,-1707500.0,5.0,,,,,917.0,
1711,2015年度,,725016,725016,,,500355,2059,18072,-72,52641,-5237,25681,-13558,0.0,526727,,,8083,-71783,106664,39733.0,-568,82129,,24677,92527,9283.0,-6441,-30573,89473,171602,698329,1423345,5292,-174712,1311880,,15132.0,0.0,0.0,-1063494,38042,0,-44334,,-1036115,,8696793,0.0,-67573,-12570,-123789,24726,176702,635857,812559,812559,-57955.0,,,,,57955.0,32735.0,700000.0,-360500.0,0.0,864.0,-8841518.0,9993.0,-248414.0,4741.0,-15060.0,0.0,0.0,
1711,2015年01月01日至2015年09月30日,,562477,562477,,,372166,836,14874,2583,39022,-3927,17734,-10065,0.0,375945,,,-17523,-86475,63290,7160.0,27599,-5949,,27906,90182,-39731.0,-26899,-20820,30638,24689,400634,963111,3534,-110300,913623,,0.0,0.0,0.0,-632607,33793,0,-32585,-14607.0,-642303,,6900055,0.0,-42195,-12570,-41555,48119,277884,635857,913741,913741,-57278.0,,,,,57278.0,0.0,500000.0,-180125.0,0.0,3703.0,-6968292.0,9986.0,-248414.0,,,,,
1711,2015年01月01日至2015年06月30日,,324779,324779,,,246149,621,12461,3979,25672,-2741,9483,-10338,,284669,,,-12079,-187852,12244,,-608,-148420,,48353,84347,,-24923,-5158,62961,-85459,199210,523989,2742,-56024,471324,,0.0,0.0,0.0,-440334,31555,-11273,-25166,0.0,-418985,,122896,0.0,-26679,-8850,157367,-21484,188222,635857,824079,824079,-617.0,0.0,0.0,39875.0,-39658.0,617.0,26233.0,250000.0,-180000.0,,,,,,,,,,
1711,2015年01月01日至2015年03月31日,,187992,187992,,,123233,394,2069,1324,12765,-947,5120,-10375,0.0,133583,,,36010,-134666,16698,22524.0,-3733,-63167,,14298,218713,-75146.0,-24893,-1903,131069,67902,201485,389477,962,-11174,379265,,0.0,0.0,0.0,-246665,30130,-237,-27051,23784.0,-220039,,-112153,0.0,-14557,-8976,-135686,-12494,11046,635857,646903,646903,,,,,,,,,,,,,,,,,,,
1711,2014年度,,748350,748350,,,436867,1655,-2250,-16,53610,-5246,399,1202,-11235.0,432226,,,16396,-82993,-342764,-6542.0,-1155,-417058,,-19856,-149145,8153.0,21763,-22985,-162070,-579128,-146902,601448,5255,-175698,476159,,60037.0,-209906.0,35935.0,-1050936,1906,-1160,0,,-1233088,,6661824,-4979.0,-52103,5411,495856,51479,-209594,845451,635857,635857,-45154.0,,,,,45154.0,5503.0,20923.0,-240000.0,-48400.0,0.0,-5658636.0,0.0,-236584.0,2394.0,0.0,-30000.0,3933.0,
1711,2014年01月01日至2014年09月30日,,731039,731039,,,322242,727,4456,1393,40252,-4802,-2352,425,-11235.0,308976,,,6873,-178474,-758909,20843.0,-7431,-917098,,28803,-37084,-12423.0,13859,-12543,-19388,-936486,-627510,103529,5000,-161090,-10431,,60036.0,-153649.0,35935.0,-755560,1659,-3971,-3948,0.0,-815448,,1065837,-4987.0,-38674,3041,689556,5093,-131230,845451,714221,714221,-42130.0,,,,,42130.0,15450.0,20923.0,-120000.0,-11400.0,0.0,0.0,0.0,-236584.0,,,,,
1711,2014年01月01日至2014年06月30日,,560201,560201,,,209575,513,3499,3229,25821,-3193,-8361,580,,220428,,,14203,-307670,-458743,,-3975,-757915,,8019,117011,,16137,-9306,112159,-645756,-425328,134873,3185,-94446,43612,,60036.0,-118368.0,35935.0,-456272,743,-3306,-5925,-34644.0,-521801,,546744,-4987.0,-23788,-16959,381010,-7336,-104515,845451,740936,740936,0.0,-11235.0,0.0,-1730.0,-19702.0,0.0,0.0,0.0,-120000.0,,,,,,,,,,
