公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 庫藏股票買回成本,　　 處分備供出售金融資產,　　 發放現金股利,　　　　 呆帳費用提列（轉列收入）數,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　　 其他金融負債增加（減少）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資,　　 應付短期票券增加,　　　　 金融資產減損損失,　　　　　 應付建造合約款增加（減少）
2516,2015年度,,150122,150122,,,84214,4705,,30085,-6322,8740,-267.0,,,,267,42501,,11183,-2029,154038,-3175,,202785,,-503728,-3633,-42175.0,11903,,46384,249169,374458,524580,5996,-29713,-9996,490867,,-13592,24487,-2936,6478,0,-702469,195654,,-1853378,,4217996,-2993098,1762,1238776,3816,-119919,1512298,1392379,1392379,0.0,,-67884.0,-2000.0,,125289.0,2303.0,,-2166.0,-1361000.0,80000.0,8300.0,581714.0
2516,2015年01月01日至2015年09月30日,,160428,160428,,,63551,3541,-184.0,20002,-4097,8740,0.0,,,,184,-29015,-93214.0,21309,14583,132339,-9639,31445.0,67992,,-448307,-34140,-42981.0,6232,,-517638,-449646,-359681,-199253,3519,-20385,-9852,-225971,,-11583,24487,-2662,49320,0,-249160,117408,,-148190,,2017979,-2495616,0,-465521,3163,-836519,1512298,675779,675779,,0.0,-67884.0,-2000.0,,89965.0,1558.0,,412.0,-76000.0,80000.0,,
2516,2015年01月01日至2015年06月30日,,145714,145714,,,43070,2360,-184.0,14278,-3401,8686,,,,,184,-225633,58647.0,18601,-18486,223020,-4717,42211.0,93827,,-381728,-24697,,-17846,,-457736,-363909,-301100,-155386,3132,-14533,-8028,-174815,,-9608,23293,-2140,63780,0,-249152,96878,0.0,-76949,,1623569,-1840492,0,-216923,-2723,-471410,1512298,1040888,1040888,,,,-2000.0,,62809.0,953.0,-34418.0,,,,,
2516,2015年01月01日至2015年03月31日,,108159,108159,,,22431,1189,-246.0,7662,-1243,2602,,,,,-2760,-653862,71294.0,3120,-15534,149204,-2675,32982.0,-418231,,-420579,-179,-27212.0,-8420,,-455979,-874210,-842815,-734656,313,-7848,-3053,-745244,,-1614,12837,-767,50288,0,-244428,56334,0.0,-127350,,1053839,-1007392,0,46447,-988,-827135,1512298,685163,685163,,,,-1000.0,,31395.0,411.0,,,,,,
2516,2014年度,,178542,178542,,,90800,5522,,27457,-6949,-321,-190.0,111110.0,,,190,176791,111761.0,3533,38287,311012,52242,-117126.0,576690,,-303282,37044,-76915.0,-56323,-1866.0,-401342,175348,286458,465000,6827,-27357,11608,456078,,-51111,3406,-8060,22909,-273,-77411,187224,,76684,,3534882,-3710725,-1762,-200233,7894,340423,1171875,1512298,1512298,0.0,,-22628.0,-5209.0,,,,,,,,,
2516,2014年01月01日至2014年09月30日,,208227,208227,,,68356,4119,-79.0,19939,-3655,171,0.0,88851.0,,,-17835,131275,-385165.0,21581,43014,177037,30359,-44124.0,-43858,,-502188,51773,4341.0,-67277,8993.0,-504358,-548216,-459365,-251138,3529,-19874,-2320,-269803,,-51748,189,-8510,59159,-81,-22565,142777,,119221,,2574149,-2743264,-1762,-193505,2067,-342020,1171875,829855,829855,0.0,0.0,-22628.0,,,,,,,,,,
2516,2014年01月01日至2014年06月30日,,133919,133919,,,44913,3503,381.0,13393,-2778,181,0.0,59593.0,,,-17835,185827,-6911.0,1813,52195,76032,27720,-28901.0,289940,,-499442,26989,4294.0,-87399,6053.0,-549505,-259565,-199972,-66053,2729,-13668,-1926,-78918,,-33326,180,-3142,87721,-81,-17306,115352,-19019.0,130379,,1676899,-2165394,-1762,-490257,-5351,-444147,1171875,727728,727728,0.0,,,,,,,,,,,,
2516,2014年01月01日至2014年03月31日,,95964,95964,,,22335,1391,197.0,7253,-531,180,0.0,30825.0,,,-14835,438987,115225.0,-10412,46252,37815,2572,-21917.0,593687,,-498336,21599,4188.0,-14021,3049.0,-483521,110166,140991,236955,531,-7419,-1921,228146,,-9703,157,-1902,59525,-81,-7007,97265,-33428.0,104826,,914662,-1268934,-1762,-356034,-3153,-26215,1171875,1145660,1145660,,,,,,,,,,,,,
2516,2013年度,,-10987,-10987,,,106457,4486,,25434,-6235,1581,734.0,132457.0,,,7202,-213378,-530973.0,-28712,-58866,-403644,-30071,-316045.0,-1574487,,278736,-50323,38435.0,47199,-1623.0,312424,-1262063,-1129606,-1140593,6489,-24620,-39960,-1198684,,-36561,1146,-300,12111,-1839,-53745,349760,,270572,,4994437,-3911779,-18,967972,16045,55905,1115970,1171875,1171875,-46587.0,,-68081.0,0.0,,,,,,,,,
2516,2013年01月01日至2013年09月30日,,-93663,-93663,,,74489,3532,955.0,17933,-2809,1566,-25.0,95641.0,,,-8230,457245,-116037.0,-11061,-6061,-470600,-30945,-2330.0,-188019,,-438837,-65925,-1186.0,67730,8880.0,-429338,-617357,-521716,-615379,2945,-17302,-19287,-649023,,-31565,1162,-227950,17138,-316,-65422,271502,,-30426,,3621296,-2865759,-1239,707711,1835,30097,1115970,1146067,1146067,-46587.0,5025.0,0.0,,,,,,,,,,
