公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 發放現金股利,　　　　 處分投資損失（利益）,　　 取得採用權益法之投資,　　 預付設備款增加,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　　 持有供交易之金融負債增加（減少）,　　 預付投資款增加
1533,2016年01月01日至2016年09月30日,,120116,120116,,,62025,10682,4393,-1371,15141,-8833,3041,30538,156136,,,0,-1142,18451,9556,120046,-14975,-171,131765,,-5146,-24252,-4234,-2610,-455,-36697,95068,251204,371320,11389,-15597,-64830,302282,,-43162,-53035,2285,,-971,-184886,,-140897,0.0,0,-18000,,-168373,-120833,-171810,1145601,973791,973791,-3.0,-9476.0,17346.0,-90000.0,0.0,23174.0,0.0,0.0
1533,2016年01月01日至2016年06月30日,,66991,66991,,,41488,7523,2416,-388,10721,-6953,1497,11813,96064,,,0,6010,24550,10297,56362,-4554,-171,92494,,776,-2673,-8185,-873,-455,-11410,81084,177148,244139,8697,-11325,-43684,197827,,-37313,-35126,351,,-859,-168820,,-61808,,210000,-228000,,-79808,-45818,-96619,1145601,1048982,1048982,-23.0,,17346.0,-90000.0,0.0,10601.0,0.0,-5850.0
1533,2016年01月01日至2016年03月31日,,35905,35905,,,20615,4021,1292,4075,5206,-3731,-44,16187,39320,,,0,5403,14867,6823,29622,2015,0,58730,,-8697,6820,-22524,815,-454,-24040,34690,74010,109915,5501,-5026,-2630,107760,,-37313,-19095,48,,-859,-154097,,90986,0.0,105000,-105000,,90986,-33205,11444,1145601,1157045,1157045,-24.0,0.0,-8301.0,-90000.0,-6854.0,,,
1533,2015年度,,245226,245226,,,87573,14480,6294,-158,20892,-17796,-836,16287,126736,,,100362,2902,13693,-1155,-6345,-7535,4204,106126,,5724,-44836,-6754,-9226,237,-54855,51271,178007,423233,17287,-20530,-80968,339022,,-93180,-85706,18536,,-10210,-168725,,-80935,80000.0,351000,-369000,,-66314,14389,118372,1027229,1145601,1145601,1835.0,-47379.0,0.0,,,,,
1533,2015年01月01日至2015年09月30日,,181474,181474,,,63627,12709,2824,-1368,15537,-12912,-1257,12588,91748,,,92473,4819,-58773,2266,-48337,-16657,1237,-22972,,8851,-30287,-14511,-7006,546,-42407,-65379,26369,207843,12587,-15625,-83171,121634,,-93180,-68873,18945,,-8754,-151660,,16579,0.0,0,0,0.0,-30800,49027,-11799,1027229,1015430,1015430,202.0,-47379.0,,,,,,
1533,2015年01月01日至2015年06月30日,,80789,80789,,,44615,8254,0,-2872,10338,-7265,-1833,20025,71262,,,-107422,8393,-25721,-1098,-34667,-16773,-507,-177795,,12903,-17577,-30988,-2076,364,-37374,-215169,-143907,-63118,7402,-10377,-53937,-120030,,-61036,-31107,19150,,-1112,-73930,,-416,0.0,0,0,0.0,-416,-19767,-214143,1027229,813086,813086,175.0,,,,,,,
1533,2015年01月01日至2015年03月31日,,25477,25477,,,24633,4108,2810,-2416,5045,-3674,4285,8600,43391,,,-101009,6065,40603,4186,-51086,-3564,-2076,-106881,,10382,-36636,-17572,3431,192,-40203,-147084,-103693,-78216,3447,-5506,-3980,-84255,,-1760,-22916,5572,-2414.0,0,-21518,,-362,0.0,0,0,0.0,-362,-9850,-115985,1027229,911244,911244,,,,,,,,
1533,2014年度,,313230,313230,,,79068,12799,615,-1127,19688,-19087,3935,-25222,79675,,,102989,-8565,-41762,-4357,-105013,-6000,-7158,-69866,,-26615,20118,13522,1485,768,9278,-60588,19087,332317,18534,-19439,-94672,236740,,-105974,-54545,6943,,-13706,-167282,,99774,20000.0,342000,-303000,,16638,55065,141161,886068,1027229,1027229,0.0,-142136.0,9006.0,,,,,
1533,2014年01月01日至2014年09月30日,,228970,228970,,,59135,9909,0,-1462,14442,-15383,2721,-1115,68247,,,121090,-2770,-14891,-5186,-120778,-14568,1842,-35261,,-18023,9056,-8513,5205,576,-11699,-46960,21287,250257,16440,-14182,-84933,167582,,-37563,-20993,5434,,-63,-55405,,45836,70000.0,39000,0,0.0,12700,-3217,121660,886068,1007728,1007728,-2220.0,-142136.0,,,,,,
1533,2014年01月01日至2014年06月30日,,170168,170168,,,39828,7053,0,-1412,9146,-10587,564,-2962,41630,,,7546,8487,-7142,-1019,-95986,-11242,-3319,-102675,,-5743,48146,5246,-5800,384,42233,-60442,-18812,151356,10587,-9082,-53920,98941,,-25353,-21600,505,,0,-44233,,-29896,30000.0,0,0,0.0,104,7794,62606,886068,948674,948674,2215.0,,,,,,,
1533,2014年01月01日至2014年03月31日,,116936,116936,,,20241,3452,0,1130,4541,-6092,-89,15872,39055,,,38833,-1744,-1543,2395,925,-4401,-2590,31875,,-14420,-5059,-10763,-1927,192,-31977,-102,38953,155889,5674,-4917,-12429,144217,,-25353,-13659,272,2234.0,0,-36506,,-582,0.0,0,0,0.0,-582,14545,121674,886068,1007742,1007742,,,,,,,,
