公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　 應付短期票券增加,　　 發放現金股利,　　 處分無活絡市場之債券投資,　　 其他金融資產減少
2460,2014年度,,140157,140157,,,237386,4104,386,-1073,45748,-25263,-618,7020,-2207,,,,5716,271199,,,5289,-2930,70543,-22011,-214051,10767,-152393,,-4808,120765,1910,-174,-934,-403,116356,-36037,235162,375319,25631,-36937,364013,,0.0,12570,-134434,178869,,-452473,3980.0,-1529,,-24553,,618,-762922,,2538700,-2532117,1250000,-1370833,-46002,-160252,143955,-415206,1684855,1269649,1269649,,,0.0,,-345970.0
2460,2014年01月01日至2014年09月30日,,113360,113360,,,174521,3015,2663,-989,34581,-18468,-618,4495,-2467,0.0,,962.0,2006,199701,,,5289,4141,87894,-1995,-151845,2846,-53670,,-4808,88120,-1971,-11912,1005,-321,70113,16443,216144,329504,20334,-24501,325337,,0.0,9388,-134434,167244,-314402.0,-295401,3764.0,13570,,-2251,,618,-551904,,1893256,-1738979,1050000,-1058333,-34573,111371,39764,-75432,1684855,1609423,1609423,,,0.0,,
2460,2014年01月01日至2014年06月30日,,68648,68648,,,115303,1992,-2178,-982,21970,-12255,-250,1736,-2968,0.0,,839.0,873,124080,,,5289,44467,70605,-7440,-218191,29948,-75322,,-4808,84393,-45247,-12543,2372,-232,23935,-51387,72693,141341,12789,-9025,145105,,0.0,9388,-130986,149623,-80198.0,-183569,1891.0,0,15041.0,-439,,250,-218999,,1308608,-1276630,700000,-689583,-21376,21019,68224,15349,1684855,1700204,1700204,,,,,
2460,2014年01月01日至2014年03月31日,,-34097,-34097,,,58228,1013,-2105,36,10812,-5928,-146,1015,-1177,,,8.0,21313,83069,,,2778,39031,186174,-2401,-187473,-32808,5301,,-3865,16924,133033,-8968,-496,-138,136490,141791,224860,190763,7897,121,198781,,,2323,-100470,47363,-210193.0,-89408,,618,0.0,-325,,146,-349946,,556910,-560918,300000,-464149,-11033,-179190,13568,-316787,1684855,1368068,1368068,,,,,
2460,2013年度,,22657,22657,,,217780,5060,4015,2521,66094,-34972,-1637,4663,-14423,,,,13531,262632,,,109504,-67648,-69689,12458,-152713,-32435,-200523,,-5592,71808,-76613,-5389,942,-364,-15208,-215731,46901,69558,35089,-16610,88037,,-8763.0,756,-646415,643990,,-415518,601.0,-99,,-6352,,1637,-335439,,1450638,-2241185,760000,-631667,-68257,-769939,198196,-819145,2504000,1684855,1684855,,,-39468.0,,94724.0
2460,2013年01月01日至2013年12月31日,,22657,22657,,,217780,5060,4015,2521,66094,-34972,-1637,4663,-14423,,,1.0,13530,262632,,,109504,-67648,-69689,12458,-152713,-32435,-200523,,-5592,71808,-76613,-5389,942,-364,-15208,-215731,46901,69558,35089,-16610,88037,,-8763.0,756,-646415,643990,0.0,-415518,601.0,-13846,0.0,-6352,,1637,-335439,,1450638,-2241185,760000,-631667,-68257,-769939,198196,-819145,2504000,1684855,1684855,0.0,,-39468.0,108471.0,
2460,2013年01月01日至2013年09月30日,,-4430,-4430,,,162020,3843,3831,2484,50462,-27223,-1357,3514,-13096,2840.0,0.0,27.0,9919,197264,,,4083,-38276,-4879,-16122,-411728,-22001,-488923,,-3659,146379,-88902,-17467,2985,-291,39045,-449878,-252614,-257044,27523,-15475,-244996,,-16886.0,114481,-594225,609437,-135246.0,-181405,490.0,-26868,0.0,-2222,-62981.0,1357,-294068,,810948,-1193388,659112,-431489,-51409,-245694,136199,-648559,2504000,1855441,1855441,0.0,0.0,-39468.0,,
2460,2013年01月01日至2013年06月30日,,-74465,-74465,,,107024,2532,-873,5162,35203,-20754,-106,2103,-5506,47244.0,,35.0,20380,192444,,,1324,-27191,19315,-24455,-410940,-26670,-468617,,-3219,155937,28810,13840,678,-210,195836,-272781,-80337,-154802,20701,-14778,-148879,,-11796.0,114481,-479631,383473,-6262.0,-81421,691.0,-11694,0.0,-2006,-83244.0,106,-177303,,576450,-1237496,349112,-323156,-36788,-671878,162535,-835525,2504000,1668475,1668475,0.0,,,,
2460,2013年01月01日至2013年03月31日,,-4439,-4439,,,53154,1210,-245,425,18438,-9249,-1,718,-4156,3854.0,0.0,150.0,1241,65539,,,0,-13693,50129,-7902,-202377,-17330,-191173,,0,99325,47206,-17822,9200,-95,137814,-53359,12180,7741,9555,-5414,11882,,-2319.0,79402,-207842,159410,-94653.0,-20832,0.0,-14361,1433.0,-1152,-25003.0,1,-125916,,328846,-505786,199112,-228156,-18214,-224198,110543,-227689,2504000,2276311,2276311,,,,,
2460,2012年01月01日至2012年12月31日,,147982,147982,,,199264,4699,-1882,-311,55149,-27132,-198,2247,988,,,726.0,11718,245268,,,-85439,-25240,214597,9123,74596,1623,189260,,-667,-9627,96617,-38946,-1461,69,45985,235245,480513,628495,22115,-78478,572132,,-759.0,12633,-44910,48172,-195733.0,-267110,741.0,0,32805.0,0,,198,-408421,,1436544,-732493,725000,-364779,-54010,872984,-54708,981987,1522013,2504000,2504000,5542.0,,-137278.0,0.0,
