公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業資產（增加）減少,　　 存出保證金增加,　　　　 非金融資產減損損失,　 匯率變動對現金及約當現金之影響,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他非流動資產減少
8222,2015年度,,98228,98228,,,82839,3674,212,6464,-241,2387,124,-2069.0,3545,96935.0,,,1.0,18718,523,29392,347,216,49197,,2184,25131,9367,-2993,-2095.0,31594,80791,177726,275954,238,-6520,-2390,267282,,-5435.0,7504.0,-106986,0,641,-1721,-2391,-108388,,864302,-983690,131460,-121396,50.0,-34093.0,89799.0,266.0,-53302,105592,48036,153628,153628,,,,,,,,,
8222,2015年01月01日至2015年09月30日,,74362,74362,,,61974,2944,1455,5011,-175,2271,124,-2069.0,225,71760.0,,,1.0,8532,2169,60152,3282,-2431,71705,,3547,9120,4097,-1526,0.0,15238,86943,158703,233065,175,-5046,-2381,225813,,-5435.0,7504.0,-50522,0,884,-176,-2638,-50383,,654302,-743690,103460,-98860,20.0,-34093.0,89799.0,,-29062,146368,48036,194404,194404,0.0,0.0,,,,,,,
8222,2015年01月01日至2015年06月30日,,39657,39657,,,40883,2124,240,3425,-104,2148,0,,4216,52932.0,,,-43.0,-14432,622,36836,2773,330,26086,,1925,21090,-4799,-1479,0.0,16737,42823,95755,135412,104,-3475,-521,131520,,,,-27619,0,240,0,-530,-27909,,474302,-543690,110375,-108229,,,89799.0,,22557,126168,48036,174204,174204,,,,,,,,,
8222,2015年01月01日至2015年03月31日,,14962,14962,,,20112,1270,177,1753,-32,2019,0,,5837,31136.0,,,1.0,5508,2384,24056,-172,-895,30882,,385,8072,-11931,476,0.0,-2998,27884,59020,73982,32,-1746,-1,72267,,,,-15513,0,197,0,-281,-15597,,261009,-310397,40490,-23332,,,89799.0,,57569,114239,48036,162275,162275,,,0.0,0.0,0.0,,,,
8222,2014年度,,48376,48376,,,79701,5765,334,8245,-85,521,-742,0.0,-2780,90959.0,,,-1.0,-52343,-2946,3916,-1086,-3853,-56313,,-4301,-23383,8115,580,-407.0,-19396,-75709,15250,63626,85,-8325,-9084,46302,,0.0,0.0,-106890,1332,-774,-2320,-2311,-110963,,1050049,-972372,137449,-207974,0.0,-30925.0,0.0,3346.0,-20427,-85088,133124,48036,48036,,,,,,,,,
8222,2014年01月01日至2014年09月30日,,34122,34122,,,59638,4225,197,6252,-46,460,-358,0.0,-937,69431.0,,,-252.0,-35976,-153,19806,3039,-5233,-20130,,-2977,-42869,-1184,779,-67.0,-46318,-66448,2983,37105,46,-6399,-7720,23032,,0.0,0.0,-43540,882,0,-2167,-2594,-48071,,780661,-742372,117688,-159115,0.0,-30925.0,0.0,,-34063,-59102,133124,74022,74022,-1361.0,-652.0,,,,,,,
8222,2014年01月01日至2014年06月30日,,18499,18499,,,39579,2642,285,4101,-43,307,-358,,2693,49206.0,,,-5.0,-39115,-431,-14957,-7820,1344,-60984,,-3227,1943,-3094,185,-67.0,-4260,-65244,-16038,2461,44,-3944,-5291,-6730,,,,-29523,882,12,-1125,-1602,-31356,,540661,-482372,85971,-103537,,,0.0,,40723,2637,133124,135761,135761,,,,,,,,,
8222,2014年01月01日至2014年03月31日,,6613,6613,,,19701,1291,213,2020,-1,153,-358,,2618,25637.0,,,0.0,-43524,-1056,14978,-5748,-2430,-37780,,-4302,-10001,-1079,257,-67.0,-15192,-52972,-27335,-20722,1,-1932,-1,-22654,,,,-13369,400,12,-1124,-2052,-16133,,300661,-292372,13760,-32465,,,0.0,,-10416,-49203,133124,83921,83921,,,0.0,0.0,0.0,,,,
8222,2013年01月01日至2013年12月31日,,46708,46708,,,70363,4515,-429,7963,-100,298,-397,,-2607,,,,,53229,2292,-78639,9868,-645,-13895,,-12223,8692,-5533,2721,,-7111,-21006,72393,119101,100,-7952,-2306,108943,,,,-81322,663,196,-3157,-539,-84159,,1707034,-1790323,259538,-150620,,-30392.0,,10831.0,6068,30852,102272,133124,133124,,,13793.0,,,,93399.0,-768.0,0.0
8222,2013年01月01日至2013年09月30日,,40458,40458,,,51305,3361,-340,5718,-48,268,-379,,937,,,,0.0,33989,1313,-27696,12999,-3813,16792,,-10163,-32841,-4971,2968,,-45582,-28790,37221,77679,48,-5798,-2301,69628,,,,-81447,618,196,-2912,-896,-84441,,1223539,-1135150,160758,-152585,,-30392.0,,,66170,51357,102272,153629,153629,0.0,,5189.0,,,,66011.0,-575.0,
