公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 短期借款減少,　　　　 股利收入,　　 收取之股利,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　 其他金融資產增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　 發放現金股利
2431,2016年01月01日至2016年09月30日,,60247,0,60247,,,39294,2853,4528,80,-2092,403,2214,,,,0,0,-173367,-4047,1945,116989,-2566,-486,-61532,,-1317,-35179,-3957,,166,,0,-40287,-101819,-61009,-762,2092,-80,-5216,2504,,-13451,1263,-2153,,-310,-14651,,40000,10050,-24586,-26683,839196,812513,812513,0.0,0.0,-6470.0,6470.0,0.0,0.0,0.0,0.0,0.0,,40810.0,-29950.0
2431,2016年01月01日至2016年06月30日,,32678,0,32678,,,27020,1577,425,23,-1298,431,-8251,,,,0,0,-17391,-2626,9839,108789,-2796,68,95883,,-1175,-119220,-23581,,407,,0,-143569,-47686,-27759,4919,1298,-23,-2150,4044,,-9652,1235,-138,,-44,-8599,,0,0,-10785,-15340,839196,823856,823856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,19927.0,
2431,2016年01月01日至2016年03月31日,,11078,0,11078,,,13723,925,286,6,-512,431,1647,,,,0,0,-100285,-1114,2259,23856,-2756,-66,-78106,,-957,60160,-12497,,66,,0,46772,-31334,-14828,-3750,512,-6,-42,-3286,,-5861,1235,-1030,,0,-5656,,0,0,-1811,-10753,839196,828443,828443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16506.0,
2431,2015年度,,40154,0,40154,,,58090,2824,1781,838,-1636,353,32298,,,,0,0,384785,-1985,55396,532025,9104,1236,980561,,-276,-442070,-46481,,-78,,-302,-489207,491354,578677,618831,1636,-838,-8621,618233,,-51629,0,-1509,,0,-53138,,-93474,-113441,-6593,445061,394135,839196,839196,0.0,0.0,-7225.0,7225.0,0.0,0.0,0.0,0.0,0.0,,87323.0,-19967.0
2431,2015年01月01日至2015年09月30日,,60817,0,60817,,,44060,2104,3763,818,-1319,353,7900,,,,0,0,167737,4864,61220,505849,4232,1301,745203,,-1593,-520515,-55994,,-102,,-11,-578215,166988,217442,278259,1319,-818,-8860,277125,,-50572,0,-607,,0,-51179,,-93474,-113441,4828,117333,394135,511468,511468,0.0,0.0,-7225.0,7225.0,0.0,0.0,0.0,0.0,0.0,,50454.0,-19967.0
2431,2015年01月01日至2015年06月30日,,37922,0,37922,,,29550,1397,0,451,-1089,0,11712,,,,0,0,221346,-7896,1408,382505,7687,730,605780,,-1593,-565118,-61774,,-129,,-11,-628625,-22845,19176,57098,1089,-451,-3827,53909,,-41870,0,-516,,0,-42386,,-16324,-16324,-9750,-14551,394135,379584,379584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42021.0,
2431,2015年01月01日至2015年03月31日,,36771,0,36771,,,14972,699,0,378,-547,1,6629,,,,0,0,-30129,-25897,6732,164770,4049,870,120395,,0,-23467,-54400,,29,,-11,-77849,42546,64678,101449,169,-378,-1847,99393,,-34764,0,-88,,0,-34852,,0,-93474,-3162,-32095,394135,362040,362040,0.0,-93474.0,0.0,,0.0,0.0,0.0,0.0,0.0,,22132.0,
2431,2014年度,,146658,0,146658,,,55000,2553,0,1551,-1932,141,25787,77020.0,,,23280,0,-352824,-3904,-54942,-472053,-14469,3293,-871619,,-1654,428450,76544,,-538,,-14100,488702,-382917,-305897,-159239,1932,-1551,-2896,-155674,,-103921,0,-3691,,0,-105963,,93474,93474,10511,-157652,551787,394135,394135,1649.0,0.0,-6080.0,6080.0,0.0,0.0,0.0,0.0,0.0,,,
2431,2014年01月01日至2014年09月30日,,142564,0,142564,,,41063,1837,0,583,-1810,0,9260,44853.0,,,16852,0,-541619,-1208,-37563,-253930,-13485,-2333,-833286,,-3247,241310,16110,,76,,-15507,238742,-594544,-549691,-407127,1810,-583,-4734,-404554,,-76100,0,-3558,,0,-78008,,181390,181390,912,-300260,551787,251527,251527,1650.0,0.0,-6080.0,6080.0,0.0,0.0,0.0,0.0,0.0,,,
2431,2014年01月01日至2014年06月30日,,57590,0,57590,,,26895,1143,0,145,-1626,0,7143,33700.0,,,8867,0,-247196,-9197,-51374,-514301,-7901,-3832,-824934,,-1647,538493,6153,,97,,-15496,527600,-297334,-263634,-206044,1626,-145,-2909,-207472,,-61663,0,-3234,,0,-64897,,0,0,-7056,-279425,551787,272362,272362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
