公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人減少,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　 收取之股利,　　 處分子公司,　　 取得無形資產,　　 非控制權益變動,　　　　 呆帳費用提列（轉列收入）數,　　　　 股利收入,　　　　　 應付票據－關係人增加（減少）,　　 償還公司債,　　 發放現金股利,　　　　 非金融資產減損損失,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 預付投資款增加,　　　　　 持有供交易之金融資產（增加）減少,　　 處分採用權益法之投資,　　　　　 持有供交易之金融負債增加（減少）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得以成本衡量之金融資產,　　 其他應收款增加,　　 短期借款減少,　　 應付短期票券減少,　　 其他應付款－關係人增加,　　 以成本衡量之金融資產減資退回股款,　　 其他應收款－關係人增加,　　 其他應收款－關係人減少,　　 存入保證金減少,　　 其他非流動負債減少,　　　　 金融資產減損損失
1326,2016年01月01日至2016年09月30日,,43294752,43294752,,,12181573,2717314,-2510,1469642,-285533,-13427505,-7159,80946.0,,,,169994,3286,-1143538,889726,-1826854,5387201,-4087830,320973,-256692,,-45157,1624670,-1506823,-58007,639499,,-1426958,-1683650,-5175674,38119078,233769,-1525322,-4253760.0,50013488,,-85000,-7408470,28722,,-2026304,-22277988,,0,-249710.0,,11510916,-10640698,0,-2320309,0,-33515064,-924611,-6704175,34744139,28039964,28039964,-182497.0,17439723.0,,-234.0,0.0,,-6243361.0,,-6000000.0,-21715274.0,,-5478021.0,125982.0,13365.0,,30350.0,8760.0,,,-3492024.0,-2081140.0,0.0,,-4065063.0,,0.0,10704.0,,-7467492.0,-18231.0,-16695.0,207066.0
1326,2016年01月01日至2016年06月30日,,25448269,25448269,,,8199968,1839914,-1774,995756,-176774,-8961721,-3432,-317480.0,,,,-723713,-2699,-1063782,-55573,936833,3051976,-1000015,363556,1506583,,9808,940515,-488776,-147222,138678,,-1568631,-62048,1679002,27127271,147049,-875578,-3180582.0,25069138,,-85000,-5752342,16425,,-1563832,-14679397,,38394,50107.0,,8452698,-12393764,0,-2338509,18506,-6173493,-422492,3793756,34744139,38537895,38537895,-34951.0,1850978.0,,-243.0,,-127.0,-5395.0,,0.0,,,-5478021.0,77796.0,,,,8790.0,,,1741050.0,-2021634.0,0.0,,0.0,0.0,,10704.0,-1913674.0,0.0,-925.0,,207066.0
1326,2016年01月01日至2016年03月31日,,9097692,9097692,,,4106404,894491,-859,503211,-85392,-2610406,-15067,-249613.0,,,,9643,3746,-2428143,267094,781122,2630304,-1303590,400107,360283,,35550,-251710,-1230276,-37886,17434,,-1695687,-1335404,1195549,10293241,74640,-609578,,9758303,,0,-3305602,18782,1066521.0,-892422,-6134624,,1459533,499531.0,,7127831,-7592496,-8865,-2335209,-79537,-929212,-1171794,1522673,34744139,36266812,36266812,-11816.0,,,,,0.0,,,,,,-3055384.0,33481.0,,,,,,,2530953.0,-228799.0,0.0,,0.0,,,,,,,,
1326,2015年度,,35989165,35989165,,,16494663,3455355,-7466,2305371,-482867,-12194766,158124,-1329388.0,,,,-2492,4536336,4284153,-23820,7343434,10257529,5906,-163050,26240924,,-5440,-13828,-2756573,340929,436161,,-2483759,23757165,27712272,63701437,515932,-2579944,-1062784.0,67372964,,-600000,-17086875,178829,,-2422316,-10053825,,0,0.0,0.0,14991674,-31474876,0,-469392,0,-37842732,931812,20408219,14335920,34744139,34744139,-1158104.0,6798323.0,,-75868.0,-1708087.0,0.0,-3285815.0,,-10000000.0,-6277741.0,,-95802.0,107991.0,1576.0,,2928.0,1656262.0,-1799.0,,3955107.0,-483209.0,-25130.0,,-2514551.0,-300160.0,,13380.0,0.0,8294128.0,-11098.0,-78501.0,
1326,2015年01月01日至2015年09月30日,,28034542,28034542,,,12500459,2486321,-268,1713021,-362768,-9498365,215203,,,,,3637322,-2265,2371889,638684,6734442,6850439,-1885046,-38347,18307118,,-160669,3441253,-3684522,-3430146,578197,,-3486438,14820680,18505550,46540092,331320,-1980985,-368390.0,51320360,,-600000,-11806278,81286,4967378.0,-1877367,-9306699,,1983855,-299775.0,0.0,10852428,-14811048,28453,43354,65994,-16062672,-410204,25540785,14335920,39876705,39876705,-63876.0,6798323.0,0.0,-77590.0,-1708087.0,-19042.0,-3285815.0,0.0,-6000000.0,-6217846.0,0.0,-3881011.0,3898633.0,0.0,0.0,0.0,0.0,0.0,,3684870.0,-230551.0,-25130.0,,,,,13380.0,,,,,
1326,2015年01月01日至2015年06月30日,,17781077,17781077,,,8360021,1710723,-4665,1163429,-222860,-6423581,232668,,,,,2506641,-1674,686897,-1458034,215811,5762263,3139574,515086,11366564,,-4522,-627926,72915,-824559,-8372,,-1564150,9802414,14549115,32330192,223160,-1175420,0.0,32901122,,-600000,-6522794,62525,3799370.0,-1450042,-4642801,,0,,0.0,7496869,-10370456,50311,-52674,31083,-10764807,-220123,17273391,14335920,31609311,31609311,-63061.0,1523190.0,0.0,0.0,0.0,-2748.0,-3225.0,0.0,-6000000.0,0.0,0.0,-4401.0,97671.0,0.0,0.0,0.0,0.0,0.0,,4746701.0,-171686.0,-25130.0,0.0,-1769949.0,-149991.0,0.0,,,,,,
1326,2015年01月01日至2015年03月31日,,2531422,2531422,,,4131165,833484,-6095,565390,-101632,-282616,1574,,,,,1217925,-592,1702275,-256702,-405578,9771239,608552,470011,13107130,,61173,1651232,-770296,-1471793,265208,,-367220,12739910,17818140,20349562,106044,-796221,0.0,19659385,,-600000,-4398539,35965,-941616.0,-455344,-6291264,,-149484,350148.0,0.0,4482742,-6609369,30915,-1331220,184730,-3041538,-573433,9753150,14335920,24089070,24089070,-62914.0,0.0,0.0,0.0,0.0,-126.0,0.0,0.0,0.0,0.0,0.0,-4401.0,97671.0,0.0,0.0,0.0,0.0,0.0,,5078230.0,-102744.0,-25000.0,,,,,,,,,,
1326,2014年度,,15694432,15694432,,,17082788,3198337,-3785,2584695,-393860,-4532308,-686917,,11246318.0,,,931966,4220,2784185,2715348,-10428047,4877302,8927878,-88020,9075295,,33484,78735,-9432301,2371447,-980291,-88521.0,-8017686,1057609,12303927,27998359,390271,-2728102,-2945660.0,32988287,,-1297031,-13960361,905761,-4846740.0,-3050448,-18197751,,1190516,999676.0,16000000.0,30736861,-38217959,20687,-398791,11439,-12719273,805176,2876439,11459481,14335920,14335920,-2953517.0,10273419.0,0.0,-92.0,-1115345.0,3865.0,-3052980.0,0.0,-7800000.0,-14146357.0,0.0,-391332.0,528262.0,170062.0,0.0,-649537.0,3744168.0,-239.0,,,,,,,,,,,,,,
1326,2014年01月01日至2014年09月30日,,20721952,20721952,,,12852767,2396230,-1609,1968541,-322522,-7013895,-761498,,3438587.0,,,-9450,4269,2151900,1661520,-7144407,423287,-1499061,159155,-4682324,,29661,527137,-7059661,266616,-745853,-59268.0,-7041607,-11723931,-8285344,12436608,322189,-1799747,-2192749.0,19037984,,-1219480,-9656807,897050,-4683280.0,-2348182,-13300965,,8368094,1549387.0,16000000.0,15321385,-25087244,36369,850049,111800,-5596626,-234153,-93760,11459481,11365721,11365721,-2631703.0,10271683.0,0.0,-10.0,-1115345.0,5256.0,-3052980.0,0.0,-7800000.0,-13831121.0,0.0,-257640.0,54944.0,168272.0,,-429537.0,3744168.0,-239.0,,,,,,,,,,,,,,
1326,2014年01月01日至2014年06月30日,,11685246,11685246,,,8658045,1593302,-3222,1315815,-218990,-4583646,-764349,,3382664.0,,,151262,-2973,-745343,234703,-5722635,4802195,179432,-21716,-7305051,,54892,909704,-2437849,589726,-1820692,-24727.0,-2728946,-10033997,-6651333,5033913,222025,-1132666,-2190787.0,3336850,,-1162877,-5663749,885216,-155050.0,-1212743,-3584525,,1171116,-100018.0,10000000.0,16784172,-23797290,29719,307742,38048,1433489,-578000,607814,11459481,12067295,12067295,-2610440.0,1404365.0,0.0,-10.0,0.0,3749.0,-7600.0,0.0,-3000000.0,0.0,0.0,-32935.0,13455.0,,,-6179976.0,3744168.0,,,,,,,,,,,,,,,
