公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得投資性不動產,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 存出保證金增加,　　 取得採用權益法之投資,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計
2527,2015年01月01日至2015年09月30日,,695449,695449,,,40467,0,106,108432,-636,-237563.0,-856,0,-15000.0,0.0,6573,-98477.0,,,-10101.0,-1189,-1116,5813,-66992,458,-24233,56740,-791,-41411,,-4276,-127518,0,7109,10866,-113819,-155230,-253707,441742,-108781,-147808,,,185153.0,185153,,15000.0,0.0,-521,0,27071.0,0.0,-247,636,237563.0,3313.0,282815,,66000,-393678,401461,-135000.0,-791.0,-392637.0,-454645,67,13390,109328,122718,122718,,,,,,,,
2527,2015年01月01日至2015年06月30日,,544177,544177,,,26991,0,-14,74772,-400,-66061.0,-807,0,-15000.0,0.0,4382,23863.0,,,,148,-6881,8184,-62,2208,408743,88800,-2252,498888,,5427,188582,-103623,139277,6148,235811,734699,758562,1302739,-75500,-99361,,,,1127878,,15000.0,,-211,0,,,-247,400,66061.0,3313.0,115846,,-81000,-258510,-1237,-135000.0,-949.0,,-476696,-738,766290,109328,875618,875618,-3000.0,2950.0,31580.0,,,,,
2527,2015年01月01日至2015年03月31日,,62988,62988,,,13491,0,-30,36523,-209,-66061.0,-711,0,,0.0,2191,-14806.0,,,,-4939,-5025,8158,-62,1616,-766348,-36896,10,-803486,,2821,85835,24229,98185,9652,220722,-582764,-597570,-534582,-36667,-2616,,,,-573865,,,,-109,0,,,-247,209,66061.0,,60126,,9000,269425,231149,0.0,,,509169,-469,-5039,109328,104289,104289,,,-5788.0,0.0,-405.0,,,
2527,2014年度,,953878,953878,,,52428,-1017,-112,173493,-422,-143090.0,-3429,9406,,,6544,,,,,-128,10768,18512,147613,1503,1013657,100209,1079,1293213,,-17105,45609,-12350,47840,-8714,55280,1348493,1451669,2405547,-174229,-44303,,,,2187015,,0.0,5467.0,-9410,19,,-23390.0,31852,422,143090.0,962.0,149012,,56000,-418342,134993,-1880000.0,,-209407.0,-2316305,1498,21220,88108,109328,109328,0.0,,,0.0,451.0,,9375.0,103176.0
2527,2014年01月01日至2014年09月30日,,1009254,1009254,,,38631,-1017,-85,139461,-275,-143091.0,-1775,-19,-2139.0,-6767.0,6510,29434.0,,,0.0,-1262,2602,18761,114037,1182,1503695,106178,1017,1746210,,-17620,108000,-12350,31768,4239,114037,1860247,1889681,2898935,-140473,-41989,,,2716473.0,2716473,,0.0,5467.0,-9122,19,33100.0,0.0,-487,275,143091.0,962.0,173305,,186000,-1066342,2136760,-3880000.0,170.0,-209407.0,-2832819,248,57207,88108,145315,145315,,,,,,,,
2527,2014年01月01日至2014年06月30日,,-16269,-16269,,,25663,-1017,-57,100418,-263,0.0,-1220,-19,0.0,-6767.0,4339,121077.0,,,,-168,1226,19428,118167,-38,-1280446,-56525,1033,-1197323,,-17121,91753,-12350,8555,-1681,69156,-1128167,-1007090,-1023359,-100881,-27606,,,,-1151846,,0.0,,-3555,19,,,-485,263,0.0,0.0,27187,,114000,818464,255965,0.0,-881.0,,1187548,-118,62771,88108,150879,150879,0.0,0.0,30945.0,,,,,
2527,2014年01月01日至2014年03月31日,,15817,15817,,,12793,-1017,-29,48331,-168,0.0,-601,-19,,-6767.0,2176,54699.0,,,,-95,4039,873,117292,-327,-701861,-24056,-201,-604336,,-14978,-19217,3388,14884,2365,-13558,-617894,-563195,-547378,-48230,-854,,,,-596462,,,,-3555,19,,,-119,168,0.0,,-3375,,-4000,596144,435,0.0,,,592349,203,-7285,88108,80823,80823,,,112.0,0.0,-230.0,,,
2527,2013年度,,354787,354787,,,49920,0,-116,172574,-292,-108708.0,-2888,-50,,,8378,,,,,1351,4740,-29324,-170109,1552,-2567963,-84256,-1032,-2845041,,-11879,13313,12350,13702,1752,29238,-2815803,-2821590,-2466803,-171326,-35611,,,,-2673740,,0.0,0.0,-23765,50,,-419.0,-8818,292,108708.0,0.0,73048,,-108000,783622,2520538,-400000.0,,-170143.0,2626047,1451,26806,61302,88108,88108,-3000.0,,,0.0,30.0,,-124605.0,-5787.0
2527,2013年01月01日至2013年09月30日,,-62551,-62551,,,36450,0,-86,120772,-177,-89821.0,-1755,0,,0.0,6209,,,,,1040,6220,-5395,-123166,867,-2815108,-379896,-58,-3315496,,-29736,391411,1178,51,96454,459358,-2856138,-2784546,-2847097,-119940,-30601,,,-2997638.0,-2997638,,,0.0,-10299,0,0.0,-419.0,-1472,177,89821.0,0.0,36522,,-9000,1505083,1872210,0.0,655.0,-170143.0,3198805,984,238673,61302,299975,299975,-3000.0,,-38286.0,,,,,71592.0
2527,2013年01月01日至2013年06月30日,,-106858,-106858,,,24824,0,-57,75063,-160,,-643,0,,0.0,4139,,,,,1068,7360,-9210,0,10,-1713240,-70741,6582,-1778171,,-16295,-59116,0,-9308,5139,-79580,-1857751,-1754585,-1861443,-50769,-29904,,,,-1942116,,,,-10262,0,,,-6738,160,,,-53356,,-4000,715330,1281415,,424.0,,1993169,1277,-1026,61302,60276,60276,,,-36516.0,,,,,103166.0
2527,2013年01月01日至2013年03月31日,,-50482,-50482,,,12443,0,-29,33996,-37,0.0,-337,0,,0.0,2069,,,,,821,4231,-11310,0,-287,-867732,-29360,12,-903625,,-16205,-61586,0,3165,8158,-66468,-970093,-921988,-972470,-33378,-707,,,,-1006555,,,,-10262,0,,0.0,-55,37,,,-53553,,-3000,560055,591591,0.0,,,1149096,725,89713,61302,151015,151015,,,-43273.0,0.0,450.0,,,48105.0
