公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 預付設備款減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資性不動產損失（利益）,　　　　　 應收票據－關係人（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 應付票據－關係人增加（減少）,　　 處分投資性不動產,　　 舉借長期借款,　　　　 未實現銷貨利益（損失）,　　 對子公司之收購（扣除所取得之現金）,　　 收取之股利,　　 發放現金股利,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 其他非流動資產增加,　　 現金減資,　　　　 已實現銷貨損失（利益）,　　　　　 應付建造合約款增加（減少）,　　 取得備供出售金融資產,　　 庫藏股票處分,　　　　　 其他應收款－關係人（增加）減少,　　　　 股利收入,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他應收款－關係人減少,　　 其他應收款－關係人增加,　　 其他應收款增加
1514,2016年01月01日至2016年09月30日,,113904,,113904,,,23939,4930,5438,2259,7153,-803,-53721,60,,,,28979,-462611,-14125,32296,1279,122246,22379,1197,,-268372,,-21734,-35021,-4073,,-19348,2211,-50404,164,,,-169359,-437731,-447751,-333847,-19451,-353298,,-12908,0.0,-8449.0,,-14066,289.0,,786,-37111,,5134238,-4882279,0.0,-3,,-7125,148285,-2155,-244279,530565,286286,286286,0.0,,-14.0,,,,728.0,,19003.0,-96546.0,0.0,,-21766.0,0.0,,,,-28461.0,0.0,0.0,2.0,-3.0,,-10020.0,-12693.0,,0.0,0.0
1514,2016年01月01日至2016年06月30日,,110054,,110054,,,15976,3166,8365,2709,4437,-572,-35464,58,,,,16932,-561472,1292,54519,548,68511,3856,935,-9.0,-414892,,5953,-77961,26960,,-18154,2586,-38753,-205,,,-94003,-508895,-510030,-399976,-12325,-412301,,-9048,,,-24.0,-13754,290.0,,565,-2971,,3088485,-2829222,,-1,,-4615,254647,-884,-161509,530565,369056,369056,,,,,,0.0,190.0,,19000.0,,,,,,,,,14882.0,0.0,,-4.0,,,-1135.0,-9311.0,0.0,,0.0
1514,2016年01月01日至2016年03月31日,,92634,,92634,,,7894,1487,1784,2532,2014,-220,-11392,52,,,,10293,-268293,1482,-46499,623,113429,5874,1154,-4.0,-181949,,-6669,-181853,38276,,-44306,1660,-45887,-698,,,-241051,-423000,-418878,-326244,-10,-326254,,-5174,,,4646.0,-10362,-2678.0,,224,-13344,,1502302,-1400806,0.0,0,-1.0,-1939,99556,23,-240019,530565,290546,290546,,,,,,,,,,,,,,,,,-29.0,2000.0,0.0,,-8.0,,,4122.0,-3574.0,0.0,,
1514,2015年度,,133841,,133841,,,31710,4438,8313,64,8134,-2492,-30198,35,,,,-32686,161251,50993,-1530,33209,-248952,-20561,-1190,,-59517,,26505,64889,10946,,-3296,2220,34273,614,,,133229,73712,86421,220262,-426,219836,,-21640,0.0,,-2393.0,-9566,-2680.0,,2723,12048,,5770679,-5694771,-4300.0,157,,-8089,-26158,-720,205006,325559,530565,530565,0.0,,-46.0,,,,-3128.0,,17427.0,-89834.0,60.0,,,0.0,,,,10191.0,-326.0,0.0,-5.0,-4227.0,,12709.0,-13113.0,28503.0,0.0,
1514,2015年01月01日至2015年09月30日,,129740,,129740,,,23793,3144,5788,513,5882,-1874,-33821,29,,,,25685,-282916,45108,-63082,37624,-176318,-30863,-603,,-445403,,38577,130435,66572,,-7633,1982,78996,542,,,311668,-133735,-137519,-7779,-266,-8045,,-20787,0.0,3422.0,,-8297,-623.0,,2080,-8264,,3989538,-3834515,-4300.0,157,,-5909,55137,3277,42105,369359,411464,411464,0.0,,-35.0,,,,-3010.0,,17428.0,-89834.0,0.0,,,0.0,,,,12010.0,-326.0,0.0,-3.0,-4228.0,,-3784.0,-9813.0,,-1161.0,
1514,2015年01月01日至2015年06月30日,,51749,,51749,,,15857,2001,-215,1708,3895,-1117,-21039,29,,,,-16872,-164192,36636,-270,27951,17157,-2709,-416,-23.0,-102738,,-10119,-92876,143727,,-28883,2070,3168,382,,,31730,-71008,-72854,-21105,-181,-21286,,-11887,0.0,,1658.0,-3212,-942.0,,1326,-11504,,2759535,-2682065,,154,,-4012,69912,-1027,36095,369359,405454,405454,0.0,,,,,-3700.0,-2965.0,,1200.0,,0.0,,,0.0,,,,20783.0,-326.0,0.0,0.0,,,-1846.0,-6522.0,679.0,,
1514,2015年01月01日至2015年03月31日,,22148,,22148,,,7894,1045,-3699,965,1798,-525,-11069,0,,,,-19185,-115778,-220,88129,27147,-1485,262,-127,-12.0,-21263,,-5226,-118815,41912,,-35845,1409,-10494,467,,,-138974,-160237,-167008,-144860,-163,-145023,,-5069,0.0,0.0,905.0,-1558,0.0,,527,-5547,,1254798,-1075257,-1850.0,81,0.0,-1735,176037,-383,25084,369359,394443,394443,,,,,,,,,,,,,,,,,-3180.0,-9152.0,-694.0,0.0,6.0,,,-6771.0,-3230.0,342.0,,
1514,2014年度,,115865,,115865,,,29727,4182,13018,-1121,8107,-2166,-15158,68,23073.0,,,75841,-236204,-61734,-44961,-68502,8790,-14555,184,0.0,-341144,,9764,302596,-42813,,15459,-2611,-4043,-261,-21031.0,,236031,-105113,-82040,33825,-5419,28406,,-27362,24.0,,3624.0,-4461,,,2058,27417,,4965332,-5099709,-7400.0,317,,-8264,-155574,951,-98800,406274,307474,307474,101.0,,-35.0,,,,3180.0,,16272.0,-59611.0,-8593.0,,0.0,43610.0,-2002.0,0.0,,-21029.0,-4346.0,53761.0,32.0,-8272.0,,,,,,
1514,2014年01月01日至2014年09月30日,,49112,,49112,,,22154,3199,7263,-448,5857,-1520,-13112,8,22053.0,,,81739,-77600,-25830,-11564,8768,-174920,-2836,-16,,-202426,,33064,173643,-19579,,-11143,358,-12750,848,-18009.0,,114423,-88003,-65950,-16838,-5251,-22089,,-18859,24.0,5414.0,,-1764,-757.0,,1627,3521,,3847968,-3885253,-5550.0,160,,-5996,-54521,92,-72997,406274,333277,333277,101.0,,-26.0,,,,314.0,,8000.0,-59611.0,-1763.0,,,13016.0,,,,-32009.0,-3180.0,53761.0,-141.0,,,,,,,
1514,2014年01月01日至2014年06月30日,,11223,,11223,,,14829,2220,3849,516,3927,-925,-11609,10,11278.0,,,39007,110990,-13318,-35821,8798,-50708,3238,12,,62107,,4758,88418,29853,,-13305,-436,-6764,626,-6268.0,,90929,153036,164314,175537,-3030,172507,,-11497,24.0,,4408.0,-1024,-758.0,,1018,3440,,2488500,-2622596,,-127,,-4230,-88392,-522,87033,406274,493307,493307,101.0,,-17.0,0.0,,-3700.0,123.0,,,,-1763.0,,,13016.0,,,,-5953.0,-1747.0,53761.0,-74.0,,,,,,,
