公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產減少,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 其他應付款－關係人增加,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　 處分採用權益法之投資,　　 存出保證金增加,　　　　 非金融資產減損損失,　　 存出保證金減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他投資活動,　　 應付款項減少,　　　　 股利收入,　　　　　 其他營業資產（增加）減少,　　 收取之股利,　　 退還（支付）之所得稅,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 短期借款增加,　　 現金增資,　　 取得無形資產,　　 其他金融資產增加,　　 舉借長期借款,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得以成本衡量之金融資產,　　 處分備供出售金融資產,　　 預付投資款增加,　　 其他非流動資產減少
2438,2015年度,,132685,132685,,,52421,4412,1290,6525,-103.0,,49,264,0.0,0.0,25430.0,,,,-39104,-17054,,795,0.0,3931,-4932,,-56364,,,-6482,0.0,5669,,896,658,108,849,-55515,32717,165402,103.0,-6440,121017,,-49016.0,0.0,,,-100240,,,,-54628.0,,-3114,-46,17617,50650,68267,68267,-441.0,,-138.0,,0.0,,-37158.0,,-41430.0,-1615.0,0.0,1615.0,-39663.0,0.0,0.0,68311.0,0.0,-2367.0,-2907.0,24633.0,,88232.0,-4854.0,478.0,-3505.0,-773.0
2438,2015年01月01日至2015年09月30日,,103052,103052,,,39153,3286,1284,4583,-62.0,,49,263,0.0,,25430.0,,,,-11449,-16913,,1313,0.0,82,-4892,,-31859,,,-7738,0.0,-12216,,937,655,115,-18247,-50106,22265,125317,62.0,-4433,82917,,-51958.0,0.0,1096.0,,-72522,,0.0,,-54628.0,,14227,-100,24522,50650,75172,75172,,,-230.0,,,-547.0,-13662.0,,-41430.0,-1615.0,0.0,1615.0,-39644.0,0.0,0.0,73311.0,0.0,-2367.0,0.0,36974.0,,72371.0,-4854.0,,,
2438,2015年01月01日至2015年06月30日,,66385,66385,,,25995,2175,65,3256,-62.0,,49,250,,,21000.0,,,,-163,-4675,,1242,0.0,-3713,-223,,-7532,,,-2253,0.0,-16807,,546,-3,38,-18479,-26011,25102,91487,62.0,-3241,62866,,-44805.0,0.0,1096.0,,-49819,,0.0,,-54628.0,,-9001,65,4111,50650,54761,54761,,,-60.0,,,-251.0,-3645.0,,,-1615.0,0.0,1615.0,-27057.0,0.0,0.0,38311.0,0.0,-2154.0,,7316.0,,51113.0,,,,
2438,2015年01月01日至2015年03月31日,,45912,45912,,,12817,1077,41,1430,-6.0,,49,250,,,,,,,-84,-8264,,-1829,,1633,-920,,-9464,,,-3557,,-20369,,375,0,2140,-21411,-30875,-15217,30695,6.0,-1390,29182,,-23493.0,,-7901.0,,-32756,,-5342.0,0.0,-54628.0,,39710,30,36166,50650,86816,86816,,,,,-60.0,,,,,,,,-129.0,,,99680.0,,-1302.0,,,,15658.0,,,,
2438,2014年度,,83517,83517,,,30556,2666,443,1776,-52.0,,2341,0,2625.0,-1300.0,18800.0,56240.0,,,75,-45772,,-2891,9711.0,1513,2393,0.0,-34041,,,-13888,-13577.0,-11530,,656,-1211,-1133,-40683,-74724,-18484,65033,52.0,-2259,47253,,-84484.0,544.0,,,-238435,,,0.0,,0.0,239924,-173,48569,2081,50650,50650,,0.0,,,66.0,0.0,,,,-1615.0,930.0,1615.0,-17188.0,4616.0,-155834.0,735.0,210375.0,-907.0,-2436.0,28814.0,,,,,,
2438,2014年01月01日至2014年09月30日,,65362,65362,,,19582,1286,-777,1080,-26.0,,709,0,2500.0,0.0,0.0,22739.0,,,-10266,-29695,,-2842,9711.0,9062,-2438,0.0,-25538,,,-17655,-13577.0,-17495,,1009,-6817,-1135,-55670,-81208,-58469,6893,26.0,-1568,-10219,,-31896.0,5761.0,-4933.0,0.0,-225018,,-13028.0,0.0,,0.0,276626,-59,41330,2081,43411,43411,,,,,,,-42732.0,,,-1615.0,930.0,1615.0,-17185.0,4616.0,-155834.0,79279.0,210375.0,,,,,,,,,
2438,2014年01月01日至2014年06月30日,,35929,35929,,,9226,806,-887,412,-26.0,,230,0,0.0,0.0,0.0,8146.0,,,-6565,-13700,,148,9711.0,4818,1013,0.0,-3645,,,-19951,-13578.0,-35605,,735,-6757,-1053,-76209,-79854,-71708,-35779,26.0,-926,-47650,,-15597.0,5643.0,67.0,0.0,-161870,,-5211.0,0.0,,0.0,244323,-6,34797,2081,36878,36878,,,,,,,-765.0,,,-1615.0,930.0,1615.0,-12586.0,4616.0,-155834.0,39159.0,210375.0,,,,,,,,,
2438,2014年01月01日至2014年03月31日,,-9503,-9503,,,1041,349,-57,281,,,300,0,0.0,0.0,0.0,1914.0,,,-3307,4196,0.0,-86,0.0,700,371,0.0,1874,,,-2599,,380,,17,-749,69,-2882,-1008,906,-8597,,-589,-9186,,,,,0.0,0,,,8080.0,,,8080,231,-875,2081,1206,1206,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,2013年度,,-16701,-16701,,,7421,1412,-7,876,-2.0,,34598,58,7241.0,-32414.0,-1668.0,17515.0,,,829,-1728,,-11430,29.0,-83,1978,852.0,-9553,,,127,350.0,-6284,,381,-10194,-381,-16001,-25554,-8039,-24740,2.0,-349,-25087,,-292.0,2467.0,,,1495,,,19500.0,,-6051.0,13449,170,-9973,12054,2081,2081,,0.0,,,0.0,-680.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2438,2013年01月01日至2013年12月31日,,-16701,-16701,,,7421,1412,-7,876,-2.0,0.0,34598,58,7241.0,-32414.0,-1668.0,17515.0,,,829,-1728,0.0,-11430,29.0,-83,1978,852.0,-9553,,,127,350.0,-6284,0.0,381,-10194,-381,-16001,-25554,-8039,-24740,2.0,-349,-25087,,-292.0,2467.0,0.0,,1495,,0.0,19500.0,,-6051.0,13449,170,-9973,12054,2081,2081,0.0,0.0,,0.0,0.0,-680.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
