公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 不動產、廠房及設備轉列費用數,　　 其他應付款－關係人減少,　　 發放現金股利,　　　 收益費損項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 收益費損項目合計,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 淨確定福利負債增加(減少),　　 其他應收款－關係人增加,　　 其他金融資產減少,　　 短期借款增加,　　 發行公司債,　　　　 金融資產減損損失,　　　　　 其他營業負債增加（減少）,　　　　 處分無形資產損失（利益）,　　 取得採用權益法之投資,　　 庫藏股票買回成本,　　　　 非金融資產減損損失,　　　　　 其他應收款－關係人（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他金融負債增加（減少）,　　 收取之利息-營業活動,　　 其他非流動資產減少,　　　　 未實現外幣兌換損失（利益）
3338,2016年01月01日至2016年09月30日,,129359,129359,,,64521,3582,105.0,2988,-4471,1246.0,740,,-1128,,,,-236097,38084,30081.0,-9525,-170416,,35210,7490.0,17857,60557,-109859,-22438,106921,2459,-410,-23563,85407,,,-71274,495,-2717,-7944,,-81291,,,,-60878,,,,-145296,-33600,-174780,620655,445875,445875,,,-104418.0,,2722.0,87421.0,7055.0,,,0.0,149.0,20000.0,0.0,,,0.0,,0.0,,,,-14.0,,,,17116.0
3338,2016年01月01日至2016年06月30日,,61049,61049,,,39960,2086,80.0,2115,-3326,830.0,159,,1336,,,,-17469,84932,22414.0,11531,101399,,-165363,-13720.0,1444,-177639,-76240,-27234,33815,1967,-411,-20836,14535,,,-46024,2664,-2073,-8617,,-53977,,0.0,,-61475,,,,-61475,-14836,-115753,620655,504902,504902,,,,,3079.0,49006.0,0.0,,,,73.0,0.0,0.0,,,,,,,,,-9.0,,,,2687.0
3338,2016年01月01日至2016年03月31日,,20926,20926,,,18583,1003,,1146,-1827,415.0,66,,280,,,,29746,55098,9202.0,22716,116757,,-171178,-44086.0,332,-214932,-98175,-74856,-53930,37,-283,-274,-53294,,,-21132,2668,-1806,-7072,,-27296,,,,-10765,,,,-10765,-3471,-94826,620655,525829,525829,,,,,-610.0,23319.0,0.0,,,,9.0,0.0,0.0,,,,,,,,,-5.0,,1193.0,,4263.0
3338,2015年度,,163952,163952,,,68772,3795,-587.0,4495,-6211,692.0,1448,,1926,,,,551,-33273,,1101,-113901,,101664,,1440,124994,11093,104371,268323,108,-1476,-40772,231175,,,-83584,29,-4658,4335,,-139736,,-59856.0,,-41295,,,,40647,-5558,126528,494127,620655,620655,,,-139500.0,,18948.0,93278.0,,-65240.0,0.0,-46169.0,,,294850.0,,,,0.0,-13552.0,0.0,84.0,-17107.0,-17.0,21890.0,5100.0,-9797.0,
3338,2015年01月01日至2015年09月30日,,90067,90067,,,50106,2839,-629.0,3345,-4445,276.0,1170,,370,,,,107982,27766,7582.0,8191,142718,,-28846,879.0,1413,-26554,116164,182088,272155,4524,-1195,-40117,235367,,,-47576,29,-3917,-10095,,-91849,,,,-30694,0.0,,,60909,10846,215273,494127,709400,709400,,,-139500.0,,12819.0,65924.0,84.0,-8887.0,,-34267.0,3977.0,-59856.0,294850.0,0.0,,73.0,0.0,-3891.0,,,,,,,,
3338,2015年01月01日至2015年06月30日,,30758,30758,,,34320,2012,-629.0,2190,-3191,,833,,-220,,,,172322,34881,10974.0,9843,218148,,-119730,-35484.0,989,-154225,63923,105350,136108,3136,-893,-24161,114190,,,-25893,0,-1739,-9040,,-32583,,,,-20191,,,,214803,-13942,282468,494127,776595,776595,,,,,6112.0,41427.0,84.0,-9956.0,,0.0,4089.0,-59856.0,294850.0,0.0,0.0,,,,,,,,,,,
3338,2015年01月01日至2015年03月31日,,19642,19642,,,17680,1025,0.0,1020,-1712,,325,,-634,,,,153513,8097,10818.0,9629,182077,,-83297,-28148.0,1111,-110334,71743,90981,110623,1355,-584,-475,110919,,,-11343,0,-1282,-1773,,-11262,,,,-10206,,,,234788,-5962,328483,494127,822610,822610,,,,,1534.0,19238.0,25.0,-5.0,0.0,0.0,3136.0,-49856.0,294850.0,,,,,,,,,,,,,
3338,2014年度,,188017,188017,,,66683,5391,287.0,2726,-4751,0.0,9385,,4332,,,,205996,-34143,,6922,220613,,-59818,,-11189,-65022,155591,253463,441480,0,-2625,-21209,422286,,,-58336,9,-4084,4159,,-113641,,-14657.0,,-81241,,,,-200523,26876,134998,359129,494127,494127,,,-104625.0,,13605.0,97872.0,,0.0,-2869.0,-84.0,,,0.0,,,,-43688.0,0.0,214.0,0.0,42412.0,-574.0,8854.0,4640.0,-11617.0,
3338,2014年01月01日至2014年09月30日,,135562,135562,,,49475,4351,285.0,2134,-3352,0.0,8940,,2455,,,,193012,-18768,31591.0,23628,226006,,-86588,-2424.0,-4622,-93634,132372,206087,341649,2762,-2157,-15778,326476,,,-52920,8,-3533,-1059,,-126863,,,,-29403,-2869.0,,,-153103,6571,53081,359129,412210,412210,,,-104625.0,,9111.0,73715.0,0.0,-3457.0,,-25671.0,0.0,-16206.0,0.0,213.0,,103.0,-43688.0,0.0,,,,,,,,
3338,2014年01月01日至2014年06月30日,,91796,91796,,,32062,2162,0.0,1540,-2468,,2510,,0,,,,224371,-33611,23220.0,44627,258607,,-92000,-12295.0,-11659,-116178,142429,182144,273940,2044,-1590,-15468,258926,,,-30469,8,-2881,-3651,,-60227,,,,-19412,,,,-93925,-7395,97379,359129,456508,456508,,,,,0.0,39715.0,0.0,0.0,,-23234.0,0.0,-74513.0,0.0,3909.0,-224.0,,,,,,,,,,,
3338,2014年01月01日至2014年03月31日,,33303,33303,,,16307,1033,120.0,823,-782,,502,,0,,,,307333,-13418,12569.0,-11397,295087,,-96850,-31397.0,-7168,-135401,159686,177689,210992,737,-587,0,211142,,,-12563,5,-597,-792,,-22961,,,,-9903,,,,-8241,3220,183160,359129,542289,542289,,,,,0.0,18003.0,0.0,0.0,14.0,-9014.0,0.0,1662.0,0.0,,,,,,,,,,,,,
3338,2013年01月01日至2013年09月30日,,102372,102372,,,47102,3307,0.0,2322,-590,10323.0,1613,0.0,533,64610.0,,,94218,-6138,-23992.0,-5228,58860,,-52065,19344.0,13961,-18760,40100,104710,207082,537,-2632,-15913,189074,,2976.0,-71153,430,-1327,-4056,0.0,-73130,,-118304.0,192205.0,-123719,-932.0,39396.0,0.0,-104354,20467,32057,213175,245232,245232,0.0,0.0,-93000.0,,,,,,,,,,,,,,,,,,,,,,,
3338,2013年01月01日至2013年06月30日,,78706,78706,,,28713,2302,0.0,1448,-348,10323.0,1219,0.0,469,44126.0,,,80799,-1098,-32969.0,-1265,45467,,-5367,33719.0,11154,39506,84973,129099,207805,357,-1653,-13421,193088,,0.0,-26518,63,-219,-10170,0.0,-36844,,-56596.0,195000.0,-111314,25.0,39396.0,0.0,66511,13472,236227,213175,449402,449402,,,,,,,,,,,,,,,,,,,,,,,,,,
3338,2012年01月01日至2012年09月30日,,104771,104771,,,46239,3441,-800.0,4528,-623,0.0,39163,1812.0,250,94460.0,,,-62979,14511,-104301.0,13420,-139349,,39285,1283.0,18263,58831,-80518,13942,118713,628,-5001,-1868,112472,,4996.0,-26115,240,-6192,-247,-7988.0,-35306,,-35381.0,0.0,-6317,3693.0,0.0,-2501.0,-169444,-7876,-100154,247111,146957,146957,450.0,-69564.0,-59374.0,,,,,,,,,,,,,,,,,,,,,,,
3338,2012年01月01日至2012年06月30日,,61438,61438,,,32831,2171,-706.0,2990,-442,0.0,24387,1812.0,242,63285.0,,,-110616,-22266,-95813.0,-1480,-230175,,116267,16334.0,775,133376,-96799,-33514,27924,442,-2990,-1868,23508,,3795.0,-22640,240,-5829,3304,-7988.0,-29118,,-62832.0,0.0,-4288,2.0,0.0,-2501.0,-69619,-6278,-81507,247111,165604,165604,,,,,,,,,,,,,,,,,,,,,,,,,,
