公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 應付租賃款減少,　　 其他非流動負債減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動負債增加,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　 退還（支付）之所得稅,　　 償還長期借款,　　 發放現金股利,　　　　 非金融資產減損迴轉利益,　　　　　 應收票據（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　 存出保證金減少
4725,2015年01月01日至2015年09月30日,,-1376621,-1376621,,,576152,0.0,148687,-1037,-6581.0,-93175.0,22701,646747.0,,,788956.0,43729,1033971,18877,2797,1888330,,-264843,-70771,-3282,-338896,1549434,2196181,819560,1001,-43915,776646,,-253887,6581.0,-75986,-323292,,9045372,-8405687,698527,-1500000.0,700000.0,-303300,-15145.0,219767,673121,140138,813259,813259,,,,,,,,,,,,
4725,2015年01月01日至2015年06月30日,,-982851,-982851,,,397025,0.0,99134,-835,,-105889.0,6114,395549.0,,,-158077.0,26220,1190351,21030,-19526,1059998,,495233,13368,-3569,505032,1565030,1960579,977728,816,-29378,949166,,-217533,,-94616,-312149,,6084296,-6466422,399129,-1100000.0,700000.0,-202200,,-599449,37568,140138,177706,177706,-14252.0,,,,,,,,,,,
4725,2015年01月01日至2015年03月31日,,-657059,-657059,,,217041,0.0,49647,-214,,-79068.0,223,187517.0,,,-77666.0,21695,963764,-12367,-19966,875460,,271908,27316,12969,312193,1187653,1375170,718111,189,-13803,704497,,-25512,,-45867,-71379,,2837046,-3438608,299424,-800000.0,700000.0,-101100,-9387.0,-512625,120493,140138,260631,260631,,-112.0,,,,,,,,,,
4725,2014年度,,-680382,-680382,,,794742,-23.0,208239,-3925,-25486.0,153784.0,904,,,,817010.0,-17965,-874543,-55250,18255,-112493,,-931631,26552,-21472,-926551,-1039044,89191,-591191,3925,-59691,-646957,,-244153,25486.0,-97959,-316626,,14628086,-14708138,2693582,-2400000.0,450000.0,-404400,,255467,-708116,848254,140138,140138,-3663.0,,,1128235.0,0.0,0.0,0.0,0.0,,,,
4725,2014年01月01日至2014年09月30日,,-255608,-255608,,,599488,-23.0,155057,-2640,-25486.0,12278.0,-3352,735322.0,,,-270179.0,-50212,-359490,-67165,13144,-733902,,-330092,17480,-4692,-317304,-1051206,-315884,-571492,2558,-43824,-612758,,-208197,25486.0,-30882,-213593,,10521130,-9623595,1895277,-1600000.0,450000.0,-303300,-3663.0,1335849,509498,848254,1357752,1357752,,,,,,,,,,,,
4725,2014年01月01日至2014年06月30日,,-150690,-150690,,,403566,-23.0,104551,-1915,,45545.0,-7237,544487.0,,,-11231.0,-59715,-369952,-75638,978,-515558,,10641,41550,1204,53395,-462163,82324,-68366,1915,-27378,-93829,,-144561,,21911,-122650,,6426235,-6399995,1247065,-1300000.0,450000.0,-202200,,217827,1348,848254,849602,849602,-3278.0,,,,,,,,,,,
4725,2014年01月01日至2014年03月31日,,-61113,-61113,,,201610,-23.0,51520,-710,,54990.0,-1740,305647.0,,,-381204.0,-53656,-425577,-38833,6477,-892793,,426929,3818,-3322,427425,-465368,-159721,-220834,657,-13213,-233390,,-81955,,7323,-74632,,3771816,-3218352,498832,-500000.0,0.0,-101100,-1395.0,449801,141779,848254,990033,990033,,0.0,,,,,,,,,,
4725,2013年度,,-767653,-767653,,,852253,23.0,66205,-4064,-12242.0,9548.0,2381,,,,473792.0,-928,-57240,4932,14342,435714,,-41724,29024,25848,13148,448862,1362966,595313,4064,-51889,548151,,-303587,12242.0,-21382,-312727,,11844134,-11324718,1795825,-1300000.0,1450000.0,-74400,,171634,407058,441196,848254,848254,783.0,,,914104.0,816.0,663.0,-2103200.0,-116790.0,,,,
4725,2013年01月01日至2013年12月31日,,-767653,-767653,,,852253,23.0,66205,-4064,-12242.0,9548.0,2381,,,,473792.0,-928,-57240,4932,14342,435714,,-41724,-2476,25848,-18352,417362,1331466,563813,4064,-51889,516651,,-272087,12242.0,-21382,-281227,,11844134,-11324718,1795825,-1300000.0,1450000.0,-74400,,171634,407058,441196,848254,848254,783.0,,,914104.0,816.0,663.0,-2103200.0,-116790.0,0.0,,0.0,
4725,2013年01月01日至2013年09月30日,,-452104,-452104,,,641438,0.0,39611,-3088,-12242.0,20931.0,1029,,,,467149.0,-10174,-458106,-34970,14763,-20522,,39287,-33410,8231,14108,-6414,681265,229161,3044,-31561,201307,,-201246,12242.0,41534,-147470,,8167491,-7003303,997575,-700000.0,0.0,-33300,,676326,730163,441196,1171359,1171359,3853.0,,,687679.0,816.0,663.0,-639200.0,-116790.0,,,,
4725,2013年01月01日至2013年06月30日,,-181768,-181768,,,426527,0.0,25285,-2252,,,1661,,,,,-4417,-693488,-48477,24337,-1127401,,120261,-29732,1865,94134,-1033267,-577276,-759044,2252,-19472,-775601,,-198253,,48816,-149437,,2454577,-1437594,698162,-400000.0,0.0,-22200,,755422,-169616,441196,271580,271580,1677.0,,,455991.0,816.0,663.0,-539200.0,,4770.0,-406172.0,1740.0,0.0
4725,2013年01月01日至2013年03月31日,,-64587,-64587,,,211745,9.0,11148,-1016,,35668.0,-2092,,,,,1254,-950332,-35424,-6806,-1149892,,464917,-32794,4943,437066,-712826,-457364,-521951,970,-8702,-529020,,-75819,,23324,-52495,,1302986,-1052653,299142,0.0,,-11100,,538811,-42704,441196,398492,398492,436.0,,,255462.0,1107.0,663.0,,,,-159691.0,,
4725,2012年01月01日至2012年12月31日,,-119357,-119357,,,841704,-19929.0,53366,-5873,-11293.0,0.0,-13472,,,,-1041102.0,15163,-276740,31920,55156,1038467,,1049711,-59519,-6853,982437,2020904,2833987,2714630,5886,-49759,2432205,,-293061,11293.0,17114,-264654,,6701284,-6544090,399232,-400000.0,200000.0,-44400,,-2442144,-274593,715789,441196,441196,-21728.0,,,813083.0,2254070.0,-238552.0,-878400.0,-1854042.0,-31420.0,,-902.0,
4725,2012年01月01日至2012年09月30日,,21186,21186,,,629628,,40766,-4429,-11293.0,,-13393,,,,-1684195.0,-3428,-64967,9646,42277,554219,,984280,-66043,897,920197,1474416,2074646,2095832,4373,-37663,1824142,,-177544,11293.0,1586,-164665,,4995754,-4620755,199613,,,-33300,,-1766625,-107148,715789,608641,608641,-14695.0,,,600230.0,2254886.0,-238400.0,-439200.0,-1854042.0,,,,
