公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還公司債,　　 償還長期借款,　　 其他應付款－關係人減少,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　 退還（支付）之所得稅,　　 對子公司之收購（扣除所取得之現金）,　　 應付款項增加,　　　　　 其他營業資產（增加）減少,　　　　　 預收款項增加（減少）,　　 取得按攤銷後成本衡量之金融資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 舉借長期借款,　　 存入保證金增加,　　　　 不動產、廠房及設備轉列費用數,　　　　 非金融資產減損損失,　　 取得持有至到期日金融資產,　　 存出保證金增加,　　 因合併產生之現金流入,　　 其他非流動資產減少,　　 庫藏股票買回成本,　　 持有至到期日金融資產到期還本,　　 現金增資,　　　　 利息收入,　　　　　 應計退休金負債增加（減少）,　　 收取之利息,　　　　 非金融資產減損迴轉利益,　　 存出保證金減少,　　 發行公司債,　　 其他籌資活動,　　　　　 持有供交易之金融資產（增加）減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 收取之利息-營業活動,　　 收取之股利,　　　　 處分投資損失（利益）,　　 處分按攤銷後成本衡量之金融資產,　　 處分備供出售金融資產,　　 短期借款減少,　　 存入保證金減少,　　 員工購買庫藏股,　　　　 處分採用權益法之投資損失（利益）,　　 處分採用權益法之投資
3383,2016年01月01日至2016年09月30日,,-1175802,-1175802,,,790846,4637,3977,-381,62005,3261,4811,17846,0.0,,0,-30210,,,,3969,207757,104005,0.0,6427,331912,11775,665845,,-4155,-46804,-63405,,,-114179,551666,1347646,171844,-57564,116572,,-3000.0,0,-18661,1475,-945.0,,0,212109,,,0,-355128,,0.0,0.0,-627416,-8157,-306892,411591,104699,104699,-2.0,0.0,,0.0,0.0,185.0,0.0,-750.0,39750.0,-5437.0,0.0,,,0.0,,,,1230.0,-2002.0,0.0,0.0,-2290.0,,0.0,,93.0,0.0,0.0,0.0,,795980.0,0.0,2290.0,2.0,-60853.0,150853.0,,-292459.0,-202.0,22375.0,2333.0,47501.0
3383,2016年01月01日至2016年06月30日,,-809956,-809956,,,531628,2948,5393,-955,41942,2979,4811,17116,0.0,,0,-2310,,,,12976,220646,104005,0.0,5342,214571,7211,564751,,-852,-83880,-49118,,,-131479,433272,976243,166287,-39280,129068,,-4000.0,0,-14366,707,-945.0,,0,207880,,,0,-325461,,0.0,0.0,-519673,-7859,-190584,411591,221007,221007,0.0,0.0,,0.0,0.0,2371.0,,,32324.0,-5006.0,0.0,,,0.0,,-35.0,,847.0,-2002.0,0.0,0.0,-2061.0,,0.0,,,0.0,0.0,0.0,,542971.0,0.0,2061.0,0.0,-60853.0,150853.0,,-214510.0,-75.0,22375.0,2333.0,47501.0
3383,2016年01月01日至2016年03月31日,,-377768,-377768,,,267689,1395,5197,-218,21228,2697,-143,2561,0.0,,0,-35869,,,,3965,168532,78829,0.0,3050,129868,7458,391702,,-953,-65046,-33263,,,-98556,293146,496442,118674,-19570,99492,,,0,-3471,0,-945.0,,0,180859,,,0,-40794,,0.0,0.0,-182190,1312,99473,411591,511064,511064,0.0,0.0,,0.0,0.0,706.0,,,33020.0,-120.0,0.0,,,0.0,,,,444.0,0.0,0.0,0.0,-388.0,,0.0,,78.0,0.0,0.0,0.0,,203296.0,0.0,388.0,0.0,-60853.0,150853.0,1000.0,-163682.0,-89.0,22375.0,,
3383,2015年度,,-1949094,-1949094,,,1104865,10111,26478,5900,90402,27458,-8003,9226,0.0,,0,660592,,,,86450,303258,65444,0.0,6851,-18101,11647,488994,,-3623,-195472,-70082,,,-269497,219497,2346344,397250,-79039,331483,,42812.0,0,-91064,70,-4024.0,,-1896,-86651,,-96583.0,0,-3451882,,0.0,0.0,-650350,-711,-406229,817820,411591,411591,-3719.0,-449.0,,0.0,-777.0,-320.0,0.0,153225.0,-119519.0,-72502.0,3200000.0,160.0,,214223.0,,637.0,,2299.0,-302045.0,0.0,0.0,-10686.0,,3311.0,,,0.0,0.0,34222.0,,2126847.0,0.0,7797.0,5924.0,,,,,,,,
3383,2015年01月01日至2015年09月30日,,-979442,-979442,,,828945,8520,26888,12112,68849,20706,-6637,8774,0.0,,0,293791,,,,47374,50200,105274,0.0,5334,-61559,25714,171024,,-422,-104095,-46841,,,-151383,19641,1268370,288928,-60106,238585,,34812.0,0,-73536,70,-3690.0,,2205,-1706,,121688.0,0,-3336143,,0.0,0.0,-574505,-2745,-340371,817820,477449,477449,-3719.0,-449.0,,0.0,0.0,-25.0,0.0,158841.0,-57048.0,-69015.0,2923000.0,167.0,,0.0,,595.0,,1856.0,-283217.0,0.0,0.0,-9500.0,,3204.0,0.0,,0.0,,-1313.0,,1248729.0,0.0,6493.0,3719.0,,,,,,,,
3383,2015年01月01日至2015年06月30日,,-554236,-554236,,,555289,6715,14634,1219,46752,13870,-4590,5081,0.0,,0,137798,,,,22171,-15448,75937,0.0,8604,-15964,26787,74241,,-2998,-17437,-30550,,,-51257,22984,792063,237827,-43781,198520,,32812.0,0,-56383,70,0.0,,2205,52639,,37459.0,0,-3195464,,,,-434280,-5236,-188357,817820,629463,629463,,-449.0,,,0.0,-272.0,0.0,169650.0,-60304.0,-39807.0,2798000.0,-111.0,,0.0,,519.0,,1298.0,-74164.0,0.0,0.0,-7689.0,,2579.0,0.0,,,,-27846.0,,769079.0,0.0,4923.0,,,,,,,,,
3383,2015年01月01日至2015年03月31日,,-231354,-231354,,,281556,3600,13696,381,24404,7033,-53,647,0.0,,0,69332,,,,34420,-1398,21763,0.0,-2083,-83219,13837,-19677,,2533,-32817,-50767,,,-81164,-100841,295029,63675,-21493,44380,,-2578.0,0,-11589,70,0.0,,0,107204,,11413.0,0,-607878,,,,-246514,-5124,-100054,817820,717766,717766,,0.0,,,0.0,-113.0,0.0,163236.0,-21231.0,-24798.0,350000.0,-49.0,,0.0,,514.0,,669.0,,0.0,0.0,-4726.0,,2911.0,0.0,,,,-2997.0,,395870.0,0.0,2198.0,,,,,,,,,
3383,2014年度,,97462,97462,,,1110192,13708,-76599,-3671,117117,35436,-7758,11214,0.0,,4170,24836,1215848.0,,,-1413,-208029,36334,0.0,9683,-287164,4241,-488578,,-208261,176705,66451,,0.0,33823,-454755,761093,858555,-137403,716827,,-27861.0,0,-137985,4268,-7159.0,,-2107,-727128,,49667.0,-135600,-1580603,,0.0,0.0,-136928,-1077,-148306,966126,817820,817820,,-12927.0,,0.0,-668.0,-1072.0,-90000.0,-120065.0,-234275.0,-198022.0,86000.0,245.0,0.0,0.0,,3555.0,,-1167.0,,83690.0,913500.0,-9621.0,0.0,8602.0,-3176.0,,600000.0,-70137.0,-41562.0,,,,,,,,,,,,,
3383,2014年01月01日至2014年09月30日,,153420,153420,,,834809,7708,-75455,-3293,95667,26781,-9134,8227,,,15,2591,879053.0,,,-77915,-310347,25602,,9085,-53889,11011,-396453,,-209532,212843,74652,0.0,0.0,77380,-319073,559980,713400,-115856,590050,,8951.0,0,-124438,4251,-1524.0,-1836.0,180,-318521,,-216730.0,-135600,-1577422,,0.0,0.0,-430316,-2161,-160948,966126,805178,805178,,-12925.0,,0.0,,-583.0,0.0,-200215.0,47337.0,-137462.0,56000.0,73.0,,,,,,,,83690.0,913500.0,-5742.0,,5431.0,-3121.0,2545.0,600000.0,-70137.0,,,,,,,,,,,,,,
3383,2014年01月01日至2014年06月30日,,97509,97509,,,563719,7051,-74102,-3593,67315,12532,-5142,877,0.0,,4155,-16625,551774.0,,,-55723,-355682,60850,,15930,171960,30261,-132404,,-73297,109554,-5365,,-3958.0,26430,-105974,445800,543309,-66047,469552,,-1096.0,0,-101347,3792,-1524.0,,-1252,-99259,,-4586.0,-69737,-684286,,,0.0,-157614,-2535,210144,966126,1176270,1176270,,-12924.0,,0.0,,-504.0,,-5275.0,0.0,-80289.0,26000.0,-5.0,0.0,0.0,,2949.0,0.0,1093.0,,83690.0,575000.0,-4413.0,0.0,5214.0,,,,,,,,,,,,,,,,,,
