公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 預收款項增加－處分資產,　　 存出保證金減少,　　 取得無形資產,　　 處分投資性不動產,　　 其他金融資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 其他借款增加,　　 其他借款減少,　　 存入保證金減少,　　 其他應付款－關係人減少,　　 應付租賃款增加,　　 應付租賃款減少,　　 現金增資,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應收款－關係人（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　 存出保證金增加,　　 取得投資性不動產,　　 應付短期票券增加,　　 其他金融資產增加,　　 預付設備款減少,　　　　 處分採用權益法之投資損失（利益）,　　 處分無形資產,　　 存入保證金增加,　　 預收款項減少－處分資產
8033,2015年01月01日至2015年09月30日,,-73284,-73284,,,46533,6197,5944.0,20021,-735.0,-4157.0,150,-61803.0,7623.0,3272.0,23045.0,,,-1283,31339,-7506.0,9619,17580,-1518,-8207,0.0,40024,,3456,-37228,5594,0.0,5938,161.0,-22079,17945,40990,-32294,733,-19397,-8070,-59028,,-39361,0.0,0.0,408.0,-4682.0,81459.0,-38790.0,0,-966,,-193996,0.0,0,65.0,-29290,0.0,0,0.0,0.0,0.0,0.0,210000.0,0.0,1651.0,-11570,7653,-63911,274941,211030,211030,,,,,,,,,,,,,,
8033,2015年01月01日至2015年06月30日,,-37314,-37314,,,31410,4055,7307.0,13807,-508.0,-2489.0,103,-61568.0,5898.0,3272.0,1287.0,,,-70,-43317,-15063.0,18868,-4114,851,967,0.0,-41878,,-1077,-14589,1783,0.0,19193,161.0,5471,-36407,-35120,-72434,486,-14844,-2287,-89079,,-22356,0.0,0.0,448.0,-4571.0,81150.0,-2660.0,0,52011,,0,-170713.0,0,0.0,-21342,0.0,0,0.0,0.0,0.0,0.0,210000.0,0.0,1651.0,19596,61016,43544,274941,318485,318485,,,,,,,,,,,,,,
8033,2015年01月01日至2015年03月31日,,-66909,-66909,,,16077,1983,268.0,7994,-167.0,-1440.0,69,,2217.0,3272.0,30273.0,,,-53,9488,-3178.0,169,5962,-1108,-498,0.0,10016,,-3476,-28960,-2455,0.0,8982,637.0,-25272,-15256,15017,-51892,50,-8397,0,-60239,,-9109,0.0,10081.0,500.0,-341.0,,574.0,-51,1654,,7954,0.0,0,0.0,-13460,0.0,0,-648.0,0.0,0.0,0.0,210000.0,0.0,1650.0,205496,6182,153093,274941,428034,428034,-766.0,,,,,,,,,,,,,
8033,2014年度,,-162059,-162059,,,58010,7421,1558.0,32990,-1010.0,-3296.0,284,,-2421.0,1323.0,,,,303,-20945,-1678.0,-5500,12424,-29863,-12288,-2285.0,-60912,,-33449,28614,-6128,-245.0,-11304,,-24095,-85007,9852,-152207,724,-31731,14638,-168576,,-65059,182.0,0.0,0.0,-6305.0,,6773.0,-5306,-74493,,59407,0.0,0,76980.0,-37012,0.0,0,-648.0,0.0,0.0,-6398.0,229500.0,18624.0,47867.0,388320,-10664,134587,140354,274941,274941,-1080.0,,94859.0,-1583.0,0.0,-4778.0,,,,,,,,
8033,2014年01月01日至2014年09月30日,,-116652,-116652,,,43260,5435,380.0,24350,-484.0,-3117.0,115,0.0,565.0,1323.0,71827.0,,,-148,-14738,4974.0,-11564,-1497,-37959,-12377,706.0,-72603,,-38202,496,-2358,-245.0,-7223,0.0,-47532,-120135,-48308,-164960,421,-23842,14148,-174233,,-51187,506.0,0.0,-10305.0,-5953.0,0.0,18681.0,0,-48258,,38344,0.0,0,76980.0,-18929,0.0,0,-624.0,0.0,0.0,-6214.0,229500.0,39976.0,60030.0,419063,-25312,171260,140354,311614,311614,,,,,,,,,,,,,,
8033,2014年01月01日至2014年06月30日,,-58057,-58057,,,28697,3552,-554.0,15945,-554.0,-1758.0,45,0.0,542.0,1323.0,47238.0,,,429,-32734,3436.0,-7756,32027,-14937,-13255,729.0,-32061,,-30619,14544,2063,0.0,6267,0.0,-7745,-39806,7432,-50625,745,-15258,-7861,-72999,,-44567,501.0,0.0,-10278.0,-5306.0,0.0,10770.0,0,-48880,,43695,0.0,0,65200.0,-10617,0.0,0,-3.0,-245.0,0.0,-4473.0,229500.0,39944.0,60032.0,423033,-10410,290744,140354,431098,431098,,,,,,,,,,,,,,
8033,2014年01月01日至2014年03月31日,,-37802,-37802,,,13496,1753,0.0,7740,-41.0,-532.0,871,,621.0,0.0,23908.0,,,407,-31403,4722.0,-3379,52004,-11958,-732,0.0,9661,,-4601,-10324,-4962,0.0,2649,0.0,-17238,-7577,16331,-21471,31,-7353,-1058,-29851,,-11995,0.0,0.0,-10000.0,-3506.0,,-20000.0,181,-45320,,67801,0.0,0,37073.0,-3496,0.0,0,-15.0,-245.0,0.0,-2277.0,0.0,0.0,26190.0,125031,-8092,41768,140354,182122,182122,0.0,,,,,,,,,,,,,
8033,2013年度,,38904,38904,,,60961,5140,935.0,33188,-504.0,100.0,-174923,,720.0,0.0,,,,19,16492,-12545.0,5861,41355,-2917,16989,0.0,65254,,16105,-5595,-2784,0.0,4810,,11674,76928,2545,41449,475,-33920,5588,13592,,-29856,296167.0,0.0,5553.0,-2424.0,,23490.0,-16773,265132,,0,-135233.0,-11000,0.0,-92510,0.0,-86970,-1500.0,-1474.0,0.0,-15631.0,0.0,9355.0,72217.0,-262746,-21276,-5298,145652,140354,140354,0.0,,-74383.0,-862.0,-11025.0,0.0,,,,,,,,
8033,2013年01月01日至2013年12月31日,,38904,38904,,,60961,5140,0.0,33188,,,-174923,,,,,,,19,16492,-12545.0,5861,41355,-2917,16989,,65254,,16105,-5595,-2784,,4810,,11674,76928,1394,40298,475,-33920,5588,12441,,-29856,296167.0,0.0,5553.0,,,,-16773,265132,,0,-135233.0,-11000,,-92510,0.0,-86970,-1500.0,-1474.0,,-15631.0,0.0,,72217.0,-272101,-10770,-5298,145652,140354,140354,,,-75534.0,-862.0,-11025.0,0.0,,,23490.0,,100.0,-2424.0,,
8033,2013年01月01日至2013年09月30日,,-100651,-100651,,,46445,3884,0.0,24280,0.0,0.0,10,,0.0,0.0,,,,-530,2542,0.0,-3092,7749,-19711,4728,0.0,-9886,,-14489,35269,5642,-1952.0,-10160,,12778,2892,77511,-23140,217,-24425,-2080,-49428,,-24311,0.0,,,-2138.0,,18325.0,297,-15146,,629043,-542098.0,-11000,0.0,-78016,,-86970,-675.0,,,-23839.0,0.0,9355.0,57218.0,-46982,74881,-36675,145652,108977,108977,-1572.0,,74619.0,-1532.0,,3706.0,-11025.0,,,,,,,
