公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 利息費用,　　　　 已實現銷貨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應收款（增加）減少,　　　　 處分投資損失（利益）,　　　　　 其他營業資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業負債增加（減少）,　　 處分以成本衡量之金融資產,　　 存出保證金減少,　 籌資活動之現金流量,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　　　　　 應付帳款增加（減少）,　　 其他籌資活動
1438,2015年01月01日至2015年09月30日,,17436,17436,,,11,24.0,27,-3380.0,-4.0,-3025.0,0.0,-6347.0,,,0.0,4.0,5618,695,-15454.0,-9137,,-492,645,-47,-31.0,75,-9062,-15409,2027,3385,4.0,-2339,3077,,0.0,0.0,0.0,0.0,3077,166060,169137,169137,,,,,,,,,,,,,,,,,
1438,2015年01月01日至2015年06月30日,,13133,13133,,,9,18.0,16,-2215.0,,,1878.0,-294.0,,,0.0,4.0,5585,631,-15455.0,-9235,,-533,903,-32,-36.0,302,-8933,-9227,3906,2221,,-2223,3904,,,0.0,0.0,0.0,3904,166060,169964,169964,,,,,,,,,,,,,,,,,
1438,2015年01月01日至2015年03月31日,,14860,14860,,,8,11.0,0,-1094.0,,,816.0,-259.0,,,,4.0,5515,577,,6096,,-533,544,-16,-49.0,-54,6042,5783,20643,1088,,-2264,19467,,,0.0,0.0,0.0,19467,166060,185527,185527,,,,,,,,,,,,,,,,,
1438,2014年度,,4409,4409,,,35,46.0,-735,,-3.0,,,,,,180898.0,-4.0,1785,301,-75108.0,107872,,-141,-270,-62,10.0,-463,107409,104388,108797,2602,3.0,-1145,110257,,1241.0,,1241.0,-1.0,111497,54563,166060,166060,,-2653.0,289.0,-3021.0,,,,,,,,,,,,,
1438,2014年01月01日至2014年09月30日,,-3103,-3103,,,26,34.0,-627,-1847.0,0.0,0.0,0.0,-2414.0,,,50979.0,0.0,-1019,-121,28000.0,77839,,-588,839,-46,-52.0,153,77992,75578,72475,1850,0.0,-83,74242,,1241.0,0.0,1241.0,0.0,75483,54563,130046,130046,,,,,,,,,,,,,,,,,
1438,2014年01月01日至2014年06月30日,,-2109,-2109,,,17,23.0,-474,-1170.0,,,0.0,-1604.0,,,50979.0,0.0,105,-115,0.0,50969,,-620,1199,-31,-62.0,486,51455,49851,47742,1161,,-14,48889,,,0.0,0.0,0.0,48889,54563,103452,103452,,,,,,,,,,,,,,,,,
1438,2014年01月01日至2014年03月31日,,-838,-838,,,8,11.0,-244,-574.0,,,0.0,-799.0,,,,0.0,105,-166,,-61,,-661,713,-15,-69.0,-32,-93,-892,-1730,578,,-57,-1209,,,0.0,0.0,0.0,-1209,54563,53354,53354,,,,,,,,,,,,,,,,,
1438,2013年度,,32416,32416,,,35,46.0,2736,,-4.0,,,,,,46597.0,0.0,17442,1837,-116500.0,-50624,,695,-1329,-5916,94.0,-6456,-57080,-57048,-24632,2966,4.0,-4464,-26126,,0.0,,0.0,0.0,-26126,80689,54563,54563,,-2781.0,0.0,32.0,,,,,,,,,,,,,
1438,2013年01月01日至2013年12月31日,,32416,32416,,,35,46.0,2736,-2781.0,-4.0,,,,,,,,17442,1831,-116500.0,-50624,,695,-1329,-5916,94.0,-6456,-57080,-57048,-24632,2966,4.0,-4464,-26126,,,,0.0,0.0,-26126,80689,54563,54563,,,,32.0,,0.0,46597.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,,
1438,2013年01月01日至2013年09月30日,,24892,24892,,,26,34.0,3020,-2068.0,-4.0,,,,,,46597.0,,14685,1556,-116500.0,-53673,,46,-765,2280,177.0,1738,-51935,-50927,-26035,2380,4.0,-3204,-26855,,0.0,,0.0,0.0,-26855,80689,53834,53834,,,,1008.0,-11.0,,,,,,,,,,,,
1438,2013年01月01日至2013年06月30日,,18450,18450,,,17,23.0,3294,-1655.0,,,,,,,,,11438,1139,-30100.0,-17199,,753,-117,-1502,72.0,-794,-17993,-16314,2136,1967,,-2991,1112,,,,,,1112,80689,81801,81801,,,,1679.0,-46273.0,0.0,46597.0,,,,,,,,,,
1438,2013年01月01日至2013年03月31日,,3737,3737,,,8,11.0,473,-866.0,,,,,,,,,2784,-2,-9500.0,-6721,,60,-1045,-5868,-5.0,-6858,-13579,-13953,-10216,1109,,-415,-9522,,,,,,-9522,80689,71167,71167,,,,-374.0,-3.0,,,,,,,,,,,,
1438,2012年01月01日至2012年12月31日,,17001,17001,,,34,77.0,-1658,-1304.0,-4.0,,,,,,,,26803,970,15500.0,25215,,-1930,950,5790,12.0,-11607,13608,-650,16351,1038,4.0,-10354,7039,,,,11746.0,0.0,18559,62130,80689,80689,,,,-14258.0,,-11403.0,-20000.0,1946.0,-4.0,-16429.0,11403.0,343.0,,-226.0,-226.0,,
1438,2012年01月01日至2012年09月30日,,17287,17287,,,25,65.0,-1183,-782.0,-4.0,,,,,,,,8433,653,18500.0,19086,,-1885,-2138,-47,4.0,-1047,18039,4757,22044,770,4.0,-2744,20074,,,,11746.0,,31610,62130,93740,93740,,,,-13282.0,-406.0,-11403.0,-10000.0,1946.0,-40.0,3019.0,11403.0,343.0,,-210.0,-210.0,,
1438,2012年01月01日至2012年06月30日,,7538,7538,,,17,49.0,-738,-510.0,,,,,,,0.0,,6519,586,9500.0,16870,,-1884,433,-31,,-289,16581,15399,22937,517,,-1656,21798,,,0.0,0.0,0.0,21798,62130,83928,83928,,,,-1182.0,-364.0,,,763.0,-134.0,34.0,,,,,0.0,1159.0,0.0
1438,2012年01月01日至2012年03月31日,,-1745,-1745,,,32,,-383,-271.0,,,,,,,,,0,-14,0.0,1337,,-1889,-108,-16,7.0,-1669,-332,-954,-2699,273,,0,-2426,,,,,,-2426,62130,59704,59704,,,,-622.0,-40.0,,,1603.0,-212.0,0.0,,,,,,337.0,
