公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 舉借長期借款,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　 退還（支付）之所得稅,　　 處分備供出售金融資產,　　 處分子公司,　　 存出保證金減少,　　 預付設備款增加,　　 現金增資,　　 停業單位稅前淨利（淨損）,　　　　　 持有供交易之金融資產（增加）減少,　　　　 股利收入,　　 收取之股利,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分無活絡市場之債務工具投資,　　 存出保證金增加
1721,2015年度,,59370,59370,,,42236,3752,21688,0,4249,-763,,1319,-4446,,,,12749,3569,-18095,41560,-2470,55193,,3750,-26107,5370,1501,,-22122,33071,107828,167198,315,-4333,167070,,,,,,-13913,502,-3634,-27612,,474059,-657500,,-183441,-581,-44564,168584,124020,124020,,,-4546.0,,15158.0,,,,0.0,-360.0,-10207.0,,,17880.0,-3890.0,3890.0,,74757.0,-6636.0,,0.0,
1721,2015年01月01日至2015年09月30日,,45946,45946,,,31860,2709,15801,0,3700,-535,,585,-8777,,,,4914,-4209,-16472,18295,11207,31615,,3019,-35642,5683,570,,-32084,-469,37596,83542,253,-3658,84027,,,,,,-3277,445,-1858,-10880,,200526,-307499,,-106973,-581,-34407,168584,134177,134177,,,-4546.0,,1158.0,,,,0.0,,-5830.0,,,17880.0,-3890.0,3890.0,,38065.0,-5714.0,,0.0,-360.0
1721,2015年01月01日至2015年06月30日,,20539,20539,,,21579,1786,15801,0,2501,-369,,-27,-78,,,,5032,-30685,1902,43780,-1,37908,,75,-68828,-8834,1490,,-81811,-43903,-9988,10551,253,-2438,12256,,,,,,-3843,106,-738,-8401,,253969,-307499,,-53530,-581,-50256,168584,118328,118328,,,-4546.0,,1158.0,,,,0.0,,-3926.0,,,17880.0,-3890.0,3890.0,,33915.0,-5714.0,,0.0,
1721,2015年01月01日至2015年03月31日,,8768,8768,,,10942,890,0,0,1487,-243,,-27,-216,,,,6563,44168,-2510,-8542,10047,49726,,2931,-18036,-12734,-375,,-33928,15798,24089,32857,46,-1457,31446,,17880.0,,,,-2698,106,-428,14810,,57523,-97396,,-39873,-585,5798,168584,174382,174382,,,-4542.0,,,,,,0.0,,-50.0,,,,,,,8291.0,-5714.0,0.0,0.0,
1721,2014年度,,7631,7631,,,48636,4003,24441,692,8541,-1858,,442,-8053,78206.0,,,21141,-6483,941,14179,-9278,20500,,-2641,4595,10458,-328,-1072.0,11012,31512,109718,117349,1874,-8625,110598,,-16959.0,0.0,,31346.0,-8544,685,-4376,59415,,572500,-710596,0.0,-138096,4442,36359,132225,168584,168584,,0.0,-458.0,0.0,1820.0,0.0,,0.0,71024.0,0.0,-13761.0,,,,,,,,,,,
1721,2014年01月01日至2014年09月30日,,6276,6276,,,37070,3146,10973,300,6495,-1397,,-377,-2439,53313.0,,,21572,-16383,203,-2331,-2798,-12233,,897,7966,4747,-1851,-127.0,11632,-601,52712,58988,1333,-6721,53600,,,,0.0,31328.0,-6287,685,-3700,83048,,464163,-490583,0.0,-26420,788,111016,132225,243241,243241,,0.0,-458.0,,,,,,70976.0,,-9954.0,,,-12496.0,,,,,,,,
1721,2014年01月01日至2014年06月30日,,9689,9689,,,25278,2357,8312,-426,4370,-1287,,-283,1690,32321.0,,,10764,7065,-139,8481,-1281,17756,,2681,-16995,550,-1645,-127.0,-15536,2220,34541,44230,871,-4386,48405,,,,0.0,31334.0,-3310,491,-3039,87428,,139164,-120587,0.0,18577,-890,153520,132225,285745,285745,,0.0,,,,,,,70976.0,,-9024.0,,0.0,-7134.0,-7690.0,7690.0,,,,,,
1721,2014年01月01日至2014年03月31日,,8529,8529,,,12960,1404,4628,-26,2430,-477,,-127,-3128,17664.0,,,11257,-6726,-3104,21730,-684,21395,,-5808,6266,-872,549,-127.0,8,21403,39067,47596,207,-2228,45575,,,,0.0,28315.0,-403,307,-1433,88332,,96323,-110594,0.0,-14271,617,120253,132225,252478,252478,,,,,,,,,64284.0,,-2738.0,,0.0,-1078.0,,,,,,,,
1721,2013年度,,4683,4683,,,58051,6324,32055,0,13174,-420,,-272,-2693,67404.0,,,2380,14558,-1276,31883,7878,55423,,5895,12283,52722,1436,-83.0,72253,127676,195080,199763,427,-13301,186889,,0.0,-50000.0,,6138.0,-10498,1588,-3597,-34280,,675445,-746121,-33247.0,-83923,-1187,67499,64726,132225,132225,,20000.0,-19.0,-53478.0,14442.0,240.0,,50019.0,-23969.0,470.0,-4431.0,,,,,,,,,,,
1721,2013年01月01日至2013年12月31日,,4683,4683,,,58051,6324,32055,0,13174,-420,0.0,-272,-2693,67404.0,,,2380,14558,-1276,31883,7878,55423,,5895,12283,52722,1436,-83.0,72253,127676,195080,199763,427,-13301,186889,,,-50000.0,,6138.0,-10498,1588,-3597,-34280,,675445,-746121,-33247.0,-83923,-1187,67499,64726,132225,132225,,20000.0,-19.0,-53478.0,14442.0,240.0,0.0,50019.0,-23969.0,470.0,-4431.0,0.0,,,,,,,,,,
