公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產減少,　　 員工執行認股權,　　　　 其他項目
4952,2015年01月01日至2015年09月30日,,363446,363446,,,52681,25993,1047,-11839,0,-608,-17292,49982.0,,,-242111,4891,515,-236705,,74694,4397,1430.0,28146,108667,-128038,-78056,285390,9471,-1101,-42593,251167,,-551000,485097,-37421,2391,-29190,67.0,0.0,0.0,-130056,,213200.0,4679,-24424.0,-304684.0,-111229,898,10780,907109,917889,917889,,,,,,,
4952,2015年01月01日至2015年06月30日,,205691,205691,,,37225,19026,449,-7896,0,-253,-1272,47279.0,,,-280425,-50176,-5122,-335723,,141946,3886,,21463,167295,-168428,-121149,84542,6546,-500,-21330,69258,,-416000,55911,-20422,2414,-16789,67.0,0.0,,-394819,,225553.0,7088,-21931.0,,210710,-963,-115814,907109,791295,791295,,,,,,,
4952,2015年01月01日至2015年03月31日,,53121,53121,,,19987,9504,114,-3938,0,-253,5249,30663.0,,,24852,-36337,-7149,-18634,,27164,1714,,-35429,-6551,-25185,5478,58599,2998,-476,-293,60828,,-90000,55911,-7231,2406,-16286,,,,-55200,,,1416,-15538.0,,-14122,-571,-9065,907109,898044,898044,0.0,,,,,,
4952,2014年度,,361735,361735,,,80964,39300,1200,-15105,95,-967,-12360,,,,-77534,-40381,3632,-114283,,42267,-9111,,7409,40565,-73718,19409,381144,14853,-1181,-65661,329155,,-328000,396736,-69444,-1807,-29215,,-83116.0,0.0,-114846,,,68994,-78262.0,-272039.0,-281307,11314,-55684,962793,907109,907109,,,93127.0,,,,
4952,2014年01月01日至2014年09月30日,,287995,287995,,,61978,30685,1040,-11114,13,-809,-10176,71617.0,,,-181750,-49205,-5995,-236950,,146351,49,0.0,17541,163941,-73009,-1392,286603,11168,-1148,-65373,231250,,-328000,346736,-43724,-1715,-24767,0.0,-80588.0,-8584.0,-140642,,83735.0,29614,-37161.0,-272039.0,-195851,1474,-103769,962793,859024,859024,,,,,,,
4952,2014年01月01日至2014年06月30日,,175070,175070,,,41630,20996,376,-7507,13,0,4518,60026.0,,,-310813,-25019,-8018,-343850,,184673,-1106,,8098,191665,-152185,-92159,82911,6856,-481,-46556,42730,,-328000,0,-34702,-873,-21744,0.0,-1644.0,,-386963,,220404.0,23473,-33982.0,,209895,-3252,-137590,962793,825203,825203,,,,,,,
4952,2014年01月01日至2014年03月31日,,27184,27184,,,22231,10533,106,-3757,5,0,-3090,26028.0,,,12920,-38899,-879,-26858,,32580,-13747,,-32304,-13471,-40329,-14301,12883,3533,-669,-284,15463,,0,0,-7203,0,-3820,,,,-11433,,,43669,-53968.0,,-10299,-504,-6773,962793,956020,956020,-410.0,,,,,,
4952,2013年度,,355466,355466,,,74782,92521,483,-10545,20,-1225,-4757,,,,78510,74247,45,152802,,-128193,9379,,80658,-38156,114646,265925,621391,9397,-1304,-15804,613680,,-320000,306827,-78833,-129,-33221,,0.0,-321494.0,-446850,,,67752,-50527.0,-108816.0,-91591,9134,84373,878420,962793,962793,,,151279.0,,,,
4952,2013年01月01日至2013年12月31日,,355466,355466,,,74782,92521,483,-10545,20,-1225,-4757,,,,78510,74247,45,152802,,-128193,9379,,80658,-38156,114646,265925,621391,9397,-1304,-15804,613680,,-320000,306827,-78833,-129,-33221,,,-321494.0,-446850,,0.0,17225,,-108816.0,-91591,9134,84373,878420,962793,962793,,,151279.0,0.0,0.0,0.0,
4952,2013年01月01日至2013年09月30日,,332747,332747,,,50899,71165,355,-6739,1,-1174,7663,,,,-191837,37764,-10681,-164754,,6757,27964,,50061,84782,-79972,42198,374945,6942,-391,-15573,365923,,-230000,286826,-69274,-91,-28368,,0.0,-315873.0,-356780,,0.0,44585,-25787.0,-108816.0,-90018,1061,-79814,878420,798606,798606,,,122170.0,,,,
4952,2013年01月01日至2013年06月30日,,206757,206757,,,29828,48436,228,-4809,1,-717,-10244,,,,-340581,-4963,-2104,-347648,,186568,24685,,30926,242179,-105469,-42746,164011,4918,-391,-13631,154907,,-230000,149621,-55842,-162,-7186,,0.0,,-143569,,0.0,17492,0.0,,17492,6099,34929,878420,913349,913349,,,62723.0,,,,
4952,2013年01月01日至2013年03月31日,,43707,43707,,,11222,25273,128,-2515,1,-104,-426,,,,51588,-6151,-1625,43812,,50338,513,,-34102,16749,60561,94140,137847,2532,-27,-183,140169,,-110000,85000,-32732,346,-3468,,,,-60854,,,3546,,,3546,4194,87055,878420,965475,965475,,,33579.0,,,,
