公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　 取得無活絡市場之債券投資,　　 存出保證金增加,　　 取得無形資產,　　 舉借長期借款,　　 存入保證金增加,　　 存入保證金減少,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　　　 處分無形資產損失（利益）,　　　　 金融資產減損損失,　　 取得備供出售金融資產,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　　　　 其他金融資產（增加）減少,　　 其他金融資產增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 處分無活絡市場之債務工具投資,　　 發行公司債,　　 發放現金股利
2444,2015年01月01日至2015年09月30日,,-51486,-51486,,,27917,2634,134130.0,6721,-1021,,-1970,,2105.0,-7870,0.0,,,,,3391,-10516,-10318,2725,-115440,,-34167,-17743,31184,-20726,-136166,28430,-23056,1021,-22035,,,-20613,6637,,-43085,-70175,,532216,-674443,0,-4872,104330,1343,13463,219450,232913,232913,-114722.0,,,-600.0,-940.0,,0.0,-110.0,,,,,,0.0,0.0,14000.0,-974.0,,164596.0,-10600.0,1950.0,0.0,294258.0,-42719.0
2444,2015年01月01日至2015年06月30日,,-89781,-89781,,,18430,1925,134130.0,3378,-705,,-1922,,0.0,-1055,0.0,,,,,13302,-79548,-3646,1814,-152941,,61879,-20098,-4040,37741,-115200,38741,-51040,705,-50335,,,-12934,6589,0.0,-33126,-41985,,452216,-586452,0,-3485,156537,1026,65243,219450,284693,284693,-84863.0,,,-600.0,-940.0,,0.0,0.0,,,,,,0.0,0.0,,-974.0,,153941.0,0.0,-240.0,0.0,294258.0,
2444,2015年01月01日至2015年03月31日,,22793,22793,,,9026,965,,1475,-237,,-1350,0.0,,-373,,,,,,5260,-54669,-417,-233,-79306,,9907,-23707,40,-13760,-93066,-83560,-60767,237,-60530,,,-6384,1350,,-17414,-34022,,250798,-145000,0,-1485,104313,-1003,8758,219450,228208,228208,-29247.0,,,-600.0,0.0,,0.0,,,,,,,0.0,,,-974.0,,9506.0,-10000.0,,,,
2444,2014年度,,48452,48452,,,34700,5932,0.0,8015,-1603,0.0,-600,0.0,-5859.0,-10235,8055.0,38405.0,,,,-4138,1526,-1166,-981,42595,,23485,8230,2762,34477,77072,115477,163929,1603,165532,,6831.0,-10573,600,0.0,-10903,-46102,,942714,-1026306,-6683,-8010,-98303,3200,24327,195123,219450,219450,47354.0,,0.0,0.0,-1659.0,0.0,20.0,-38.0,,,165532.0,0.0,0.0,-29900.0,,,-498.0,,,,,,,
2444,2014年01月01日至2014年09月30日,,30562,30562,,,25627,4715,,6077,-1253,,-600,,0.0,-6083,0.0,28483.0,,,,-4526,-22566,-9520,-919,-84282,,34917,-20188,508,15237,-69045,-40562,-10000,1253,-8747,,5390.0,-5696,600,0.0,-10903,-41899,,789069,-765371,-6683,-6066,10931,1968,-37747,195123,157376,157376,-41815.0,,0.0,0.0,-1390.0,0.0,20.0,-38.0,,,-8747.0,,,-29900.0,,-4936.0,,,,,,,,
2444,2014年01月01日至2014年06月30日,,26662,26662,,,16593,3287,,4108,-985,,-600,,0.0,2435,0.0,24838.0,,,,-9171,-10653,-3349,-657,-25664,,31426,-21543,-1458,8425,-17239,7599,34261,985,35246,,12.0,-1565,600,0.0,-10533,-42776,,532671,-477078,-6683,-4086,44834,-991,36313,195123,231436,231436,-1834.0,,0.0,,-1390.0,,20.0,-10.0,,,,,,-29900.0,0.0,,,,,,,,,
2444,2014年01月01日至2014年03月31日,,22962,22962,,,8236,1623,,2012,-601,,-600,0.0,,-4817,,5853.0,,,,-4777,-17665,-4061,-334,852,,1981,-20397,-1357,-19773,-18921,-13068,9894,601,10495,,,-452,600,0.0,-10166,-40460,,230066,-188434,-3334,-1984,36334,807,7176,195123,202299,202299,27689.0,,,,-542.0,,20.0,,,,,,,-29900.0,,,,,,,,,,
2444,2013年度,,-197649,-197649,,,45010,7002,43576.0,8478,-4330,0.0,641,90568.0,0.0,-3396,70089.0,303827.0,,,,3689,-47119,39356,-1188,11021,,-39824,-285,-3820,-43929,-32908,270919,73270,4330,77600,,0.0,-36293,1831,6319.0,-18417,-61560,,1004126,-965728,-23676,-8084,6476,911,23427,171696,195123,195123,16283.0,,-6831.0,-2029.0,-6140.0,0.0,10.0,-172.0,,,77600.0,2824.0,43365.0,0.0,,,0.0,,,,,,,
2444,2013年01月01日至2013年12月31日,,-197649,-197649,,,45010,7002,43576.0,8478,-4330,0.0,641,90568.0,0.0,-3396,70089.0,303827.0,,,,3689,-47119,39356,-1188,11021,,-39824,-285,-3820,-43929,-32908,270919,73270,4330,77600,,0.0,-36293,1831,6319.0,-18417,-61560,,1004126,-965728,-23676,-8084,6476,911,23427,171696,195123,195123,16283.0,,-6831.0,-2029.0,-6140.0,0.0,10.0,-172.0,,,77600.0,2824.0,43365.0,,,,,,,,,,,
2444,2013年01月01日至2013年09月30日,,7705,7705,,,35475,5331,0.0,6467,-3054,0.0,-833,,-6788.0,3595,50958.0,91151.0,,,,14729,-54123,1655,-1063,-83984,,24975,-16091,1076,9960,-74024,17127,24832,3054,27886,,0.0,-34441,1831,62.0,-17022,-59476,,737946,-651765,-19222,-6077,60720,-2960,26170,171696,197866,197866,-45182.0,,-6836.0,-165.0,-2905.0,0.0,10.0,-172.0,,,27886.0,,,,,,,,,,,,,
