公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產減少,　　　　　 其他營業負債增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 庫藏股票買回成本,　　 非控制權益變動
3052,2016年01月01日至2016年09月30日,,11671,11671,,,8832,2478,0,-611,25376,-16588,58,0,0,0,0,19545,,,-1000,9491,105217,-95957,-295506,7768,-23142,2197,2151,0,-288781,,-19274,-163798,0,-188736,-1092,0,-20707,-393357,-682138,-662593,-650922,16655,-69530,-2568,-706365,,0,0,-658,92,,-1884,56850,,129015,270000,600000,-341306,,-2636,647823,-75,-1767,94201,92434,92434,59300.0,250.0,,-7250.0,
3052,2016年01月01日至2016年06月30日,,4834,4834,,,5960,1618,0,-839,19186,-10864,1094,0,0,0,0,16155,,,0,6993,129902,-163652,-431985,16460,109394,6596,0,0,-326292,,-10887,-223938,0,-140373,-910,0,48400,-327692,-653984,-637829,-632995,933,-47026,-1328,-680416,,0,0,-437,83,-15653.0,-1431,-17438,,91259,270000,395000,-22437,,0,726572,-28,28690,94201,122891,122891,,16.0,,-7250.0,
3052,2016年01月01日至2016年03月31日,,5426,5426,,,3079,765,0,-765,9563,-5180,-267,0,0,0,0,7195,,,0,8889,87628,-87158,-137683,-5796,124747,11005,0,0,1632,,3725,-193589,0,-73909,-18968,0,-1196,-327707,-326075,-318880,-313454,368,-22993,-4,-336083,,0,0,-216,83,62495.0,-327,62035,,13258,210000,145000,-15467,,0,345541,-34,71459,94201,165660,165660,,-43770.0,,-7250.0,
3052,2015年度,,141627,141627,,,12762,2421,0,554,33936,-16952,-4724,-797,0,984,0,28184,,,0,-3239,413656,442548,-858156,-698855,-210823,-406857,0,14202,-1307524,,-52013,-72178,0,-125734,34980,0,-96173,-207499,-1515023,-1486839,-1345212,2816,-75173,-45917,-1463486,,0,0,-4148,1990,-4925.0,-3626,-15783,,416589,311000,630000,-45610,,-84784,1190230,62,-288977,383178,94201,94201,,103619.0,-5074.0,-36845.0,-120.0
3052,2015年01月01日至2015年09月30日,,101801,101801,,,9636,1724,0,863,24178,-11939,-1990,-887,0,984,0,22569,,,0,4860,446204,271389,-643463,-836216,-271054,-417138,0,14535,-1430883,,-13411,164898,0,-93331,1929,0,20100,80185,-1350698,-1328129,-1226328,2506,-61090,-40798,-1325710,,0,0,-3573,1771,,-2411,100067,,42913,440000,600280,-62565,0.0,0,1020628,64,-204951,383178,178227,178227,104280.0,,,,
3052,2015年01月01日至2015年06月30日,,67443,67443,,,6498,1125,0,807,15763,-7739,-1585,-542,0,0,0,14327,,,0,6198,524712,421931,-421099,-374629,-224678,-421393,0,14215,-474743,,-62053,-351996,0,34351,7051,0,-54439,-427086,-901829,-887502,-820059,2067,-34622,-37528,-890142,,0,0,-1823,476,,-1094,69805,,56256,350000,375280,-47331,0.0,0,734205,-43,-86175,383178,297003,297003,72246.0,,,,
3052,2015年01月01日至2015年03月31日,,9673,9673,,,3289,612,0,227,7186,-3108,-840,-243,0,0,0,7123,,,0,-3874,245934,282952,-205557,-224033,-26385,-256036,0,0,-186999,,104998,-276073,0,-32580,-5629,0,6854,-202430,-389429,-382306,-372633,819,-16004,-629,-388447,,0,0,-809,29,-78504.0,-334,-79618,,306467,100000,135000,-28030,0.0,0,513437,-19,45353,383178,428531,428531,,,,,
3052,2014年度,,229323,229323,,,14332,2231,0,-1137,26369,-11262,-4002,-1002,-3866,326,0,21989,,,1065,921,1332694,-112824,-1548163,284199,127621,-120311,0,441,-34357,,-58756,206144,0,316099,-199609,0,-635297,-371419,-405776,-383787,-154464,5938,-33005,-25538,-207069,,0,41191,-9740,1604,70616.0,566,104237,,134704,-135000,653030,-145747,,-187092,319895,104,217167,166011,383178,383178,,0.0,0.0,0.0,0.0
3052,2014年01月01日至2014年09月30日,,122221,122221,,,10986,1708,0,-504,18231,-7589,-3283,-783,-3866,326,0,15226,,,1065,17925,1818142,-145226,-712401,99837,21572,229224,0,2266,1332404,,-94280,-25418,0,-26299,-208263,0,-501600,-855860,476544,491770,613991,5737,-18536,-9661,591531,,0,41191,-8780,1603,,-2157,228605,,-72361,-435000,20000,-145747,0.0,0,-633108,35,187063,166011,353074,353074,196748.0,,,,
3052,2014年01月01日至2014年06月30日,,158582,158582,,,8500,1212,0,-639,11744,-5686,-2409,-524,-3866,0,0,8332,,,1065,2886,1658781,-324588,-576664,113381,24721,331963,0,-108,1231437,,-86405,-37452,0,237422,-126117,0,-509579,-522131,709306,717638,876220,3884,-15937,-5618,858549,,0,41191,-6242,110,,2984,166771,,137899,-435000,20000,-142066,0.0,0,-419167,4,606157,166011,772168,772168,128728.0,,,,
