公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付租賃款減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　 處分備供出售金融資產,　　 預付投資款增加,　　 存出保證金增加,　　 預付設備款減少,　　 收取之股利,　　 短期借款減少,　　　　 買回應付公司債損失（利益）,　　 發行公司債,　　 償還公司債,　　 對子公司之收購（扣除所取得之現金）,　　 其他金融負債增加,　　　　　 持有供交易之金融資產（增加）減少,　　 其他金融資產減少
3019,2014年01月01日至2014年09月30日,,37542,37542,,,1056748,6624,15657.0,1316,57687,-51972,26883,3713,225,0.0,-12084,11168,1145670,,,-16975,436403,334951,32722,-7999,779102,,-7987,-743087,-1439255,377663,-21227,-1833893,-1054791,90879,128421,51972,-39738,-73965,66690,,-60064,,0,-135526,7871,2450,-9871,0.0,-102905.0,765135,,9038,-128,-227871,-1777761,73447,-872489,7330910,6458421,6458421,-216.0,29921.0,60280.0,0.0,,,0.0,,0.0,445000.0,-2003800.0,,,,1002900.0
3019,2014年01月01日至2014年06月30日,,-23943,-23943,,,704344,4420,5940.0,19042,42092,-36993,-12518,3639,195,,6434,7357,752701,,,-789,695551,258212,1381,-8840,866996,,-7214,-643517,-941590,-5450,-13324,-1611095,-744099,8602,-15341,36993,-26425,-16158,-20931,,-30094,,0,-100422,2398,2646,-7760,0.0,-20287.0,861501,,154056,-112,0,-1401056,-8644,-569130,7330910,6761780,6761780,-20.0,8769.0,15020.0,0.0,,0.0,0.0,,,445000.0,-2000000.0,,,-78519.0,1000000.0
3019,2014年01月01日至2014年03月31日,,-80943,-80943,,,356307,2226,,758,21367,-17967,-8280,627,193,0.0,-1145,3633,363498,,,-1856,577573,182830,-4414,-1749,752384,,-13154,-821182,-186012,24127,-6967,-1003188,-250804,112694,31751,17967,-12874,4079,40923,,-15000,,0,-55825,74,2654,-855,,0.0,-53571,,9081,-75,0,9006,93987,90345,7330910,7421255,7421255,-20.0,5799.0,15020.0,,,361.0,,,,,,,,,
3019,2013年01月01日至2013年12月31日,,-714015,-714015,,,1375569,10833,31772.0,-6300,75168,-22879,-5194,984,0,5306.0,-8171,-400840,1068205,,,1172,851128,-154193,139285,22562,859954,,13038,-772621,-379523,767825,-10666,-381947,478007,1546212,832197,22879,-32651,-74157,748268,,0,0.0,-61945,-1063946,140518,628,-2963,,-10788.0,-1579274,,103399,-313,3813536,3414611,282951,2866556,4464354,7330910,7330910,0.0,,0.0,-29976.0,,,,,11957.0,0.0,-200061.0,-550802.0,-301950.0,,
3019,2013年01月01日至2013年09月30日,,299098,299098,,,1013481,8285,11.0,-7157,58609,-15498,-29645,-11521,0,-2864.0,7574,-404792,628397,,,973,332327,-210877,152372,18341,293136,,434582,-453261,-522599,-123785,-15102,-680165,-387029,241368,540466,15498,-24601,-67844,463519,,-20000,0.0,-551646,-920431,82622,3546,-2738,-400000.0,-2077.0,-1803350,,109514,-135,581298,490616,37773,-811442,4464354,3652912,3652912,-43.0,,20043.0,-30022.0,,,17353.0,,11957.0,0.0,-200061.0,,,,
3019,2013年01月01日至2013年06月30日,,179589,179589,,,666018,4907,11.0,-6463,40016,-10846,-2291,162,0,0.0,2180,-408926,285863,,,1084,199235,230700,117099,-114130,433988,,-14690,-380263,-618861,2835,-11982,-1022961,-588973,-303110,-123521,10846,-16270,-34071,-163016,,-20000,0.0,-550388,-633558,37674,2632,-583,-400000.0,,-1541418,,429648,-118,685753,1115283,92127,-497024,4464354,3967330,3967330,-43.0,1138.0,20043.0,-15120.0,0.0,529.0,17353.0,0.0,,,,,,,
3019,2013年01月01日至2013年03月31日,,143061,143061,,,333336,2686,0.0,1601,19216,-5877,357,156,0,-400.0,-4775,-409462,-63162,,,607,597825,177011,-40215,-106384,628844,,-9530,-1086433,-241563,231026,-7165,-1113665,-484821,-547983,-404922,5877,-7316,-13953,-420314,,-20000,0.0,-546952,-60347,10065,2760,-60,0.0,-677304.0,-1291838,,199525,-81,685753,885197,46369,-780586,4464354,3683768,3683768,,,,,,,,,,,,,,,
3019,2012年01月01日至2012年12月31日,,-238009,-238009,,,1307879,11965,139216.0,-517,86665,-26695,-2668,10141,-879,-90483.0,4668,-5483,1433782,,,3742,-351901,-78275,58009,23341,-345084,,-22778,-1205723,-18514,210806,-15999,-1052208,-1397292,36490,-201519,26695,-41839,-82781,-299444,,-160000,300.0,0,-807087,141643,4504,-24965,,-7668.0,-693195,,-181076,-455,-148192,-485422,-77723,-1555784,6020138,4464354,4464354,-78.0,,160078.0,0.0,,,,,51.0,345000.0,-1522.0,0.0,-499177.0,,
3019,2012年01月01日至2012年09月30日,,-199701,-199701,,,971557,6515,125044.0,2190,66745,-20545,-2076,15927,516,-94724.0,17645,-12668,1076114,,,4978,-487918,-267970,-110133,-153109,-1014152,,-30904,-673325,479134,109569,-15036,-130562,-1144714,-68600,-268301,20545,-34089,-70373,-352218,,-160000,300.0,0,-639298,144294,6772,-22530,-299927.0,19094.0,-801232,,-226921,-309,-145202,-28955,-43766,-1226171,6020138,4793967,4793967,-63.0,,150063.0,0.0,,,0.0,,51.0,345000.0,-1523.0,,,,
3019,2012年01月01日至2012年06月30日,,-337059,-337059,,,654018,2092,95148.0,232,41633,-15379,-1565,5243,624,-93221.0,-2338,-3137,683350,,,4376,-461877,-194047,170424,-91102,-572226,,-7381,-476579,-87909,100460,-12807,-484216,-1056442,-373092,-710151,15379,-2834,-41785,-739391,,0,300.0,0,-472829,124248,0,-15035,-98227.0,,-460697,,0,-269,-58878,-106677,-43377,-1350142,6020138,4669996,4669996,0.0,0.0,0.0,0.0,-3206.0,4052.0,0.0,-47530.0,,,,,,,
