公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 不影響現金流量之收益費損項目合計,　　 短期借款增加,　　　　　 應付票據增加（減少）,　　 預付設備款減少,　　　　　 應收票據（增加）減少
8427,2015年01月01日至2015年09月30日,,458472,458472,,,204403,2430,15810,2683,-14727,12828.0,-16393.0,0.0,-9273.0,4073,201834.0,,,1067749,-392,28938,100522,1196817,,-302145,-80440,-7101,-389686,807131,1008965,1467437,13578,-2616,-131287.0,1347112,,-2627839.0,2644232.0,-35743.0,-16141,206.0,-282.0,0,0,0.0,31271.0,-7437,-11733,,-39240,0.0,-110.0,-159428.0,-92965.0,-291743,71659,1115295,1254648,2369943,2369943,,,,,,,
8427,2015年01月01日至2015年06月30日,,517099,517099,,,136416,1620,-62359,1839,-6356,0.0,-13137.0,0.0,-4027.0,2715,56711.0,,,936815,42924,946285,195589,2121613,,-572712,-84594,57573,-599733,1521880,1578591,2095690,6112,-2037,-131301.0,1968464,,-2624546.0,2389033.0,-84740.0,-10707,,,59,0,,65432.0,-3831,-269300,,-781138,,-137.0,,,-781275,-65895,851994,1254648,2106642,2106642,,,,,,,
8427,2015年01月01日至2015年03月31日,,585184,585184,,,68309,811,-14918,1522,-2779,,-4561.0,0.0,-5281.0,1360,44463.0,,,313922,57122,1418134,148373,1937551,,-350472,-8579,-3620,-362671,1574880,1619343,2204527,2584,-1500,,2205611,,-631496.0,636057.0,,-9393,,,24,0,-30610.0,,-500,-35918,,-159836,,-55.0,,,-159891,-20435,1989367,1268294,3257661,3257661,,,,,,,
8427,2014年度,,-5073,-5073,,,272701,3162,283827,9484,-24366,944.0,-4781.0,33293.0,,5348,,,,-236928,-38540,218028,121619,64179,,549844,17358,-24186,543016,607195,1186807,1181734,24352,-10242,41057.0,1236901,,-1227172.0,1231953.0,,-33345,,0.0,1866,-6966,-65432.0,,-3199,-102295,,-780179,200.0,,-205200.0,-87076.0,-1072255,72182,134533,1133761,1268294,1268294,,0.0,579612.0,0.0,,,
8427,2014年01月01日至2014年09月30日,,-326586,-326586,,,203872,2348,230731,7224,-22382,938.0,0.0,62930.0,0.0,3985,489646.0,,,832056,14749,48386,225525,1120716,,445965,-39760,-30619,375586,1496302,1985948,1659362,22251,-7590,40783.0,1714806,,0.0,0.0,-18975.0,-23232,0.0,0.0,1945,-6918,-60713.0,0.0,-2707,-110600,,-1197175,18.0,0.0,-205200.0,-81241.0,-1483598,5604,126212,1133761,1259973,1259973,,,,,,,
8427,2014年01月01日至2014年06月30日,,-227869,-227869,,,136111,1557,268875,6183,-10339,791.0,0.0,63123.0,0.0,2660,468961.0,,,687939,-13896,1044547,271725,1990315,,-52090,-34458,-29787,-116335,1873980,2342941,2115072,8875,-6928,0.0,2117019,,0.0,0.0,-101492.0,-20547,,,2006,-6923,,0.0,-2352,-129308,,-1294273,,-124.0,,,-1294397,-44679,648635,1133761,1782396,1782396,,,,,,,
8427,2014年01月01日至2014年03月31日,,-45713,-45713,,,68436,769,224105,4951,-3871,,0.0,10070.0,0.0,1337,305797.0,,,-387792,-122603,1029927,119591,639123,,-166423,127670,-16563,-55316,583807,889604,843891,3153,-4996,,842048,,0.0,0.0,,-18041,,,1962,-6955,0.0,,-3768,-26802,,-594401,,-21.0,,,-594422,-4500,216324,1133761,1350085,1350085,,,,,,,
8427,2013年度,,350202,350202,,,270233,33,-157633,4080,-15266,3563.0,0.0,8504.0,,5150,,,,165786,-5398,-76792,-85442,-1846,,-220969,-127769,22126,-326612,-328458,-216401,133801,15219,-3321,-138920.0,6779,,0.0,0.0,,-119941,,-1584.0,0,0,0.0,,-46566,-168091,,0,345.0,,-378000.0,0.0,731682,115954,686324,447437,1133761,1133761,,-6607.0,112057.0,1109337.0,,,
8427,2013年01月01日至2013年12月31日,,350202,350202,,,270233,33,-157633,4080,-15266,3563.0,,8504.0,,5150,,,,165786,-5398,-76792,-85442,-1846,,-220969,-127769,22126,-326612,-328458,-216401,133801,15219,-3321,-138920.0,6779,,,,,-119941,0.0,-1584.0,0,0,,,-46566,-168091,,0,345.0,,-378000.0,,731682,115954,686324,447437,1133761,1133761,,-6607.0,112057.0,1109337.0,0.0,,
8427,2013年01月01日至2013年09月30日,,127954,127954,,,201275,24,-48241,733,-10023,3291.0,,24557.0,,3831,,,,950578,10415,160865,106415,1228273,,-40492,-115971,3627,-152836,1075437,1242264,1370218,10019,-968,-138430.0,1240839,,,,,-55931,,-5879.0,0,0,,,-44926,-106736,,-540149,246.0,,-378000.0,0.0,-917903,87471,303671,447437,751108,751108,,-8620.0,166827.0,,,,
8427,2013年01月01日至2013年06月30日,,262349,262349,,,134408,16,3166,733,-7905,2350.0,,7396.0,,2550,,,,878184,8321,1134643,224299,2245447,,-439381,-116035,-11051,-566467,1678980,1822775,2085124,7910,-968,-26762.0,2065304,,,,,-46404,,-4344.0,0,0,,,-6980,-57728,,-540149,310.0,0.0,,,-539839,38555,1506292,447437,1953729,1953729,,1081.0,143795.0,,,,
8427,2013年01月01日至2013年03月31日,,409318,409318,,,67556,8,-5115,731,-1603,576.0,,0.0,-5575.0,1269,,,,37087,-125762,1184598,213915,1309838,,-31998,47669,11829,27500,1337338,1395185,1804503,1611,-966,-26635.0,1778513,,,,,-43621,,-555.0,0,0,,,-5011,-49187,,-540149,215.0,0.0,,,-539934,92776,1282168,447437,1729605,1729605,,,57847.0,,,,
8427,2012年01月01日至2012年12月31日,,588285,588285,,,264137,69,13837,5001,-19383,8007.0,,8179.0,,5041,,,,-202054,91748,-31982,-74169,-216457,,-166284,-146017,-26461,-868036,-1084493,-761449,-173164,19276,-5470,-122249.0,-281607,,,,,-206818,152.0,0.0,1093,-37,,,-43605,-249215,,-789143,4111.0,,-270000.0,,-1055032,-68424,-1654278,2101715,447437,447437,,38156.0,323044.0,0.0,-529274.0,,
8427,2012年01月01日至2012年09月30日,,425458,425458,,,197857,30,50453,3947,-18230,3559.0,,0.0,-195.0,3797,,,,738298,101336,10684,34247,884565,,-333045,-217539,-35828,-1115686,-231121,39380,464838,18037,-4569,-76079.0,402227,,,,,-123664,151.0,0.0,1092,-37,,,-42707,-165165,,-1153523,4111.0,,-270000.0,,-1419412,-66145,-1248495,2101715,853220,853220,,29283.0,270501.0,,-529274.0,,
