公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 處分投資性不動產,　　 其他金融資產減少,　　 預付設備款增加,　　 預付設備款減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 按攤銷後成本衡量之金融負債增加,　　 發放現金股利,　　 員工購買庫藏股,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分待出售非流動資產損失（利益）,　　 取得待出售非流動資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 處分待出售非流動資產,　　 其他非流動負債增加,　　　　　 應收帳款－關係人（增加）減少,　　 預收款項增加－處分資產,　　 其他金融負債減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 預付投資款增加,　　 其他應收款減少,　　 取得投資性不動產,　　　　　 應收票據－關係人（增加）減少,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　 取得以成本衡量之金融資產,　　 其他應收款增加,　　 其他投資活動,　　 員工執行認股權,　　 庫藏股票買回成本,　　　　 其他項目
4733,2015年度,,1379318,1379318,,,57595,6677,53970,7330,129086,-12228,-1097.0,49770,1516,0.0,0.0,292619.0,,,-910.0,-1123300.0,-203942.0,-7446.0,94980,25923.0,-104184,-1318879,,23808.0,-192821.0,154659.0,-8505.0,-59902,-82761,-1401640,-1109021,270297,12228,-88736,-258041,-64252,,0.0,-670575,2935,-2607.0,0.0,-2621,0.0,8372.0,-49566.0,0.0,1097.0,-712965,,3786535.0,-2823909.0,30000.0,0.0,696510.0,116000.0,-4500,122126.0,-596630.0,15777,52731.0,-216224.0,1178416,-25606,375593,915313,1290906,1290906,,,,,,,,,,,,,,,,,,,,,,,,,
4733,2015年01月01日至2015年09月30日,,1078539,1078539,,,42355,4982,14479,10136,91795,-9985,-1097.0,22316,1304,,0.0,176285.0,,,-910.0,-1154518.0,-733759.0,-11539.0,-50648,81132.0,-43279,-1913521,,72073.0,-31963.0,126435.0,-4034.0,-73964,88547,-1824974,-1648689,-570150,9985,-76167,-191380,-827712,,0.0,-45057,3028,-3846.0,0.0,-2341,,,-27342.0,0.0,1097.0,-592160,,2385192.0,-1416371.0,35000.0,0.0,696510.0,110000.0,0,121964.0,-596630.0,9157,0.0,,1344822,21068,-53982,915313,861331,861331,0.0,0.0,-125372.0,-392327.0,,,,,,,,,,,,,,,,,,,,,
4733,2015年01月01日至2015年06月30日,,566578,566578,,,28758,3337,5591,1571,56030,-7113,-967.0,22316,120,,0.0,109643.0,,,-913.0,10364.0,-798697.0,-6288.0,-126572,-26876.0,-17551,-966533,,215001.0,-4894.0,231748.0,-903.0,-36426,404526,-562007,-452364,114214,7113,-42681,-87584,-8938,,0.0,-20695,1381,,380.0,-1364,,,-29832.0,0.0,,-463345,,596772.0,0.0,60000.0,0.0,,20000.0,0,,,9157,0.0,,1385929,-46301,867345,915313,1782658,1782658,0.0,,-64093.0,-349122.0,0.0,700000.0,,,,,,,,,,,,,,,,,,,
4733,2015年01月01日至2015年03月31日,,220303,220303,,,14517,1720,6680,3355,14586,-3259,,22344,-74,,,59869.0,,,0.0,-19956.0,,,-136987,-134714.0,-19592,-576786,,-46504.0,-8027.0,,-121.0,67356,12704,-564082,-504213,-283910,3259,-15550,-31556,-327757,,,-10189,1607,0.0,445.0,-1328,,,-1850.0,,,-40163,,172248.0,,50000.0,,,20000.0,0,,,9129,0.0,,701377,-42666,290791,465313,756104,756104,,,-28848.0,,,,-265537.0,0.0,450000.0,0.0,,,,,,,,,,,,,,,
4733,2014年度,,862280,862280,,,58586,7265,-32635,-6974,41294,-21273,-878.0,6294,319,-184273.0,1268.0,-131007.0,,,-3419.0,-492687.0,-1441633.0,-14689.0,-120901,-111884.0,-42965,-2228178,,-93618.0,899204.0,-24919.0,-743.0,165493,945417,-1282761,-1413768,-551488,21273,-31557,-46021,-607793,,2632.0,-186697,1692,0.0,790.0,-4851,473119.0,78829.0,0.0,1389.0,878.0,367781,,1699022.0,-1152261.0,0.0,-20000.0,0.0,447186.0,-538947,111247.0,-294754.0,8254,6690.0,0.0,266437,45450,71875,843438,915313,915313,,,,,,,,,,,,,,,,,,,,,,,,,
4733,2014年01月01日至2014年09月30日,,660307,660307,,,44508,5487,-15687,-2236,22267,-9122,-878.0,6294,252,,1268.0,-132120.0,,,-3419.0,51610.0,-786888.0,-12973.0,-123636,27721.0,-12693,-860278,,18265.0,379415.0,87122.0,-590.0,-9123,475089,-385189,-517309,142998,9122,-13907,-55527,82686,,2632.0,-36310,1568,0.0,1270.0,-4672,,,0.0,1447.0,878.0,263368,,1004886.0,-687042.0,0.0,-2000.0,0.0,10000.0,-174430,0.0,-294754.0,8254,6690.0,,-128396,14931,232589,843438,1076027,1076027,-184273.0,473119.0,-63126.0,-113438.0,,,,,,,,,,,,,,,,,,,,,
4733,2014年01月01日至2014年06月30日,,360210,360210,,,29968,3627,51707,-4652,15674,-5482,-806.0,6294,231,,1268.0,-86444.0,,,331.0,150821.0,-437896.0,-1077.0,-62187,35667.0,-8783,-323124,,-100502.0,310132.0,14226.0,-400.0,1866,225322,-97802,-184246,175964,5482,-9509,-25857,146080,,2632.0,-16429,1569,,185.0,-3689,,,0.0,1634.0,,397646,,0.0,-25195.0,0.0,-85000.0,,0.0,-176359,,,8254,6690.0,,-271610,-14069,258047,843438,1101485,1101485,-184273.0,,-42565.0,-18810.0,473119.0,0.0,,,,,,,,,,,,,,,,,,,
4733,2014年01月01日至2014年03月31日,,33577,33577,,,15118,1788,33260,-3138,8383,-1780,,6317,139,,,60087.0,,,165.0,-78130.0,,,-39002,40936.0,-6686,-151266,,-113216.0,198701.0,,-224.0,-8046,77215,-74051,-13964,19613,1780,-4878,-9149,7366,,,-4358,301,-225.0,0.0,-3089,,,1052.0,,,12013,,-9911.0,,40000.0,,,0.0,-6975,,,8231,6690.0,,38035,15903,73317,843438,916755,916755,,,-11668.0,,,,-68549.0,30000.0,0.0,0.0,,,,,,,,,,,,,,,
4733,2013年度,,275976,275976,,,62876,7061,38776,-6023,30107,-5060,-1338.0,562,57,0.0,0.0,,,,-821.0,-70619.0,-311339.0,1364.0,-101437,-132328.0,14041,-601139,,126140.0,76263.0,16710.0,,-21873,196725,-404414,-277396,-1420,5060,-25070,-46857,-68287,,0.0,-43922,271,,871.0,-1618,0.0,0.0,-7209.0,0.0,1338.0,-58946,,150468.0,,-14925.0,,705069.0,0.0,-84045,0.0,-142885.0,6518,0.0,,620200,48697,541664,301774,843438,843438,,,-24385.0,,,,,,,0.0,,127018.0,-515.0,0.0,15708.0,0.0,,,,,,,,,
4733,2013年01月01日至2013年12月31日,,275976,275976,,,62876,7061,38776,-6023,30107,-5060,-1338.0,545,57,,,,,,-821.0,,,1364.0,-101437,-132328.0,14041,-601139,,,,,,-5163,196725,-404414,-277413,-1437,5060,-25070,-46857,-68304,,,-43922,271,,871.0,-1618,,,-7209.0,,1338.0,-58946,,150468.0,0.0,-14925.0,0.0,705069.0,0.0,-84045,,-142885.0,6535,0.0,,620217,48697,541664,301774,843438,843438,,,,,,,-311339.0,,,,,127001.0,-515.0,,,,-70619.0,126140.0,76263.0,0.0,15708.0,-24385.0,0.0,0.0,
