公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得持有至到期日金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 應收款項減少,　　 其他非流動資產減少,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 買回應付公司債損失（利益）,　　　　　 預收款項增加（減少）,　　 取得以成本衡量之金融資產,　　 處分採用權益法之投資,　　 其他應收款－關係人增加,　　 處分無形資產,　　 取得投資性不動產,　　 其他預付款項增加,　　 發行公司債,　　 其他非流動負債減少,　　 取得子公司股權,　　　　　 遞延貸項增加（減少）,　　 存出保證金減少,　　 其他非流動資產增加,　　 發放現金股利,　　　　 金融資產減損損失,　　 處分無活絡市場之債券投資,　　 處分持有至到期日金融資產,　　　　 投資性不動產公允價值調整損失(利益),　　 對子公司之收購（扣除所取得之現金）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 短期借款減少,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 備供出售金融資產減資退回股款,　　 概括承受他公司之淨現金收取數,　　 其他投資活動
1102,2016年01月01日至2016年09月30日,,3324612,3324612,,,4057187,208083,2295,170499,1199398,-154054,-774600,,-161965,-652375,-10297,,-168265,-42345.0,,603956,2626,,,,-27992,2711056,-89983,-112638,936074,-93762,1204915,4527670,,-1567657,-2042,,,-1495030,3032640,7460565,10785177,186908,2688137,-1087432,-888217,11684573,,-2644572,2357198,,,-79806,-995178,49821,-53220.0,-58404,,0,,-181978,,4735137,2874900,-13894347,21720349,-34035089,2300.0,0.0,,-146564.0,-16539956,-365779,-5403140,11024089,5620949,5620949,,,298893.0,137506.0,,,,,-8281.0,-612789.0,6000000.0,-99075.0,,-51064.0,,-6770.0,-3697567.0,52302.0,,,-203413.0,,,4427925.0,-11773.0,,1341587.0,0.0,,,,528436.0
1102,2016年01月01日至2016年06月30日,,1946106,1946106,,,2672679,132072,1887,186736,815760,-120721,-685176,,-159220,-277696,-7191,,-72413,,,442666,1554,,,,-222,2449681,5937,58791,358068,-186134,1117835,3803956,,-943171,-5615,,,-936799,2867157,5931918,7878024,149022,25243,-760304,-628399,6663586,,-1581356,953346,,,0,-639034,21856,-43213.0,-4430,,0,,1936543,,7937753,5665900,-13894347,20903098,-32328729,2800.0,,,-147998.0,-11941493,-173585,-3514949,11024089,7509140,7509140,,-34890.0,298893.0,54232.0,,,,,-6820.0,-596367.0,,-79970.0,,-34042.0,,-6418.0,,24000.0,,,-154179.0,,,3064761.0,-8203.0,0.0,3349779.0,,,,,489200.0
1102,2016年01月01日至2016年03月31日,,282550,282550,,,1345772,75526,3146,165473,418599,-67983,-1275,,-247360,55695,-418,,0,-33313.0,,83111,901,,,,0,1791249,778070,-60243,289104,-411481,24018,2410717,,-908561,1001,,,-794440,1616277,3280312,3562862,68042,1275,-329441,-132293,3170445,,-342048,0,,,0,-768689,8546,-4132.0,-1717,,0,,390839,,0,1956200,-1386383,13545439,-16440214,0.0,-900.0,,,-4032008,-164499,-635223,11024089,10388866,10388866,,,,132569.0,,,,,-6880.0,-10191.0,,-72678.0,,-17021.0,0.0,-2890.0,,,,,-133839.0,,,1664035.0,-2428.0,0.0,1518840.0,-1633472.0,,,,
1102,2015年度,,6814158,6814158,,,5400304,339259,216598,-826151,1647870,-397031,-678148,,503840,-2986137,-7151,,-599049,-33645.0,,139145,4502,,,,-20720,1217938,1815562,-191261,2035814,64428,354728,5276489,,-1362084,11390,,,-1393637,3882852,5393955,12208113,366274,3798693,-1491715,-1216131,13665234,,-2046066,3719317,,,-129379,-3479729,78816,-1127478.0,-51689,,95928,,-2433174,,0,202100,-2500000,34512584,-33553827,,-911.0,,-668142.0,-12987242,39437,-1715745,12739834,11024089,11024089,283.0,0.0,0.0,29594.0,0.0,58716.0,,,-2126.0,-92625.0,0.0,-12428.0,,-68085.0,,0.0,-7395159.0,65374.0,,,-1278760.0,0.0,,1511103.0,-4452.0,,511376.0,-3571459.0,3052.0,28713.0,0.0,
1102,2015年01月01日至2015年09月30日,,5089087,5089087,,,4060164,264804,-23886,-820224,1243021,-300141,-668685,,523136,-2417969,-19840,,-598926,-12479.0,,784684,3724,,,,-20719,2237105,893883,-384573,918377,-638810,341883,3347146,,-1470904,8498,,,-1379824,1967322,3524949,8614036,245038,3488889,-1083287,-861217,10403459,,-2045453,3714049,,,-120178,-2270889,121512,-1202598.0,-23941,,95431,,-1205742,,0,4462100,-2500000,15843101,-10252732,,-24205.0,,-669189.0,-1433717,409394,8173394,12739834,20913228,20913228,,0.0,0.0,159671.0,0.0,0.0,,,-2126.0,-60271.0,0.0,-15196.0,,-51063.0,0.0,0.0,-7395159.0,27000.0,,,-486756.0,0.0,,1557627.0,-26026.0,,588722.0,-882437.0,,,,
1102,2015年01月01日至2015年06月30日,,5126208,5126208,,,2711982,170799,-28709,-228256,826712,-218501,-632936,,-338752,-2039067,-13282,,-574907,-7539.0,,-191197,3025,,,,9493,1568399,877213,-274024,-156505,-645966,210550,1589160,,-533582,2681,,,-617025,972135,23004,5149212,171405,44931,-878829,-657955,3828764,,-2007775,3543519,,,-120337,-1487505,35493,-5598.0,-15224,,95633,-32420.0,-3308090,,670245,652400,-2500000,9703687,-8924638,,15120.0,-44220.0,-668070.0,-1095476,-277396,-852198,12739834,11887636,11887636,,0.0,0.0,-25623.0,,0.0,,,-550.0,,0.0,,,-34042.0,,,,27000.0,,,-415503.0,0.0,,-949131.0,-26459.0,-3313326.0,,,,,,
1102,2015年01月01日至2015年03月31日,,1844700,1844700,,,1374038,82172,-29608,21598,412287,-99019,-1292,,-150080,-960033,-7442,,-157608,18071.0,,-273459,2366,,,,14703,1121820,639337,-206117,-446797,-762417,122042,482571,,-1499208,5466,,,-1480760,-998189,-928895,915805,78641,1292,-407354,-238621,349763,,-1192850,1108613,,,-795,-892991,12970,,-25659,,97678,,-3612811,,443467,3793800,-2500000,2112826,-2198727,6343.0,0.0,,0.0,1638054,-161410,-1786404,12739834,10953430,10953430,,0.0,0.0,55949.0,,,,,-550.0,-535.0,,-19655.0,,-17021.0,4905.0,,,,,,-162697.0,,,69294.0,-25946.0,-2723597.0,,,,,,
1102,2014年度,,13719739,13719739,,,5628378,313519,156678,-1034483,1667598,-477369,-727018,0.0,970241,-4350273,-9249,,-114480,-65434.0,,391654,4995,1238612.0,,,448181,-148326,-787811,174482,-763209,-8579,-248092,-1333354,,-3836677,23426,,-3836.0,-3966227,-5299581,-4060969,9658770,504217,3999751,-1460549,-2059597,10642592,,-7492054,1309730,,0.0,-397688,-4166990,61718,-8091.0,-14741,,-19566,-74879.0,-12619151,,7976022,8737700,-18148889,43127324,-46917171,,-36429.0,,-1255192.0,-4566862,98513,-6444908,19184742,12739834,12739834,-20903.0,-76572.0,356480.0,-81054.0,-3307.0,10150.0,0.0,,-128219.0,,8000000.0,-118554.0,,-68086.0,,,-5931673.0,51387.0,1153514.0,0.0,-1426537.0,-2848728.0,,,,,,,,,,
1102,2014年01月01日至2014年09月30日,,9614314,9614314,,,3951921,227477,41105,-286204,1246132,-395171,-720708,0.0,442817,-3608646,-9483,,-97016,-73094.0,,132463,3851,472575.0,,,-13676,443099,-907961,49313,-441353,-524963,-127356,-1522897,,-2652782,-4676,,-2102.0,-2587110,-4110007,-3637432,5976882,384373,3665237,-1118264,-1583916,7324312,,-2626883,1246738,,0.0,-214491,-2674915,334142,0.0,-9491,,0,-58675.0,-6717004,,7473667,7556900,-18130035,23597195,-33108733,,-13049.0,0.0,-1254257.0,-11889650,98513,-11183829,19184742,8000913,8000913,,-76572.0,356480.0,123514.0,-3307.0,10150.0,0.0,,-127383.0,,8000000.0,-79665.0,,-51064.0,748.0,-2794.0,-5931673.0,,181721.0,,-662777.0,-2772564.0,,,,,,,,,,
1102,2014年01月01日至2014年06月30日,,6895906,6895906,,,2456096,102364,38585,-175602,811079,-274778,-708986,,204833,-2519030,-11068,,-98602,-76954.0,,-525605,3059,-1052123.0,,,133099,-542374,-619518,14363,-176919,-613785,-178707,-1983841,,-159237,29179,,-342.0,-153046,-2136887,-3189010,3706896,248770,69263,-684430,-1196018,2144481,,-1484100,979804,-688426.0,0.0,-4503,-1288476,147286,0.0,-5641,,1335,-40270.0,-5146190,,5028983,3697900,-12759025,43700307,-54774860,7984.0,0.0,0.0,-1035800.0,-8239560,-25037,-11266306,19184742,7918436,7918436,,-76572.0,356480.0,11397.0,0.0,3239.0,0.0,0.0,0.0,,8000000.0,-105049.0,,-34043.0,6126.0,,,,,,-557422.0,-2772564.0,,,,,,,,,,
