公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 停業單位稅前淨利（淨損）,　　　　 處分待出售非流動資產損失（利益）,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　 處分待出售非流動資產,　　 存出保證金增加,　　　　 處分投資性不動產損失（利益）,　　 處分投資性不動產,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 不動產、廠房及設備轉列費用數,　　 存入保證金減少,　　 取得投資性不動產,　　　　 非金融資產減損損失,　　 預收款項增加－處分資產,　　 非控制權益變動,　　　 收益費損項目,　　　　 收益費損項目合計,　　 處分無活絡市場之債務工具投資,　　 取得無活絡市場之債務工具投資,　　　　　 淨確定福利負債增加(減少)
3051,2016年01月01日至2016年03月31日,,-133375,-133375,,,86850,755,22091,,39102,-100,201,,48280,-4641,,,,110,99993,-35338,148351,2258,1232,216606,,-61,2235,-29963,28,9812,-118,-18067,198539,476042,342667,114,,-39382,,0,303399,,,,,,-190,55,6827,-245.0,0,53845,,,-90262.0,-207177,0,-297995,6888,66137,894196,960333,960333,,,,,,,,,,,-556.0,,84965.0,,,,277503.0,47398.0,,
3051,2015年度,,304779,304779,,,349760,1901,11994,,173648,-2531,-833,-10361.0,-7150,-7306,,,,-19297,454420,-20399,86277,131379,772,633152,,73,-162202,-31149,527,5396,131,-187024,446128,955250,1260029,2526,,-174548,,-1457,1086550,,,,,,-8352,7253,0,-7000.0,0,-41973,,0.0,-111072.0,-399175,472,-509775,-10139,524663,369533,894196,894196,,,,,,-7332.0,,,,0.0,,0.0,0.0,0.0,0.0,,509122.0,,-26542.0,200.0
3051,2015年01月01日至2015年09月30日,,299071,299071,,,262760,1359,8863,,131924,-2142,-690,-2177.0,-38802,-4175,,,,5090,302446,-25436,65459,88233,646,436438,,111,-46912,-37090,1115,-804,162,-83418,353020,709940,1009011,2157,,-132896,,-698,877574,,,,,,-4859,7038,0,-2946.0,0,7037,,0.0,-82292.0,-289798,599,-371491,-12515,500605,369533,870138,870138,,,,,,-6.0,,,0.0,,,0.0,,,,,356920.0,7810.0,0.0,
3051,2015年01月01日至2015年06月30日,,155640,155640,,,175404,833,8187,,88201,-2005,43,-1.0,4706,-2776,,,,3703,274817,-11630,88580,86852,616,442938,,-297,-156790,-53787,663,3224,246,-206741,236197,508789,664429,2006,,-88892,,21,577564,,,,,,-3661,26,0,-2946.0,-156,-28629,,0.0,-74069.0,-72084,457,-145696,-40340,362899,369533,732432,732432,,,,,,-5.0,,,,,,,,,,,272592.0,,-21887.0,
3051,2015年01月01日至2015年03月31日,,126782,126782,,,87832,421,193,,44130,-901,-10,,-15615,-1394,,,,2789,14578,-1913,-163471,83866,-150,-64301,,7,-48798,-31320,-201,5825,-58,-74545,-138846,-24190,102592,918,,-44319,,-4,59187,,,,,,-612,11,0,,-1518,25137,,0.0,-18024.0,-72084,506,-89602,-35016,-40294,369533,329239,329239,,,,,,,,,,,,,,,,,114656.0,27256.0,,
3051,2014年度,,540836,540836,,,373867,2602,5356,,180975,-823,868,0.0,-95192,-5500,464638.0,,,-4769,-511446,-6985,-201412,-127229,-1927,-853768,,-92,-31899,-3505,290,-5541,-3270,-44017,-897785,-433147,107689,823,,-181601,,-11,-73100,,,,-78238.0,0.0,-2299,803,1097,-1049.0,-1140,-80131,,373851.0,0.0,-358330,6718,22191,-63607,-194647,564180,369533,369533,,,,,,0.0,0.0,0.0,,331.0,0.0,-1851.0,2154.0,2546.0,-48.0,,,,,
3051,2014年01月01日至2014年09月30日,,220038,220038,,,283318,2209,657,,136051,-328,555,-29.0,-60743,-4111,357579.0,,,-3888,-395305,-4780,-193794,-59431,-927,-658125,,-99,44402,-26513,847,12150,-3411,27376,-630749,-273170,-53132,345,,-137490,,7,-190270,,,,-13966.0,0.0,-464,680,875,-151.0,-1157,-15113,,298973.0,0.0,-358330,6607,-52750,-38521,-296654,564180,267526,267526,,,,,,0.0,0.0,0.0,0.0,,,-930.0,,,,,,,,
3051,2014年01月01日至2014年06月30日,,24294,24294,,,190026,1530,35,,91692,-287,912,-2.0,-993,-2744,280169.0,,,-4762,-57149,-2707,-59744,-49797,-1903,-176062,,-389,-25005,-35635,580,-7417,-3617,-71483,-247545,32624,56918,288,,-92958,,55,-35697,,,,-36425.0,,-136,138,134,-151.0,0,-36440,,234176.0,,-289565,11477,-43912,-15240,-131289,564180,432891,432891,,,,,,0.0,,,,,,,,,,,,,,
3051,2014年01月01日至2014年03月31日,,6706,6706,,,96008,808,-100,,46802,-36,503,0.0,-16762,-1384,125839.0,,,-69,221915,-3441,-62075,-1497,-1192,153641,,0,-86658,-40921,90,-4605,-3616,-135710,17931,143770,150476,53,,-47296,,24,103257,,,,,8724.0,-194,23,-10,0.0,0,8543,,297416.0,,-231498,5706,71624,-19925,163499,564180,727679,727679,,,,,,,,,,,,,,,,,,,,
3051,2013年度,,411980,411980,,,395190,5412,-327,,214938,-489,-620,-7898.0,-37833,-4899,563650.0,,,118,79741,18137,237034,24436,100820,460286,,-1,-88544,14232,102,6439,1926,-65846,394440,958090,1370070,508,,-216172,,-49,1154357,,,,0.0,31236.0,-9476,3418,0,-388.0,0,23714,,0.0,-636853.0,-219524,0,-859887,-39465,278719,285461,564180,564180,,,,,,-1084.0,176.0,8.0,,0.0,-3510.0,0.0,0.0,0.0,0.0,,,,,
