公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分無活絡市場之債券投資,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款－關係人減少,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　 收取之股利,　　 對子公司之收購（扣除所取得之現金）,　　 舉借長期借款,　　 庫藏股票處分,　　 員工購買庫藏股,　　 以成本衡量之金融資產減資退回股款,　　 其他應收款－關係人增加,　　　　 其他項目,　　　　　 持有供交易之金融資產（增加）減少,　　 存出保證金減少,　　 應收款項減少,　　 取得子公司股權,　　 其他金融資產增加,　　　　 金融資產減損損失,　　 取得採用權益法之投資,　　　　　 其他金融資產（增加）減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 預付設備款減少,　　 其他應付款－關係人減少,　　 非控制權益變動
1447,2016年01月01日至2016年09月30日,,-328761,-328761,,,475136,6012,-3099,-3528,66879,-51620,-19782,6441,-46792.0,,132270,,,,-2081,158664,,893791,-62176,21806,408,-1091729,,38334,-82600,5506,14653,65834,,6031,-1085698,-566507,-895268,48029,-65909,-3998,-737890,,,-624239.0,,,,-966519,2796,,,-6416.0,,,-1594282,,327000,,-260000,,-167250,75,-29799.0,1037249,-21110,-1316033,2896269,1580236,1580236,-90003.0,,-80.0,179256.0,,1200000.0,,,0.0,,47357.0,-11997.0,96.0,,,0.0,0.0,,-2090144.0,,519191.0,-35696.0,,,-32777.0
1447,2016年01月01日至2016年06月30日,,-129028,-129028,,,296858,3951,3204,-4035,40847,-29894,-15712,-836,,-25831.0,70309,,,,-92636,83761,,480272,-36234,17865,43213,-1530139,,26223,-194800,-12722,9691,-1523,,-202668,-1732807,-1361898,-1490926,29496,-40121,-2426,-1440564,,,-256195.0,,,,-702695,1803,,,-5726.0,,,-962720,,4000,,-165000,,-55583,94,,885311,-18370,-1536343,2896269,1359926,1359926,-61.0,,-80.0,63413.0,,1200000.0,,,0.0,,32189.0,6683.0,93.0,,,0.0,,,-2033063.0,,370909.0,-29537.0,,-65423.0,-32777.0
1447,2016年01月01日至2016年03月31日,,-233036,-233036,,,143296,1789,997,-603,18267,-13040,-5749,346,,-45417.0,211849,,,,-66955,200900,,327284,-21786,4798,137,661248,,-9730,-121748,-4725,3197,35461,,-118833,542415,870492,637456,12736,-17724,-1132,631336,,,-90391.0,,,,-180383,110,,,-610.0,,-81848.0,-353065,,65500,,-220000,,-11666,-2,3417.0,287249,-117766,447754,2896269,3344023,3344023,,,-5.0,,,450000.0,,,,0.0,16347.0,-1021.0,57.0,,,0.0,,,217891.0,,328077.0,-21288.0,,,
1447,2015年度,,50579,50579,,,564047,9191,-6057,34103,67719,-42195,-21532,5775,-131493.0,,55697,,,,74922,1145379,,247845,-65471,-26449,665,-795991,,-14123,65967,21423,2830,-59440,,16574,-779417,-255253,-204674,38330,-66650,-96343,-195573,,,-439214.0,,,,-1445007,1382,,,-2755.0,,-69353.0,-1954277,,1900000,,1403000,,-138944,278,127141.0,4291475,-6542,2135083,761186,2896269,2896269,-91096.0,0.0,283.0,133764.0,,1000000.0,,0.0,631.0,,64864.0,101036.0,39.0,,,0.0,14858.0,0.0,-2273918.0,,524164.0,-83.0,,,
1447,2015年01月01日至2015年09月30日,,123303,123303,,,416353,7076,-4326,44540,47676,-29240,-17770,5700,-91494.0,,13601,,,,68512,826525,-222907.0,201749,-41585,-45681,524,634098,,5788,-287762,19221,13633,-7293,,-256457,377641,738889,862192,28472,-46927,-95651,881850,,,-15284.0,,,,-1187448,1099,,,-2756.0,,,-2237107,,2251000,,739000,,-95027,477,65543.0,3960993,-8944,2596792,761186,3357978,3357978,-91096.0,0.0,-15.0,133764.0,,1000000.0,,0.0,316.0,,47885.0,-152266.0,34.0,,,-1045520.0,12358.0,0.0,-773.0,,361248.0,-44.0,12452.0,,
1447,2015年01月01日至2015年06月30日,,29728,29728,,,270476,4708,-807,25871,28354,-17688,-17041,5195,0.0,-157021.0,97463,,,,28693,-50597,-238779.0,138821,-15212,-22200,527,-264714,,83213,253463,-43908,-4179,61646,,350207,85493,355795,385523,17621,-27266,-54032,323679,,,-11269.0,,,,-778764,944,,,-2626.0,,,-1405937,,2822122,,358000,,-88916,286,,3535035,-20490,2432287,761186,3193473,3193473,-60.0,0.0,-2.0,1833.0,,500000.0,,0.0,316.0,,30854.0,-105139.0,63.0,,,-617200.0,0.0,0.0,-828.0,,270302.0,-28.0,2599.0,-56457.0,
1447,2015年01月01日至2015年03月31日,,-136219,-136219,,,127984,2284,-2360,10889,10348,-6537,-4431,5602,,-157298.0,73257,,,,65623,377336,,100114,-8279,-23489,388,488836,,3047,148604,9806,-4337,-47732,,109376,598212,673467,537248,6455,-9243,-484,533976,,,,,,,-364596,398,,,-455.0,,-129282.0,-2038761,,2171889,,518000,,0,183,13000.0,2849739,8494,1353448,761186,2114634,2114634,,,0.0,,,146667.0,,,,-213000.0,15517.0,-29783.0,61.0,,,-1331887.0,,,6926.0,,75255.0,-12.0,,,
1447,2014年度,,413017,413017,,,503464,10906,-3979,-6710,67030,-39242,-91262,-12096,221612.0,,7418,750172.0,,,-102695,1168776,,-61449,-18064,1008,542,1062989,,-4092,-525140,-17288,-3096,7978,-8994.0,-550632,512357,1262529,1675546,38148,-67787,-111340,1568061,,,-22132.0,,,0.0,-730868,30067,,,-5293.0,,-580978.0,-1402594,,434509,,-170000,,-235369,-139,24976.0,59842,-23007,202302,558884,761186,761186,-6043.0,4947.0,-1196.0,33494.0,,,0.0,5865.0,198.0,,67440.0,-97651.0,-108.0,,0.0,11770.0,27883.0,-105250.0,172522.0,,,,,,
1447,2014年01月01日至2014年09月30日,,445198,445198,,,376461,8488,-4893,-12889,53354,-29620,-82018,-13222,3412.0,,3132,379025.0,,,-52802,977530,2172.0,-416195,-9083,-54202,5483,483297,,105759,-541545,-2773,-3160,128694,58.0,-312967,170330,549355,994553,25073,-52570,-110418,890132,,,-22112.0,,,0.0,-603993,29099,,,,,-292284.0,-3037932,,3077509,,120000,,-199785,9,-86415.0,2917183,-5698,763685,558884,1322569,1322569,-6043.0,4947.0,-1198.0,33494.0,0.0,,0.0,5865.0,198.0,,51231.0,30394.0,,,,-2132840.0,27883.0,-16000.0,,,,,,,
1447,2014年01月01日至2014年06月30日,,213572,213572,,,250654,5456,-573,-12738,35206,-17721,-39482,-13221,9000.0,0.0,68383,351560.0,,,-74327,143209,-35037.0,-467695,8731,19692,1079,-373952,,3292,-396063,-780,-5746,94694,37.0,-304566,-678518,-326958,-113386,13891,-32497,-69115,-197529,,,-22112.0,,,0.0,-241474,28961,,,,,-233847.0,-2683537,,3003509,,180000,,-446452,1,-67415.0,2775508,9580,-95978,558884,462906,462906,-1856.0,4947.0,-1214.0,3578.0,0.0,100000.0,0.0,5865.0,,,36836.0,30396.0,,,,-2199065.0,27883.0,-16000.0,,,,,,,
