公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 償還長期借款,　　 現金增資,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 採用權益法之被投資公司減資退回股款,　　 發行公司債,　　　　 處分待出售非流動資產損失（利益）,　　 因合併產生之現金流入,　　 員工執行認股權,　　 庫藏股票買回成本,　　　　　 其他流動負債增加（減少）
2353,2015年01月01日至2015年09月30日,,695320,695320,,,524343,751626,1346911,293479,-207998,-240181.0,149697,-103634,1855,3714,0.0,0.0,-446429.0,-21801.0,0.0,2051582.0,,,1433995,-20431,-741020,286827,45894,1005265,,-12552700,-11171,14013.0,-2152415,-130754,-14833027,-13827762,-11776180,-11080860,196276,-214899,-11099483,,-335640.0,11948,110635,0.0,0.0,-172761,56777,-29.0,-55302,-50635.0,0.0,240181.0,-194826,,175004.0,0.0,-3677046.0,-1800000.0,5400000.0,-144359,-46401,156888,-11183822,47558651,36374829,36374829,,,,,,,,,,
2353,2015年01月01日至2015年06月30日,,367830,367830,,,349876,501985,2162644,230422,-153672,-60.0,124401,-45126,2294,3506,,0.0,-385706.0,,-41317.0,2749247.0,,,10783692,-16997,-2342241,354858,45065,8824377,,-12598492,-2181,-6191791.0,-2083616,-122372,-20998452,-12174075,-9424828,-9056998,145767,-181628,-9092859,,-187755.0,11948,113287,0.0,0.0,-74687,5634,9.0,-19353,-80331.0,,60.0,-231188,,,-317000.0,-3196658.0,-1800000.0,5400000.0,-117437,-31095,-1802852,-11157994,47558651,36400657,36400657,,,,,,,,,,
2353,2015年01月01日至2015年03月31日,,333728,333728,,,177918,253633,-16624,130304,-72529,-60.0,72059,-36617,3413,172,,0.0,,,-11948.0,499721.0,,,9403920,175,-1401461,118913,45075,8166622,,-10601869,-957,-3184043.0,-1396423,-110969,-15294261,-7127639,-6627918,-6294190,68388,-160542,-6386344,,-110591.0,11948,33699,,,-33687,1898,-6.0,-2390,-170573.0,,60.0,-269642,,-287000.0,,,,5400000.0,-73877,5039123,-1742574,-3359437,47558651,44199214,44199214,,,,,,,,,,
2353,2014年度,,2614419,2614419,,,791209,1202555,-1988511,651206,-283592,-131140.0,350285,200218,-125629,-65727,0.0,-41495.0,0.0,,2195273.0,,,,2913298,-1125,-1087115,533462,-45523,2312997,,-392949,13428,153180.0,-1548319,103911,-1670749,642248,3396900,6011319,283326,-671046,5623599,,-70000.0,0,80109,-20462.0,41195.0,-228752,590954,8.0,-103873,177098.0,,139854.0,778261,,0.0,-72989.0,0.0,-1800000.0,,-260250,-2133239,306367,4574988,42983663,47558651,47558651,,0.0,2754652.0,172130.0,0.0,,,,,
2353,2014年01月01日至2014年09月30日,,1723925,1723925,,,607343,942823,-1848503,502599,-187138,-124831.0,164821,53297,-7800,-64938,13291.0,-41495.0,0.0,7131.0,2167141.0,2183741.0,,,-4678697,-29229,-4270829,162150,-1256,-8817861,,3706460,-512,-270198.0,-1391389,-88134,1956227,-6861634,-4677893,-2953968,187166,-549919,-3316721,,-70000.0,0,90568,-6000.0,41495.0,-153399,568580,-9.0,-11521,0.0,136000.0,133545.0,729259,,0.0,-179997.0,0.0,0.0,0.0,-208031,-388028,-762964,-3738454,42983663,39245209,39245209,,,,,,,,,,
2353,2014年01月01日至2014年06月30日,,673717,673717,,,429528,657394,32200,480691,-124410,-868.0,100154,-5436,-5486,-64168,,-41495.0,0.0,,2187563.0,3645667.0,,,-4707937,-6576,2172977,215755,-1716,-2327497,,-4582655,-532,1725493.0,-964417,-72570,-3894681,-6222178,-2576511,-1902794,123086,-318529,-2098237,,-70000.0,0,19950,-6000.0,41495.0,-101951,301423,0.0,-11521,-126169.0,,6528.0,53755,,,-15656.0,0.0,0.0,0.0,-150400,-166056,-227192,-2437730,42983663,40545933,40545933,,,,,,,,,,
2353,2014年01月01日至2014年03月31日,,145944,145944,,,221141,328038,111572,153739,-56518,-868.0,50242,59994,-1592,-32709,,13291.0,,,7131.0,853461.0,,,1571372,-1665,7329232,238344,727,9138010,,-9228477,767,-1440831.0,-552633,-71320,-11292494,-2154484,-1301023,-1155079,56191,-128135,-1227023,,-70000.0,0,0,,,-67395,171351,0.0,-10753,-150743.0,,868.0,-126672,,689749.0,,,,0.0,-62943,626806,489766,-237123,42983663,42746540,42746540,,,,,,,,,,
2353,2013年度,,-21063736,-21063736,,,947566,1751961,-517236,909476,-324821,-205303.0,306597,236923,-5175,-105317,-227722.0,0.0,73972.0,,38995.0,,,,6737926,18571,7710531,-111992,16569,14371605,,-16421367,-593,2481522.0,-544348,197756,-14287030,84575,13052466,-8011270,324568,-964282,-8650984,,0.0,273062,147743,0.0,0.0,-377087,684807,0.0,-191985,-21743.0,,213269.0,728066,,40015.0,0.0,-6669074.0,0.0,,-396800,-1025859,1319876,-7628901,50612564,42983663,42983663,,10087975.0,12967891.0,0.0,6000000.0,,,,,
2353,2013年01月01日至2013年12月31日,,-21063736,-21063736,,,947566,1751961,-517236,909476,-324821,-205303.0,306597,236923,-5175,-105317,-227722.0,0.0,73972.0,,38995.0,,,,6737926,18571,7710531,-111992,16569,14371605,,-16421367,-593,2481522.0,-544348,197756,-14287030,84575,13052466,-8011270,324568,-964282,-8650984,,,273062,147743,0.0,,-377087,684807,0.0,-191985,-21743.0,,213269.0,728066,,40015.0,,-6669074.0,,,-396800,-1025859,1319876,-7628901,50612564,42983663,42983663,,10087975.0,12967891.0,,6000000.0,,0.0,0.0,0.0,
2353,2013年01月01日至2013年09月30日,,-12708846,-12708846,,,698662,1349393,-220659,531453,-256361,-203072.0,255148,208191,-4673,-106792,-218705.0,0.0,73972.0,0.0,0.0,,,,3967905,14304,1299401,-1066623,17771,4232758,,-19184716,-406,1027028.0,-1840188,214928,-19783354,-15550596,-3500689,-16209535,256632,-821909,-16774812,,0.0,264045,85817,0.0,0.0,-298649,658046,6.0,-146635,,157461.0,209048.0,929139,,,-284974.0,-6669074.0,,,-231536,-1185584,367673,-16663584,50612564,33948980,33948980,,9943350.0,12049907.0,,6000000.0,0.0,,,,
