公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 應付租賃款減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　 取得持有至到期日金融資產,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 應收款項增加,　　 其他投資活動,　　　　　 其他金融負債增加（減少）,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 應付短期票券增加
8215,2015年01月01日至2015年09月30日,,548653,548653,,,572043,60726,-54398,48957,-20515.0,-1061.0,51638,1907,-23840.0,73473,708930.0,,,-10541.0,611011.0,-24590,2575,873213,-59737,0.0,1391931,,-756832,2204,-22337,3397,17615.0,-1263.0,0.0,-757216,634715,1343645,1892298,17761.0,1061.0,-26169,-12069,1872882,,-97500.0,75580.0,-52119.0,-345034,391.0,0.0,1234.0,-25938.0,-18080,-1451.0,0.0,-70459.0,0.0,-533376,,0,-742415.0,1050000.0,-1154940.0,4852,-74.0,-40373.0,-416877.0,-1299827,13021,52700,460951,513651,513651,,,,,,,,,,,,,,
8215,2015年01月01日至2015年06月30日,,428110,428110,,,383608,40861,-101679,34445,-13207.0,-1061.0,32476,1865,-23840.0,47063,400531.0,,,237045.0,,-31956,-1901,712257,-41241,,1471519,,-1032503,-14267,3631,10111,951.0,-857.0,,-1032934,438585,839116,1267226,12817.0,,-19491,-7164,1253388,,-97500.0,75580.0,0.0,-189754,505.0,0.0,1276.0,-9656.0,-10418,-5295.0,0.0,-51028.0,,-286290,,0,-979663.0,1050000.0,-1154940.0,4839,-25.0,-26876.0,,-1106665,-14745,-154312,460951,306639,306639,597315.0,,,,,,,,,,,,,
8215,2015年01月01日至2015年03月31日,,222440,222440,,,192692,20382,-91126,17730,-6569.0,,17773,44,-23840.0,22449,149535.0,,,,,24948,-1354,141036,-8217,,269809,,-557245,-5501,-118382,-4618,1502.0,-435.0,,-684679,-414870,-265335,-42895,5567.0,,-9909,-8370,-55607,,-97500.0,75580.0,0.0,-92015,160.0,-324.0,,-15700.0,-2773,-294.0,,-20930.0,,-153796,,19745,,1050000.0,-854940.0,12,-25.0,-13438.0,,201354,-6394,-14443,460951,446508,446508,-26891.0,140287.0,0.0,,,,,,,,,,,
8215,2014年度,,1075295,1075295,,,826481,40307,64220,90004,-20007.0,-4554.0,62158,-24,114511.0,50750,,,,,,464998,-2806,26414,84088,,-1746624,,147819,14536,229469,5225,12391.0,,,407587,-1339037,-115191,960104,22371.0,4554.0,-61009,-225003,701017,,,6733.0,-62766.0,-171629,20132.0,-16610.0,0.0,-286071.0,-65633,,3807.0,-66279.0,,-638316,,1072243,0.0,,-1020000.0,0,-4604.0,-46360.0,-96202.0,-94923,20616,-11606,472557,460951,460951,-1940050.0,-379268.0,,,1223846.0,-1853.0,,,,,,,,
8215,2014年01月01日至2014年09月30日,,882564,882564,,,632541,58161,104235,71529,-14191.0,-4554.0,42185,-189,115459.0,33265,1038441.0,,,-335583.0,-1956938.0,457996,-2702,90220,37156,0.0,-1709851,,28265,5384,120791,-1327,-48562.0,-1392.0,0.0,103159,-1606692,-568251,314313,16621.0,4554.0,-50569,-215056,69863,,0.0,3693.0,-40904.0,-101331,552.0,-14534.0,0.0,-273862.0,-20448,0.0,3765.0,-47125.0,0.0,-490194,,1003151,0.0,0.0,-615000.0,770,-5471.0,-32922.0,-96202.0,254326,4210,-161795,472557,310762,310762,,,,,,,,,,,,,,
8215,2014年01月01日至2014年06月30日,,699029,699029,,,434895,33726,-51187,50005,-8273.0,0.0,26643,-77,0.0,21659,507391.0,,,-393143.0,,523447,-11497,204621,66865,,-2120819,,-74135,6836,24372,1185,165.0,-922.0,,-42499,-2163318,-1655927,-956898,13644.0,,-36250,-212435,-1191939,,0.0,0.0,-40904.0,-51785,428.0,-14862.0,0.0,-253080.0,-11937,0.0,5281.0,-26737.0,,-393596,,2133470,0.0,0.0,-510000.0,651,-5535.0,-21332.0,,1597254,-9920,1799,472557,474356,474356,-2511112.0,,,,,,,,,,,,,
8215,2014年01月01日至2014年03月31日,,380193,380193,,,219569,9323,-13363,26192,-3187.0,,15422,2,0.0,9429,263387.0,,,,,285270,-220,381216,-18191,,-1165549,,-347667,4200,-118502,-450,3033.0,-459.0,,-459845,-1625394,-1362007,-981814,934.0,,-20431,65,-1001246,,0.0,0.0,-11777.0,-27231,0.0,-15007.0,,-248054.0,-1762,-4756.0,,-13530.0,,-362634,,1381373,,0.0,-105000.0,498,-91.0,-10666.0,,1266114,-3032,-100798,472557,371759,371759,-1553608.0,-260016.0,-40517.0,,,,,,,,,,,
8215,2013年度,,1438068,1438068,,,1204225,37923,-88526,161598,-13490.0,-1832.0,50398,-73,15191.0,32475,,,,,,64703,1169,771329,-17292,,465809,,-398163,2562,181208,-13296,-4285.0,,,-233864,231945,1629834,3067902,12224.0,1832.0,-134152,-39377,2908429,,,13342.0,0.0,-165421,0.0,0.0,3314.0,-39608.0,-13900,,32543.0,-48650.0,,-218380,,0,-500000.0,,-2484440.0,5059,0.0,-45404.0,0.0,-3024785,8160,-326576,799133,472557,472557,-489998.0,135898.0,,,1397889.0,-1890.0,,,,,,,,
8215,2013年01月01日至2013年12月31日,,1438068,1438068,,,1204225,37923,-88526,161598,-13490.0,-1832.0,50398,-73,15191.0,3200,,,,,,64703,1169,771329,-17292,32543.0,498352,,-398163,2562,181208,-13296,-4285.0,,-45404.0,-279268,219084,1587698,3025766,12224.0,1832.0,-134152,-39377,2866293,,,13342.0,,-165421,0.0,,3314.0,,-13900,,,,-19375.0,-221648,,0,-500000.0,0.0,-2484440.0,5059,0.0,,,-2979381,8160,-326576,799133,472557,472557,-489998.0,135898.0,,,1368614.0,-1890.0,,-39608.0,,,,,,
8215,2013年01月01日至2013年09月30日,,1039766,1039766,,,908859,28846,-140299,133861,-9406.0,-1832.0,29168,18,0.0,2400,,,,109250.0,-934505.0,145450,4108,912738,-5128,-93482.0,138431,,-328572,-1043,147372,-11625,18605.0,,,-176883,-38452,913163,1952929,9387.0,1832.0,-115426,-32668,1816054,,0.0,,0.0,-134375,0.0,0.0,3447.0,-23622.0,-11224,,,-15523.0,,-181297,,125554,,-2079380.0,,4931,0.0,-6400.0,0.0,-1955295,2677,-317861,799133,481272,481272,,,,,951615.0,-1620.0,,,,,,,,
